,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-02-11,75.5,3,0.0,-,0.0,0.0,0.0,0.0
1,2020-02-12,74.5,4,-1.0,▼,-1.0,-1.3,1.0,4.0
2,2020-02-13,76.6,8,2.1,▲,0.0,2.8,4.0,12.0
3,2020-02-14,79.6,1,3.0,▲,1.0,3.9,-7.0,13.0
4,2020-02-15,82.1,3,2.5,▲,2.0,3.1,2.0,16.0
5,2020-02-16,81.9,1,-0.2,▼,1.0,-0.2,-2.0,17.0
6,2020-02-17,79.4,2,-2.5,▼,0.0,-3.1,1.0,19.0
7,2020-02-18,78.8,5,-0.6,▼,-1.0,-0.8,3.0,24.0
8,2020-02-19,75.3,2,-3.5,▼,-2.0,-4.4,-3.0,26.0
9,2020-02-20,76.0,5,0.7,▲,-1.0,0.9,3.0,31.0
10,2020-02-22,72.2,1,-3.8,▼,-2.0,-5.0,-4.0,32.0
11,2020-02-23,78.1,3,5.9,▲,-1.0,8.2,2.0,35.0
12,2020-02-24,81.6,2,3.5,▲,0.0,4.5,-1.0,37.0
13,2020-02-25,82.1,3,0.5,▲,1.0,0.6,1.0,40.0
14,2020-02-26,76.9,1,-5.2,▼,0.0,-6.3,-2.0,41.0
15,2020-02-27,84.4,3,7.5,▲,1.0,9.8,2.0,44.0
16,2020-02-28,86.0,3,1.6,▲,2.0,1.9,0.0,47.0
17,2020-02-29,81.9,5,-4.1,▼,1.0,-4.8,2.0,52.0
18,2020-03-01,79.1,7,-2.8,▼,0.0,-3.4,2.0,59.0
19,2020-03-02,80.1,5,1.0,▲,1.0,1.3,-2.0,64.0
20,2020-03-03,79.6,1,-0.5,▼,0.0,-0.6,-4.0,65.0
21,2020-03-04,82.1,2,2.5,▲,1.0,3.1,1.0,67.0
22,2020-03-05,84.7,2,2.6,▲,2.0,3.2,0.0,69.0
23,2020-03-07,85.0,2,0.3,▲,3.0,0.4,0.0,71.0
24,2020-03-08,91.0,5,6.0,▲,4.0,7.1,3.0,76.0
25,2020-03-09,93.0,1,2.0,▲,5.0,2.2,-4.0,77.0
26,2020-03-10,88.7,2,-4.3,▼,4.0,-4.6,1.0,79.0
27,2020-03-11,91.7,1,3.0,▲,5.0,3.4,-1.0,80.0
28,2020-03-12,95.9,4,4.2,▲,6.0,4.6,3.0,84.0
29,2020-03-13,84.4,55,-11.5,▼,5.0,-12.0,51.0,139.0
30,2020-03-14,72.4,66,-12.0,▼,4.0,-14.2,11.0,205.0
31,2020-03-15,63.1,42,-9.3,▼,3.0,-12.8,-24.0,247.0
32,2020-03-16,49.7,11,-13.4,▼,2.0,-21.2,-31.0,258.0
33,2020-03-17,40.5,6,-9.2,▼,1.0,-18.5,-5.0,264.0
34,2020-03-18,41.0,6,0.5,▲,2.0,1.2,0.0,270.0
35,2020-03-19,40.6,5,-0.4,▼,1.0,-1.0,-1.0,275.0
36,2020-03-20,39.8,2,-0.8,▼,0.0,-2.0,-3.0,277.0
37,2020-03-21,39.2,10,-0.6,▼,-1.0,-1.5,8.0,287.0
38,2020-03-22,39.7,11,0.5,▲,0.0,1.3,1.0,298.0
39,2020-03-23,36.7,4,-3.0,▼,-1.0,-7.6,-7.0,302.0
40,2020-03-24,36.7,5,0.0,-,-1.0,0.0,1.0,307.0
41,2020-03-25,38.6,5,1.9,▲,0.0,5.2,0.0,312.0
42,2020-03-26,38.1,6,-0.5,▼,-1.0,-1.3,1.0,318.0
43,2020-03-27,38.1,5,0.0,-,-1.0,0.0,-1.0,323.0
44,2020-03-28,40.0,8,1.9,▲,0.0,5.0,3.0,331.0
45,2020-03-29,38.9,4,-1.1,▼,-1.0,-2.8,-4.0,335.0
46,2020-03-30,38.8,7,-0.1,▼,-2.0,-0.3,3.0,342.0
