,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-01-13,40.8,12,0.0,-,0.0,0.0,0.0,0.0
1,2020-01-14,41.3,17,0.5,▲,1.0,1.2,5.0,17.0
2,2020-01-15,41.1,20,-0.2,▼,0.0,-0.5,3.0,37.0
3,2020-01-16,41.6,26,0.5,▲,1.0,1.2,6.0,63.0
4,2020-01-17,41.7,13,0.1,▲,2.0,0.2,-13.0,76.0
5,2020-01-18,41.2,18,-0.5,▼,1.0,-1.2,5.0,94.0
6,2020-01-19,40.7,24,-0.5,▼,0.0,-1.2,6.0,118.0
7,2020-01-20,41.1,22,0.4,▲,1.0,1.0,-2.0,140.0
8,2020-01-21,42.4,12,1.3,▲,2.0,3.2,-10.0,152.0
9,2020-01-22,42.7,15,0.3,▲,3.0,0.7,3.0,167.0
10,2020-01-23,42.6,7,-0.1,▼,2.0,-0.2,-8.0,174.0
11,2020-01-24,42.6,17,0.0,-,2.0,0.0,10.0,191.0
12,2020-01-25,42.1,19,-0.5,▼,1.0,-1.2,2.0,210.0
13,2020-01-26,40.5,12,-1.6,▼,0.0,-3.8,-7.0,222.0
14,2020-01-27,39.9,13,-0.6,▼,-1.0,-1.5,1.0,235.0
15,2020-01-28,39.7,14,-0.2,▼,-2.0,-0.5,1.0,249.0
16,2020-01-29,38.6,16,-1.1,▼,-3.0,-2.8,2.0,265.0
17,2020-01-30,37.4,12,-1.2,▼,-4.0,-3.1,-4.0,277.0
18,2020-01-31,37.3,23,-0.1,▼,-5.0,-0.3,11.0,300.0
19,2020-02-01,37.5,32,0.2,▲,-4.0,0.5,9.0,332.0
20,2020-02-02,37.8,23,0.3,▲,-3.0,0.8,-9.0,355.0
21,2020-02-03,39.0,17,1.2,▲,-2.0,3.2,-6.0,372.0
22,2020-02-04,40.2,27,1.2,▲,-1.0,3.1,10.0,399.0
23,2020-02-05,40.0,16,-0.2,▼,-2.0,-0.5,-11.0,415.0
24,2020-02-06,40.5,24,0.5,▲,-1.0,1.2,8.0,439.0
25,2020-02-07,41.0,26,0.5,▲,0.0,1.2,2.0,465.0
26,2020-02-08,41.4,22,0.4,▲,1.0,1.0,-4.0,487.0
27,2020-02-09,41.9,23,0.5,▲,2.0,1.2,1.0,510.0
28,2020-02-10,42.0,22,0.1,▲,3.0,0.2,-1.0,532.0
29,2020-02-11,42.0,20,0.0,-,3.0,0.0,-2.0,552.0
30,2020-02-12,41.3,19,-0.7,▼,2.0,-1.7,-1.0,571.0
31,2020-02-13,42.7,16,1.4,▲,3.0,3.4,-3.0,587.0
32,2020-02-14,42.2,27,-0.5,▼,2.0,-1.2,11.0,614.0
33,2020-02-15,44.1,39,1.9,▲,3.0,4.5,12.0,653.0
34,2020-02-16,45.6,36,1.5,▲,4.0,3.4,-3.0,689.0
35,2020-02-17,47.8,18,2.2,▲,5.0,4.8,-18.0,707.0
36,2020-02-18,47.8,13,0.0,-,5.0,0.0,-5.0,720.0
37,2020-02-19,51.6,18,3.8,▲,6.0,7.9,5.0,738.0
38,2020-02-20,50.7,26,-0.9,▼,5.0,-1.7,8.0,764.0
39,2020-02-21,51.7,28,1.0,▲,6.0,2.0,2.0,792.0
40,2020-02-22,52.3,20,0.6,▲,7.0,1.2,-8.0,812.0
41,2020-02-23,52.8,23,0.5,▲,8.0,1.0,3.0,835.0
42,2020-02-24,51.5,16,-1.3,▼,7.0,-2.5,-7.0,851.0
43,2020-02-25,52.4,25,0.9,▲,8.0,1.7,9.0,876.0
44,2020-02-26,50.8,17,-1.6,▼,7.0,-3.1,-8.0,893.0
45,2020-02-27,51.2,14,0.4,▲,8.0,0.8,-3.0,907.0
46,2020-02-28,50.7,16,-0.5,▼,7.0,-1.0,2.0,923.0
