,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-04-27,,1,0.0,-,0.0,0.0,0.0,0.0
1,2020-04-28,,1,,▲,1.0,,0.0,1.0
2,2020-04-29,,1,,▲,2.0,,0.0,2.0
3,2020-05-01,3.8,1,,▲,3.0,,0.0,3.0
4,2020-05-07,3.2,1,-0.6,▼,2.0,-15.8,0.0,4.0
5,2020-05-14,3.6,1,0.4,▲,3.0,12.5,0.0,5.0
6,2020-05-16,3.4,1,-0.2,▼,2.0,-5.6,0.0,6.0
7,2020-05-18,3.4,1,0.0,-,2.0,0.0,0.0,7.0
8,2020-05-20,3.4,1,0.0,-,2.0,0.0,0.0,8.0
9,2020-05-21,3.6,1,0.2,▲,3.0,5.9,0.0,9.0
10,2020-05-22,3.0,1,-0.6,▼,2.0,-16.7,0.0,10.0
11,2020-05-24,3.5,2,0.5,▲,3.0,16.7,1.0,12.0
12,2020-05-25,3.3,1,-0.2,▼,2.0,-5.7,-1.0,13.0
13,2020-05-28,2.9,3,-0.4,▼,1.0,-12.1,2.0,16.0
14,2020-06-01,2.9,2,0.0,-,1.0,0.0,-1.0,18.0
15,2020-06-02,3.3,1,0.4,▲,2.0,13.8,-1.0,19.0
16,2020-06-03,3.4,4,0.1,▲,3.0,3.0,3.0,23.0
17,2020-06-06,4.0,1,0.6,▲,4.0,17.6,-3.0,24.0
18,2020-06-07,4.4,2,0.4,▲,5.0,10.0,1.0,26.0
19,2020-06-14,4.6,2,0.2,▲,6.0,4.5,0.0,28.0
20,2020-06-29,4.8,1,0.2,▲,7.0,4.3,-1.0,29.0
21,2020-07-04,4.8,1,0.0,-,7.0,0.0,0.0,30.0
22,2020-07-06,4.4,1,-0.4,▼,6.0,-8.3,0.0,31.0
23,2020-07-07,4.0,1,-0.4,▼,5.0,-9.1,0.0,32.0
24,2020-07-09,3.8,1,-0.2,▼,4.0,-5.0,0.0,33.0
25,2020-07-11,3.4,1,-0.4,▼,3.0,-10.5,0.0,34.0
26,2020-07-13,3.4,1,0.0,-,3.0,0.0,0.0,35.0
27,2020-07-16,3.4,1,0.0,-,3.0,0.0,0.0,36.0
28,2020-07-20,3.5,3,0.1,▲,4.0,2.9,2.0,39.0
29,2020-07-24,3.3,1,-0.2,▼,3.0,-5.7,-2.0,40.0
30,2020-07-29,3.7,1,0.4,▲,4.0,12.1,0.0,41.0
31,2020-07-31,3.7,1,0.0,-,4.0,0.0,0.0,42.0
32,2020-08-02,4.1,1,0.4,▲,5.0,10.8,0.0,43.0
33,2020-08-03,4.4,1,0.3,▲,6.0,7.3,0.0,44.0
34,2020-08-04,4.6,2,0.2,▲,7.0,4.5,1.0,46.0
35,2020-08-06,4.6,1,0.0,-,7.0,0.0,-1.0,47.0
36,2020-08-07,4.4,1,-0.2,▼,6.0,-4.3,0.0,48.0
37,2020-08-09,4.4,1,0.0,-,6.0,0.0,0.0,49.0
38,2020-08-12,4.0,1,-0.4,▼,5.0,-9.1,0.0,50.0
39,2020-08-13,5.0,1,1.0,▲,6.0,25.0,0.0,51.0
40,2020-08-15,4.8,1,-0.2,▼,5.0,-4.0,0.0,52.0
41,2020-08-18,5.0,1,0.2,▲,6.0,4.2,0.0,53.0
42,2020-08-20,4.7,2,-0.3,▼,5.0,-6.0,1.0,55.0
43,2020-08-24,4.7,1,0.0,-,5.0,0.0,-1.0,56.0
44,2020-08-25,3.7,1,-1.0,▼,4.0,-21.3,0.0,57.0
45,2020-08-28,3.8,2,0.1,▲,5.0,2.7,1.0,59.0
46,2020-08-29,3.8,3,0.0,-,5.0,0.0,1.0,62.0
47,2020-08-31,3.9,1,0.1,▲,6.0,2.6,-2.0,63.0
48,2020-09-01,4.3,2,0.4,▲,7.0,10.3,1.0,65.0
49,2020-09-02,4.7,1,0.4,▲,8.0,9.3,-1.0,66.0
50,2020-09-03,4.8,1,0.1,▲,9.0,2.1,0.0,67.0
51,2020-09-04,4.8,1,0.0,-,9.0,0.0,0.0,68.0
52,2020-09-09,4.8,1,0.0,-,9.0,0.0,0.0,69.0
53,2020-09-20,4.4,1,-0.4,▼,8.0,-8.3,0.0,70.0
54,2020-09-25,4.2,2,-0.2,▼,7.0,-4.5,1.0,72.0
55,2020-09-27,3.8,1,-0.4,▼,6.0,-9.5,-1.0,73.0
56,2020-10-02,3.4,1,-0.4,▼,5.0,-10.5,0.0,74.0
57,2020-10-04,4.0,1,0.6,▲,6.0,17.6,0.0,75.0
58,2020-10-25,4.4,1,0.4,▲,7.0,10.0,0.0,76.0
59,2020-10-31,4.2,1,-0.2,▼,6.0,-4.5,0.0,77.0
60,2020-11-01,4.2,1,0.0,-,6.0,0.0,0.0,78.0
61,2020-11-05,4.6,1,0.4,▲,7.0,9.5,0.0,79.0
62,2020-11-16,4.1,2,-0.5,▼,6.0,-10.9,1.0,81.0
63,2020-11-24,4.1,2,0.0,-,6.0,0.0,0.0,83.0
64,2020-11-28,4.3,1,0.2,▲,7.0,4.9,-1.0,84.0
65,2020-11-29,4.5,1,0.2,▲,8.0,4.7,0.0,85.0
66,2020-12-01,4.3,3,-0.2,▼,7.0,-4.4,2.0,88.0
