,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2021-07-07,,56,0.0,-,0.0,0.0,0.0,0.0
1,2021-07-08,,77,,▲,1.0,,21.0,77.0
2,2021-07-09,,66,,▲,2.0,,-11.0,143.0
3,2021-07-10,,98,,▲,3.0,,32.0,241.0
4,2021-07-11,30.2,87,,▲,4.0,,-11.0,328.0
5,2021-07-12,28.2,101,-2.0,▼,3.0,-6.6,14.0,429.0
6,2021-07-13,27.1,107,-1.1,▼,2.0,-3.9,6.0,536.0
7,2021-07-14,25.4,82,-1.7,▼,1.0,-6.3,-25.0,618.0
8,2021-07-15,23.4,68,-2.0,▼,0.0,-7.9,-14.0,686.0
9,2021-07-16,22.2,88,-1.2,▼,-1.0,-5.1,20.0,774.0
10,2021-07-17,21.5,73,-0.7,▼,-2.0,-3.2,-15.0,847.0
