,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-04-07,8.2,152,0.0,-,0.0,0.0,0.0,0.0
1,2020-04-08,8.6,55,0.4,▲,1.0,4.9,-97.0,55.0
2,2020-04-09,8.7,122,0.1,▲,2.0,1.2,67.0,177.0
3,2020-04-10,8.7,144,0.0,-,2.0,0.0,22.0,321.0
4,2020-04-11,8.7,66,0.0,-,2.0,0.0,-78.0,387.0
5,2020-04-12,8.9,81,0.2,▲,3.0,2.3,15.0,468.0
6,2020-04-13,8.5,106,-0.4,▼,2.0,-4.5,25.0,574.0
7,2020-04-14,7.9,88,-0.6,▼,1.0,-7.1,-18.0,662.0
8,2020-04-15,7.9,117,0.0,-,1.0,0.0,29.0,779.0
9,2020-04-16,8.0,78,0.1,▲,2.0,1.3,-39.0,857.0
10,2020-04-17,7.6,121,-0.4,▼,1.0,-5.0,43.0,978.0
11,2020-04-18,7.8,157,0.2,▲,2.0,2.6,36.0,1135.0
12,2020-04-19,8.4,138,0.6,▲,3.0,7.7,-19.0,1273.0
13,2020-04-20,8.2,67,-0.2,▼,2.0,-2.4,-71.0,1340.0
14,2020-04-21,8.1,61,-0.1,▼,1.0,-1.2,-6.0,1401.0
15,2020-04-22,8.3,46,0.2,▲,2.0,2.5,-15.0,1447.0
16,2020-04-23,8.0,91,-0.3,▼,1.0,-3.6,45.0,1538.0
17,2020-04-24,7.9,130,-0.1,▼,0.0,-1.2,39.0,1668.0
18,2020-04-25,8.0,127,0.1,▲,1.0,1.3,-3.0,1795.0
19,2020-04-26,8.0,47,0.0,-,1.0,0.0,-80.0,1842.0
20,2020-04-27,8.2,76,0.2,▲,2.0,2.5,29.0,1918.0
21,2020-04-28,8.5,133,0.3,▲,3.0,3.7,57.0,2051.0
22,2020-04-29,8.7,82,0.2,▲,4.0,2.4,-51.0,2133.0
23,2020-04-30,9.1,49,0.4,▲,5.0,4.6,-33.0,2182.0
24,2020-05-01,9.2,104,0.1,▲,6.0,1.1,55.0,2286.0
25,2020-05-02,9.4,50,0.2,▲,7.0,2.2,-54.0,2336.0
26,2020-05-03,9.7,140,0.3,▲,8.0,3.2,90.0,2476.0
27,2020-05-04,9.9,68,0.2,▲,9.0,2.1,-72.0,2544.0
28,2020-05-05,9.5,62,-0.4,▼,8.0,-4.0,-6.0,2606.0
29,2020-05-06,9.3,42,-0.2,▼,7.0,-2.1,-20.0,2648.0
30,2020-05-07,8.7,61,-0.6,▼,6.0,-6.5,19.0,2709.0
31,2020-05-08,8.5,89,-0.2,▼,5.0,-2.3,28.0,2798.0
32,2020-05-09,8.5,104,0.0,-,5.0,0.0,15.0,2902.0
33,2020-05-10,8.6,42,0.1,▲,6.0,1.2,-62.0,2944.0
34,2020-05-11,8.7,53,0.1,▲,7.0,1.2,11.0,2997.0
35,2020-05-12,9.0,70,0.3,▲,8.0,3.4,17.0,3067.0
36,2020-05-13,8.8,94,-0.2,▼,7.0,-2.2,24.0,3161.0
37,2020-05-14,8.5,35,-0.3,▼,6.0,-3.4,-59.0,3196.0
38,2020-05-15,8.3,75,-0.2,▼,5.0,-2.4,40.0,3271.0
39,2020-05-16,8.3,44,0.0,-,5.0,0.0,-31.0,3315.0
40,2020-05-17,8.2,94,-0.1,▼,4.0,-1.2,50.0,3409.0
41,2020-05-18,8.4,70,0.2,▲,5.0,2.4,-24.0,3479.0
42,2020-05-19,8.2,54,-0.2,▼,4.0,-2.4,-16.0,3533.0
43,2020-05-20,8.4,91,0.2,▲,5.0,2.4,37.0,3624.0
44,2020-05-21,8.3,43,-0.1,▼,4.0,-1.2,-48.0,3667.0
45,2020-05-22,8.2,88,-0.1,▼,3.0,-1.2,45.0,3755.0
46,2020-05-23,8.1,85,-0.1,▼,2.0,-1.2,-3.0,3840.0
47,2020-05-24,8.3,95,0.2,▲,3.0,2.5,10.0,3935.0
48,2020-05-25,8.1,92,-0.2,▼,2.0,-2.4,-3.0,4027.0
49,2020-05-26,8.1,64,0.0,-,2.0,0.0,-28.0,4091.0
50,2020-05-27,8.3,146,0.2,▲,3.0,2.5,82.0,4237.0
51,2020-05-28,8.2,33,-0.1,▼,2.0,-1.2,-113.0,4270.0
52,2020-05-29,8.1,37,-0.1,▼,1.0,-1.2,4.0,4307.0
53,2020-05-30,8.0,104,-0.1,▼,0.0,-1.2,67.0,4411.0
54,2020-05-31,8.0,30,0.0,-,0.0,0.0,-74.0,4441.0
55,2020-06-01,7.7,83,-0.3,▼,-1.0,-3.8,53.0,4524.0
56,2020-06-02,7.8,137,0.1,▲,0.0,1.3,54.0,4661.0
57,2020-06-03,7.9,63,0.1,▲,1.0,1.3,-74.0,4724.0
58,2020-06-04,8.0,63,0.1,▲,2.0,1.3,0.0,4787.0
59,2020-06-05,7.8,83,-0.2,▼,1.0,-2.5,20.0,4870.0
60,2020-06-06,7.7,62,-0.1,▼,0.0,-1.3,-21.0,4932.0
61,2020-06-07,7.3,35,-0.4,▼,-1.0,-5.2,-27.0,4967.0
62,2020-06-08,7.2,71,-0.1,▼,-2.0,-1.4,36.0,5038.0
63,2020-06-09,7.1,70,-0.1,▼,-3.0,-1.4,-1.0,5108.0
64,2020-06-10,7.2,42,0.1,▲,-2.0,1.4,-28.0,5150.0
65,2020-06-11,7.3,117,0.1,▲,-1.0,1.4,75.0,5267.0
66,2020-06-12,7.5,93,0.2,▲,0.0,2.7,-24.0,5360.0
67,2020-06-13,7.5,235,0.0,-,0.0,0.0,142.0,5595.0
68,2020-06-14,7.6,54,0.1,▲,1.0,1.3,-181.0,5649.0
69,2020-06-15,7.7,105,0.1,▲,2.0,1.3,51.0,5754.0
70,2020-06-16,7.7,97,0.0,-,2.0,0.0,-8.0,5851.0
71,2020-06-17,7.6,92,-0.1,▼,1.0,-1.3,-5.0,5943.0
72,2020-06-18,7.4,68,-0.2,▼,0.0,-2.6,-24.0,6011.0
73,2020-06-19,7.2,158,-0.2,▼,-1.0,-2.7,90.0,6169.0
