,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-08-19,9.6,1,0.0,-,0.0,0.0,0.0,0.0
1,2020-08-20,9.6,2,0.0,-,0.0,0.0,1.0,2.0
2,2020-08-21,9.5,2,-0.1,▼,-1.0,-1.0,0.0,4.0
3,2020-08-22,9.2,4,-0.3,▼,-2.0,-3.2,2.0,8.0
4,2020-08-23,11.2,3,2.0,▲,-1.0,21.7,-1.0,11.0
5,2020-08-24,11.5,3,0.3,▲,0.0,2.7,0.0,14.0
6,2020-08-25,10.5,1,-1.0,▼,-1.0,-8.7,-2.0,15.0
7,2020-08-26,10.4,1,-0.1,▼,-2.0,-1.0,0.0,16.0
8,2020-08-27,11.4,2,1.0,▲,-1.0,9.6,1.0,18.0
9,2020-08-30,9.4,1,-2.0,▼,-2.0,-17.5,-1.0,19.0
10,2020-08-31,9.3,2,-0.1,▼,-3.0,-1.1,1.0,21.0
11,2020-09-02,9.8,4,0.5,▲,-2.0,5.4,2.0,25.0
12,2020-09-03,10.0,4,0.2,▲,-1.0,2.0,0.0,29.0
13,2020-09-04,9.4,2,-0.6,▼,-2.0,-6.0,-2.0,31.0
14,2020-09-05,9.3,2,-0.1,▼,-3.0,-1.1,0.0,33.0
15,2020-09-06,9.2,4,-0.1,▼,-4.0,-1.1,2.0,37.0
16,2020-09-07,9.7,2,0.5,▲,-3.0,5.4,-2.0,39.0
17,2020-09-08,9.7,6,0.0,-,-3.0,0.0,4.0,45.0
18,2020-09-10,9.7,2,0.0,-,-3.0,0.0,-4.0,47.0
19,2020-09-11,9.7,5,0.0,-,-3.0,0.0,3.0,52.0
20,2020-09-13,9.7,6,0.0,-,-3.0,0.0,1.0,58.0
21,2020-09-14,9.7,3,0.0,-,-3.0,0.0,-3.0,61.0
22,2020-09-16,9.5,1,-0.2,▼,-4.0,-2.1,-2.0,62.0
23,2020-09-18,9.4,1,-0.1,▼,-5.0,-1.1,0.0,63.0
24,2020-09-19,9.5,1,0.1,▲,-4.0,1.1,0.0,64.0
25,2020-09-20,9.6,4,0.1,▲,-3.0,1.1,3.0,68.0
26,2020-09-21,9.4,3,-0.2,▼,-4.0,-2.1,-1.0,71.0
27,2020-09-22,10.6,1,1.2,▲,-3.0,12.8,-2.0,72.0
28,2020-09-24,10.8,4,0.2,▲,-2.0,1.9,3.0,76.0
