,datetime,avg_price,volume,day_before,yn_before,lank,day_percent
0,2020-03-24,35.9,23,0.0,-,0.0,0.0
1,2020-03-25,35.9,22,0.0,-,0.0,0.0
2,2020-03-26,35.8,36,-0.1,▼,-1.0,-0.3
3,2020-03-27,35.0,35,-0.8,▼,-2.0,-2.2
4,2020-03-28,35.1,51,0.1,▲,-1.0,0.3
5,2020-03-29,35.1,48,0.0,-,-1.0,0.0
6,2020-03-30,35.0,38,-0.1,▼,-2.0,-0.3
7,2020-03-31,35.0,37,0.0,-,-2.0,0.0
8,2020-04-01,35.7,26,0.7,▲,-1.0,2.0
9,2020-04-02,36.0,55,0.3,▲,0.0,0.8
10,2020-04-03,36.5,66,0.5,▲,1.0,1.4
11,2020-04-04,37.4,44,0.9,▲,2.0,2.5
12,2020-04-05,37.7,48,0.3,▲,3.0,0.8
13,2020-04-06,37.8,79,0.1,▲,4.0,0.3
14,2020-04-07,37.9,69,0.1,▲,5.0,0.3
15,2020-04-08,37.3,45,-0.6,▼,4.0,-1.6
16,2020-04-09,36.7,42,-0.6,▼,3.0,-1.6
17,2020-04-10,35.7,36,-1.0,▼,2.0,-2.7
18,2020-04-11,35.2,53,-0.5,▼,1.0,-1.4
19,2020-04-12,34.8,137,-0.4,▼,0.0,-1.1
20,2020-04-13,34.9,71,0.1,▲,1.0,0.3
21,2020-04-14,34.7,57,-0.2,▼,0.0,-0.6
22,2020-04-15,34.8,54,0.1,▲,1.0,0.3
23,2020-04-16,34.5,77,-0.3,▼,0.0,-0.9
24,2020-04-17,34.5,54,0.0,-,0.0,0.0
25,2020-04-18,34.2,58,-0.3,▼,-1.0,-0.9
26,2020-04-19,33.9,70,-0.3,▼,-2.0,-0.9
27,2020-04-20,33.6,68,-0.3,▼,-3.0,-0.9
28,2020-04-21,33.7,46,0.1,▲,-2.0,0.3
29,2020-04-22,33.3,55,-0.4,▼,-3.0,-1.2
30,2020-04-23,33.3,33,0.0,-,-3.0,0.0
31,2020-04-24,32.6,48,-0.7,▼,-4.0,-2.1
32,2020-04-25,32.7,66,0.1,▲,-3.0,0.3
33,2020-04-26,32.9,47,0.2,▲,-2.0,0.6
34,2020-04-27,32.8,41,-0.1,▼,-3.0,-0.3
35,2020-04-28,32.6,40,-0.2,▼,-4.0,-0.6
36,2020-04-29,33.1,72,0.5,▲,-3.0,1.5
37,2020-04-30,32.5,41,-0.6,▼,-4.0,-1.8
38,2020-05-01,31.5,23,-1.0,▼,-5.0,-3.1
39,2020-05-02,31.1,23,-0.4,▼,-6.0,-1.3
40,2020-05-03,30.6,42,-0.5,▼,-7.0,-1.6
41,2020-05-04,30.1,31,-0.5,▼,-8.0,-1.6
42,2020-05-05,30.1,104,0.0,-,-8.0,0.0
43,2020-05-06,30.1,54,0.0,-,-8.0,0.0
44,2020-05-07,29.8,38,-0.3,▼,-9.0,-1.0
45,2020-05-08,29.8,34,0.0,-,-9.0,0.0
46,2020-05-09,30.0,61,0.2,▲,-8.0,0.7
47,2020-05-10,30.0,68,0.0,-,-8.0,0.0
48,2020-05-11,29.7,45,-0.3,▼,-9.0,-1.0
49,2020-05-12,28.9,61,-0.8,▼,-10.0,-2.7
50,2020-05-13,28.6,31,-0.3,▼,-11.0,-1.0
51,2020-05-14,27.9,30,-0.7,▼,-12.0,-2.4
52,2020-05-15,27.9,58,0.0,-,-12.0,0.0
53,2020-05-16,28.0,49,0.1,▲,-11.0,0.4
54,2020-05-17,28.5,75,0.5,▲,-10.0,1.8
55,2020-05-18,28.6,33,0.1,▲,-9.0,0.4
56,2020-05-19,28.4,16,-0.2,▼,-10.0,-0.7
57,2020-05-20,27.4,38,-1.0,▼,-11.0,-3.5
58,2020-05-21,27.1,23,-0.3,▼,-12.0,-1.1
59,2020-05-22,27.4,24,0.3,▲,-11.0,1.1
60,2020-05-23,27.1,21,-0.3,▼,-12.0,-1.1
61,2020-05-24,27.5,23,0.4,▲,-11.0,1.5
62,2020-05-25,27.4,35,-0.1,▼,-12.0,-0.4
63,2020-05-26,27.4,56,0.0,-,-12.0,0.0
64,2020-05-27,27.3,48,-0.1,▼,-13.0,-0.4
65,2020-05-28,27.3,18,0.0,-,-13.0,0.0
