,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-03-27,,1,0.0,-,0.0,0.0,0.0,0.0
1,2020-04-01,,2,,▲,1.0,,1.0,2.0
2,2020-04-02,,2,,▲,2.0,,0.0,4.0
3,2020-04-06,3.2,2,,▲,3.0,,0.0,6.0
4,2020-04-07,2.9,1,-0.3,▼,2.0,-9.4,-1.0,7.0
5,2020-04-10,3.3,1,0.4,▲,3.0,13.8,0.0,8.0
6,2020-04-20,3.2,2,-0.1,▼,2.0,-3.0,1.0,10.0
7,2020-04-27,3.9,2,0.7,▲,3.0,21.9,0.0,12.0
8,2020-04-28,4.2,1,0.3,▲,4.0,7.7,-1.0,13.0
9,2020-04-30,4.2,1,0.0,-,4.0,0.0,0.0,14.0
10,2020-05-02,4.0,2,-0.2,▼,3.0,-4.8,1.0,16.0
11,2020-05-14,4.5,1,0.5,▲,4.0,12.5,-1.0,17.0
12,2020-05-21,4.2,1,-0.3,▼,3.0,-6.7,0.0,18.0
13,2020-05-23,4.0,1,-0.2,▼,2.0,-4.8,0.0,19.0
14,2020-05-25,4.2,1,0.2,▲,3.0,5.0,0.0,20.0
15,2020-06-11,4.0,1,-0.2,▼,2.0,-4.8,0.0,21.0
16,2020-06-17,4.0,2,0.0,-,2.0,0.0,1.0,23.0
17,2020-06-18,3.7,2,-0.3,▼,1.0,-7.5,0.0,25.0
18,2020-06-22,4.7,2,1.0,▲,2.0,27.0,0.0,27.0
19,2020-06-24,4.3,1,-0.4,▼,1.0,-8.5,-1.0,28.0
20,2020-06-29,4.9,2,0.6,▲,2.0,14.0,1.0,30.0
21,2020-07-05,4.9,1,0.0,-,2.0,0.0,-1.0,31.0
22,2020-07-06,5.0,3,0.1,▲,3.0,2.0,2.0,34.0
23,2020-07-13,3.9,2,-1.1,▼,2.0,-22.0,-1.0,36.0
24,2020-07-19,4.1,2,0.2,▲,3.0,5.1,0.0,38.0
25,2020-07-29,3.7,1,-0.4,▼,2.0,-9.8,-1.0,39.0
26,2020-07-30,3.7,2,0.0,-,2.0,0.0,1.0,41.0
27,2020-07-31,3.5,1,-0.2,▼,1.0,-5.4,-1.0,42.0
28,2020-08-03,3.4,1,-0.1,▼,0.0,-2.9,0.0,43.0
29,2020-08-06,3.5,3,0.1,▲,1.0,2.9,2.0,46.0
30,2020-08-10,3.5,1,0.0,-,1.0,0.0,-2.0,47.0
31,2020-08-11,2.9,1,-0.6,▼,0.0,-17.1,0.0,48.0
32,2020-08-13,3.1,1,0.2,▲,1.0,6.9,0.0,49.0
33,2020-08-14,3.5,1,0.4,▲,2.0,12.9,0.0,50.0
34,2020-08-18,3.4,1,-0.1,▼,1.0,-2.9,0.0,51.0
35,2020-08-20,3.4,1,0.0,-,1.0,0.0,0.0,52.0
36,2020-08-21,3.8,1,0.4,▲,2.0,11.8,0.0,53.0
37,2020-08-22,3.6,1,-0.2,▼,1.0,-5.3,0.0,54.0
38,2020-08-25,3.4,4,-0.2,▼,0.0,-5.6,3.0,58.0
39,2020-08-27,3.8,1,0.4,▲,1.0,11.8,-3.0,59.0
40,2020-08-31,3.8,2,0.0,-,1.0,0.0,1.0,61.0
41,2020-09-05,3.6,1,-0.2,▼,0.0,-5.3,-1.0,62.0
42,2020-09-09,3.6,1,0.0,-,0.0,0.0,0.0,63.0
43,2020-09-11,3.4,3,-0.2,▼,-1.0,-5.6,2.0,66.0
44,2020-09-16,3.4,1,0.0,-,-1.0,0.0,-2.0,67.0
45,2020-09-23,3.8,1,0.4,▲,0.0,11.8,0.0,68.0
46,2020-09-30,3.8,1,0.0,-,0.0,0.0,0.0,69.0
47,2020-10-04,3.6,1,-0.2,▼,-1.0,-5.3,0.0,70.0
48,2020-10-14,3.6,1,0.0,-,-1.0,0.0,0.0,71.0
49,2020-10-18,3.2,2,-0.4,▼,-2.0,-11.1,1.0,73.0
50,2020-10-28,3.2,1,0.0,-,-2.0,0.0,-1.0,74.0
51,2020-11-09,3.4,1,0.2,▲,-1.0,6.2,0.0,75.0
52,2020-11-16,3.8,1,0.4,▲,0.0,11.8,0.0,76.0
53,2020-11-25,4.0,1,0.2,▲,1.0,5.3,0.0,77.0
54,2020-11-27,4.0,1,0.0,-,1.0,0.0,0.0,78.0
55,2020-12-02,4.0,1,0.0,-,1.0,0.0,0.0,79.0
56,2020-12-06,3.5,2,-0.5,▼,0.0,-12.5,1.0,81.0
57,2020-12-21,3.5,1,0.0,-,0.0,0.0,-1.0,82.0
58,2020-12-26,4.7,1,1.2,▲,1.0,34.3,0.0,83.0
59,2021-01-13,4.6,2,-0.1,▼,0.0,-2.1,1.0,85.0
60,2021-01-16,4.0,1,-0.6,▼,-1.0,-13.0,-1.0,86.0
61,2021-01-20,4.3,1,0.3,▲,0.0,7.5,0.0,87.0
62,2021-01-31,4.1,1,-0.2,▼,-1.0,-4.7,0.0,88.0
63,2021-02-01,2.7,1,-1.4,▼,-2.0,-34.1,0.0,89.0
64,2021-02-07,3.2,1,0.5,▲,-1.0,18.5,0.0,90.0
