,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-02-11,67.5,1,0.0,-,0.0,0.0,0.0,0.0
1,2020-02-12,70.5,1,3.0,▲,1.0,4.4,0.0,1.0
2,2020-02-13,68.5,1,-2.0,▼,0.0,-2.8,0.0,2.0
3,2020-02-14,67.3,6,-1.2,▼,-1.0,-1.8,5.0,8.0
4,2020-02-15,65.9,5,-1.4,▼,-2.0,-2.1,-1.0,13.0
5,2020-02-17,64.3,3,-1.6,▼,-3.0,-2.4,-2.0,16.0
6,2020-02-18,60.5,3,-3.8,▼,-4.0,-5.9,0.0,19.0
7,2020-02-19,61.5,2,1.0,▲,-3.0,1.7,-1.0,21.0
8,2020-02-21,62.2,2,0.7,▲,-2.0,1.1,0.0,23.0
9,2020-02-22,64.2,4,2.0,▲,-1.0,3.2,2.0,27.0
10,2020-02-23,62.3,4,-1.9,▼,-2.0,-3.0,0.0,31.0
11,2020-02-24,64.6,2,2.3,▲,-1.0,3.7,-2.0,33.0
12,2020-02-25,66.5,3,1.9,▲,0.0,2.9,1.0,36.0
13,2020-02-26,65.5,2,-1.0,▼,-1.0,-1.5,-1.0,38.0
14,2020-02-27,63.5,4,-2.0,▼,-2.0,-3.1,2.0,42.0
15,2020-02-28,64.4,1,0.9,▲,-1.0,1.4,-3.0,43.0
16,2020-02-29,62.9,3,-1.5,▼,-2.0,-2.3,2.0,46.0
17,2020-03-01,63.8,11,0.9,▲,-1.0,1.4,8.0,57.0
18,2020-03-05,64.8,1,1.0,▲,0.0,1.6,-10.0,58.0
19,2020-03-06,64.2,3,-0.6,▼,-1.0,-0.9,2.0,61.0
20,2020-03-07,65.7,7,1.5,▲,0.0,2.3,4.0,68.0
21,2020-03-08,67.7,3,2.0,▲,1.0,3.0,-4.0,71.0
22,2020-03-09,67.1,3,-0.6,▼,0.0,-0.9,0.0,74.0
23,2020-03-10,69.0,4,1.9,▲,1.0,2.8,1.0,78.0
24,2020-03-11,71.1,7,2.1,▲,2.0,3.0,3.0,85.0
25,2020-03-12,70.6,3,-0.5,▼,1.0,-0.7,-4.0,88.0
26,2020-03-13,71.0,2,0.4,▲,2.0,0.6,-1.0,90.0
27,2020-03-14,68.8,4,-2.2,▼,1.0,-3.1,2.0,94.0
28,2020-03-15,67.8,2,-1.0,▼,0.0,-1.5,-2.0,96.0
29,2020-03-16,68.3,1,0.5,▲,1.0,0.7,-1.0,97.0
30,2020-03-17,69.5,2,1.2,▲,2.0,1.8,1.0,99.0
