,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-08-18,11.1,38,0.0,-,0.0,0.0,0.0,0.0
1,2020-08-19,11.1,41,0.0,-,0.0,0.0,3.0,41.0
2,2020-08-20,11.2,37,0.1,▲,1.0,0.9,-4.0,78.0
3,2020-08-21,11.3,35,0.1,▲,2.0,0.9,-2.0,113.0
4,2020-08-22,11.5,46,0.2,▲,3.0,1.8,11.0,159.0
5,2020-08-23,11.8,62,0.3,▲,4.0,2.6,16.0,221.0
6,2020-08-24,12.4,33,0.6,▲,5.0,5.1,-29.0,254.0
7,2020-08-25,13.0,28,0.6,▲,6.0,4.8,-5.0,282.0
8,2020-08-26,13.1,20,0.1,▲,7.0,0.8,-8.0,302.0
9,2020-08-27,12.6,36,-0.5,▼,6.0,-3.8,16.0,338.0
10,2020-08-28,12.4,33,-0.2,▼,5.0,-1.6,-3.0,371.0
11,2020-08-29,12.0,50,-0.4,▼,4.0,-3.2,17.0,421.0
12,2020-08-30,11.4,46,-0.6,▼,3.0,-5.0,-4.0,467.0
13,2020-08-31,11.0,55,-0.4,▼,2.0,-3.5,9.0,522.0
14,2020-09-01,11.0,28,0.0,-,2.0,0.0,-27.0,550.0
15,2020-09-02,11.0,46,0.0,-,2.0,0.0,18.0,596.0
16,2020-09-03,11.0,49,0.0,-,2.0,0.0,3.0,645.0
17,2020-09-04,11.6,45,0.6,▲,3.0,5.5,-4.0,690.0
18,2020-09-05,11.7,41,0.1,▲,4.0,0.9,-4.0,731.0
19,2020-09-06,11.6,46,-0.1,▼,3.0,-0.9,5.0,777.0
20,2020-09-07,11.7,42,0.1,▲,4.0,0.9,-4.0,819.0
21,2020-09-08,11.9,41,0.2,▲,5.0,1.7,-1.0,860.0
22,2020-09-09,11.4,42,-0.5,▼,4.0,-4.2,1.0,902.0
23,2020-09-10,11.2,27,-0.2,▼,3.0,-1.8,-15.0,929.0
24,2020-09-11,11.1,43,-0.1,▼,2.0,-0.9,16.0,972.0
25,2020-09-12,11.0,59,-0.1,▼,1.0,-0.9,16.0,1031.0
26,2020-09-13,10.8,46,-0.2,▼,0.0,-1.8,-13.0,1077.0
27,2020-09-14,11.3,35,0.5,▲,1.0,4.6,-11.0,1112.0
28,2020-09-15,12.1,43,0.8,▲,2.0,7.1,8.0,1155.0
29,2020-09-16,13.0,31,0.9,▲,3.0,7.4,-12.0,1186.0
30,2020-09-17,13.6,27,0.6,▲,4.0,4.6,-4.0,1213.0
31,2020-09-18,14.3,27,0.7,▲,5.0,5.1,0.0,1240.0
32,2020-09-19,14.5,42,0.2,▲,6.0,1.4,15.0,1282.0
33,2020-09-20,14.7,38,0.2,▲,7.0,1.4,-4.0,1320.0
34,2020-09-21,14.8,26,0.1,▲,8.0,0.7,-12.0,1346.0
35,2020-09-22,14.7,32,-0.1,▼,7.0,-0.7,6.0,1378.0
36,2020-09-23,14.2,30,-0.5,▼,6.0,-3.4,-2.0,1408.0
37,2020-09-24,14.4,14,0.2,▲,7.0,1.4,-16.0,1422.0
38,2020-09-25,14.3,27,-0.1,▼,6.0,-0.7,13.0,1449.0
39,2020-09-26,14.0,29,-0.3,▼,5.0,-2.1,2.0,1478.0
40,2020-09-27,13.9,28,-0.1,▼,4.0,-0.7,-1.0,1506.0
41,2020-09-28,14.2,25,0.3,▲,5.0,2.2,-3.0,1531.0
42,2020-09-29,14.0,14,-0.2,▼,4.0,-1.4,-11.0,1545.0
43,2020-09-30,13.6,19,-0.4,▼,3.0,-2.9,5.0,1564.0
44,2020-10-01,13.3,25,-0.3,▼,2.0,-2.2,6.0,1589.0
45,2020-10-02,13.2,18,-0.1,▼,1.0,-0.8,-7.0,1607.0
46,2020-10-03,12.7,21,-0.5,▼,0.0,-3.8,3.0,1628.0
47,2020-10-04,11.8,17,-0.9,▼,-1.0,-7.1,-4.0,1645.0
48,2020-10-05,11.1,24,-0.7,▼,-2.0,-5.9,7.0,1669.0
49,2020-10-06,10.5,16,-0.6,▼,-3.0,-5.4,-8.0,1685.0
50,2020-10-07,9.9,27,-0.6,▼,-4.0,-5.7,11.0,1712.0
51,2020-10-08,9.7,22,-0.2,▼,-5.0,-2.0,-5.0,1734.0
52,2020-10-09,10.0,13,0.3,▲,-4.0,3.1,-9.0,1747.0
53,2020-10-10,10.3,26,0.3,▲,-3.0,3.0,13.0,1773.0
54,2020-10-11,10.5,33,0.2,▲,-2.0,1.9,7.0,1806.0
55,2020-10-12,10.2,23,-0.3,▼,-3.0,-2.9,-10.0,1829.0
56,2020-10-13,9.8,13,-0.4,▼,-4.0,-3.9,-10.0,1842.0
57,2020-10-14,9.3,21,-0.5,▼,-5.0,-5.1,8.0,1863.0
58,2020-10-15,9.1,17,-0.2,▼,-6.0,-2.2,-4.0,1880.0
59,2020-10-16,8.9,28,-0.2,▼,-7.0,-2.2,11.0,1908.0
60,2020-10-17,8.9,30,0.0,-,-7.0,0.0,2.0,1938.0
61,2020-10-18,8.7,25,-0.2,▼,-8.0,-2.2,-5.0,1963.0
62,2020-10-19,8.8,19,0.1,▲,-7.0,1.1,-6.0,1982.0
63,2020-10-20,8.9,31,0.1,▲,-6.0,1.1,12.0,2013.0
64,2020-10-21,9.1,18,0.2,▲,-5.0,2.2,-13.0,2031.0
65,2020-10-22,9.2,17,0.1,▲,-4.0,1.1,-1.0,2048.0
66,2020-10-23,9.3,19,0.1,▲,-3.0,1.1,2.0,2067.0
67,2020-10-24,9.5,34,0.2,▲,-2.0,2.2,15.0,2101.0
68,2020-10-25,9.8,22,0.3,▲,-1.0,3.2,-12.0,2123.0
69,2020-10-26,9.9,21,0.1,▲,0.0,1.0,-1.0,2144.0
70,2020-10-27,10.5,21,0.6,▲,1.0,6.1,0.0,2165.0
71,2020-10-28,10.6,17,0.1,▲,2.0,1.0,-4.0,2182.0
72,2020-10-29,11.0,16,0.4,▲,3.0,3.8,-1.0,2198.0
73,2020-10-30,11.5,35,0.5,▲,4.0,4.5,19.0,2233.0
74,2020-10-31,11.4,17,-0.1,▼,3.0,-0.9,-18.0,2250.0
75,2020-11-01,11.3,40,-0.1,▼,2.0,-0.9,23.0,2290.0
76,2020-11-02,12.4,27,1.1,▲,3.0,9.7,-13.0,2317.0
77,2020-11-03,12.2,35,-0.2,▼,2.0,-1.6,8.0,2352.0
78,2020-11-04,12.2,30,0.0,-,2.0,0.0,-5.0,2382.0
79,2020-11-05,12.6,14,0.4,▲,3.0,3.3,-16.0,2396.0
80,2020-11-06,12.9,23,0.3,▲,4.0,2.4,9.0,2419.0
81,2020-11-07,12.6,25,-0.3,▼,3.0,-2.3,2.0,2444.0
82,2020-11-08,12.6,30,0.0,-,3.0,0.0,5.0,2474.0
83,2020-11-09,12.3,16,-0.3,▼,2.0,-2.4,-14.0,2490.0
84,2020-11-10,12.7,11,0.4,▲,3.0,3.3,-5.0,2501.0
85,2020-11-11,12.5,13,-0.2,▼,2.0,-1.6,2.0,2514.0
86,2020-11-12,12.8,19,0.3,▲,3.0,2.4,6.0,2533.0
87,2020-11-13,12.7,14,-0.1,▼,2.0,-0.8,-5.0,2547.0
88,2020-11-14,13.1,12,0.4,▲,3.0,3.1,-2.0,2559.0
89,2020-11-15,12.6,24,-0.5,▼,2.0,-3.8,12.0,2583.0
90,2020-11-16,12.5,26,-0.1,▼,1.0,-0.8,2.0,2609.0
91,2020-11-17,12.3,29,-0.2,▼,0.0,-1.6,3.0,2638.0
92,2020-11-18,12.5,23,0.2,▲,1.0,1.6,-6.0,2661.0
93,2020-11-19,11.8,19,-0.7,▼,0.0,-5.6,-4.0,2680.0
94,2020-11-20,12.4,21,0.6,▲,1.0,5.1,2.0,2701.0
95,2020-11-21,12.4,17,0.0,-,1.0,0.0,-4.0,2718.0
96,2020-11-22,11.9,21,-0.5,▼,0.0,-4.0,4.0,2739.0
97,2020-11-23,11.2,12,-0.7,▼,-1.0,-5.9,-9.0,2751.0
98,2020-11-24,10.9,10,-0.3,▼,-2.0,-2.7,-2.0,2761.0
99,2020-11-25,9.7,12,-1.2,▼,-3.0,-11.0,2.0,2773.0
100,2020-11-26,9.4,14,-0.3,▼,-4.0,-3.1,2.0,2787.0
101,2020-11-27,9.3,18,-0.1,▼,-5.0,-1.1,4.0,2805.0
102,2020-11-28,9.1,15,-0.2,▼,-6.0,-2.2,-3.0,2820.0
103,2020-11-29,9.1,20,0.0,-,-6.0,0.0,5.0,2840.0
104,2020-11-30,9.3,15,0.2,▲,-5.0,2.2,-5.0,2855.0
105,2020-12-01,9.7,15,0.4,▲,-4.0,4.3,0.0,2870.0
106,2020-12-02,9.8,17,0.1,▲,-3.0,1.0,2.0,2887.0
107,2020-12-03,10.3,13,0.5,▲,-2.0,5.1,-4.0,2900.0
108,2020-12-04,10.3,6,0.0,-,-2.0,0.0,-7.0,2906.0
109,2020-12-05,10.2,14,-0.1,▼,-3.0,-1.0,8.0,2920.0
110,2020-12-06,9.6,17,-0.6,▼,-4.0,-5.9,3.0,2937.0
111,2020-12-07,9.1,13,-0.5,▼,-5.0,-5.2,-4.0,2950.0
112,2020-12-08,10.0,16,0.9,▲,-4.0,9.9,3.0,2966.0
113,2020-12-09,10.1,18,0.1,▲,-3.0,1.0,2.0,2984.0
114,2020-12-10,10.4,9,0.3,▲,-2.0,3.0,-9.0,2993.0
115,2020-12-11,10.7,9,0.3,▲,-1.0,2.9,0.0,3002.0
116,2020-12-12,11.1,11,0.4,▲,0.0,3.7,2.0,3013.0
117,2020-12-13,10.1,11,-1.0,▼,-1.0,-9.0,0.0,3024.0
118,2020-12-14,10.1,25,0.0,-,-1.0,0.0,14.0,3049.0
119,2020-12-15,10.7,19,0.6,▲,0.0,5.9,-6.0,3068.0
120,2020-12-16,10.8,30,0.1,▲,1.0,0.9,11.0,3098.0
121,2020-12-17,10.6,20,-0.2,▼,0.0,-1.9,-10.0,3118.0
122,2020-12-18,10.5,18,-0.1,▼,-1.0,-0.9,-2.0,3136.0
123,2020-12-19,10.5,12,0.0,-,-1.0,0.0,-6.0,3148.0
124,2020-12-20,9.6,16,-0.9,▼,-2.0,-8.6,4.0,3164.0
125,2020-12-21,9.3,19,-0.3,▼,-3.0,-3.1,3.0,3183.0
126,2020-12-22,9.4,17,0.1,▲,-2.0,1.1,-2.0,3200.0
127,2020-12-23,9.8,22,0.4,▲,-1.0,4.3,5.0,3222.0
128,2020-12-24,10.1,17,0.3,▲,0.0,3.1,-5.0,3239.0
129,2020-12-25,10.4,8,0.3,▲,1.0,3.0,-9.0,3247.0
130,2020-12-26,10.8,24,0.4,▲,2.0,3.8,16.0,3271.0
131,2020-12-27,11.1,30,0.3,▲,3.0,2.8,6.0,3301.0
132,2020-12-28,11.3,16,0.2,▲,4.0,1.8,-14.0,3317.0
133,2020-12-29,11.1,19,-0.2,▼,3.0,-1.8,3.0,3336.0
134,2020-12-30,11.8,18,0.7,▲,4.0,6.3,-1.0,3354.0
135,2020-12-31,12.2,12,0.4,▲,5.0,3.4,-6.0,3366.0
136,2021-01-01,12.5,20,0.3,▲,6.0,2.5,8.0,3386.0
137,2021-01-02,12.5,31,0.0,-,6.0,0.0,11.0,3417.0
138,2021-01-03,13.1,17,0.6,▲,7.0,4.8,-14.0,3434.0
139,2021-01-04,12.7,26,-0.4,▼,6.0,-3.1,9.0,3460.0
140,2021-01-05,12.7,15,0.0,-,6.0,0.0,-11.0,3475.0
141,2021-01-06,13.1,22,0.4,▲,7.0,3.1,7.0,3497.0
142,2021-01-07,13.2,12,0.1,▲,8.0,0.8,-10.0,3509.0
