,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-01-13,12.4,4,0.0,-,0.0,0.0,0.0,0.0
1,2020-01-14,12.0,1,-0.4,▼,-1.0,-3.2,-3.0,1.0
2,2020-01-15,12.4,2,0.4,▲,0.0,3.3,1.0,3.0
3,2020-01-16,12.2,4,-0.2,▼,-1.0,-1.6,2.0,7.0
4,2020-01-17,12.2,3,0.0,-,-1.0,0.0,-1.0,10.0
5,2020-01-18,11.7,3,-0.5,▼,-2.0,-4.1,0.0,13.0
6,2020-01-19,12.5,6,0.8,▲,-1.0,6.8,3.0,19.0
7,2020-01-20,12.4,2,-0.1,▼,-2.0,-0.8,-4.0,21.0
8,2020-01-21,12.6,4,0.2,▲,-1.0,1.6,2.0,25.0
9,2020-01-22,12.9,5,0.3,▲,0.0,2.4,1.0,30.0
10,2020-01-23,13.6,13,0.7,▲,1.0,5.4,8.0,43.0
11,2020-01-24,13.3,3,-0.3,▼,0.0,-2.2,-10.0,46.0
12,2020-01-25,13.4,4,0.1,▲,1.0,0.8,1.0,50.0
13,2020-01-26,13.0,3,-0.4,▼,0.0,-3.0,-1.0,53.0
14,2020-01-27,13.6,1,0.6,▲,1.0,4.6,-2.0,54.0
15,2020-01-29,13.9,2,0.3,▲,2.0,2.2,1.0,56.0
16,2020-01-30,15.2,5,1.3,▲,3.0,9.4,3.0,61.0
17,2020-01-31,14.8,4,-0.4,▼,2.0,-2.6,-1.0,65.0
18,2020-02-01,15.3,7,0.5,▲,3.0,3.4,3.0,72.0
19,2020-02-02,14.8,9,-0.5,▼,2.0,-3.3,2.0,81.0
20,2020-02-03,14.4,5,-0.4,▼,1.0,-2.7,-4.0,86.0
21,2020-02-04,13.4,3,-1.0,▼,0.0,-6.9,-2.0,89.0
22,2020-02-05,13.5,1,0.1,▲,1.0,0.7,-2.0,90.0
23,2020-02-06,13.1,1,-0.4,▼,0.0,-3.0,0.0,91.0
24,2020-02-07,13.2,1,0.1,▲,1.0,0.8,0.0,92.0
25,2020-02-08,12.9,5,-0.3,▼,0.0,-2.3,4.0,97.0
26,2020-02-09,12.6,4,-0.3,▼,-1.0,-2.3,-1.0,101.0
27,2020-02-10,13.0,2,0.4,▲,0.0,3.2,-2.0,103.0
28,2020-02-11,14.0,1,1.0,▲,1.0,7.7,-1.0,104.0
29,2020-02-13,13.4,1,-0.6,▼,0.0,-4.3,0.0,105.0
30,2020-02-14,13.8,3,0.4,▲,1.0,3.0,2.0,108.0
31,2020-02-15,14.1,7,0.3,▲,2.0,2.2,4.0,115.0
32,2020-02-16,15.2,9,1.1,▲,3.0,7.8,2.0,124.0
33,2020-02-17,15.0,10,-0.2,▼,2.0,-1.3,1.0,134.0
34,2020-02-18,14.5,3,-0.5,▼,1.0,-3.3,-7.0,137.0
35,2020-02-19,14.5,3,0.0,-,1.0,0.0,0.0,140.0
36,2020-02-20,15.4,3,0.9,▲,2.0,6.2,0.0,143.0
37,2020-02-21,14.5,2,-0.9,▼,1.0,-5.8,-1.0,145.0
38,2020-02-22,15.5,7,1.0,▲,2.0,6.9,5.0,152.0
39,2020-02-23,16.3,7,0.8,▲,3.0,5.2,0.0,159.0
40,2020-02-24,16.4,3,0.1,▲,4.0,0.6,-4.0,162.0
41,2020-02-25,16.7,3,0.3,▲,5.0,1.8,0.0,165.0
