,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-10-29,191.0,16,0.0,-,0.0,0.0,0.0,0.0
1,2020-10-30,192.4,18,1.4,▲,1.0,0.7,2.0,18.0
2,2020-10-31,193.3,25,0.9,▲,2.0,0.5,7.0,43.0
3,2020-11-01,193.3,14,0.0,-,2.0,0.0,-11.0,57.0
4,2020-11-02,193.6,9,0.3,▲,3.0,0.2,-5.0,66.0
5,2020-11-03,193.6,9,0.0,-,3.0,0.0,0.0,75.0
6,2020-11-04,193.2,13,-0.4,▼,2.0,-0.2,4.0,88.0
7,2020-11-05,191.8,10,-1.4,▼,1.0,-0.7,-3.0,98.0
8,2020-11-06,189.8,14,-2.0,▼,0.0,-1.0,4.0,112.0
9,2020-11-07,189.0,14,-0.8,▼,-1.0,-0.4,0.0,126.0
10,2020-11-08,189.9,26,0.9,▲,0.0,0.5,12.0,152.0
11,2020-11-09,190.9,9,1.0,▲,1.0,0.5,-17.0,161.0
12,2020-11-10,191.4,17,0.5,▲,2.0,0.3,8.0,178.0
13,2020-11-11,193.9,10,2.5,▲,3.0,1.3,-7.0,188.0
14,2020-11-12,191.9,15,-2.0,▼,2.0,-1.0,5.0,203.0
15,2020-11-13,191.0,11,-0.9,▼,1.0,-0.5,-4.0,214.0
16,2020-11-14,189.5,14,-1.5,▼,0.0,-0.8,3.0,228.0
17,2020-11-15,187.4,14,-2.1,▼,-1.0,-1.1,0.0,242.0
18,2020-11-16,186.9,20,-0.5,▼,-2.0,-0.3,6.0,262.0
19,2020-11-17,188.8,3,1.9,▲,-1.0,1.0,-17.0,265.0
20,2020-11-18,186.8,13,-2.0,▼,-2.0,-1.1,10.0,278.0
21,2020-11-19,185.8,10,-1.0,▼,-3.0,-0.5,-3.0,288.0
22,2020-11-20,183.9,18,-1.9,▼,-4.0,-1.0,8.0,306.0
23,2020-11-21,178.9,13,-5.0,▼,-5.0,-2.7,-5.0,319.0
24,2020-11-22,175.5,17,-3.4,▼,-6.0,-1.9,4.0,336.0
25,2020-11-23,172.0,25,-3.5,▼,-7.0,-2.0,8.0,361.0
26,2020-11-24,172.5,9,0.5,▲,-6.0,0.3,-16.0,370.0
27,2020-11-25,173.5,12,1.0,▲,-5.0,0.6,3.0,382.0
28,2020-11-26,176.0,12,2.5,▲,-4.0,1.4,0.0,394.0
29,2020-11-27,178.5,7,2.5,▲,-3.0,1.4,-5.0,401.0
30,2020-11-28,182.0,15,3.5,▲,-2.0,2.0,8.0,416.0
31,2020-11-29,180.5,7,-1.5,▼,-3.0,-0.8,-8.0,423.0
32,2020-11-30,181.0,11,0.5,▲,-2.0,0.3,4.0,434.0
