,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-08-18,5.1,2,0.0,-,0.0,0.0,0.0,0.0
1,2020-08-19,5.2,3,0.1,▲,1.0,2.0,1.0,3.0
2,2020-08-20,4.9,11,-0.3,▼,0.0,-5.8,8.0,14.0
3,2020-08-21,4.9,4,0.0,-,0.0,0.0,-7.0,18.0
4,2020-08-22,5.3,5,0.4,▲,1.0,8.2,1.0,23.0
5,2020-08-23,5.5,7,0.2,▲,2.0,3.8,2.0,30.0
6,2020-08-24,5.3,9,-0.2,▼,1.0,-3.6,2.0,39.0
7,2020-08-25,5.5,7,0.2,▲,2.0,3.8,-2.0,46.0
8,2020-08-26,5.3,7,-0.2,▼,1.0,-3.6,0.0,53.0
9,2020-08-27,5.1,4,-0.2,▼,0.0,-3.8,-3.0,57.0
10,2020-08-28,5.1,7,0.0,-,0.0,0.0,3.0,64.0
11,2020-08-29,5.7,5,0.6,▲,1.0,11.8,-2.0,69.0
12,2020-08-31,5.8,7,0.1,▲,2.0,1.8,2.0,76.0
13,2020-09-01,5.9,4,0.1,▲,3.0,1.7,-3.0,80.0
14,2020-09-02,6.2,13,0.3,▲,4.0,5.1,9.0,93.0
15,2020-09-03,6.0,4,-0.2,▼,3.0,-3.2,-9.0,97.0
16,2020-09-04,5.6,5,-0.4,▼,2.0,-6.7,1.0,102.0
17,2020-09-05,5.7,6,0.1,▲,3.0,1.8,1.0,108.0
18,2020-09-06,6.3,7,0.6,▲,4.0,10.5,1.0,115.0
19,2020-09-07,6.3,8,0.0,-,4.0,0.0,1.0,123.0
20,2020-09-08,6.5,6,0.2,▲,5.0,3.2,-2.0,129.0
21,2020-09-09,6.9,7,0.4,▲,6.0,6.2,1.0,136.0
22,2020-09-10,6.6,7,-0.3,▼,5.0,-4.3,0.0,143.0
23,2020-09-11,6.4,4,-0.2,▼,4.0,-3.0,-3.0,147.0
24,2020-09-12,6.4,9,0.0,-,4.0,0.0,5.0,156.0
25,2020-09-13,6.2,6,-0.2,▼,3.0,-3.1,-3.0,162.0
26,2020-09-14,6.0,7,-0.2,▼,2.0,-3.2,1.0,169.0
27,2020-09-15,6.3,7,0.3,▲,3.0,5.0,0.0,176.0
28,2020-09-16,6.2,6,-0.1,▼,2.0,-1.6,-1.0,182.0
29,2020-09-17,5.7,5,-0.5,▼,1.0,-8.1,-1.0,187.0
30,2020-09-18,5.6,4,-0.1,▼,0.0,-1.8,-1.0,191.0
31,2020-09-19,5.3,5,-0.3,▼,-1.0,-5.4,1.0,196.0
32,2020-09-20,5.4,5,0.1,▲,0.0,1.9,0.0,201.0
33,2020-09-21,5.2,7,-0.2,▼,-1.0,-3.7,2.0,208.0
34,2020-09-22,5.4,2,0.2,▲,0.0,3.8,-5.0,210.0
35,2020-09-23,5.4,5,0.0,-,0.0,0.0,3.0,215.0
36,2020-09-24,5.6,8,0.2,▲,1.0,3.7,3.0,223.0
37,2020-09-25,5.6,3,0.0,-,1.0,0.0,-5.0,226.0
38,2020-09-26,5.9,7,0.3,▲,2.0,5.4,4.0,233.0
39,2020-09-27,6.0,6,0.1,▲,3.0,1.7,-1.0,239.0
40,2020-09-28,5.9,6,-0.1,▼,2.0,-1.7,0.0,245.0
41,2020-09-29,5.8,7,-0.1,▼,1.0,-1.7,1.0,252.0
42,2020-09-30,5.4,4,-0.4,▼,0.0,-6.9,-3.0,256.0
43,2020-10-01,5.4,4,0.0,-,0.0,0.0,0.0,260.0
44,2020-10-02,5.1,6,-0.3,▼,-1.0,-5.6,2.0,266.0
45,2020-10-03,5.3,5,0.2,▲,0.0,3.9,-1.0,271.0
46,2020-10-04,5.3,5,0.0,-,0.0,0.0,0.0,276.0
47,2020-10-05,5.4,5,0.1,▲,1.0,1.9,0.0,281.0
48,2020-10-06,5.5,6,0.1,▲,2.0,1.9,1.0,287.0
49,2020-10-07,5.4,1,-0.1,▼,1.0,-1.8,-5.0,288.0
50,2020-10-08,5.6,6,0.2,▲,2.0,3.7,5.0,294.0
51,2020-10-09,5.7,5,0.1,▲,3.0,1.8,-1.0,299.0
52,2020-10-10,5.8,10,0.1,▲,4.0,1.8,5.0,309.0
53,2020-10-11,6.0,3,0.2,▲,5.0,3.4,-7.0,312.0
54,2020-10-12,6.5,3,0.5,▲,6.0,8.3,0.0,315.0
55,2020-10-13,6.4,2,-0.1,▼,5.0,-1.5,-1.0,317.0
56,2020-10-14,6.5,6,0.1,▲,6.0,1.6,4.0,323.0
57,2020-10-15,6.2,2,-0.3,▼,5.0,-4.6,-4.0,325.0
58,2020-10-16,5.7,3,-0.5,▼,4.0,-8.1,1.0,328.0
59,2020-10-17,5.6,5,-0.1,▼,3.0,-1.8,2.0,333.0
60,2020-10-18,5.6,2,0.0,-,3.0,0.0,-3.0,335.0
61,2020-10-20,5.3,1,-0.3,▼,2.0,-5.4,-1.0,336.0
62,2020-10-22,5.5,3,0.2,▲,3.0,3.8,2.0,339.0
63,2020-10-23,5.3,3,-0.2,▼,2.0,-3.6,0.0,342.0
64,2020-10-24,5.1,4,-0.2,▼,1.0,-3.8,1.0,346.0
65,2020-10-25,5.0,6,-0.1,▼,0.0,-2.0,2.0,352.0
66,2020-10-27,5.2,2,0.2,▲,1.0,4.0,-4.0,354.0
67,2020-10-28,5.0,3,-0.2,▼,0.0,-3.8,1.0,357.0
68,2020-10-29,5.5,4,0.5,▲,1.0,10.0,1.0,361.0
69,2020-10-30,5.4,2,-0.1,▼,0.0,-1.8,-2.0,363.0
70,2020-10-31,5.3,4,-0.1,▼,-1.0,-1.9,2.0,367.0
71,2020-11-01,5.3,10,0.0,-,-1.0,0.0,6.0,377.0
72,2020-11-02,5.6,3,0.3,▲,0.0,5.7,-7.0,380.0
73,2020-11-03,5.1,5,-0.5,▼,-1.0,-8.9,2.0,385.0
74,2020-11-04,5.4,3,0.3,▲,0.0,5.9,-2.0,388.0
75,2020-11-05,5.5,2,0.1,▲,1.0,1.9,-1.0,390.0
76,2020-11-06,5.4,4,-0.1,▼,0.0,-1.8,2.0,394.0
77,2020-11-07,5.1,4,-0.3,▼,-1.0,-5.6,0.0,398.0
78,2020-11-08,5.3,5,0.2,▲,0.0,3.9,1.0,403.0
79,2020-11-09,5.5,1,0.2,▲,1.0,3.8,-4.0,404.0
80,2020-11-10,5.8,3,0.3,▲,2.0,5.5,2.0,407.0
81,2020-11-11,5.8,4,0.0,-,2.0,0.0,1.0,411.0
82,2020-11-12,5.8,5,0.0,-,2.0,0.0,1.0,416.0
83,2020-11-13,5.6,5,-0.2,▼,1.0,-3.4,0.0,421.0
84,2020-11-14,5.3,5,-0.3,▼,0.0,-5.4,0.0,426.0
85,2020-11-15,5.4,1,0.1,▲,1.0,1.9,-4.0,427.0
86,2020-11-16,5.2,4,-0.2,▼,0.0,-3.7,3.0,431.0
87,2020-11-17,5.2,3,0.0,-,0.0,0.0,-1.0,434.0
88,2020-11-18,5.2,3,0.0,-,0.0,0.0,0.0,437.0
89,2020-11-19,4.9,1,-0.3,▼,-1.0,-5.8,-2.0,438.0
90,2020-11-20,4.5,2,-0.4,▼,-2.0,-8.2,1.0,440.0
91,2020-11-21,4.6,6,0.1,▲,-1.0,2.2,4.0,446.0
92,2020-11-22,4.5,3,-0.1,▼,-2.0,-2.2,-3.0,449.0
93,2020-11-23,4.6,3,0.1,▲,-1.0,2.2,0.0,452.0
94,2020-11-24,5.0,4,0.4,▲,0.0,8.7,1.0,456.0
95,2020-11-25,5.1,7,0.1,▲,1.0,2.0,3.0,463.0
96,2020-11-26,5.3,3,0.2,▲,2.0,3.9,-4.0,466.0
97,2020-11-27,5.4,4,0.1,▲,3.0,1.9,1.0,470.0
98,2020-11-28,5.7,2,0.3,▲,4.0,5.6,-2.0,472.0
99,2020-11-29,5.9,5,0.2,▲,5.0,3.5,3.0,477.0
100,2020-11-30,5.7,3,-0.2,▼,4.0,-3.4,-2.0,480.0
101,2020-12-01,6.5,2,0.8,▲,5.0,14.0,-1.0,482.0
102,2020-12-02,6.6,2,0.1,▲,6.0,1.5,0.0,484.0
103,2020-12-03,6.2,4,-0.4,▼,5.0,-6.1,2.0,488.0
104,2020-12-04,5.8,1,-0.4,▼,4.0,-6.5,-3.0,489.0
105,2020-12-05,6.0,7,0.2,▲,5.0,3.4,6.0,496.0
106,2020-12-06,5.3,3,-0.7,▼,4.0,-11.7,-4.0,499.0
107,2020-12-07,5.5,2,0.2,▲,5.0,3.8,-1.0,501.0
108,2020-12-08,5.8,2,0.3,▲,6.0,5.5,0.0,503.0
109,2020-12-09,6.1,5,0.3,▲,7.0,5.2,3.0,508.0
110,2020-12-10,6.0,2,-0.1,▼,6.0,-1.6,-3.0,510.0
111,2020-12-11,5.7,1,-0.3,▼,5.0,-5.0,-1.0,511.0
112,2020-12-12,5.4,2,-0.3,▼,4.0,-5.3,1.0,513.0
113,2020-12-13,5.2,4,-0.2,▼,3.0,-3.7,2.0,517.0
114,2020-12-14,5.1,4,-0.1,▼,2.0,-1.9,0.0,521.0
115,2020-12-15,5.2,5,0.1,▲,3.0,2.0,1.0,526.0
116,2020-12-16,5.3,4,0.1,▲,4.0,1.9,-1.0,530.0
117,2020-12-17,5.6,5,0.3,▲,5.0,5.7,1.0,535.0
118,2020-12-18,5.8,2,0.2,▲,6.0,3.6,-3.0,537.0
119,2020-12-19,5.7,2,-0.1,▼,5.0,-1.7,0.0,539.0
120,2020-12-20,5.7,7,0.0,-,5.0,0.0,5.0,546.0
121,2020-12-21,5.7,3,0.0,-,5.0,0.0,-4.0,549.0
122,2020-12-22,5.6,10,-0.1,▼,4.0,-1.8,7.0,559.0
123,2020-12-23,5.7,7,0.1,▲,5.0,1.8,-3.0,566.0
124,2020-12-24,6.1,8,0.4,▲,6.0,7.0,1.0,574.0
125,2020-12-25,6.3,5,0.2,▲,7.0,3.3,-3.0,579.0
126,2020-12-26,6.3,7,0.0,-,7.0,0.0,2.0,586.0
127,2020-12-27,6.2,7,-0.1,▼,6.0,-1.6,0.0,593.0
128,2020-12-28,6.3,4,0.1,▲,7.0,1.6,-3.0,597.0
129,2020-12-29,5.8,6,-0.5,▼,6.0,-7.9,2.0,603.0
130,2020-12-30,5.4,4,-0.4,▼,5.0,-6.9,-2.0,607.0
131,2020-12-31,5.2,5,-0.2,▼,4.0,-3.7,1.0,612.0
132,2021-01-01,5.4,1,0.2,▲,5.0,3.8,-4.0,613.0
133,2021-01-02,5.0,7,-0.4,▼,4.0,-7.4,6.0,620.0
134,2021-01-03,5.0,3,0.0,-,4.0,0.0,-4.0,623.0
135,2021-01-04,5.2,5,0.2,▲,5.0,4.0,2.0,628.0
136,2021-01-05,5.6,3,0.4,▲,6.0,7.7,-2.0,631.0
137,2021-01-06,5.5,3,-0.1,▼,5.0,-1.8,0.0,634.0
138,2021-01-07,5.5,5,0.0,-,5.0,0.0,2.0,639.0
139,2021-01-08,5.5,1,0.0,-,5.0,0.0,-4.0,640.0
140,2021-01-09,5.4,7,-0.1,▼,4.0,-1.8,6.0,647.0
141,2021-01-10,5.2,4,-0.2,▼,3.0,-3.7,-3.0,651.0
142,2021-01-11,5.3,2,0.1,▲,4.0,1.9,-2.0,653.0
143,2021-01-12,5.3,1,0.0,-,4.0,0.0,-1.0,654.0
144,2021-01-13,5.3,1,0.0,-,4.0,0.0,0.0,655.0
