,datetime,avg_price,volume,day_before,yn_before,lank,day_percent
0,2020-01-13,26.2,18,0.0,-,0.0,0.0
1,2020-01-14,26.4,23,0.2,▲,1.0,0.8
2,2020-01-15,26.4,11,0.0,-,1.0,0.0
3,2020-01-16,27.3,13,0.9,▲,2.0,3.4
4,2020-01-17,27.8,15,0.5,▲,3.0,1.8
5,2020-01-18,28.1,17,0.3,▲,4.0,1.1
6,2020-01-19,27.9,25,-0.2,▼,3.0,-0.7
7,2020-01-20,27.7,22,-0.2,▼,2.0,-0.7
8,2020-01-21,27.5,24,-0.2,▼,1.0,-0.7
9,2020-01-22,28.0,20,0.5,▲,2.0,1.8
10,2020-01-23,29.2,19,1.2,▲,3.0,4.3
11,2020-01-24,29.5,14,0.3,▲,4.0,1.0
12,2020-01-25,29.8,24,0.3,▲,5.0,1.0
13,2020-01-26,31.0,10,1.2,▲,6.0,4.0
14,2020-01-27,31.5,11,0.5,▲,7.0,1.6
15,2020-01-28,31.2,8,-0.3,▼,6.0,-1.0
16,2020-01-29,32.2,12,1.0,▲,7.0,3.2
17,2020-01-30,32.5,9,0.3,▲,8.0,0.9
18,2020-01-31,31.5,19,-1.0,▼,7.0,-3.1
19,2020-02-01,30.8,14,-0.7,▼,6.0,-2.2
20,2020-02-02,30.1,29,-0.7,▼,5.0,-2.3
21,2020-02-03,28.8,7,-1.3,▼,4.0,-4.3
22,2020-02-04,28.2,19,-0.6,▼,3.0,-2.1
23,2020-02-05,28.4,11,0.2,▲,4.0,0.7
24,2020-02-06,28.1,14,-0.3,▼,3.0,-1.1
25,2020-02-07,29.0,12,0.9,▲,4.0,3.2
26,2020-02-08,29.4,5,0.4,▲,5.0,1.4
27,2020-02-09,29.7,12,0.3,▲,6.0,1.0
28,2020-02-10,29.9,11,0.2,▲,7.0,0.7
29,2020-02-11,30.2,18,0.3,▲,8.0,1.0
30,2020-02-12,30.3,17,0.1,▲,9.0,0.3
31,2020-02-13,30.9,19,0.6,▲,10.0,2.0
32,2020-02-14,31.5,69,0.6,▲,11.0,1.9
33,2020-02-15,32.2,62,0.7,▲,12.0,2.2
34,2020-02-16,33.4,51,1.2,▲,13.0,3.7
35,2020-02-17,34.8,8,1.4,▲,14.0,4.2
36,2020-02-18,36.3,17,1.5,▲,15.0,4.3
37,2020-02-19,36.8,8,0.5,▲,16.0,1.4
38,2020-02-20,37.1,11,0.3,▲,17.0,0.8
39,2020-02-21,37.7,12,0.6,▲,18.0,1.6
40,2020-02-22,37.1,21,-0.6,▼,17.0,-1.6
41,2020-02-23,35.6,27,-1.5,▼,16.0,-4.0
42,2020-02-24,35.1,13,-0.5,▼,15.0,-1.4
43,2020-02-25,34.4,20,-0.7,▼,14.0,-2.0
44,2020-02-26,34.3,20,-0.1,▼,13.0,-0.3
45,2020-02-27,34.6,11,0.3,▲,14.0,0.9
46,2020-02-28,36.1,20,1.5,▲,15.0,4.3
47,2020-02-29,36.5,17,0.4,▲,16.0,1.1
48,2020-03-01,36.5,15,0.0,-,16.0,0.0
49,2020-03-02,36.8,7,0.3,▲,17.0,0.8
50,2020-03-03,36.7,15,-0.1,▼,16.0,-0.3
51,2020-03-04,35.7,13,-1.0,▼,15.0,-2.7
52,2020-03-05,36.6,8,0.9,▲,16.0,2.5
53,2020-03-06,37.1,16,0.5,▲,17.0,1.4
54,2020-03-07,37.0,22,-0.1,▼,16.0,-0.3
55,2020-03-08,36.8,28,-0.2,▼,15.0,-0.5
56,2020-03-09,37.1,16,0.3,▲,16.0,0.8
57,2020-03-10,36.8,15,-0.3,▼,15.0,-0.8
58,2020-03-11,37.3,14,0.5,▲,16.0,1.4
59,2020-03-12,36.6,19,-0.7,▼,15.0,-1.9
60,2020-03-13,37.1,11,0.5,▲,16.0,1.4
61,2020-03-14,36.8,25,-0.3,▼,15.0,-0.8
62,2020-03-15,36.3,26,-0.5,▼,14.0,-1.4
63,2020-03-16,35.7,7,-0.6,▼,13.0,-1.7
64,2020-03-17,35.2,24,-0.5,▼,12.0,-1.4
65,2020-03-18,34.7,12,-0.5,▼,11.0,-1.4
66,2020-03-19,35.4,16,0.7,▲,12.0,2.0
67,2020-03-20,35.0,21,-0.4,▼,11.0,-1.1
68,2020-03-21,35.2,14,0.2,▲,12.0,0.6
69,2020-03-22,35.8,20,0.6,▲,13.0,1.7
70,2020-03-23,34.5,28,-1.3,▼,12.0,-3.6
71,2020-03-24,34.3,20,-0.2,▼,11.0,-0.6
72,2020-03-25,34.7,19,0.4,▲,12.0,1.2
73,2020-03-26,34.5,8,-0.2,▼,11.0,-0.6
74,2020-03-27,34.6,27,0.1,▲,12.0,0.3
75,2020-03-28,35.6,27,1.0,▲,13.0,2.9
76,2020-03-29,35.1,31,-0.5,▼,12.0,-1.4
77,2020-03-30,35.2,22,0.1,▲,13.0,0.3
78,2020-03-31,34.8,13,-0.4,▼,12.0,-1.1
79,2020-04-01,34.1,23,-0.7,▼,11.0,-2.0
80,2020-04-02,34.3,27,0.2,▲,12.0,0.6
81,2020-04-03,34.3,23,0.0,-,12.0,0.0
82,2020-04-04,33.7,31,-0.6,▼,11.0,-1.7
83,2020-04-05,33.7,30,0.0,-,11.0,0.0
84,2020-04-06,34.5,23,0.8,▲,12.0,2.4
85,2020-04-07,33.5,26,-1.0,▼,11.0,-2.9
86,2020-04-08,34.2,13,0.7,▲,12.0,2.1
87,2020-04-09,35.1,20,0.9,▲,13.0,2.6
88,2020-04-10,35.1,21,0.0,-,13.0,0.0
