,datetime,avg_price,volume,day_before,yn_before,lank,day_percent
0,2020-04-11,,2,0.0,-,0.0,0.0
1,2020-04-12,2.1,1,,▲,1.0,
2,2020-04-13,1.7,1,-0.4,▼,0.0,-19.0
3,2020-04-15,1.8,2,0.1,▲,1.0,5.9
4,2020-04-16,1.9,3,0.1,▲,2.0,5.6
5,2020-04-19,2.2,1,0.3,▲,3.0,15.8
6,2020-04-21,2.5,2,0.3,▲,4.0,13.6
7,2020-04-22,2.5,1,0.0,-,4.0,0.0
8,2020-04-23,2.6,3,0.1,▲,5.0,4.0
9,2020-04-27,2.5,1,-0.1,▼,4.0,-3.8
10,2020-04-30,2.1,2,-0.4,▼,3.0,-16.0
11,2020-05-02,2.0,6,-0.1,▼,2.0,-4.8
12,2020-05-05,1.8,1,-0.2,▼,1.0,-10.0
13,2020-05-06,1.6,3,-0.2,▼,0.0,-11.1
14,2020-05-07,1.6,3,0.0,-,0.0,0.0
15,2020-05-08,1.6,2,0.0,-,0.0,0.0
16,2020-05-09,1.6,1,0.0,-,0.0,0.0
17,2020-05-10,1.9,2,0.3,▲,1.0,18.7
18,2020-05-11,2.3,1,0.4,▲,2.0,21.1
19,2020-05-15,2.2,2,-0.1,▼,1.0,-4.3
20,2020-05-16,2.2,2,0.0,-,1.0,0.0
21,2020-05-18,2.2,1,0.0,-,1.0,0.0
22,2020-05-19,2.3,1,0.1,▲,2.0,4.5
23,2020-05-20,2.1,2,-0.2,▼,1.0,-8.7
24,2020-05-22,2.3,2,0.2,▲,2.0,9.5
25,2020-05-23,2.5,1,0.2,▲,3.0,8.7
26,2020-05-25,2.7,1,0.2,▲,4.0,8.0
27,2020-05-27,2.6,4,-0.1,▼,3.0,-3.7
28,2020-05-28,3.0,4,0.4,▲,4.0,15.4
29,2020-06-04,2.7,5,-0.3,▼,3.0,-10.0
30,2020-06-05,2.3,1,-0.4,▼,2.0,-14.8
31,2020-06-06,2.5,1,0.2,▲,3.0,8.7
32,2020-06-07,2.4,1,-0.1,▼,2.0,-4.0
33,2020-06-08,2.0,1,-0.4,▼,1.0,-16.7
34,2020-06-09,2.1,2,0.1,▲,2.0,5.0
35,2020-06-12,2.3,1,0.2,▲,3.0,9.5
36,2020-06-18,1.7,1,-0.6,▼,2.0,-26.1
37,2020-06-24,1.7,2,0.0,-,2.0,0.0
38,2020-06-30,1.7,2,0.0,-,2.0,0.0
39,2020-07-01,1.8,3,0.1,▲,3.0,5.9
40,2020-07-02,1.8,1,0.0,-,3.0,0.0
41,2020-07-04,2.2,1,0.4,▲,4.0,22.2
42,2020-07-06,2.2,1,0.0,-,4.0,0.0
43,2020-07-08,2.5,4,0.3,▲,5.0,13.6
44,2020-07-10,2.7,2,0.2,▲,6.0,8.0
45,2020-07-11,2.7,1,0.0,-,6.0,0.0
46,2020-07-12,2.7,1,0.0,-,6.0,0.0
47,2020-07-13,2.7,2,0.0,-,6.0,0.0
48,2020-07-18,2.4,2,-0.3,▼,5.0,-11.1
49,2020-07-19,2.2,3,-0.2,▼,4.0,-8.3
50,2020-07-20,2.2,1,0.0,-,4.0,0.0
51,2020-07-21,2.2,1,0.0,-,4.0,0.0
52,2020-07-26,2.2,2,0.0,-,4.0,0.0
53,2020-07-27,2.4,3,0.2,▲,5.0,9.1
54,2020-08-02,2.4,1,0.0,-,5.0,0.0
55,2020-08-03,2.3,3,-0.1,▼,4.0,-4.2
56,2020-08-05,2.4,5,0.1,▲,5.0,4.3
57,2020-08-06,2.6,5,0.2,▲,6.0,8.3
58,2020-08-07,2.4,2,-0.2,▼,5.0,-7.7
59,2020-08-08,2.7,2,0.3,▲,6.0,12.5
60,2020-08-10,2.6,2,-0.1,▼,5.0,-3.7
61,2020-08-11,2.5,1,-0.1,▼,4.0,-3.8
62,2020-08-14,2.3,1,-0.2,▼,3.0,-8.0
63,2020-08-15,2.3,1,0.0,-,3.0,0.0
64,2020-08-16,2.0,15,-0.3,▼,2.0,-13.0
65,2020-08-20,2.2,1,0.2,▲,3.0,10.0
66,2020-08-21,2.0,1,-0.2,▼,2.0,-9.1
67,2020-08-22,2.0,1,0.0,-,2.0,0.0
68,2020-08-23,2.2,1,0.2,▲,3.0,10.0
69,2020-08-25,2.1,2,-0.1,▼,2.0,-4.5
70,2020-08-27,2.1,1,0.0,-,2.0,0.0
