,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-03-30,,3,0.0,-,0.0,0.0,0.0,0.0
1,2020-03-31,,3,,▲,1.0,,0.0,3.0
2,2020-04-01,,3,,▲,2.0,,0.0,6.0
3,2020-04-04,8.9,1,,▲,3.0,,-2.0,7.0
4,2020-04-08,8.5,1,-0.4,▼,2.0,-4.5,0.0,8.0
5,2020-04-09,7.7,1,-0.8,▼,1.0,-9.4,0.0,9.0
6,2020-04-27,7.8,1,0.1,▲,2.0,1.3,0.0,10.0
7,2020-05-04,7.6,1,-0.2,▼,1.0,-2.6,0.0,11.0
8,2020-05-09,6.8,1,-0.8,▼,0.0,-10.5,0.0,12.0
9,2020-05-15,6.2,1,-0.6,▼,-1.0,-8.8,0.0,13.0
10,2020-05-18,6.2,1,0.0,-,-1.0,0.0,0.0,14.0
11,2020-05-20,6.6,1,0.4,▲,0.0,6.5,0.0,15.0
12,2020-05-25,7.6,1,1.0,▲,1.0,15.2,0.0,16.0
13,2020-05-27,8.4,1,0.8,▲,2.0,10.5,0.0,17.0
14,2020-06-01,9.4,1,1.0,▲,3.0,11.9,0.0,18.0
15,2020-06-05,10.0,1,0.6,▲,4.0,6.4,0.0,19.0
16,2020-06-11,10.0,2,0.0,-,4.0,0.0,1.0,21.0
17,2020-06-13,12.4,1,2.4,▲,5.0,24.0,-1.0,22.0
18,2020-06-15,12.4,1,0.0,-,5.0,0.0,0.0,23.0
19,2020-06-20,12.5,2,0.1,▲,6.0,0.8,1.0,25.0
20,2020-06-22,11.9,1,-0.6,▼,5.0,-4.8,-1.0,26.0
21,2020-06-23,10.9,1,-1.0,▼,4.0,-8.4,0.0,27.0
22,2020-06-27,6.9,1,-4.0,▼,3.0,-36.7,0.0,28.0
23,2020-06-29,7.0,3,0.1,▲,4.0,1.4,2.0,31.0
24,2020-07-06,5.9,2,-1.1,▼,3.0,-15.7,-1.0,33.0
25,2020-07-07,7.9,1,2.0,▲,4.0,33.9,-1.0,34.0
26,2020-07-16,8.5,1,0.6,▲,5.0,7.6,0.0,35.0
27,2020-07-19,8.7,2,0.2,▲,6.0,2.4,1.0,37.0
28,2020-07-23,7.8,1,-0.9,▼,5.0,-10.3,-1.0,38.0
29,2020-07-30,8.7,3,0.9,▲,6.0,11.5,2.0,41.0
30,2020-08-01,7.0,2,-1.7,▼,5.0,-19.5,-1.0,43.0
31,2020-08-04,7.4,1,0.4,▲,6.0,5.7,-1.0,44.0
32,2020-08-06,7.6,1,0.2,▲,7.0,2.7,0.0,45.0
33,2020-08-08,9.6,1,2.0,▲,8.0,26.3,0.0,46.0
34,2020-08-16,9.7,1,0.1,▲,9.0,1.0,0.0,47.0
35,2020-08-31,11.6,1,1.9,▲,10.0,19.6,0.0,48.0
36,2020-09-01,10.6,1,-1.0,▼,9.0,-8.6,0.0,49.0
37,2020-09-05,11.2,1,0.6,▲,10.0,5.7,0.0,50.0
38,2020-09-11,9.0,1,-2.2,▼,9.0,-19.6,0.0,51.0
39,2020-09-14,8.8,2,-0.2,▼,8.0,-2.2,1.0,53.0
40,2020-09-26,6.6,1,-2.2,▼,7.0,-25.0,-1.0,54.0
41,2020-10-12,7.4,2,0.8,▲,8.0,12.1,1.0,56.0
42,2020-10-13,7.4,1,0.0,-,8.0,0.0,-1.0,57.0
43,2020-10-19,7.2,1,-0.2,▼,7.0,-2.7,0.0,58.0
44,2020-10-20,6.8,1,-0.4,▼,6.0,-5.6,0.0,59.0
45,2020-10-21,6.2,1,-0.6,▼,5.0,-8.8,0.0,60.0
46,2020-10-23,6.8,1,0.6,▲,6.0,9.7,0.0,61.0
47,2020-10-24,6.4,1,-0.4,▼,5.0,-5.9,0.0,62.0
48,2020-11-01,7.8,1,1.4,▲,6.0,21.9,0.0,63.0
49,2020-11-10,9.4,1,1.6,▲,7.0,20.5,0.0,64.0
50,2020-11-18,13.0,1,3.6,▲,8.0,38.3,0.0,65.0
51,2020-11-26,13.0,1,0.0,-,8.0,0.0,0.0,66.0
52,2020-12-07,11.8,1,-1.2,▼,7.0,-9.2,0.0,67.0
53,2020-12-14,11.3,2,-0.5,▼,6.0,-4.2,1.0,69.0
54,2020-12-20,10.1,1,-1.2,▼,5.0,-10.6,-1.0,70.0
55,2020-12-22,8.1,1,-2.0,▼,4.0,-19.8,0.0,71.0
56,2020-12-30,7.7,4,-0.4,▼,3.0,-4.9,3.0,75.0
57,2021-01-03,8.7,1,1.0,▲,4.0,13.0,-3.0,76.0
58,2021-01-04,9.2,1,0.5,▲,5.0,5.7,0.0,77.0
59,2021-01-06,10.0,1,0.8,▲,6.0,8.7,0.0,78.0
60,2021-01-24,8.8,1,-1.2,▼,5.0,-12.0,0.0,79.0
61,2021-02-10,8.8,1,0.0,-,5.0,0.0,0.0,80.0
62,2021-02-16,9.2,1,0.4,▲,6.0,4.5,0.0,81.0
63,2021-02-19,9.6,1,0.4,▲,7.0,4.3,0.0,82.0
64,2021-02-22,8.8,1,-0.8,▼,6.0,-8.3,0.0,83.0
65,2021-02-23,10.0,1,1.2,▲,7.0,13.6,0.0,84.0
66,2021-03-01,11.0,1,1.0,▲,8.0,10.0,0.0,85.0
67,2021-03-03,10.8,1,-0.2,▼,7.0,-1.8,0.0,86.0
68,2021-03-05,10.8,1,0.0,-,7.0,0.0,0.0,87.0
69,2021-03-06,9.4,1,-1.4,▼,6.0,-13.0,0.0,88.0
70,2021-03-07,11.4,1,2.0,▲,7.0,21.3,0.0,89.0
71,2021-03-10,10.8,1,-0.6,▼,6.0,-5.3,0.0,90.0
72,2021-03-23,10.8,1,0.0,-,6.0,0.0,0.0,91.0
73,2021-03-24,11.4,1,0.6,▲,7.0,5.6,0.0,92.0
74,2021-03-30,14.0,1,2.6,▲,8.0,22.8,0.0,93.0
75,2021-03-31,12.4,2,-1.6,▼,7.0,-11.4,1.0,95.0
76,2021-04-02,10.8,1,-1.6,▼,6.0,-12.9,-1.0,96.0
77,2021-04-03,11.2,1,0.4,▲,7.0,3.7,0.0,97.0
78,2021-04-04,8.6,1,-2.6,▼,6.0,-23.2,0.0,98.0
79,2021-04-09,8.0,1,-0.6,▼,5.0,-7.0,0.0,99.0
80,2021-04-11,7.6,1,-0.4,▼,4.0,-5.0,0.0,100.0
81,2021-04-14,7.8,1,0.2,▲,5.0,2.6,0.0,101.0
82,2021-04-15,6.8,1,-1.0,▼,4.0,-12.8,0.0,102.0
83,2021-04-16,8.4,1,1.6,▲,5.0,23.5,0.0,103.0
84,2021-04-18,8.6,2,0.2,▲,6.0,2.4,1.0,105.0
85,2021-04-21,9.6,1,1.0,▲,7.0,11.6,-1.0,106.0
86,2021-04-28,11.4,1,1.8,▲,8.0,18.8,0.0,107.0
87,2021-05-07,12.8,1,1.4,▲,9.0,12.3,0.0,108.0
