,datetime,avg_price,volume,day_before,yn_before,lank,day_percent
0,2020-04-28,,2,0.0,-,0.0,0.0
1,2020-04-29,,1,,▲,1.0,
2,2020-05-02,88.9,1,,▲,2.0,
3,2020-05-03,87.7,1,-1.2,▼,1.0,-1.3
4,2020-05-04,89.7,2,2.0,▲,2.0,2.3
5,2020-05-06,80.3,2,-9.4,▼,1.0,-10.5
6,2020-05-08,84.3,1,4.0,▲,2.0,5.0
7,2020-05-09,87.3,1,3.0,▲,3.0,3.6
8,2020-05-16,83.5,1,-3.8,▼,2.0,-4.4
9,2020-05-24,79.5,1,-4.0,▼,1.0,-4.8
10,2020-05-27,69.0,1,-10.5,▼,0.0,-13.2
11,2020-05-30,75.0,1,6.0,▲,1.0,8.7
12,2020-06-01,68.0,1,-7.0,▼,0.0,-9.3
13,2020-06-06,83.0,2,15.0,▲,1.0,22.1
14,2020-06-08,84.0,2,1.0,▲,2.0,1.2
15,2020-06-10,105.0,1,21.0,▲,3.0,25.0
16,2020-06-12,95.0,1,-10.0,▼,2.0,-9.5
17,2020-06-13,92.5,3,-2.5,▼,1.0,-2.6
18,2020-06-17,89.5,1,-3.0,▼,0.0,-3.2
19,2020-06-19,105.5,1,16.0,▲,1.0,17.9
20,2020-06-21,98.5,3,-7.0,▼,0.0,-6.6
21,2020-06-23,114.5,1,16.0,▲,1.0,16.2
22,2020-06-26,120.0,1,5.5,▲,2.0,4.8
23,2020-06-27,111.5,2,-8.5,▼,1.0,-7.1
24,2020-07-01,101.5,1,-10.0,▼,0.0,-9.0
25,2020-07-02,104.5,1,3.0,▲,1.0,3.0
26,2020-07-03,94.5,1,-10.0,▼,0.0,-9.6
27,2020-07-07,97.0,2,2.5,▲,1.0,2.6
28,2020-07-12,95.5,2,-1.5,▼,0.0,-1.5
29,2020-07-15,92.5,1,-3.0,▼,-1.0,-3.1
30,2020-07-16,89.5,1,-3.0,▼,-2.0,-3.2
31,2020-07-19,86.5,1,-3.0,▼,-3.0,-3.4
32,2020-07-20,78.0,1,-8.5,▼,-4.0,-9.8
33,2020-07-21,78.0,1,0.0,-,-4.0,0.0
34,2020-07-24,82.0,1,4.0,▲,-3.0,5.1
35,2020-07-27,87.0,1,5.0,▲,-2.0,6.1
36,2020-07-28,86.0,1,-1.0,▼,-3.0,-1.1
37,2020-07-31,83.5,13,-2.5,▼,-4.0,-2.9
38,2020-08-01,74.5,8,-9.0,▼,-5.0,-10.8
39,2020-08-02,63.2,4,-11.3,▼,-6.0,-15.2
40,2020-08-03,49.0,3,-14.2,▼,-7.0,-22.5
41,2020-08-04,41.7,3,-7.3,▼,-8.0,-14.9
42,2020-08-06,44.2,5,2.5,▲,-7.0,6.0
43,2020-08-07,45.2,3,1.0,▲,-6.0,2.3
44,2020-08-08,46.5,2,1.3,▲,-5.0,2.9
45,2020-08-09,47.7,1,1.2,▲,-4.0,2.6
46,2020-08-11,52.5,4,4.8,▲,-3.0,10.1
47,2020-08-13,56.5,1,4.0,▲,-2.0,7.6
48,2020-08-14,53.5,2,-3.0,▼,-3.0,-5.3
49,2020-08-15,52.5,1,-1.0,▼,-4.0,-1.9
50,2020-08-16,56.5,5,4.0,▲,-3.0,7.6
51,2020-08-17,63.0,3,6.5,▲,-2.0,11.5
52,2020-08-18,59.0,7,-4.0,▼,-3.0,-6.3
53,2020-08-19,65.5,5,6.5,▲,-2.0,11.0
54,2020-08-20,68.5,1,3.0,▲,-1.0,4.6
55,2020-08-21,70.0,3,1.5,▲,0.0,2.2
56,2020-08-22,61.0,2,-9.0,▼,-1.0,-12.9
57,2020-08-23,61.0,2,0.0,-,-1.0,0.0
58,2020-08-24,61.0,2,0.0,-,-1.0,0.0
59,2020-08-25,66.8,1,5.8,▲,0.0,9.5
60,2020-08-27,64.8,3,-2.0,▼,-1.0,-3.0
61,2020-08-28,63.8,1,-1.0,▼,-2.0,-1.5
62,2020-08-29,68.8,4,5.0,▲,-1.0,7.8
63,2020-08-30,75.3,2,6.5,▲,0.0,9.4
64,2020-08-31,77.5,1,2.2,▲,1.0,2.9
65,2020-09-01,69.0,1,-8.5,▼,0.0,-11.0
66,2020-09-03,78.5,3,9.5,▲,1.0,13.8
67,2020-09-05,75.5,3,-3.0,▼,0.0,-3.8
68,2020-09-06,75.5,1,0.0,-,0.0,0.0
69,2020-09-08,73.5,1,-2.0,▼,-1.0,-2.6
70,2020-09-11,77.5,1,4.0,▲,0.0,5.4
71,2020-09-12,73.0,1,-4.5,▼,-1.0,-5.8
72,2020-09-13,74.0,1,1.0,▲,0.0,1.4
73,2020-09-14,59.0,1,-15.0,▼,-1.0,-20.3
74,2020-09-15,62.9,3,3.9,▲,0.0,6.6
75,2020-09-17,67.9,2,5.0,▲,1.0,7.9
76,2020-09-18,64.9,1,-3.0,▼,0.0,-4.4
77,2020-09-20,69.9,1,5.0,▲,1.0,7.7
78,2020-09-21,82.9,1,13.0,▲,2.0,18.6
79,2020-09-23,81.0,1,-1.9,▼,1.0,-2.3
80,2020-09-24,88.0,1,7.0,▲,2.0,8.6
81,2020-09-26,96.0,1,8.0,▲,3.0,9.1
