,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-04-07,2.2,18,0.0,-,0.0,0.0,0.0,0.0
1,2020-04-08,2.3,30,0.1,▲,1.0,4.5,12.0,30.0
2,2020-04-09,2.5,26,0.2,▲,2.0,8.7,-4.0,56.0
3,2020-04-10,2.6,42,0.1,▲,3.0,4.0,16.0,98.0
4,2020-04-11,2.5,11,-0.1,▼,2.0,-3.8,-31.0,109.0
5,2020-04-12,2.6,12,0.1,▲,3.0,4.0,1.0,121.0
6,2020-04-13,2.5,7,-0.1,▼,2.0,-3.8,-5.0,128.0
7,2020-04-14,2.2,24,-0.3,▼,1.0,-12.0,17.0,152.0
8,2020-04-15,2.2,2,0.0,-,1.0,0.0,-22.0,154.0
9,2020-04-16,2.5,43,0.3,▲,2.0,13.6,41.0,197.0
10,2020-04-17,2.6,27,0.1,▲,3.0,4.0,-16.0,224.0
11,2020-04-18,2.6,33,0.0,-,3.0,0.0,6.0,257.0
12,2020-04-19,3.0,31,0.4,▲,4.0,15.4,-2.0,288.0
13,2020-04-20,2.9,31,-0.1,▼,3.0,-3.3,0.0,319.0
14,2020-04-21,2.7,14,-0.2,▼,2.0,-6.9,-17.0,333.0
15,2020-04-22,2.5,15,-0.2,▼,1.0,-7.4,1.0,348.0
16,2020-04-23,2.7,24,0.2,▲,2.0,8.0,9.0,372.0
17,2020-04-24,2.5,26,-0.2,▼,1.0,-7.4,2.0,398.0
18,2020-04-25,2.4,29,-0.1,▼,0.0,-4.0,3.0,427.0
19,2020-04-26,2.6,49,0.2,▲,1.0,8.3,20.0,476.0
20,2020-04-27,2.8,17,0.2,▲,2.0,7.7,-32.0,493.0
21,2020-04-28,2.8,68,0.0,-,2.0,0.0,51.0,561.0
22,2020-04-29,3.0,20,0.2,▲,3.0,7.1,-48.0,581.0
23,2020-05-01,3.1,13,0.1,▲,4.0,3.3,-7.0,594.0
24,2020-05-02,2.8,24,-0.3,▼,3.0,-9.7,11.0,618.0
25,2020-05-03,2.8,23,0.0,-,3.0,0.0,-1.0,641.0
26,2020-05-04,2.8,1,0.0,-,3.0,0.0,-22.0,642.0
27,2020-05-05,2.6,14,-0.2,▼,2.0,-7.1,13.0,656.0
28,2020-05-06,2.4,18,-0.2,▼,1.0,-7.7,4.0,674.0
29,2020-05-07,2.5,31,0.1,▲,2.0,4.2,13.0,705.0
30,2020-05-08,2.4,6,-0.1,▼,1.0,-4.0,-25.0,711.0
31,2020-05-09,2.2,2,-0.2,▼,0.0,-8.3,-4.0,713.0
32,2020-05-10,2.1,1,-0.1,▼,-1.0,-4.5,-1.0,714.0
33,2020-05-11,2.2,11,0.1,▲,0.0,4.8,10.0,725.0
34,2020-05-12,1.9,4,-0.3,▼,-1.0,-13.6,-7.0,729.0
35,2020-05-13,2.0,2,0.1,▲,0.0,5.3,-2.0,731.0
36,2020-05-14,2.1,26,0.1,▲,1.0,5.0,24.0,757.0
37,2020-05-15,2.3,22,0.2,▲,2.0,9.5,-4.0,779.0
38,2020-05-16,2.3,15,0.0,-,2.0,0.0,-7.0,794.0
39,2020-05-18,2.7,8,0.4,▲,3.0,17.4,-7.0,802.0
40,2020-05-19,2.5,43,-0.2,▼,2.0,-7.4,35.0,845.0
41,2020-05-20,2.4,12,-0.1,▼,1.0,-4.0,-31.0,857.0
42,2020-05-21,2.3,25,-0.1,▼,0.0,-4.2,13.0,882.0
43,2020-05-22,2.4,10,0.1,▲,1.0,4.3,-15.0,892.0
44,2020-05-23,2.3,12,-0.1,▼,0.0,-4.2,2.0,904.0
45,2020-05-24,2.5,13,0.2,▲,1.0,8.7,1.0,917.0
46,2020-05-26,2.5,12,0.0,-,1.0,0.0,-1.0,929.0
47,2020-05-27,2.5,13,0.0,-,1.0,0.0,1.0,942.0
48,2020-05-28,2.6,42,0.1,▲,2.0,4.0,29.0,984.0
49,2020-05-30,2.5,25,-0.1,▼,1.0,-3.8,-17.0,1009.0
50,2020-05-31,2.3,1,-0.2,▼,0.0,-8.0,-24.0,1010.0
51,2020-06-01,2.3,7,0.0,-,0.0,0.0,6.0,1017.0
52,2020-06-03,2.5,8,0.2,▲,1.0,8.7,1.0,1025.0
53,2020-06-05,2.4,27,-0.1,▼,0.0,-4.0,19.0,1052.0
54,2020-06-06,2.4,18,0.0,-,0.0,0.0,-9.0,1070.0
55,2020-06-07,2.5,12,0.1,▲,1.0,4.2,-6.0,1082.0
56,2020-06-08,2.5,21,0.0,-,1.0,0.0,9.0,1103.0
57,2020-06-10,2.2,6,-0.3,▼,0.0,-12.0,-15.0,1109.0
58,2020-06-11,2.0,34,-0.2,▼,-1.0,-9.1,28.0,1143.0
59,2020-06-13,2.3,16,0.3,▲,0.0,15.0,-18.0,1159.0
60,2020-06-14,2.2,5,-0.1,▼,-1.0,-4.3,-11.0,1164.0
61,2020-06-15,2.2,10,0.0,-,-1.0,0.0,5.0,1174.0
62,2020-06-16,2.2,9,0.0,-,-1.0,0.0,-1.0,1183.0
63,2020-06-19,2.3,9,0.1,▲,0.0,4.5,0.0,1192.0
64,2020-06-22,2.0,13,-0.3,▼,-1.0,-13.0,4.0,1205.0
65,2020-06-23,1.9,54,-0.1,▼,-2.0,-5.0,41.0,1259.0
66,2020-06-24,1.9,13,0.0,-,-2.0,0.0,-41.0,1272.0
67,2020-06-25,1.9,9,0.0,-,-2.0,0.0,-4.0,1281.0
68,2020-06-27,2.0,2,0.1,▲,-1.0,5.3,-7.0,1283.0
69,2020-06-29,1.8,10,-0.2,▼,-2.0,-10.0,8.0,1293.0
