,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-03-24,16.3,24,0.0,-,0.0,0.0,0.0,0.0
1,2020-03-25,16.9,27,0.6,▲,1.0,3.7,3.0,27.0
2,2020-03-26,17.9,27,1.0,▲,2.0,5.9,0.0,54.0
3,2020-03-27,18.4,30,0.5,▲,3.0,2.8,3.0,84.0
4,2020-03-28,18.4,33,0.0,-,3.0,0.0,3.0,117.0
5,2020-03-29,18.6,38,0.2,▲,4.0,1.1,5.0,155.0
6,2020-03-30,18.5,63,-0.1,▼,3.0,-0.5,25.0,218.0
7,2020-03-31,18.7,29,0.2,▲,4.0,1.1,-34.0,247.0
8,2020-04-01,18.6,37,-0.1,▼,3.0,-0.5,8.0,284.0
9,2020-04-02,18.9,49,0.3,▲,4.0,1.6,12.0,333.0
10,2020-04-03,19.2,67,0.3,▲,5.0,1.6,18.0,400.0
11,2020-04-04,19.5,50,0.3,▲,6.0,1.6,-17.0,450.0
12,2020-04-05,19.7,51,0.2,▲,7.0,1.0,1.0,501.0
13,2020-04-06,21.0,67,1.3,▲,8.0,6.6,16.0,568.0
14,2020-04-07,21.8,57,0.8,▲,9.0,3.8,-10.0,625.0
15,2020-04-08,22.5,62,0.7,▲,10.0,3.2,5.0,687.0
16,2020-04-09,23.5,55,1.0,▲,11.0,4.4,-7.0,742.0
17,2020-04-10,23.8,83,0.3,▲,12.0,1.3,28.0,825.0
18,2020-04-11,23.8,67,0.0,-,12.0,0.0,-16.0,892.0
19,2020-04-12,24.6,51,0.8,▲,13.0,3.4,-16.0,943.0
20,2020-04-13,25.8,70,1.2,▲,14.0,4.9,19.0,1013.0
21,2020-04-14,25.7,60,-0.1,▼,13.0,-0.4,-10.0,1073.0
22,2020-04-15,27.3,64,1.6,▲,14.0,6.2,4.0,1137.0
23,2020-04-16,28.8,35,1.5,▲,15.0,5.5,-29.0,1172.0
24,2020-04-17,29.3,50,0.5,▲,16.0,1.7,15.0,1222.0
25,2020-04-18,29.4,62,0.1,▲,17.0,0.3,12.0,1284.0
26,2020-04-19,30.5,61,1.1,▲,18.0,3.7,-1.0,1345.0
27,2020-04-20,28.2,98,-2.3,▼,17.0,-7.5,37.0,1443.0
28,2020-04-21,24.9,49,-3.3,▼,16.0,-11.7,-49.0,1492.0
29,2020-04-22,21.9,55,-3.0,▼,15.0,-12.0,6.0,1547.0
30,2020-04-23,19.1,36,-2.8,▼,14.0,-12.8,-19.0,1583.0
31,2020-04-24,16.1,41,-3.0,▼,13.0,-15.7,5.0,1624.0
32,2020-04-25,15.2,39,-0.9,▼,12.0,-5.6,-2.0,1663.0
33,2020-04-26,14.8,55,-0.4,▼,11.0,-2.6,16.0,1718.0
34,2020-04-27,14.8,63,0.0,-,11.0,0.0,8.0,1781.0
35,2020-04-28,14.4,43,-0.4,▼,10.0,-2.7,-20.0,1824.0
36,2020-04-29,14.4,37,0.0,-,10.0,0.0,-6.0,1861.0
37,2020-04-30,15.1,36,0.7,▲,11.0,4.9,-1.0,1897.0
38,2020-05-01,15.8,57,0.7,▲,12.0,4.6,21.0,1954.0
39,2020-05-02,16.6,24,0.8,▲,13.0,5.1,-33.0,1978.0
40,2020-05-03,17.6,24,1.0,▲,14.0,6.0,0.0,2002.0
41,2020-05-04,18.4,36,0.8,▲,15.0,4.5,12.0,2038.0
42,2020-05-05,18.7,31,0.3,▲,16.0,1.6,-5.0,2069.0
43,2020-05-06,19.1,25,0.4,▲,17.0,2.1,-6.0,2094.0
44,2020-05-07,19.2,37,0.1,▲,18.0,0.5,12.0,2131.0
45,2020-05-08,19.4,50,0.2,▲,19.0,1.0,13.0,2181.0
46,2020-05-09,19.5,48,0.1,▲,20.0,0.5,-2.0,2229.0
47,2020-05-10,19.6,45,0.1,▲,21.0,0.5,-3.0,2274.0
48,2020-05-11,19.7,54,0.1,▲,22.0,0.5,9.0,2328.0
49,2020-05-12,19.8,34,0.1,▲,23.0,0.5,-20.0,2362.0
50,2020-05-13,19.8,46,0.0,-,23.0,0.0,12.0,2408.0
51,2020-05-14,20.3,35,0.5,▲,24.0,2.5,-11.0,2443.0
52,2020-05-15,20.9,40,0.6,▲,25.0,3.0,5.0,2483.0
53,2020-05-16,20.9,71,0.0,-,25.0,0.0,31.0,2554.0
54,2020-05-17,21.4,53,0.5,▲,26.0,2.4,-18.0,2607.0
55,2020-05-18,20.8,52,-0.6,▼,25.0,-2.8,-1.0,2659.0
56,2020-05-19,19.5,24,-1.3,▼,24.0,-6.2,-28.0,2683.0
57,2020-05-20,17.9,18,-1.6,▼,23.0,-8.2,-6.0,2701.0
58,2020-05-21,16.8,20,-1.1,▼,22.0,-6.1,2.0,2721.0
59,2020-05-22,15.1,12,-1.7,▼,21.0,-10.1,-8.0,2733.0
60,2020-05-23,14.2,19,-0.9,▼,20.0,-6.0,7.0,2752.0
61,2020-05-24,14.0,32,-0.2,▼,19.0,-1.4,13.0,2784.0
62,2020-05-25,14.0,38,0.0,-,19.0,0.0,6.0,2822.0
63,2020-05-26,14.1,28,0.1,▲,20.0,0.7,-10.0,2850.0
64,2020-05-27,15.1,18,1.0,▲,21.0,7.1,-10.0,2868.0
65,2020-05-28,16.3,24,1.2,▲,22.0,7.9,6.0,2892.0
66,2020-05-29,17.1,34,0.8,▲,23.0,4.9,10.0,2926.0
67,2020-05-30,18.0,25,0.9,▲,24.0,5.3,-9.0,2951.0
68,2020-05-31,18.8,30,0.8,▲,25.0,4.4,5.0,2981.0
69,2020-06-01,19.0,42,0.2,▲,26.0,1.1,12.0,3023.0
70,2020-06-02,19.3,32,0.3,▲,27.0,1.6,-10.0,3055.0
71,2020-06-03,19.1,44,-0.2,▼,26.0,-1.0,12.0,3099.0
72,2020-06-04,19.1,17,0.0,-,26.0,0.0,-27.0,3116.0
73,2020-06-05,19.4,21,0.3,▲,27.0,1.6,4.0,3137.0
74,2020-06-06,19.4,45,0.0,-,27.0,0.0,24.0,3182.0
75,2020-06-07,19.3,16,-0.1,▼,26.0,-0.5,-29.0,3198.0
76,2020-06-08,20.0,35,0.7,▲,27.0,3.6,19.0,3233.0
77,2020-06-09,20.2,38,0.2,▲,28.0,1.0,3.0,3271.0
78,2020-06-10,20.6,71,0.4,▲,29.0,2.0,33.0,3342.0
79,2020-06-11,21.3,33,0.7,▲,30.0,3.4,-38.0,3375.0
80,2020-06-12,21.9,46,0.6,▲,31.0,2.8,13.0,3421.0
