,datetime,avg_price,volume,day_before,yn_before,lank,day_percent
0,2020-03-24,16.3,24,0.0,-,0.0,0.0
1,2020-03-25,16.9,27,0.6,▲,1.0,3.7
2,2020-03-26,17.9,27,1.0,▲,2.0,5.9
3,2020-03-27,18.4,30,0.5,▲,3.0,2.8
4,2020-03-28,18.4,33,0.0,-,3.0,0.0
5,2020-03-29,18.6,38,0.2,▲,4.0,1.1
6,2020-03-30,18.5,63,-0.1,▼,3.0,-0.5
7,2020-03-31,18.7,29,0.2,▲,4.0,1.1
8,2020-04-01,18.6,37,-0.1,▼,3.0,-0.5
9,2020-04-02,18.9,49,0.3,▲,4.0,1.6
10,2020-04-03,19.2,67,0.3,▲,5.0,1.6
11,2020-04-04,19.5,50,0.3,▲,6.0,1.6
12,2020-04-05,19.7,51,0.2,▲,7.0,1.0
13,2020-04-06,21.0,67,1.3,▲,8.0,6.6
14,2020-04-07,21.8,57,0.8,▲,9.0,3.8
15,2020-04-08,22.5,62,0.7,▲,10.0,3.2
16,2020-04-09,23.5,55,1.0,▲,11.0,4.4
17,2020-04-10,23.8,83,0.3,▲,12.0,1.3
18,2020-04-11,23.8,67,0.0,-,12.0,0.0
19,2020-04-12,24.6,51,0.8,▲,13.0,3.4
20,2020-04-13,25.8,70,1.2,▲,14.0,4.9
21,2020-04-14,25.7,60,-0.1,▼,13.0,-0.4
22,2020-04-15,27.3,64,1.6,▲,14.0,6.2
23,2020-04-16,28.8,35,1.5,▲,15.0,5.5
24,2020-04-17,29.3,50,0.5,▲,16.0,1.7
25,2020-04-18,29.4,62,0.1,▲,17.0,0.3
26,2020-04-19,30.5,61,1.1,▲,18.0,3.7
27,2020-04-20,28.2,98,-2.3,▼,17.0,-7.5
28,2020-04-21,24.9,49,-3.3,▼,16.0,-11.7
29,2020-04-22,21.9,55,-3.0,▼,15.0,-12.0
30,2020-04-23,19.1,36,-2.8,▼,14.0,-12.8
31,2020-04-24,16.1,41,-3.0,▼,13.0,-15.7
32,2020-04-25,15.2,39,-0.9,▼,12.0,-5.6
33,2020-04-26,14.8,55,-0.4,▼,11.0,-2.6
34,2020-04-27,14.8,63,0.0,-,11.0,0.0
35,2020-04-28,14.4,43,-0.4,▼,10.0,-2.7
36,2020-04-29,14.4,37,0.0,-,10.0,0.0
37,2020-04-30,15.1,36,0.7,▲,11.0,4.9
38,2020-05-01,15.8,57,0.7,▲,12.0,4.6
39,2020-05-02,16.6,24,0.8,▲,13.0,5.1
40,2020-05-03,17.6,24,1.0,▲,14.0,6.0
41,2020-05-04,18.4,36,0.8,▲,15.0,4.5
42,2020-05-05,18.7,31,0.3,▲,16.0,1.6
43,2020-05-06,19.1,25,0.4,▲,17.0,2.1
44,2020-05-07,19.2,37,0.1,▲,18.0,0.5
45,2020-05-08,19.4,50,0.2,▲,19.0,1.0
46,2020-05-09,19.5,48,0.1,▲,20.0,0.5
47,2020-05-10,19.6,45,0.1,▲,21.0,0.5
48,2020-05-11,19.7,54,0.1,▲,22.0,0.5
49,2020-05-12,19.8,34,0.1,▲,23.0,0.5
50,2020-05-13,19.8,46,0.0,-,23.0,0.0
51,2020-05-14,20.3,35,0.5,▲,24.0,2.5
52,2020-05-15,20.9,40,0.6,▲,25.0,3.0
53,2020-05-16,20.9,71,0.0,-,25.0,0.0
54,2020-05-17,21.4,53,0.5,▲,26.0,2.4
55,2020-05-18,20.8,52,-0.6,▼,25.0,-2.8
56,2020-05-19,19.5,24,-1.3,▼,24.0,-6.2
57,2020-05-20,17.9,18,-1.6,▼,23.0,-8.2
58,2020-05-21,16.8,20,-1.1,▼,22.0,-6.1
59,2020-05-22,15.1,12,-1.7,▼,21.0,-10.1
60,2020-05-23,14.2,19,-0.9,▼,20.0,-6.0
61,2020-05-24,14.0,32,-0.2,▼,19.0,-1.4
62,2020-05-25,14.0,38,0.0,-,19.0,0.0
63,2020-05-26,14.1,28,0.1,▲,20.0,0.7
64,2020-05-27,15.1,18,1.0,▲,21.0,7.1
65,2020-05-28,16.3,24,1.2,▲,22.0,7.9
66,2020-05-29,17.1,34,0.8,▲,23.0,4.9
67,2020-05-30,18.0,25,0.9,▲,24.0,5.3
68,2020-05-31,18.8,30,0.8,▲,25.0,4.4
69,2020-06-01,19.0,42,0.2,▲,26.0,1.1
70,2020-06-02,19.3,32,0.3,▲,27.0,1.6
71,2020-06-03,19.1,44,-0.2,▼,26.0,-1.0
72,2020-06-04,19.1,17,0.0,-,26.0,0.0
73,2020-06-05,19.4,21,0.3,▲,27.0,1.6
74,2020-06-06,19.4,45,0.0,-,27.0,0.0
75,2020-06-07,19.3,16,-0.1,▼,26.0,-0.5
76,2020-06-08,20.0,35,0.7,▲,27.0,3.6
77,2020-06-09,20.2,38,0.2,▲,28.0,1.0
78,2020-06-10,20.6,71,0.4,▲,29.0,2.0
79,2020-06-11,21.3,33,0.7,▲,30.0,3.4
80,2020-06-12,21.9,46,0.6,▲,31.0,2.8
81,2020-06-13,21.6,62,-0.3,▼,30.0,-1.4
82,2020-06-14,21.6,49,0.0,-,30.0,0.0
83,2020-06-15,21.6,38,0.0,-,30.0,0.0
84,2020-06-16,21.1,59,-0.5,▼,29.0,-2.3
85,2020-06-17,21.2,43,0.1,▲,30.0,0.5
86,2020-06-18,22.3,42,1.1,▲,31.0,5.2
87,2020-06-19,23.1,34,0.8,▲,32.0,3.6
88,2020-06-20,23.3,36,0.2,▲,33.0,0.9
89,2020-06-21,24.1,37,0.8,▲,34.0,3.4
90,2020-06-22,22.7,38,-1.4,▼,33.0,-5.8
91,2020-06-23,20.8,27,-1.9,▼,32.0,-8.4
92,2020-06-24,18.9,18,-1.9,▼,31.0,-9.1
93,2020-06-25,17.2,20,-1.7,▼,30.0,-9.0
94,2020-06-26,15.4,37,-1.8,▼,29.0,-10.5
95,2020-06-27,15.2,26,-0.2,▼,28.0,-1.3
96,2020-06-28,15.2,20,0.0,-,28.0,0.0
97,2020-06-29,15.5,22,0.3,▲,29.0,2.0
98,2020-06-30,15.6,21,0.1,▲,30.0,0.6
99,2020-07-01,15.7,24,0.1,▲,31.0,0.6
100,2020-07-02,15.5,32,-0.2,▼,30.0,-1.3
101,2020-07-03,15.6,31,0.1,▲,31.0,0.6
102,2020-07-04,16.1,25,0.5,▲,32.0,3.2
103,2020-07-05,16.0,42,-0.1,▼,31.0,-0.6
104,2020-07-06,16.4,21,0.4,▲,32.0,2.5
105,2020-07-07,17.3,30,0.9,▲,33.0,5.5
106,2020-07-08,17.8,28,0.5,▲,34.0,2.9
107,2020-07-09,17.1,38,-0.7,▼,33.0,-3.9
108,2020-07-10,18.1,26,1.0,▲,34.0,5.8
109,2020-07-11,18.5,21,0.4,▲,35.0,2.2
110,2020-07-12,18.9,32,0.4,▲,36.0,2.2
111,2020-07-13,19.2,21,0.3,▲,37.0,1.6
112,2020-07-14,20.5,36,1.3,▲,38.0,6.8
113,2020-07-15,21.0,38,0.5,▲,39.0,2.4
114,2020-07-16,21.1,34,0.1,▲,40.0,0.5
115,2020-07-17,21.4,35,0.3,▲,41.0,1.4
116,2020-07-18,21.9,42,0.5,▲,42.0,2.3
117,2020-07-19,22.1,61,0.2,▲,43.0,0.9
118,2020-07-20,22.0,37,-0.1,▼,42.0,-0.5
119,2020-07-21,22.8,55,0.8,▲,43.0,3.6
120,2020-07-22,23.4,35,0.6,▲,44.0,2.6
121,2020-07-23,22.9,33,-0.5,▼,43.0,-2.1
122,2020-07-24,23.5,47,0.6,▲,44.0,2.6
123,2020-07-25,24.1,20,0.6,▲,45.0,2.6
124,2020-07-26,24.0,24,-0.1,▼,44.0,-0.4
125,2020-07-27,22.2,24,-1.8,▼,43.0,-7.5
126,2020-07-28,21.1,32,-1.1,▼,42.0,-5.0
127,2020-07-29,19.3,19,-1.8,▼,41.0,-8.5
128,2020-07-30,17.5,31,-1.8,▼,40.0,-9.3
129,2020-07-31,16.3,25,-1.2,▼,39.0,-6.9
130,2020-08-01,16.0,10,-0.3,▼,38.0,-1.8
131,2020-08-02,16.1,27,0.1,▲,39.0,0.6
132,2020-08-03,16.4,53,0.3,▲,40.0,1.9
133,2020-08-04,17.0,33,0.6,▲,41.0,3.7
134,2020-08-05,17.1,34,0.1,▲,42.0,0.6
135,2020-08-06,18.1,36,1.0,▲,43.0,5.8
136,2020-08-07,18.9,46,0.8,▲,44.0,4.4
137,2020-08-08,18.3,49,-0.6,▼,43.0,-3.2
138,2020-08-09,18.5,53,0.2,▲,44.0,1.1
139,2020-08-10,18.0,46,-0.5,▼,43.0,-2.7
140,2020-08-11,17.1,40,-0.9,▼,42.0,-5.0
141,2020-08-12,16.7,38,-0.4,▼,41.0,-2.3
142,2020-08-13,16.7,18,0.0,-,41.0,0.0
143,2020-08-14,15.4,25,-1.3,▼,40.0,-7.8
144,2020-08-15,14.8,30,-0.6,▼,39.0,-3.9
145,2020-08-16,14.4,29,-0.4,▼,38.0,-2.7
146,2020-08-17,14.0,22,-0.4,▼,37.0,-2.8
147,2020-08-18,14.0,53,0.0,-,37.0,0.0
148,2020-08-19,14.7,61,0.7,▲,38.0,5.0
149,2020-08-20,15.5,35,0.8,▲,39.0,5.4
150,2020-08-21,16.2,53,0.7,▲,40.0,4.5
151,2020-08-22,16.7,42,0.5,▲,41.0,3.1
152,2020-08-23,17.4,52,0.7,▲,42.0,4.2
153,2020-08-24,17.5,50,0.1,▲,43.0,0.6
154,2020-08-25,17.8,15,0.3,▲,44.0,1.7
155,2020-08-26,18.5,58,0.7,▲,45.0,3.9
156,2020-08-27,19.0,35,0.5,▲,46.0,2.7
157,2020-08-28,18.9,65,-0.1,▼,45.0,-0.5
158,2020-08-29,19.4,42,0.5,▲,46.0,2.6
159,2020-08-30,19.6,71,0.2,▲,47.0,1.0
160,2020-08-31,19.5,64,-0.1,▼,46.0,-0.5
161,2020-09-01,19.4,35,-0.1,▼,45.0,-0.5
162,2020-09-02,20.2,77,0.8,▲,46.0,4.1
163,2020-09-03,20.2,59,0.0,-,46.0,0.0
164,2020-09-04,20.3,66,0.1,▲,47.0,0.5
165,2020-09-05,20.9,76,0.6,▲,48.0,3.0
166,2020-09-06,21.2,73,0.3,▲,49.0,1.4
167,2020-09-07,21.0,76,-0.2,▼,48.0,-0.9
168,2020-09-08,22.8,30,1.8,▲,49.0,8.6
169,2020-09-09,24.6,34,1.8,▲,50.0,7.9
170,2020-09-10,25.5,71,0.9,▲,51.0,3.7
171,2020-09-11,27.1,53,1.6,▲,52.0,6.3
172,2020-09-12,28.9,71,1.8,▲,53.0,6.6
173,2020-09-13,29.1,78,0.2,▲,54.0,0.7
174,2020-09-14,29.2,67,0.1,▲,55.0,0.3
175,2020-09-15,29.6,76,0.4,▲,56.0,1.4
176,2020-09-16,28.8,83,-0.8,▼,55.0,-2.7
177,2020-09-17,29.3,40,0.5,▲,56.0,1.7
178,2020-09-18,29.8,49,0.5,▲,57.0,1.7
179,2020-09-19,30.6,54,0.8,▲,58.0,2.7
180,2020-09-20,31.3,68,0.7,▲,59.0,2.3
181,2020-09-21,29.6,69,-1.7,▼,58.0,-5.4
182,2020-09-22,26.8,41,-2.8,▼,57.0,-9.5
183,2020-09-23,23.3,40,-3.5,▼,56.0,-13.1
184,2020-09-24,19.9,37,-3.4,▼,55.0,-14.6
185,2020-09-25,16.6,35,-3.3,▼,54.0,-16.6
186,2020-09-26,16.5,55,-0.1,▼,53.0,-0.6
