,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-04-27,3.0,13,0.0,-,0.0,0.0,0.0,0.0
1,2020-04-28,2.9,14,-0.1,▼,-1.0,-3.3,1.0,14.0
2,2020-04-29,3.0,8,0.1,▲,0.0,3.4,-6.0,22.0
3,2020-04-30,2.8,32,-0.2,▼,-1.0,-6.7,24.0,54.0
4,2020-05-01,2.7,6,-0.1,▼,-2.0,-3.6,-26.0,60.0
5,2020-05-02,2.8,11,0.1,▲,-1.0,3.7,5.0,71.0
6,2020-05-03,2.8,14,0.0,-,-1.0,0.0,3.0,85.0
7,2020-05-04,2.7,3,-0.1,▼,-2.0,-3.6,-11.0,88.0
8,2020-05-05,2.7,9,0.0,-,-2.0,0.0,6.0,97.0
9,2020-05-06,2.6,3,-0.1,▼,-3.0,-3.7,-6.0,100.0
10,2020-05-07,2.4,10,-0.2,▼,-4.0,-7.7,7.0,110.0
11,2020-05-08,2.5,2,0.1,▲,-3.0,4.2,-8.0,112.0
12,2020-05-09,2.5,11,0.0,-,-3.0,0.0,9.0,123.0
13,2020-05-10,2.7,16,0.2,▲,-2.0,8.0,5.0,139.0
14,2020-05-11,2.9,11,0.2,▲,-1.0,7.4,-5.0,150.0
15,2020-05-12,3.0,13,0.1,▲,0.0,3.4,2.0,163.0
16,2020-05-13,3.0,4,0.0,-,0.0,0.0,-9.0,167.0
17,2020-05-14,3.1,8,0.1,▲,1.0,3.3,4.0,175.0
18,2020-05-15,2.9,7,-0.2,▼,0.0,-6.5,-1.0,182.0
19,2020-05-16,2.9,15,0.0,-,0.0,0.0,8.0,197.0
20,2020-05-17,3.0,15,0.1,▲,1.0,3.4,0.0,212.0
21,2020-05-18,3.0,5,0.0,-,1.0,0.0,-10.0,217.0
22,2020-05-19,2.9,8,-0.1,▼,0.0,-3.3,3.0,225.0
23,2020-05-20,3.0,7,0.1,▲,1.0,3.4,-1.0,232.0
24,2020-05-21,3.4,6,0.4,▲,2.0,13.3,-1.0,238.0
25,2020-05-22,3.2,12,-0.2,▼,1.0,-5.9,6.0,250.0
26,2020-05-23,3.2,5,0.0,-,1.0,0.0,-7.0,255.0
27,2020-05-24,3.3,15,0.1,▲,2.0,3.1,10.0,270.0
28,2020-05-25,3.3,7,0.0,-,2.0,0.0,-8.0,277.0
29,2020-05-26,2.7,8,-0.6,▼,1.0,-18.2,1.0,285.0
30,2020-05-27,2.7,7,0.0,-,1.0,0.0,-1.0,292.0
31,2020-05-28,2.8,6,0.1,▲,2.0,3.7,-1.0,298.0
32,2020-05-29,2.7,6,-0.1,▼,1.0,-3.6,0.0,304.0
33,2020-05-30,2.6,10,-0.1,▼,0.0,-3.7,4.0,314.0
34,2020-05-31,2.6,6,0.0,-,0.0,0.0,-4.0,320.0
35,2020-06-01,2.7,4,0.1,▲,1.0,3.8,-2.0,324.0
36,2020-06-02,2.5,3,-0.2,▼,0.0,-7.4,-1.0,327.0
37,2020-06-03,2.8,6,0.3,▲,1.0,12.0,3.0,333.0
38,2020-06-04,3.4,9,0.6,▲,2.0,21.4,3.0,342.0
39,2020-06-05,3.5,5,0.1,▲,3.0,2.9,-4.0,347.0
40,2020-06-06,3.4,8,-0.1,▼,2.0,-2.9,3.0,355.0
41,2020-06-07,3.5,15,0.1,▲,3.0,2.9,7.0,370.0
42,2020-06-08,3.4,8,-0.1,▼,2.0,-2.9,-7.0,378.0
43,2020-06-09,2.8,4,-0.6,▼,1.0,-17.6,-4.0,382.0
44,2020-06-10,2.6,8,-0.2,▼,0.0,-7.1,4.0,390.0
45,2020-06-11,2.9,9,0.3,▲,1.0,11.5,1.0,399.0
46,2020-06-12,3.0,11,0.1,▲,2.0,3.4,2.0,410.0
