,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-04-07,9.0,1,0.0,-,0.0,0.0,0.0,0.0
1,2020-04-08,8.9,5,-0.1,▼,-1.0,-1.1,4.0,5.0
2,2020-04-09,8.8,3,-0.1,▼,-2.0,-1.1,-2.0,8.0
3,2020-04-10,9.2,2,0.4,▲,-1.0,4.5,-1.0,10.0
4,2020-04-11,8.9,2,-0.3,▼,-2.0,-3.3,0.0,12.0
5,2020-04-12,8.6,2,-0.3,▼,-3.0,-3.4,0.0,14.0
6,2020-04-13,8.3,1,-0.3,▼,-4.0,-3.5,-1.0,15.0
7,2020-04-14,8.4,1,0.1,▲,-3.0,1.2,0.0,16.0
8,2020-04-16,8.5,2,0.1,▲,-2.0,1.2,1.0,18.0
9,2020-04-18,8.7,1,0.2,▲,-1.0,2.4,-1.0,19.0
10,2020-04-19,8.6,2,-0.1,▼,-2.0,-1.1,1.0,21.0
11,2020-04-20,9.0,4,0.4,▲,-1.0,4.7,2.0,25.0
12,2020-04-21,8.8,1,-0.2,▼,-2.0,-2.2,-3.0,26.0
13,2020-04-22,8.7,3,-0.1,▼,-3.0,-1.1,2.0,29.0
14,2020-04-28,8.5,1,-0.2,▼,-4.0,-2.3,-2.0,30.0
15,2020-04-29,8.7,3,0.2,▲,-3.0,2.4,2.0,33.0
16,2020-04-30,8.5,1,-0.2,▼,-4.0,-2.3,-2.0,34.0
17,2020-05-02,8.3,1,-0.2,▼,-5.0,-2.4,0.0,35.0
18,2020-05-06,8.4,1,0.1,▲,-4.0,1.2,0.0,36.0
19,2020-05-09,8.8,1,0.4,▲,-3.0,4.8,0.0,37.0
20,2020-05-10,8.8,1,0.0,-,-3.0,0.0,0.0,38.0
21,2020-05-12,10.2,1,1.4,▲,-2.0,15.9,0.0,39.0
22,2020-05-14,11.2,3,1.0,▲,-1.0,9.8,2.0,42.0
23,2020-05-15,11.1,4,-0.1,▼,-2.0,-0.9,1.0,46.0
24,2020-05-16,11.1,2,0.0,-,-2.0,0.0,-2.0,48.0
25,2020-05-18,11.7,4,0.6,▲,-1.0,5.4,2.0,52.0
26,2020-05-19,10.7,2,-1.0,▼,-2.0,-8.5,-2.0,54.0
27,2020-05-21,10.3,1,-0.4,▼,-3.0,-3.7,-1.0,55.0
28,2020-05-22,10.4,1,0.1,▲,-2.0,1.0,0.0,56.0
29,2020-05-23,10.4,2,0.0,-,-2.0,0.0,1.0,58.0
30,2020-05-24,10.0,1,-0.4,▼,-3.0,-3.8,-1.0,59.0
31,2020-05-26,10.0,1,0.0,-,-3.0,0.0,0.0,60.0
32,2020-05-27,10.0,1,0.0,-,-3.0,0.0,0.0,61.0
33,2020-05-28,10.0,1,0.0,-,-3.0,0.0,0.0,62.0
34,2020-05-29,10.0,2,0.0,-,-3.0,0.0,1.0,64.0
35,2020-05-30,9.9,2,-0.1,▼,-4.0,-1.0,0.0,66.0
36,2020-05-31,9.7,1,-0.2,▼,-5.0,-2.0,-1.0,67.0
37,2020-06-01,10.3,1,0.6,▲,-4.0,6.2,0.0,68.0
38,2020-06-02,10.3,2,0.0,-,-4.0,0.0,1.0,70.0
39,2020-06-04,10.0,3,-0.3,▼,-5.0,-2.9,1.0,73.0
40,2020-06-06,10.7,1,0.7,▲,-4.0,7.0,-2.0,74.0
41,2020-06-08,11.3,1,0.6,▲,-3.0,5.6,0.0,75.0
42,2020-06-09,11.7,3,0.4,▲,-2.0,3.5,2.0,78.0
43,2020-06-13,11.7,1,0.0,-,-2.0,0.0,-2.0,79.0
44,2020-06-14,12.9,3,1.2,▲,-1.0,10.3,2.0,82.0
45,2020-06-16,12.7,3,-0.2,▼,-2.0,-1.6,0.0,85.0
46,2020-06-17,13.3,1,0.6,▲,-1.0,4.7,-2.0,86.0
47,2020-06-18,12.3,2,-1.0,▼,-2.0,-7.5,1.0,88.0
48,2020-06-19,12.3,1,0.0,-,-2.0,0.0,-1.0,89.0
49,2020-06-20,11.4,1,-0.9,▼,-3.0,-7.3,0.0,90.0
50,2020-06-21,11.0,1,-0.4,▼,-4.0,-3.5,0.0,91.0
51,2020-06-22,10.0,1,-1.0,▼,-5.0,-9.1,0.0,92.0
52,2020-06-23,10.0,1,0.0,-,-5.0,0.0,0.0,93.0
53,2020-06-24,9.9,3,-0.1,▼,-6.0,-1.0,2.0,96.0
54,2020-06-26,9.9,1,0.0,-,-6.0,0.0,-2.0,97.0
55,2020-06-30,9.9,2,0.0,-,-6.0,0.0,1.0,99.0
56,2020-07-01,9.9,1,0.0,-,-6.0,0.0,-1.0,100.0
57,2020-07-02,9.9,3,0.0,-,-6.0,0.0,2.0,103.0
58,2020-07-03,10.0,2,0.1,▲,-5.0,1.0,-1.0,105.0
59,2020-07-04,10.0,1,0.0,-,-5.0,0.0,-1.0,106.0
60,2020-07-05,10.0,1,0.0,-,-5.0,0.0,0.0,107.0
61,2020-07-06,10.8,1,0.8,▲,-4.0,8.0,0.0,108.0
62,2020-07-09,10.8,1,0.0,-,-4.0,0.0,0.0,109.0
63,2020-07-11,10.8,4,0.0,-,-4.0,0.0,3.0,113.0
64,2020-07-12,10.8,1,0.0,-,-4.0,0.0,-3.0,114.0
65,2020-07-13,10.7,3,-0.1,▼,-5.0,-0.9,2.0,117.0
66,2020-07-14,9.8,2,-0.9,▼,-6.0,-8.4,-1.0,119.0
67,2020-07-15,9.8,1,0.0,-,-6.0,0.0,-1.0,120.0
68,2020-07-16,9.6,1,-0.2,▼,-7.0,-2.0,0.0,121.0
69,2020-07-17,9.4,1,-0.2,▼,-8.0,-2.1,0.0,122.0
70,2020-07-18,11.5,1,2.1,▲,-7.0,22.3,0.0,123.0
71,2020-07-19,11.6,1,0.1,▲,-6.0,0.9,0.0,124.0
72,2020-07-20,11.4,1,-0.2,▼,-7.0,-1.7,0.0,125.0
73,2020-07-23,11.6,1,0.2,▲,-6.0,1.8,0.0,126.0
74,2020-07-25,11.8,2,0.2,▲,-5.0,1.7,1.0,128.0
75,2020-07-28,9.8,1,-2.0,▼,-6.0,-16.9,-1.0,129.0
76,2020-07-29,9.8,2,0.0,-,-6.0,0.0,1.0,131.0
77,2020-07-30,10.2,5,0.4,▲,-5.0,4.1,3.0,136.0
78,2020-07-31,10.6,1,0.4,▲,-4.0,3.9,-4.0,137.0
79,2020-08-02,10.4,1,-0.2,▼,-5.0,-1.9,0.0,138.0
80,2020-08-03,10.4,2,0.0,-,-5.0,0.0,1.0,140.0
81,2020-08-04,11.2,1,0.8,▲,-4.0,7.7,-1.0,141.0
82,2020-08-05,11.0,3,-0.2,▼,-5.0,-1.8,2.0,144.0
83,2020-08-06,10.8,4,-0.2,▼,-6.0,-1.8,1.0,148.0
84,2020-08-07,11.5,3,0.7,▲,-5.0,6.5,-1.0,151.0
85,2020-08-08,11.4,3,-0.1,▼,-6.0,-0.9,0.0,154.0
86,2020-08-09,11.1,3,-0.3,▼,-7.0,-2.6,0.0,157.0
87,2020-08-10,11.0,2,-0.1,▼,-8.0,-0.9,-1.0,159.0
88,2020-08-11,11.3,3,0.3,▲,-7.0,2.7,1.0,162.0
89,2020-08-12,10.7,3,-0.6,▼,-8.0,-5.3,0.0,165.0
90,2020-08-13,10.8,2,0.1,▲,-7.0,0.9,-1.0,167.0
91,2020-08-14,10.1,2,-0.7,▼,-8.0,-6.5,0.0,169.0
92,2020-08-16,10.1,4,0.0,-,-8.0,0.0,2.0,173.0
93,2020-08-17,9.6,1,-0.5,▼,-9.0,-5.0,-3.0,174.0
94,2020-08-19,10.7,1,1.1,▲,-8.0,11.5,0.0,175.0
95,2020-08-20,10.7,2,0.0,-,-8.0,0.0,1.0,177.0
96,2020-08-21,10.9,1,0.2,▲,-7.0,1.9,-1.0,178.0
97,2020-08-22,11.0,1,0.1,▲,-6.0,0.9,0.0,179.0
98,2020-08-23,11.0,4,0.0,-,-6.0,0.0,3.0,183.0
99,2020-08-24,9.4,3,-1.6,▼,-7.0,-14.5,-1.0,186.0
100,2020-08-25,9.0,1,-0.4,▼,-8.0,-4.3,-2.0,187.0
101,2020-08-26,8.9,3,-0.1,▼,-9.0,-1.1,2.0,190.0
102,2020-08-27,8.1,1,-0.8,▼,-10.0,-9.0,-2.0,191.0
103,2020-08-28,7.9,1,-0.2,▼,-11.0,-2.5,0.0,192.0
104,2020-08-30,8.4,2,0.5,▲,-10.0,6.3,1.0,194.0
105,2020-09-01,8.2,3,-0.2,▼,-11.0,-2.4,1.0,197.0
106,2020-09-02,8.1,3,-0.1,▼,-12.0,-1.2,0.0,200.0
107,2020-09-05,8.2,3,0.1,▲,-11.0,1.2,0.0,203.0
108,2020-09-06,8.1,3,-0.1,▼,-12.0,-1.2,0.0,206.0
109,2020-09-09,7.6,1,-0.5,▼,-13.0,-6.2,-2.0,207.0
110,2020-09-12,7.4,1,-0.2,▼,-14.0,-2.6,0.0,208.0
