,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-05-16,,1,0.0,-,0.0,0.0,0.0,0.0
1,2020-06-10,,1,,▲,1.0,,0.0,1.0
2,2020-06-13,,1,,▲,2.0,,0.0,2.0
3,2020-06-24,2.8,1,,▲,3.0,,0.0,3.0
4,2020-06-30,3.2,1,0.4,▲,4.0,14.3,0.0,4.0
5,2020-07-12,3.2,2,0.0,-,4.0,0.0,1.0,6.0
6,2020-08-05,3.0,2,-0.2,▼,3.0,-6.2,0.0,8.0
7,2020-08-07,2.6,1,-0.4,▼,2.0,-13.3,-1.0,9.0
8,2020-08-23,2.0,2,-0.6,▼,1.0,-23.1,1.0,11.0
9,2020-08-28,1.8,1,-0.2,▼,0.0,-10.0,-1.0,12.0
10,2020-09-14,1.4,2,-0.4,▼,-1.0,-22.2,1.0,14.0
11,2020-09-24,1.6,1,0.2,▲,0.0,14.3,-1.0,15.0
12,2020-09-29,2.0,1,0.4,▲,1.0,25.0,0.0,16.0
13,2020-10-03,2.2,1,0.2,▲,2.0,10.0,0.0,17.0
14,2020-10-14,2.0,1,-0.2,▼,1.0,-9.1,0.0,18.0
15,2020-10-24,2.0,4,0.0,-,1.0,0.0,3.0,22.0
16,2020-11-04,2.2,2,0.2,▲,2.0,10.0,-2.0,24.0
17,2020-11-27,1.8,1,-0.4,▼,1.0,-18.2,-1.0,25.0
18,2020-12-03,1.8,1,0.0,-,1.0,0.0,0.0,26.0
19,2020-12-05,1.8,5,0.0,-,1.0,0.0,4.0,31.0
20,2020-12-15,1.8,1,0.0,-,1.0,0.0,-4.0,32.0
21,2021-01-01,2.2,1,0.4,▲,2.0,22.2,0.0,33.0
22,2021-01-04,2.4,1,0.2,▲,3.0,9.1,0.0,34.0
23,2021-01-05,2.3,2,-0.1,▼,2.0,-4.2,1.0,36.0
24,2021-01-14,2.3,1,0.0,-,2.0,0.0,-1.0,37.0
25,2021-01-16,2.3,36,0.0,-,2.0,0.0,35.0,73.0
26,2021-01-17,1.7,1,-0.6,▼,1.0,-26.1,-35.0,74.0
27,2021-01-29,2.3,7,0.6,▲,2.0,35.3,6.0,81.0
