,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-10-29,229.8,1,0.0,-,0.0,0.0,0.0,0.0
1,2020-10-30,227.3,2,-2.5,▼,-1.0,-1.1,1.0,2.0
2,2020-10-31,226.4,2,-0.9,▼,-2.0,-0.4,0.0,4.0
3,2020-11-01,222.5,3,-3.9,▼,-3.0,-1.7,1.0,7.0
4,2020-11-02,219.0,2,-3.5,▼,-4.0,-1.6,-1.0,9.0
5,2020-11-03,219.0,1,0.0,-,-4.0,0.0,-1.0,10.0
6,2020-11-05,220.5,1,1.5,▲,-3.0,0.7,0.0,11.0
7,2020-11-06,223.4,3,2.9,▲,-2.0,1.3,2.0,14.0
8,2020-11-07,230.4,3,7.0,▲,-1.0,3.1,0.0,17.0
9,2020-11-08,234.9,5,4.5,▲,0.0,2.0,2.0,22.0
10,2020-11-09,228.9,5,-6.0,▼,-1.0,-2.6,0.0,27.0
11,2020-11-10,224.9,5,-4.0,▼,-2.0,-1.7,0.0,32.0
12,2020-11-12,219.0,4,-5.9,▼,-3.0,-2.6,-1.0,36.0
13,2020-11-13,201.0,2,-18.0,▼,-4.0,-8.2,-2.0,38.0
14,2020-11-14,204.5,2,3.5,▲,-3.0,1.7,0.0,40.0
15,2020-11-15,199.5,5,-5.0,▼,-4.0,-2.4,3.0,45.0
16,2020-11-16,190.5,1,-9.0,▼,-5.0,-4.5,-4.0,46.0
17,2020-11-18,189.0,2,-1.5,▼,-6.0,-0.8,1.0,48.0
18,2020-11-19,199.0,2,10.0,▲,-5.0,5.3,0.0,50.0
19,2020-11-20,188.3,5,-10.7,▼,-6.0,-5.4,3.0,55.0
20,2020-11-21,188.8,5,0.5,▲,-5.0,0.3,0.0,60.0
21,2020-11-22,191.8,3,3.0,▲,-4.0,1.6,-2.0,63.0
22,2020-11-23,191.2,3,-0.6,▼,-5.0,-0.3,0.0,66.0
23,2020-11-24,172.2,1,-19.0,▼,-6.0,-9.9,-2.0,67.0
24,2020-11-25,170.4,2,-1.8,▼,-7.0,-1.0,1.0,69.0
25,2020-11-26,170.9,1,0.5,▲,-6.0,0.3,-1.0,70.0
26,2020-11-27,184.9,3,14.0,▲,-5.0,8.2,2.0,73.0
27,2020-11-28,168.0,1,-16.9,▼,-6.0,-9.1,-2.0,74.0
28,2020-11-29,186.0,4,18.0,▲,-5.0,10.7,3.0,78.0
29,2020-11-30,187.0,2,1.0,▲,-4.0,0.5,-2.0,80.0
30,2020-12-01,187.0,1,0.0,-,-4.0,0.0,-1.0,81.0
31,2020-12-02,179.9,4,-7.1,▼,-5.0,-3.8,3.0,85.0
32,2020-12-03,193.9,4,14.0,▲,-4.0,7.8,0.0,89.0
33,2020-12-04,196.3,2,2.4,▲,-3.0,1.2,-2.0,91.0
34,2020-12-05,192.8,4,-3.5,▼,-4.0,-1.8,2.0,95.0
35,2020-12-06,188.8,1,-4.0,▼,-5.0,-2.1,-3.0,96.0
36,2020-12-07,190.9,3,2.1,▲,-4.0,1.1,2.0,99.0
37,2020-12-08,184.4,2,-6.5,▼,-5.0,-3.4,-1.0,101.0
38,2020-12-10,183.5,2,-0.9,▼,-6.0,-0.5,0.0,103.0
39,2020-12-11,174.0,1,-9.5,▼,-7.0,-5.2,-1.0,104.0
40,2020-12-12,187.0,3,13.0,▲,-6.0,7.5,2.0,107.0
41,2020-12-13,186.5,2,-0.5,▼,-7.0,-0.3,-1.0,109.0
42,2020-12-14,194.0,3,7.5,▲,-6.0,4.0,1.0,112.0
43,2020-12-16,200.5,2,6.5,▲,-5.0,3.4,-1.0,114.0
44,2020-12-17,212.0,7,11.5,▲,-4.0,5.7,5.0,121.0
45,2020-12-18,202.0,3,-10.0,▼,-5.0,-4.7,-4.0,124.0
46,2020-12-19,181.5,3,-20.5,▼,-6.0,-10.1,0.0,127.0
47,2020-12-20,182.5,10,1.0,▲,-5.0,0.6,7.0,137.0
48,2020-12-21,168.0,2,-14.5,▼,-6.0,-7.9,-8.0,139.0
49,2020-12-22,165.5,4,-2.5,▼,-7.0,-1.5,2.0,143.0
50,2020-12-23,165.5,3,0.0,-,-7.0,0.0,-1.0,146.0
51,2020-12-24,182.5,3,17.0,▲,-6.0,10.3,0.0,149.0
52,2020-12-25,184.0,3,1.5,▲,-5.0,0.8,0.0,152.0
53,2020-12-26,184.0,3,0.0,-,-5.0,0.0,0.0,155.0
54,2020-12-27,187.9,2,3.9,▲,-4.0,2.1,-1.0,157.0
55,2020-12-28,180.9,2,-7.0,▼,-5.0,-3.7,0.0,159.0
56,2020-12-29,180.7,5,-0.2,▼,-6.0,-0.1,3.0,164.0
57,2020-12-31,178.2,1,-2.5,▼,-7.0,-1.4,-4.0,165.0
58,2021-01-01,172.7,8,-5.5,▼,-8.0,-3.1,7.0,173.0
59,2021-01-02,163.4,4,-9.3,▼,-9.0,-5.4,-4.0,177.0
60,2021-01-03,156.9,6,-6.5,▼,-10.0,-4.0,2.0,183.0
61,2021-01-04,149.0,3,-7.9,▼,-11.0,-5.0,-3.0,186.0
62,2021-01-06,143.9,4,-5.1,▼,-12.0,-3.4,1.0,190.0
63,2021-01-07,144.9,1,1.0,▲,-11.0,0.7,-3.0,191.0
64,2021-01-09,137.8,2,-7.1,▼,-12.0,-4.9,1.0,193.0
65,2021-01-10,134.8,2,-3.0,▼,-13.0,-2.2,0.0,195.0
66,2021-01-11,130.8,2,-4.0,▼,-14.0,-3.0,0.0,197.0
67,2021-01-12,129.8,2,-1.0,▼,-15.0,-0.8,0.0,199.0
68,2021-01-13,128.8,1,-1.0,▼,-16.0,-0.8,-1.0,200.0
69,2021-01-14,135.3,1,6.5,▲,-15.0,5.0,0.0,201.0
70,2021-01-15,146.0,3,10.7,▲,-14.0,7.9,2.0,204.0
71,2021-01-16,150.1,2,4.1,▲,-13.0,2.8,-1.0,206.0
72,2021-01-17,135.6,1,-14.5,▼,-14.0,-9.7,-1.0,207.0
73,2021-01-18,147.6,1,12.0,▲,-13.0,8.8,0.0,208.0
74,2021-01-19,155.6,1,8.0,▲,-12.0,5.4,0.0,209.0
75,2021-01-20,161.4,3,5.8,▲,-11.0,3.7,2.0,212.0
76,2021-01-21,159.9,3,-1.5,▼,-12.0,-0.9,0.0,215.0
77,2021-01-22,180.5,3,20.6,▲,-11.0,12.9,0.0,218.0
78,2021-01-23,175.0,3,-5.5,▼,-12.0,-3.0,0.0,221.0
79,2021-01-24,157.0,1,-18.0,▼,-13.0,-10.3,-2.0,222.0
80,2021-01-25,148.0,1,-9.0,▼,-14.0,-5.7,0.0,223.0
81,2021-01-26,150.5,3,2.5,▲,-13.0,1.7,2.0,226.0
82,2021-01-27,149.9,2,-0.6,▼,-14.0,-0.4,-1.0,228.0
83,2021-01-28,152.4,2,2.5,▲,-13.0,1.7,0.0,230.0
84,2021-01-30,170.4,2,18.0,▲,-12.0,11.8,0.0,232.0
85,2021-01-31,178.4,1,8.0,▲,-11.0,4.7,-1.0,233.0
86,2021-02-01,182.0,1,3.6,▲,-10.0,2.0,0.0,234.0
87,2021-02-02,181.1,2,-0.9,▼,-11.0,-0.5,1.0,236.0
88,2021-02-03,175.1,2,-6.0,▼,-12.0,-3.3,0.0,238.0
89,2021-02-04,169.6,2,-5.5,▼,-13.0,-3.1,0.0,240.0
90,2021-02-05,167.1,2,-2.5,▼,-14.0,-1.5,0.0,242.0
91,2021-02-07,159.5,3,-7.6,▼,-15.0,-4.5,1.0,245.0
92,2021-02-08,159.0,1,-0.5,▼,-16.0,-0.3,-2.0,246.0
93,2021-02-10,152.0,2,-7.0,▼,-17.0,-4.4,1.0,248.0
94,2021-02-11,150.5,3,-1.5,▼,-18.0,-1.0,1.0,251.0
95,2021-02-12,136.0,1,-14.5,▼,-19.0,-9.6,-2.0,252.0
96,2021-02-13,146.0,4,10.0,▲,-18.0,7.4,3.0,256.0
97,2021-02-14,148.5,2,2.5,▲,-17.0,1.7,-2.0,258.0
98,2021-02-16,160.5,1,12.0,▲,-16.0,8.1,-1.0,259.0
99,2021-02-17,167.4,4,6.9,▲,-15.0,4.3,3.0,263.0
100,2021-02-18,181.4,1,14.0,▲,-14.0,8.4,-3.0,264.0
101,2021-02-19,179.4,3,-2.0,▼,-15.0,-1.1,2.0,267.0
102,2021-02-20,179.9,1,0.5,▲,-14.0,0.3,-2.0,268.0
103,2021-02-21,179.2,2,-0.7,▼,-15.0,-0.4,1.0,270.0
104,2021-02-22,175.3,3,-3.9,▼,-16.0,-2.2,1.0,273.0
105,2021-02-23,173.3,2,-2.0,▼,-17.0,-1.1,-1.0,275.0
106,2021-02-24,171.6,5,-1.7,▼,-18.0,-1.0,3.0,280.0
107,2021-02-25,166.7,6,-4.9,▼,-19.0,-2.9,1.0,286.0
108,2021-02-26,163.4,2,-3.3,▼,-20.0,-2.0,-4.0,288.0
109,2021-02-27,163.9,11,0.5,▲,-19.0,0.3,9.0,299.0
110,2021-02-28,166.4,4,2.5,▲,-18.0,1.5,-7.0,303.0
111,2021-03-01,169.2,5,2.8,▲,-17.0,1.7,1.0,308.0
112,2021-03-02,170.1,1,0.9,▲,-16.0,0.5,-4.0,309.0
113,2021-03-03,175.6,5,5.5,▲,-15.0,3.2,4.0,314.0
114,2021-03-04,170.1,3,-5.5,▼,-16.0,-3.1,-2.0,317.0
115,2021-03-05,164.6,5,-5.5,▼,-17.0,-3.2,2.0,322.0
