,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-03-24,11.7,17,0.0,-,0.0,0.0,0.0,0.0
1,2020-03-25,11.0,21,-0.7,▼,-1.0,-6.0,4.0,21.0
2,2020-03-26,11.0,15,0.0,-,-1.0,0.0,-6.0,36.0
3,2020-03-27,11.0,18,0.0,-,-1.0,0.0,3.0,54.0
4,2020-03-28,11.2,15,0.2,▲,0.0,1.8,-3.0,69.0
5,2020-03-29,11.1,44,-0.1,▼,-1.0,-0.9,29.0,113.0
6,2020-03-30,11.2,10,0.1,▲,0.0,0.9,-34.0,123.0
7,2020-03-31,10.9,24,-0.3,▼,-1.0,-2.7,14.0,147.0
8,2020-04-01,10.8,8,-0.1,▼,-2.0,-0.9,-16.0,155.0
9,2020-04-02,10.8,20,0.0,-,-2.0,0.0,12.0,175.0
10,2020-04-03,10.6,24,-0.2,▼,-3.0,-1.9,4.0,199.0
11,2020-04-04,11.4,20,0.8,▲,-2.0,7.5,-4.0,219.0
12,2020-04-05,11.1,19,-0.3,▼,-3.0,-2.6,-1.0,238.0
13,2020-04-06,11.0,24,-0.1,▼,-4.0,-0.9,5.0,262.0
14,2020-04-07,11.1,13,0.1,▲,-3.0,0.9,-11.0,275.0
15,2020-04-08,11.2,20,0.1,▲,-2.0,0.9,7.0,295.0
16,2020-04-09,10.1,6,-1.1,▼,-3.0,-9.8,-14.0,301.0
17,2020-04-10,10.2,37,0.1,▲,-2.0,1.0,31.0,338.0
18,2020-04-11,10.5,26,0.3,▲,-1.0,2.9,-11.0,364.0
19,2020-04-12,10.3,13,-0.2,▼,-2.0,-1.9,-13.0,377.0
20,2020-04-13,10.0,11,-0.3,▼,-3.0,-2.9,-2.0,388.0
21,2020-04-14,10.5,13,0.5,▲,-2.0,5.0,2.0,401.0
22,2020-04-15,10.5,39,0.0,-,-2.0,0.0,26.0,440.0
23,2020-04-16,10.3,31,-0.2,▼,-3.0,-1.9,-8.0,471.0
24,2020-04-17,10.8,29,0.5,▲,-2.0,4.9,-2.0,500.0
25,2020-04-18,11.2,19,0.4,▲,-1.0,3.7,-10.0,519.0
26,2020-04-19,10.6,26,-0.6,▼,-2.0,-5.4,7.0,545.0
27,2020-04-20,10.3,35,-0.3,▼,-3.0,-2.8,9.0,580.0
28,2020-04-21,10.2,22,-0.1,▼,-4.0,-1.0,-13.0,602.0
29,2020-04-22,9.7,27,-0.5,▼,-5.0,-4.9,5.0,629.0
30,2020-04-23,9.1,26,-0.6,▼,-6.0,-6.2,-1.0,655.0
31,2020-04-24,9.3,14,0.2,▲,-5.0,2.2,-12.0,669.0
32,2020-04-25,9.5,20,0.2,▲,-4.0,2.2,6.0,689.0
33,2020-04-26,9.3,12,-0.2,▼,-5.0,-2.1,-8.0,701.0
34,2020-04-27,9.5,23,0.2,▲,-4.0,2.2,11.0,724.0
35,2020-04-28,9.7,20,0.2,▲,-3.0,2.1,-3.0,744.0
36,2020-04-29,9.6,15,-0.1,▼,-4.0,-1.0,-5.0,759.0
37,2020-04-30,9.5,19,-0.1,▼,-5.0,-1.0,4.0,778.0
38,2020-05-01,9.5,13,0.0,-,-5.0,0.0,-6.0,791.0
39,2020-05-02,9.1,17,-0.4,▼,-6.0,-4.2,4.0,808.0
40,2020-05-03,9.1,11,0.0,-,-6.0,0.0,-6.0,819.0
41,2020-05-04,9.1,19,0.0,-,-6.0,0.0,8.0,838.0
42,2020-05-05,9.0,31,-0.1,▼,-7.0,-1.1,12.0,869.0
43,2020-05-06,9.4,17,0.4,▲,-6.0,4.4,-14.0,886.0
44,2020-05-07,9.5,13,0.1,▲,-5.0,1.1,-4.0,899.0
45,2020-05-08,9.9,17,0.4,▲,-4.0,4.2,4.0,916.0
46,2020-05-09,9.6,12,-0.3,▼,-5.0,-3.0,-5.0,928.0
47,2020-05-10,9.8,27,0.2,▲,-4.0,2.1,15.0,955.0
48,2020-05-11,9.3,20,-0.5,▼,-5.0,-5.1,-7.0,975.0
49,2020-05-12,9.1,23,-0.2,▼,-6.0,-2.2,3.0,998.0
50,2020-05-13,8.4,20,-0.7,▼,-7.0,-7.7,-3.0,1018.0
51,2020-05-14,8.6,25,0.2,▲,-6.0,2.4,5.0,1043.0
52,2020-05-15,8.7,13,0.1,▲,-5.0,1.2,-12.0,1056.0
53,2020-05-16,8.7,23,0.0,-,-5.0,0.0,10.0,1079.0
54,2020-05-17,8.6,22,-0.1,▼,-6.0,-1.1,-1.0,1101.0
55,2020-05-18,8.5,9,-0.1,▼,-7.0,-1.2,-13.0,1110.0
56,2020-05-19,8.5,33,0.0,-,-7.0,0.0,24.0,1143.0
57,2020-05-20,8.1,19,-0.4,▼,-8.0,-4.7,-14.0,1162.0
58,2020-05-21,7.9,18,-0.2,▼,-9.0,-2.5,-1.0,1180.0
59,2020-05-22,8.1,21,0.2,▲,-8.0,2.5,3.0,1201.0
60,2020-05-23,8.4,12,0.3,▲,-7.0,3.7,-9.0,1213.0
