,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank,name
5,2021-02-11,55.1,141,1.0,▲,-39.0,1.8,-5.0,16581.0,nezha_prime_set
25,2021-02-11,39.5,133,1.5,▲,-35.0,3.9,5.0,43372.0,wukong_prime_set
7,2021-02-11,34.8,124,1.0,▲,-23.0,3.0,-10.0,33451.0,equinox_prime_set
111,2021-02-11,33.4,119,-0.1,▼,-7.0,-0.3,-86.0,23930.0,melee_riven_mod_(veiled)
324,2021-02-11,36.8,92,0.1,▲,88.0,0.3,22.0,56285.0,arcane_energize
9,2021-02-11,63.3,71,0.4,▲,3.0,0.6,-3.0,46105.0,mesa_prime_set
32,2021-02-11,50.0,70,0.0,-,-64.0,0.0,18.0,30694.0,inaros_prime_set
19,2021-02-11,172.3,65,0.0,-,66.0,0.0,-15.0,30768.0,saryn_prime_set
30,2021-02-11,173.6,65,-0.3,▼,26.0,-0.2,-15.0,22499.0,volt_prime_set
13,2021-02-11,66.9,64,0.3,▲,20.0,0.5,-7.0,29550.0,chroma_prime_set
