,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-08-29,,3,0.0,-,0.0,0.0,0.0,0.0
1,2020-08-30,,2,,▲,1.0,,-1.0,2.0
2,2020-08-31,,3,,▲,2.0,,1.0,5.0
3,2020-09-01,,1,,▲,3.0,,-2.0,6.0
4,2020-09-02,7.2,2,,▲,4.0,,1.0,8.0
5,2020-09-04,7.6,2,0.4,▲,5.0,5.6,0.0,10.0
6,2020-09-05,7.4,1,-0.2,▼,4.0,-2.6,-1.0,11.0
7,2020-09-06,7.9,2,0.5,▲,5.0,6.8,1.0,13.0
8,2020-09-07,7.8,6,-0.1,▼,4.0,-1.3,4.0,19.0
9,2020-09-08,7.3,2,-0.5,▼,3.0,-6.4,-4.0,21.0
10,2020-09-09,6.3,1,-1.0,▼,2.0,-13.7,-1.0,22.0
11,2020-09-11,5.9,2,-0.4,▼,1.0,-6.3,1.0,24.0
12,2020-09-12,5.6,3,-0.3,▼,0.0,-5.1,1.0,27.0
13,2020-09-15,5.7,2,0.1,▲,1.0,1.8,-1.0,29.0
14,2020-09-17,5.5,3,-0.2,▼,0.0,-3.5,1.0,32.0
15,2020-09-18,5.7,2,0.2,▲,1.0,3.6,-1.0,34.0
16,2020-09-19,5.7,2,0.0,-,1.0,0.0,0.0,36.0
17,2020-09-20,5.0,1,-0.7,▼,0.0,-12.3,-1.0,37.0
18,2020-09-21,4.8,1,-0.2,▼,-1.0,-4.0,0.0,38.0
19,2020-09-23,4.6,2,-0.2,▼,-2.0,-4.2,1.0,40.0
20,2020-09-25,4.6,1,0.0,-,-2.0,0.0,-1.0,41.0
21,2020-09-26,4.7,3,0.1,▲,-1.0,2.2,2.0,44.0
22,2020-09-27,4.9,1,0.2,▲,0.0,4.3,-2.0,45.0
23,2020-09-28,4.9,3,0.0,-,0.0,0.0,2.0,48.0
24,2020-09-29,4.9,1,0.0,-,0.0,0.0,-2.0,49.0
25,2020-09-30,5.1,2,0.2,▲,1.0,4.1,1.0,51.0
