,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-04-27,3.3,5,0.0,-,0.0,0.0,0.0,0.0
1,2020-04-28,3.3,7,0.0,-,0.0,0.0,2.0,7.0
2,2020-04-29,3.3,12,0.0,-,0.0,0.0,5.0,19.0
3,2020-04-30,3.5,5,0.2,▲,1.0,6.1,-7.0,24.0
4,2020-05-01,4.0,8,0.5,▲,2.0,14.3,3.0,32.0
5,2020-05-02,3.9,2,-0.1,▼,1.0,-2.5,-6.0,34.0
6,2020-05-03,3.9,13,0.0,-,1.0,0.0,11.0,47.0
7,2020-05-04,4.0,8,0.1,▲,2.0,2.6,-5.0,55.0
8,2020-05-05,3.9,13,-0.1,▼,1.0,-2.5,5.0,68.0
9,2020-05-06,3.4,11,-0.5,▼,0.0,-12.8,-2.0,79.0
10,2020-05-07,3.6,2,0.2,▲,1.0,5.9,-9.0,81.0
11,2020-05-08,3.7,5,0.1,▲,2.0,2.8,3.0,86.0
12,2020-05-09,3.7,3,0.0,-,2.0,0.0,-2.0,89.0
13,2020-05-10,3.5,5,-0.2,▼,1.0,-5.4,2.0,94.0
14,2020-05-11,3.2,3,-0.3,▼,0.0,-8.6,-2.0,97.0
15,2020-05-12,3.0,11,-0.2,▼,-1.0,-6.2,8.0,108.0
16,2020-05-13,3.0,11,0.0,-,-1.0,0.0,0.0,119.0
17,2020-05-14,3.0,6,0.0,-,-1.0,0.0,-5.0,125.0
18,2020-05-15,3.2,2,0.2,▲,0.0,6.7,-4.0,127.0
19,2020-05-16,3.6,7,0.4,▲,1.0,12.5,5.0,134.0
20,2020-05-17,3.8,8,0.2,▲,2.0,5.6,1.0,142.0
21,2020-05-18,3.9,8,0.1,▲,3.0,2.6,0.0,150.0
22,2020-05-19,3.8,4,-0.1,▼,2.0,-2.6,-4.0,154.0
23,2020-05-20,3.9,4,0.1,▲,3.0,2.6,0.0,158.0
24,2020-05-21,3.8,4,-0.1,▼,2.0,-2.6,0.0,162.0
25,2020-05-22,3.5,3,-0.3,▼,1.0,-7.9,-1.0,165.0
26,2020-05-23,3.4,8,-0.1,▼,0.0,-2.9,5.0,173.0
27,2020-05-24,3.5,5,0.1,▲,1.0,2.9,-3.0,178.0
28,2020-05-25,3.5,8,0.0,-,1.0,0.0,3.0,186.0
29,2020-05-26,3.5,8,0.0,-,1.0,0.0,0.0,194.0
30,2020-05-27,3.7,4,0.2,▲,2.0,5.7,-4.0,198.0
31,2020-05-28,3.7,3,0.0,-,2.0,0.0,-1.0,201.0
32,2020-05-29,3.5,2,-0.2,▼,1.0,-5.4,-1.0,203.0
33,2020-05-30,3.3,2,-0.2,▼,0.0,-5.7,0.0,205.0
34,2020-05-31,3.4,9,0.1,▲,1.0,3.0,7.0,214.0
35,2020-06-01,3.3,5,-0.1,▼,0.0,-2.9,-4.0,219.0
36,2020-06-03,3.4,5,0.1,▲,1.0,3.0,0.0,224.0
37,2020-06-04,3.5,3,0.1,▲,2.0,2.9,-2.0,227.0
