,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-08-29,,21,0.0,-,0.0,0.0,0.0,0.0
1,2020-08-30,,27,,▲,1.0,,6.0,27.0
2,2020-08-31,,19,,▲,2.0,,-8.0,46.0
3,2020-09-01,,11,,▲,3.0,,-8.0,57.0
4,2020-09-02,6.5,11,,▲,4.0,,0.0,68.0
5,2020-09-03,6.1,9,-0.4,▼,3.0,-6.2,-2.0,77.0
6,2020-09-04,5.6,6,-0.5,▼,2.0,-8.2,-3.0,83.0
7,2020-09-05,5.3,6,-0.3,▼,1.0,-5.4,0.0,89.0
8,2020-09-06,5.2,15,-0.1,▼,0.0,-1.9,9.0,104.0
9,2020-09-07,5.0,4,-0.2,▼,-1.0,-3.8,-11.0,108.0
10,2020-09-08,4.8,10,-0.2,▼,-2.0,-4.0,6.0,118.0
11,2020-09-09,5.1,5,0.3,▲,-1.0,6.2,-5.0,123.0
12,2020-09-10,5.0,12,-0.1,▼,-2.0,-2.0,7.0,135.0
13,2020-09-11,4.9,6,-0.1,▼,-3.0,-2.0,-6.0,141.0
14,2020-09-12,4.8,6,-0.1,▼,-4.0,-2.0,0.0,147.0
15,2020-09-13,4.5,12,-0.3,▼,-5.0,-6.2,6.0,159.0
16,2020-09-14,4.1,9,-0.4,▼,-6.0,-8.9,-3.0,168.0
17,2020-09-15,4.8,4,0.7,▲,-5.0,17.1,-5.0,172.0
18,2020-09-16,4.8,4,0.0,-,-5.0,0.0,0.0,176.0
19,2020-09-17,4.9,4,0.1,▲,-4.0,2.1,0.0,180.0
20,2020-09-18,4.8,12,-0.1,▼,-5.0,-2.0,8.0,192.0
21,2020-09-19,5.4,23,0.6,▲,-4.0,12.5,11.0,215.0
22,2020-09-20,4.9,10,-0.5,▼,-5.0,-9.3,-13.0,225.0
23,2020-09-21,5.3,14,0.4,▲,-4.0,8.2,4.0,239.0
24,2020-09-22,5.1,17,-0.2,▼,-5.0,-3.8,3.0,256.0
25,2020-09-23,5.1,11,0.0,-,-5.0,0.0,-6.0,267.0
26,2020-09-24,4.5,8,-0.6,▼,-6.0,-11.8,-3.0,275.0
27,2020-09-25,4.5,4,0.0,-,-6.0,0.0,-4.0,279.0
28,2020-09-26,4.1,12,-0.4,▼,-7.0,-8.9,8.0,291.0
29,2020-09-27,4.6,22,0.5,▲,-6.0,12.2,10.0,313.0
30,2020-09-28,4.9,12,0.3,▲,-5.0,6.5,-10.0,325.0
31,2020-09-29,5.5,14,0.6,▲,-4.0,12.2,2.0,339.0
32,2020-09-30,5.7,10,0.2,▲,-3.0,3.6,-4.0,349.0
33,2020-10-01,6.2,7,0.5,▲,-2.0,8.8,-3.0,356.0
34,2020-10-02,6.3,4,0.1,▲,-1.0,1.6,-3.0,360.0
35,2020-10-03,6.6,10,0.3,▲,0.0,4.8,6.0,370.0
