,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-07-07,29.3,30,0.0,-,0.0,0.0,0.0,0.0
1,2020-07-08,29.3,27,0.0,-,0.0,0.0,-3.0,27.0
2,2020-07-09,29.2,22,-0.1,▼,-1.0,-0.3,-5.0,49.0
3,2020-07-10,29.7,51,0.5,▲,0.0,1.7,29.0,100.0
4,2020-07-11,30.4,41,0.7,▲,1.0,2.4,-10.0,141.0
5,2020-07-12,31.2,44,0.8,▲,2.0,2.6,3.0,185.0
6,2020-07-13,32.2,35,1.0,▲,3.0,3.2,-9.0,220.0
7,2020-07-14,32.8,30,0.6,▲,4.0,1.9,-5.0,250.0
8,2020-07-15,32.8,61,0.0,-,4.0,0.0,31.0,311.0
9,2020-07-16,32.5,41,-0.3,▼,3.0,-0.9,-20.0,352.0
10,2020-07-17,32.4,45,-0.1,▼,2.0,-0.3,4.0,397.0
11,2020-07-18,32.6,27,0.2,▲,3.0,0.6,-18.0,424.0
12,2020-07-19,33.0,30,0.4,▲,4.0,1.2,3.0,454.0
13,2020-07-20,32.6,45,-0.4,▼,3.0,-1.2,15.0,499.0
14,2020-07-21,33.2,36,0.6,▲,4.0,1.8,-9.0,535.0
15,2020-07-22,32.8,26,-0.4,▼,3.0,-1.2,-10.0,561.0
16,2020-07-23,31.8,37,-1.0,▼,2.0,-3.0,11.0,598.0
17,2020-07-24,30.9,24,-0.9,▼,1.0,-2.8,-13.0,622.0
18,2020-07-25,30.6,18,-0.3,▼,0.0,-1.0,-6.0,640.0
19,2020-07-26,29.9,24,-0.7,▼,-1.0,-2.3,6.0,664.0
20,2020-07-27,29.8,29,-0.1,▼,-2.0,-0.3,5.0,693.0
21,2020-07-28,29.6,31,-0.2,▼,-3.0,-0.7,2.0,724.0
22,2020-07-29,29.5,22,-0.1,▼,-4.0,-0.3,-9.0,746.0
23,2020-07-30,29.6,23,0.1,▲,-3.0,0.3,1.0,769.0
24,2020-07-31,29.2,30,-0.4,▼,-4.0,-1.4,7.0,799.0
25,2020-08-01,29.3,45,0.1,▲,-3.0,0.3,15.0,844.0
26,2020-08-02,30.4,113,1.1,▲,-2.0,3.8,68.0,957.0
27,2020-08-03,31.9,66,1.5,▲,-1.0,4.9,-47.0,1023.0
28,2020-08-04,33.0,82,1.1,▲,0.0,3.4,16.0,1105.0
29,2020-08-05,34.8,50,1.8,▲,1.0,5.5,-32.0,1155.0
30,2020-08-06,36.5,47,1.7,▲,2.0,4.9,-3.0,1202.0
31,2020-08-07,36.8,52,0.3,▲,3.0,0.8,5.0,1254.0
32,2020-08-08,36.5,40,-0.3,▼,2.0,-0.8,-12.0,1294.0
33,2020-08-09,37.5,58,1.0,▲,3.0,2.7,18.0,1352.0
34,2020-08-10,37.3,52,-0.2,▼,2.0,-0.5,-6.0,1404.0
35,2020-08-11,36.2,38,-1.1,▼,1.0,-2.9,-14.0,1442.0
36,2020-08-12,35.3,37,-0.9,▼,0.0,-2.5,-1.0,1479.0
37,2020-08-13,34.6,35,-0.7,▼,-1.0,-2.0,-2.0,1514.0
38,2020-08-14,33.1,46,-1.5,▼,-2.0,-4.3,11.0,1560.0
39,2020-08-15,31.8,48,-1.3,▼,-3.0,-3.9,2.0,1608.0
40,2020-08-16,31.2,45,-0.6,▼,-4.0,-1.9,-3.0,1653.0
41,2020-08-17,31.7,43,0.5,▲,-3.0,1.6,-2.0,1696.0
42,2020-08-18,31.9,39,0.2,▲,-2.0,0.6,-4.0,1735.0
43,2020-08-19,32.1,25,0.2,▲,-1.0,0.6,-14.0,1760.0
44,2020-08-20,32.5,33,0.4,▲,0.0,1.2,8.0,1793.0
45,2020-08-21,32.7,39,0.2,▲,1.0,0.6,6.0,1832.0
46,2020-08-22,31.6,42,-1.1,▼,0.0,-3.4,3.0,1874.0
47,2020-08-23,31.0,42,-0.6,▼,-1.0,-1.9,0.0,1916.0
48,2020-08-24,30.0,36,-1.0,▼,-2.0,-3.2,-6.0,1952.0
49,2020-08-25,29.6,49,-0.4,▼,-3.0,-1.3,13.0,2001.0
50,2020-08-26,29.2,21,-0.4,▼,-4.0,-1.4,-28.0,2022.0
51,2020-08-27,29.5,57,0.3,▲,-3.0,1.0,36.0,2079.0
52,2020-08-28,29.2,61,-0.3,▼,-4.0,-1.0,4.0,2140.0
53,2020-08-29,29.5,53,0.3,▲,-3.0,1.0,-8.0,2193.0
54,2020-08-30,30.5,51,1.0,▲,-2.0,3.4,-2.0,2244.0
55,2020-08-31,31.2,41,0.7,▲,-1.0,2.3,-10.0,2285.0
56,2020-09-01,31.2,55,0.0,-,-1.0,0.0,14.0,2340.0
57,2020-09-02,32.7,25,1.5,▲,0.0,4.8,-30.0,2365.0
