,datetime,avg_price,volume,day_before,yn_before,lank,day_percent
0,2020-03-24,12.9,8,0.0,-,0.0,0.0
1,2020-03-25,13.4,1,0.5,▲,1.0,3.9
2,2020-03-26,13.7,3,0.3,▲,2.0,2.2
3,2020-03-27,13.3,6,-0.4,▼,1.0,-2.9
4,2020-03-28,13.6,3,0.3,▲,2.0,2.3
5,2020-03-29,14.2,6,0.6,▲,3.0,4.4
6,2020-03-30,14.7,11,0.5,▲,4.0,3.5
7,2020-03-31,15.3,11,0.6,▲,5.0,4.1
8,2020-04-01,15.7,4,0.4,▲,6.0,2.6
9,2020-04-02,15.9,7,0.2,▲,7.0,1.3
10,2020-04-03,16.4,4,0.5,▲,8.0,3.1
11,2020-04-04,15.1,6,-1.3,▼,7.0,-7.9
12,2020-04-05,15.2,4,0.1,▲,8.0,0.7
13,2020-04-06,15.3,1,0.1,▲,9.0,0.7
14,2020-04-07,14.8,3,-0.5,▼,8.0,-3.3
15,2020-04-08,14.5,5,-0.3,▼,7.0,-2.0
16,2020-04-09,15.3,1,0.8,▲,8.0,5.5
17,2020-04-10,14.3,7,-1.0,▼,7.0,-6.5
18,2020-04-11,13.8,8,-0.5,▼,6.0,-3.5
19,2020-04-12,13.2,7,-0.6,▼,5.0,-4.3
20,2020-04-13,12.4,9,-0.8,▼,4.0,-6.1
21,2020-04-14,11.6,5,-0.8,▼,3.0,-6.5
22,2020-04-15,11.9,1,0.3,▲,4.0,2.6
23,2020-04-16,12.2,4,0.3,▲,5.0,2.5
24,2020-04-17,13.3,1,1.1,▲,6.0,9.0
25,2020-04-18,13.3,2,0.0,-,6.0,0.0
26,2020-04-19,13.9,5,0.6,▲,7.0,4.5
27,2020-04-20,13.5,3,-0.4,▼,6.0,-2.9
28,2020-04-21,13.3,3,-0.2,▼,5.0,-1.5
29,2020-04-22,12.5,5,-0.8,▼,4.0,-6.0
30,2020-04-23,12.9,5,0.4,▲,5.0,3.2
31,2020-04-24,13.1,5,0.2,▲,6.0,1.6
32,2020-04-25,12.7,3,-0.4,▼,5.0,-3.1
33,2020-04-26,12.9,6,0.2,▲,6.0,1.6
34,2020-04-27,13.7,2,0.8,▲,7.0,6.2
35,2020-04-28,13.8,2,0.1,▲,8.0,0.7
36,2020-04-29,13.7,6,-0.1,▼,7.0,-0.7
37,2020-04-30,14.6,4,0.9,▲,8.0,6.6
38,2020-05-01,15.5,6,0.9,▲,9.0,6.2
39,2020-05-02,15.8,7,0.3,▲,10.0,1.9
40,2020-05-03,16.2,5,0.4,▲,11.0,2.5
41,2020-05-04,16.0,4,-0.2,▼,10.0,-1.2
42,2020-05-05,15.6,7,-0.4,▼,9.0,-2.5
43,2020-05-06,15.0,4,-0.6,▼,8.0,-3.8
44,2020-05-07,15.1,12,0.1,▲,9.0,0.7
45,2020-05-08,15.0,9,-0.1,▼,8.0,-0.7
46,2020-05-09,15.8,4,0.8,▲,9.0,5.3
47,2020-05-10,16.7,7,0.9,▲,10.0,5.7
48,2020-05-11,17.5,4,0.8,▲,11.0,4.8
49,2020-05-12,16.3,4,-1.2,▼,10.0,-6.9
50,2020-05-13,17.5,4,1.2,▲,11.0,7.4
51,2020-05-14,18.0,7,0.5,▲,12.0,2.9
52,2020-05-15,18.4,5,0.4,▲,13.0,2.2
53,2020-05-16,18.3,7,-0.1,▼,12.0,-0.5
54,2020-05-17,20.0,4,1.7,▲,13.0,9.3
55,2020-05-18,19.0,10,-1.0,▼,12.0,-5.0
56,2020-05-19,19.3,6,0.3,▲,13.0,1.6
57,2020-05-20,18.4,5,-0.9,▼,12.0,-4.7
58,2020-05-23,17.8,5,-0.6,▼,11.0,-3.3
59,2020-05-24,16.9,3,-0.9,▼,10.0,-5.1
60,2020-05-26,16.2,1,-0.7,▼,9.0,-4.1
61,2020-05-28,14.9,6,-1.3,▼,8.0,-8.0
62,2020-05-29,15.0,1,0.1,▲,9.0,0.7
63,2020-05-30,14.7,2,-0.3,▼,8.0,-2.0
64,2020-05-31,15.2,2,0.5,▲,9.0,3.4
65,2020-06-01,16.3,4,1.1,▲,10.0,7.2
66,2020-06-02,16.3,4,0.0,-,10.0,0.0
67,2020-06-03,16.3,1,0.0,-,10.0,0.0
68,2020-06-04,16.2,1,-0.1,▼,9.0,-0.6
69,2020-06-06,16.1,5,-0.1,▼,8.0,-0.6
70,2020-06-07,15.7,2,-0.4,▼,7.0,-2.5
71,2020-06-08,15.6,7,-0.1,▼,6.0,-0.6
72,2020-06-09,16.5,4,0.9,▲,7.0,5.8
