,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-04-27,2.7,1,0.0,-,0.0,0.0,0.0,0.0
1,2020-04-29,2.6,2,-0.1,▼,-1.0,-3.7,1.0,2.0
2,2020-04-30,2.6,1,0.0,-,-1.0,0.0,-1.0,3.0
3,2020-05-01,2.2,1,-0.4,▼,-2.0,-15.4,0.0,4.0
4,2020-05-03,2.2,2,0.0,-,-2.0,0.0,1.0,6.0
5,2020-05-04,2.0,1,-0.2,▼,-3.0,-9.1,-1.0,7.0
6,2020-05-06,2.0,3,0.0,-,-3.0,0.0,2.0,10.0
7,2020-05-07,2.0,1,0.0,-,-3.0,0.0,-2.0,11.0
8,2020-05-08,2.2,3,0.2,▲,-2.0,10.0,2.0,14.0
9,2020-05-09,2.2,3,0.0,-,-2.0,0.0,0.0,17.0
10,2020-05-10,2.1,3,-0.1,▼,-3.0,-4.5,0.0,20.0
11,2020-05-11,2.2,1,0.1,▲,-2.0,4.8,-2.0,21.0
12,2020-05-12,2.2,1,0.0,-,-2.0,0.0,0.0,22.0
13,2020-05-13,2.4,3,0.2,▲,-1.0,9.1,2.0,25.0
14,2020-05-14,2.4,3,0.0,-,-1.0,0.0,0.0,28.0
15,2020-05-15,2.3,2,-0.1,▼,-2.0,-4.2,-1.0,30.0
16,2020-05-16,2.1,2,-0.2,▼,-3.0,-8.7,0.0,32.0
17,2020-05-17,2.1,2,0.0,-,-3.0,0.0,0.0,34.0
18,2020-05-18,1.9,2,-0.2,▼,-4.0,-9.5,0.0,36.0
19,2020-05-21,1.9,4,0.0,-,-4.0,0.0,2.0,40.0
20,2020-05-22,2.2,4,0.3,▲,-3.0,15.8,0.0,44.0
21,2020-05-23,2.4,1,0.2,▲,-2.0,9.1,-3.0,45.0
22,2020-05-24,2.4,1,0.0,-,-2.0,0.0,0.0,46.0
23,2020-05-26,2.4,3,0.0,-,-2.0,0.0,2.0,49.0
24,2020-05-28,2.3,2,-0.1,▼,-3.0,-4.2,-1.0,51.0
25,2020-05-29,2.2,2,-0.1,▼,-4.0,-4.3,0.0,53.0
26,2020-05-30,2.0,2,-0.2,▼,-5.0,-9.1,0.0,55.0
27,2020-06-01,2.3,2,0.3,▲,-4.0,15.0,0.0,57.0
28,2020-06-02,2.7,1,0.4,▲,-3.0,17.4,-1.0,58.0
29,2020-06-03,2.9,1,0.2,▲,-2.0,7.4,0.0,59.0
30,2020-06-05,3.1,3,0.2,▲,-1.0,6.9,2.0,62.0
31,2020-06-07,3.1,1,0.0,-,-1.0,0.0,-2.0,63.0
32,2020-06-08,2.8,1,-0.3,▼,-2.0,-9.7,0.0,64.0
33,2020-06-09,2.5,3,-0.3,▼,-3.0,-10.7,2.0,67.0
34,2020-06-10,2.3,1,-0.2,▼,-4.0,-8.0,-2.0,68.0
35,2020-06-13,2.1,2,-0.2,▼,-5.0,-8.7,1.0,70.0
36,2020-06-16,2.2,2,0.1,▲,-4.0,4.8,0.0,72.0
37,2020-06-17,2.2,1,0.0,-,-4.0,0.0,-1.0,73.0
38,2020-06-18,2.1,1,-0.1,▼,-5.0,-4.5,0.0,74.0
39,2020-06-19,2.1,2,0.0,-,-5.0,0.0,1.0,76.0
40,2020-06-20,2.2,3,0.1,▲,-4.0,4.8,1.0,79.0
41,2020-06-21,2.2,6,0.0,-,-4.0,0.0,3.0,85.0
42,2020-06-24,2.2,3,0.0,-,-4.0,0.0,-3.0,88.0
43,2020-06-26,2.2,2,0.0,-,-4.0,0.0,-1.0,90.0
44,2020-06-27,2.2,1,0.0,-,-4.0,0.0,-1.0,91.0
45,2020-06-28,2.3,3,0.1,▲,-3.0,4.5,2.0,94.0
46,2020-06-29,2.7,4,0.4,▲,-2.0,17.4,1.0,98.0
47,2020-06-30,2.8,2,0.1,▲,-1.0,3.7,-2.0,100.0
48,2020-07-01,2.9,3,0.1,▲,0.0,3.6,1.0,103.0
49,2020-07-02,2.8,2,-0.1,▼,-1.0,-3.4,-1.0,105.0
50,2020-07-03,2.6,1,-0.2,▼,-2.0,-7.1,-1.0,106.0
51,2020-07-04,2.3,1,-0.3,▼,-3.0,-11.5,0.0,107.0
52,2020-07-06,2.7,2,0.4,▲,-2.0,17.4,1.0,109.0
53,2020-07-07,2.7,2,0.0,-,-2.0,0.0,0.0,111.0
54,2020-07-08,3.0,1,0.3,▲,-1.0,11.1,-1.0,112.0
55,2020-07-09,3.1,2,0.1,▲,0.0,3.3,1.0,114.0
56,2020-07-10,3.0,3,-0.1,▼,-1.0,-3.2,1.0,117.0
57,2020-07-11,2.6,2,-0.4,▼,-2.0,-13.3,-1.0,119.0
58,2020-07-12,2.7,1,0.1,▲,-1.0,3.8,-1.0,120.0
59,2020-07-13,2.7,1,0.0,-,-1.0,0.0,0.0,121.0
60,2020-07-15,2.6,1,-0.1,▼,-2.0,-3.7,0.0,122.0
61,2020-07-16,2.5,3,-0.1,▼,-3.0,-3.8,2.0,125.0
62,2020-07-17,2.5,2,0.0,-,-3.0,0.0,-1.0,127.0
63,2020-07-18,2.3,1,-0.2,▼,-4.0,-8.0,-1.0,128.0
64,2020-07-19,2.2,2,-0.1,▼,-5.0,-4.3,1.0,130.0
65,2020-07-20,2.4,2,0.2,▲,-4.0,9.1,0.0,132.0
66,2020-07-22,2.4,1,0.0,-,-4.0,0.0,-1.0,133.0
67,2020-07-23,2.3,1,-0.1,▼,-5.0,-4.2,0.0,134.0
68,2020-07-24,2.6,4,0.3,▲,-4.0,13.0,3.0,138.0
69,2020-07-25,3.1,1,0.5,▲,-3.0,19.2,-3.0,139.0
70,2020-07-26,3.1,1,0.0,-,-3.0,0.0,0.0,140.0
71,2020-07-27,3.3,1,0.2,▲,-2.0,6.5,0.0,141.0
72,2020-07-28,3.4,2,0.1,▲,-1.0,3.0,1.0,143.0
73,2020-07-29,3.7,1,0.3,▲,0.0,8.8,-1.0,144.0
74,2020-07-31,3.1,1,-0.6,▼,-1.0,-16.2,0.0,145.0
75,2020-08-02,3.0,4,-0.1,▼,-2.0,-3.2,3.0,149.0
76,2020-08-03,2.9,2,-0.1,▼,-3.0,-3.3,-2.0,151.0
77,2020-08-04,2.8,3,-0.1,▼,-4.0,-3.4,1.0,154.0
78,2020-08-05,2.3,4,-0.5,▼,-5.0,-17.9,1.0,158.0
79,2020-08-06,2.6,2,0.3,▲,-4.0,13.0,-2.0,160.0
80,2020-08-07,2.7,1,0.1,▲,-3.0,3.8,-1.0,161.0
81,2020-08-08,2.4,1,-0.3,▼,-4.0,-11.1,0.0,162.0
82,2020-08-09,2.6,4,0.2,▲,-3.0,8.3,3.0,166.0
83,2020-08-10,2.7,3,0.1,▲,-2.0,3.8,-1.0,169.0
84,2020-08-13,2.6,1,-0.1,▼,-3.0,-3.7,-2.0,170.0
85,2020-08-14,2.6,2,0.0,-,-3.0,0.0,1.0,172.0
86,2020-08-15,2.9,3,0.3,▲,-2.0,11.5,1.0,175.0
87,2020-08-16,2.9,1,0.0,-,-2.0,0.0,-2.0,176.0
88,2020-08-17,2.9,1,0.0,-,-2.0,0.0,0.0,177.0
89,2020-08-18,3.0,4,0.1,▲,-1.0,3.4,3.0,181.0
90,2020-08-19,3.1,4,0.1,▲,0.0,3.3,0.0,185.0
91,2020-08-20,3.0,1,-0.1,▼,-1.0,-3.2,-3.0,186.0
92,2020-08-21,3.2,2,0.2,▲,0.0,6.7,1.0,188.0
93,2020-08-22,3.4,1,0.2,▲,1.0,6.2,-1.0,189.0
94,2020-08-23,3.3,2,-0.1,▼,0.0,-2.9,1.0,191.0
95,2020-08-24,3.1,2,-0.2,▼,-1.0,-6.1,0.0,193.0
96,2020-08-25,3.1,1,0.0,-,-1.0,0.0,-1.0,194.0
97,2020-08-26,3.3,1,0.2,▲,0.0,6.5,0.0,195.0
98,2020-08-28,3.1,2,-0.2,▼,-1.0,-6.1,1.0,197.0
99,2020-08-29,2.9,2,-0.2,▼,-2.0,-6.5,0.0,199.0
100,2020-08-31,3.2,2,0.3,▲,-1.0,10.3,0.0,201.0
101,2020-09-01,3.3,3,0.1,▲,0.0,3.1,1.0,204.0
102,2020-09-02,2.9,3,-0.4,▼,-1.0,-12.1,0.0,207.0
103,2020-09-03,2.9,1,0.0,-,-1.0,0.0,-2.0,208.0
104,2020-09-04,2.8,3,-0.1,▼,-2.0,-3.4,2.0,211.0
105,2020-09-06,2.8,2,0.0,-,-2.0,0.0,-1.0,213.0
106,2020-09-08,2.8,2,0.0,-,-2.0,0.0,0.0,215.0
107,2020-09-09,2.7,5,-0.1,▼,-3.0,-3.6,3.0,220.0
108,2020-09-10,2.5,1,-0.2,▼,-4.0,-7.4,-4.0,221.0
109,2020-09-11,2.9,2,0.4,▲,-3.0,16.0,1.0,223.0
110,2020-09-12,2.9,1,0.0,-,-3.0,0.0,-1.0,224.0
111,2020-09-13,3.1,5,0.2,▲,-2.0,6.9,4.0,229.0
112,2020-09-15,3.1,3,0.0,-,-2.0,0.0,-2.0,232.0
113,2020-09-16,3.3,5,0.2,▲,-1.0,6.5,2.0,237.0
114,2020-09-17,3.2,2,-0.1,▼,-2.0,-3.0,-3.0,239.0
115,2020-09-18,3.0,3,-0.2,▼,-3.0,-6.2,1.0,242.0
116,2020-09-19,2.9,1,-0.1,▼,-4.0,-3.3,-2.0,243.0
117,2020-09-20,3.1,2,0.2,▲,-3.0,6.9,1.0,245.0
118,2020-09-21,3.0,2,-0.1,▼,-4.0,-3.2,0.0,247.0
119,2020-09-22,2.9,3,-0.1,▼,-5.0,-3.3,1.0,250.0
120,2020-09-23,2.9,4,0.0,-,-5.0,0.0,1.0,254.0
121,2020-09-24,2.7,1,-0.2,▼,-6.0,-6.9,-3.0,255.0
122,2020-09-26,2.5,3,-0.2,▼,-7.0,-7.4,2.0,258.0
123,2020-09-27,2.5,3,0.0,-,-7.0,0.0,0.0,261.0
124,2020-09-28,2.4,2,-0.1,▼,-8.0,-4.0,-1.0,263.0
125,2020-09-29,2.6,2,0.2,▲,-7.0,8.3,0.0,265.0
126,2020-09-30,3.0,2,0.4,▲,-6.0,15.4,0.0,267.0
127,2020-10-01,3.1,1,0.1,▲,-5.0,3.3,-1.0,268.0
128,2020-10-02,3.3,2,0.2,▲,-4.0,6.5,1.0,270.0
129,2020-10-03,3.5,2,0.2,▲,-3.0,6.1,0.0,272.0
130,2020-10-04,3.3,1,-0.2,▼,-4.0,-5.7,-1.0,273.0
131,2020-10-05,3.1,1,-0.2,▼,-5.0,-6.1,0.0,274.0
132,2020-10-06,3.0,3,-0.1,▼,-6.0,-3.2,2.0,277.0
133,2020-10-07,3.0,4,0.0,-,-6.0,0.0,1.0,281.0
134,2020-10-08,3.2,1,0.2,▲,-5.0,6.7,-3.0,282.0
135,2020-10-09,3.0,2,-0.2,▼,-6.0,-6.2,1.0,284.0
136,2020-10-11,3.1,8,0.1,▲,-5.0,3.3,6.0,292.0
137,2020-10-12,3.2,2,0.1,▲,-4.0,3.2,-6.0,294.0
138,2020-10-13,2.9,1,-0.3,▼,-5.0,-9.4,-1.0,295.0
139,2020-10-15,2.9,2,0.0,-,-5.0,0.0,1.0,297.0
140,2020-10-16,3.3,3,0.4,▲,-4.0,13.8,1.0,300.0
141,2020-10-17,3.2,2,-0.1,▼,-5.0,-3.0,-1.0,302.0
142,2020-10-18,3.2,1,0.0,-,-5.0,0.0,-1.0,303.0
143,2020-10-19,3.7,2,0.5,▲,-4.0,15.6,1.0,305.0
144,2020-10-20,3.5,1,-0.2,▼,-5.0,-5.4,-1.0,306.0
145,2020-10-21,3.3,2,-0.2,▼,-6.0,-5.7,1.0,308.0
146,2020-10-22,3.3,1,0.0,-,-6.0,0.0,-1.0,309.0
147,2020-10-23,3.2,4,-0.1,▼,-7.0,-3.0,3.0,313.0
148,2020-10-24,3.3,2,0.1,▲,-6.0,3.1,-2.0,315.0
149,2020-10-25,3.3,2,0.0,-,-6.0,0.0,0.0,317.0
150,2020-10-26,3.5,2,0.2,▲,-5.0,6.1,0.0,319.0
151,2020-10-27,3.3,1,-0.2,▼,-6.0,-5.7,-1.0,320.0
152,2020-10-28,3.4,1,0.1,▲,-5.0,3.0,0.0,321.0
153,2020-10-31,3.2,1,-0.2,▼,-6.0,-5.9,0.0,322.0
154,2020-11-02,3.0,1,-0.2,▼,-7.0,-6.2,0.0,323.0
155,2020-11-03,2.8,1,-0.2,▼,-8.0,-6.7,0.0,324.0
156,2020-11-04,2.8,1,0.0,-,-8.0,0.0,0.0,325.0
157,2020-11-07,2.7,3,-0.1,▼,-9.0,-3.6,2.0,328.0
158,2020-11-08,2.3,2,-0.4,▼,-10.0,-14.8,-1.0,330.0
159,2020-11-09,2.5,1,0.2,▲,-9.0,8.7,-1.0,331.0
160,2020-11-10,2.5,5,0.0,-,-9.0,0.0,4.0,336.0
161,2020-11-11,2.8,3,0.3,▲,-8.0,12.0,-2.0,339.0
162,2020-11-12,2.9,2,0.1,▲,-7.0,3.6,-1.0,341.0
163,2020-11-13,3.0,3,0.1,▲,-6.0,3.4,1.0,344.0
164,2020-11-14,3.1,8,0.1,▲,-5.0,3.3,5.0,352.0
165,2020-11-16,3.1,1,0.0,-,-5.0,0.0,-7.0,353.0
166,2020-11-17,3.1,2,0.0,-,-5.0,0.0,1.0,355.0
167,2020-11-20,3.5,1,0.4,▲,-4.0,12.9,-1.0,356.0
168,2020-11-21,4.0,1,0.5,▲,-3.0,14.3,0.0,357.0
169,2020-11-22,3.5,2,-0.5,▼,-4.0,-12.5,1.0,359.0
170,2020-11-25,3.4,2,-0.1,▼,-5.0,-2.9,0.0,361.0
171,2020-11-26,3.3,1,-0.1,▼,-6.0,-2.9,-1.0,362.0
172,2020-11-28,2.9,5,-0.4,▼,-7.0,-12.1,4.0,367.0
173,2020-11-29,2.9,2,0.0,-,-7.0,0.0,-3.0,369.0
174,2020-11-30,3.3,4,0.4,▲,-6.0,13.8,2.0,373.0
175,2020-12-03,3.2,1,-0.1,▼,-7.0,-3.0,-3.0,374.0
176,2020-12-04,3.4,1,0.2,▲,-6.0,6.2,0.0,375.0
177,2020-12-05,3.4,1,0.0,-,-6.0,0.0,0.0,376.0
178,2020-12-06,3.0,1,-0.4,▼,-7.0,-11.8,0.0,377.0
179,2020-12-08,3.0,1,0.0,-,-7.0,0.0,0.0,378.0
