,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-02-11,,1,0.0,-,0.0,0.0,0.0,0.0
1,2020-02-12,33.8,6,,▲,1.0,,5.0,6.0
2,2020-02-13,34.0,3,0.2,▲,2.0,0.6,-3.0,9.0
3,2020-02-14,33.0,4,-1.0,▼,1.0,-2.9,1.0,13.0
4,2020-02-15,33.0,3,0.0,-,1.0,0.0,-1.0,16.0
5,2020-02-16,34.0,9,1.0,▲,2.0,3.0,6.0,25.0
6,2020-02-18,32.5,6,-1.5,▼,1.0,-4.4,-3.0,31.0
7,2020-02-19,33.5,3,1.0,▲,2.0,3.1,-3.0,34.0
8,2020-02-20,34.0,7,0.5,▲,3.0,1.5,4.0,41.0
9,2020-02-21,33.5,1,-0.5,▼,2.0,-1.5,-6.0,42.0
10,2020-02-22,34.8,5,1.3,▲,3.0,3.9,4.0,47.0
11,2020-02-23,36.7,6,1.9,▲,4.0,5.5,1.0,53.0
12,2020-02-24,35.7,3,-1.0,▼,3.0,-2.7,-3.0,56.0
13,2020-02-25,35.8,2,0.1,▲,4.0,0.3,-1.0,58.0
14,2020-02-26,36.3,3,0.5,▲,5.0,1.4,1.0,61.0
15,2020-02-27,34.0,7,-2.3,▼,4.0,-6.3,4.0,68.0
16,2020-02-28,32.5,2,-1.5,▼,3.0,-4.4,-5.0,70.0
17,2020-02-29,31.8,5,-0.7,▼,2.0,-2.2,3.0,75.0
18,2020-03-01,31.8,4,0.0,-,2.0,0.0,-1.0,79.0
19,2020-03-02,32.3,3,0.5,▲,3.0,1.6,-1.0,82.0
20,2020-03-03,33.8,8,1.5,▲,4.0,4.6,5.0,90.0
21,2020-03-04,33.9,3,0.1,▲,5.0,0.3,-5.0,93.0
22,2020-03-06,35.1,5,1.2,▲,6.0,3.5,2.0,98.0
23,2020-03-07,34.5,4,-0.6,▼,5.0,-1.7,-1.0,102.0
24,2020-03-08,35.2,11,0.7,▲,6.0,2.0,7.0,113.0
25,2020-03-09,36.2,5,1.0,▲,7.0,2.8,-6.0,118.0
26,2020-03-10,37.6,2,1.4,▲,8.0,3.9,-3.0,120.0
27,2020-03-11,40.1,4,2.5,▲,9.0,6.6,2.0,124.0
28,2020-03-12,41.1,4,1.0,▲,10.0,2.5,0.0,128.0
29,2020-03-13,40.4,2,-0.7,▼,9.0,-1.7,-2.0,130.0
30,2020-03-14,38.4,7,-2.0,▼,8.0,-5.0,5.0,137.0
31,2020-03-15,39.0,3,0.6,▲,9.0,1.6,-4.0,140.0
32,2020-03-16,37.3,4,-1.7,▼,8.0,-4.4,1.0,144.0
33,2020-03-17,38.0,2,0.7,▲,9.0,1.9,-2.0,146.0
34,2020-03-18,37.0,3,-1.0,▼,8.0,-2.6,1.0,149.0
35,2020-03-19,38.0,3,1.0,▲,9.0,2.7,0.0,152.0
36,2020-03-20,38.5,4,0.5,▲,10.0,1.3,1.0,156.0
37,2020-03-21,38.2,3,-0.3,▼,9.0,-0.8,-1.0,159.0
38,2020-03-22,37.0,7,-1.2,▼,8.0,-3.1,4.0,166.0
39,2020-03-23,38.2,2,1.2,▲,9.0,3.2,-5.0,168.0
40,2020-03-24,38.7,1,0.5,▲,10.0,1.3,-1.0,169.0
41,2020-03-25,36.7,1,-2.0,▼,9.0,-5.2,0.0,170.0
42,2020-03-26,36.8,3,0.1,▲,10.0,0.3,2.0,173.0
43,2020-03-27,38.2,4,1.4,▲,11.0,3.8,1.0,177.0
44,2020-03-28,39.5,6,1.3,▲,12.0,3.4,2.0,183.0
45,2020-03-29,39.5,1,0.0,-,12.0,0.0,-5.0,184.0
46,2020-03-30,40.5,4,1.0,▲,13.0,2.5,3.0,188.0
47,2020-03-31,40.1,4,-0.4,▼,12.0,-1.0,0.0,192.0
48,2020-04-01,38.6,4,-1.5,▼,11.0,-3.7,0.0,196.0
49,2020-04-02,38.5,7,-0.1,▼,10.0,-0.3,3.0,203.0
50,2020-04-03,39.5,4,1.0,▲,11.0,2.6,-3.0,207.0
51,2020-04-04,39.5,11,0.0,-,11.0,0.0,7.0,218.0
52,2020-04-05,38.3,1,-1.2,▼,10.0,-3.0,-10.0,219.0
53,2020-04-06,37.4,1,-0.9,▼,9.0,-2.3,0.0,220.0
54,2020-04-07,36.9,12,-0.5,▼,8.0,-1.3,11.0,232.0
55,2020-04-08,34.8,5,-2.1,▼,7.0,-5.7,-7.0,237.0
56,2020-04-09,40.8,4,6.0,▲,8.0,17.2,-1.0,241.0
57,2020-04-10,43.8,3,3.0,▲,9.0,7.4,-1.0,244.0
58,2020-04-11,45.6,4,1.8,▲,10.0,4.1,1.0,248.0
59,2020-04-12,46.2,2,0.6,▲,11.0,1.3,-2.0,250.0
60,2020-04-13,46.5,3,0.3,▲,12.0,0.6,1.0,253.0
61,2020-04-14,40.5,4,-6.0,▼,11.0,-12.9,1.0,257.0
62,2020-04-15,39.0,2,-1.5,▼,10.0,-3.7,-2.0,259.0
63,2020-04-16,38.6,4,-0.4,▼,9.0,-1.0,2.0,263.0
64,2020-04-17,38.5,5,-0.1,▼,8.0,-0.3,1.0,268.0
65,2020-04-18,39.8,8,1.3,▲,9.0,3.4,3.0,276.0
66,2020-04-19,39.5,6,-0.3,▼,8.0,-0.8,-2.0,282.0
67,2020-04-20,39.9,3,0.4,▲,9.0,1.0,-3.0,285.0
68,2020-04-21,41.4,3,1.5,▲,10.0,3.8,0.0,288.0
69,2020-04-22,43.0,2,1.6,▲,11.0,3.9,-1.0,290.0
70,2020-04-23,43.0,3,0.0,-,11.0,0.0,1.0,293.0
71,2020-04-24,43.8,3,0.8,▲,12.0,1.9,0.0,296.0
72,2020-04-25,43.0,6,-0.8,▼,11.0,-1.8,3.0,302.0
73,2020-04-26,42.1,4,-0.9,▼,10.0,-2.1,-2.0,306.0
74,2020-04-27,40.2,5,-1.9,▼,9.0,-4.5,1.0,311.0
75,2020-04-28,39.7,8,-0.5,▼,8.0,-1.2,3.0,319.0
76,2020-04-29,40.2,8,0.5,▲,9.0,1.3,0.0,327.0
77,2020-04-30,40.0,6,-0.2,▼,8.0,-0.5,-2.0,333.0
78,2020-05-01,39.8,3,-0.2,▼,7.0,-0.5,-3.0,336.0
79,2020-05-02,39.1,4,-0.7,▼,6.0,-1.8,1.0,340.0
80,2020-05-03,39.9,8,0.8,▲,7.0,2.0,4.0,348.0
81,2020-05-04,37.6,8,-2.3,▼,6.0,-5.8,0.0,356.0
82,2020-05-05,39.7,15,2.1,▲,7.0,5.6,7.0,371.0
83,2020-05-06,40.9,1,1.2,▲,8.0,3.0,-14.0,372.0
84,2020-05-07,41.5,10,0.6,▲,9.0,1.5,9.0,382.0
85,2020-05-08,40.9,4,-0.6,▼,8.0,-1.4,-6.0,386.0
86,2020-05-09,41.2,5,0.3,▲,9.0,0.7,1.0,391.0
87,2020-05-10,41.2,2,0.0,-,9.0,0.0,-3.0,393.0
88,2020-05-11,40.7,6,-0.5,▼,8.0,-1.2,4.0,399.0
89,2020-05-12,41.6,3,0.9,▲,9.0,2.2,-3.0,402.0
90,2020-05-13,42.9,9,1.3,▲,10.0,3.1,6.0,411.0
91,2020-05-14,44.3,12,1.4,▲,11.0,3.3,3.0,423.0
92,2020-05-15,44.7,3,0.4,▲,12.0,0.9,-9.0,426.0
93,2020-05-16,45.7,11,1.0,▲,13.0,2.2,8.0,437.0
94,2020-05-17,44.3,10,-1.4,▼,12.0,-3.1,-1.0,447.0
95,2020-05-18,43.2,7,-1.1,▼,11.0,-2.5,-3.0,454.0
96,2020-05-19,42.7,4,-0.5,▼,10.0,-1.2,-3.0,458.0
97,2020-05-20,41.6,4,-1.1,▼,9.0,-2.6,0.0,462.0
98,2020-05-21,41.1,7,-0.5,▼,8.0,-1.2,3.0,469.0
99,2020-05-22,42.3,5,1.2,▲,9.0,2.9,-2.0,474.0
100,2020-05-23,42.8,4,0.5,▲,10.0,1.2,-1.0,478.0
101,2020-05-24,42.9,6,0.1,▲,11.0,0.2,2.0,484.0
102,2020-05-25,43.1,3,0.2,▲,12.0,0.5,-3.0,487.0
103,2020-05-26,44.1,5,1.0,▲,13.0,2.3,2.0,492.0
104,2020-05-27,44.4,9,0.3,▲,14.0,0.7,4.0,501.0
105,2020-05-28,44.3,4,-0.1,▼,13.0,-0.2,-5.0,505.0
106,2020-05-29,44.3,7,0.0,-,13.0,0.0,3.0,512.0
107,2020-05-30,43.9,3,-0.4,▼,12.0,-0.9,-4.0,515.0
108,2020-05-31,43.7,4,-0.2,▼,11.0,-0.5,1.0,519.0
109,2020-06-01,41.9,2,-1.8,▼,10.0,-4.1,-2.0,521.0
110,2020-06-02,43.6,3,1.7,▲,11.0,4.1,1.0,524.0
111,2020-06-03,42.6,9,-1.0,▼,10.0,-2.3,6.0,533.0
112,2020-06-04,41.3,3,-1.3,▼,9.0,-3.1,-6.0,536.0
113,2020-06-05,40.0,7,-1.3,▼,8.0,-3.1,4.0,543.0
114,2020-06-06,40.3,5,0.3,▲,9.0,0.8,-2.0,548.0
115,2020-06-07,36.7,6,-3.6,▼,8.0,-8.9,1.0,554.0
116,2020-06-08,38.2,3,1.5,▲,9.0,4.1,-3.0,557.0
117,2020-06-09,37.4,7,-0.8,▼,8.0,-2.1,4.0,564.0
118,2020-06-10,34.9,6,-2.5,▼,7.0,-6.7,-1.0,570.0
119,2020-06-11,33.1,4,-1.8,▼,6.0,-5.2,-2.0,574.0
120,2020-06-12,32.7,4,-0.4,▼,5.0,-1.2,0.0,578.0
121,2020-06-13,30.6,7,-2.1,▼,4.0,-6.4,3.0,585.0
122,2020-06-14,31.2,2,0.6,▲,5.0,2.0,-5.0,587.0
123,2020-06-15,32.7,11,1.5,▲,6.0,4.8,9.0,598.0
124,2020-06-16,34.5,13,1.8,▲,7.0,5.5,2.0,611.0
125,2020-06-17,35.5,4,1.0,▲,8.0,2.9,-9.0,615.0
126,2020-06-18,36.9,5,1.4,▲,9.0,3.9,1.0,620.0
127,2020-06-19,37.3,6,0.4,▲,10.0,1.1,1.0,626.0
128,2020-06-20,38.2,3,0.9,▲,11.0,2.4,-3.0,629.0
129,2020-06-21,37.2,4,-1.0,▼,10.0,-2.6,1.0,633.0
130,2020-06-22,36.5,3,-0.7,▼,9.0,-1.9,-1.0,636.0
131,2020-06-23,36.2,4,-0.3,▼,8.0,-0.8,1.0,640.0
132,2020-06-24,36.7,4,0.5,▲,9.0,1.4,0.0,644.0
133,2020-06-25,36.2,5,-0.5,▼,8.0,-1.4,1.0,649.0
134,2020-06-26,37.9,4,1.7,▲,9.0,4.7,-1.0,653.0
135,2020-06-28,38.6,7,0.7,▲,10.0,1.8,3.0,660.0
136,2020-06-29,39.1,4,0.5,▲,11.0,1.3,-3.0,664.0
137,2020-06-30,37.6,3,-1.5,▼,10.0,-3.8,-1.0,667.0
138,2020-07-01,38.5,1,0.9,▲,11.0,2.4,-2.0,668.0
