,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-04-27,6.8,38,0.0,-,0.0,0.0,0.0,0.0
1,2020-04-28,6.6,31,-0.2,▼,-1.0,-2.9,-7.0,31.0
2,2020-04-29,6.6,26,0.0,-,-1.0,0.0,-5.0,57.0
3,2020-04-30,6.0,33,-0.6,▼,-2.0,-9.1,7.0,90.0
4,2020-05-01,6.1,32,0.1,▲,-1.0,1.7,-1.0,122.0
5,2020-05-02,6.0,40,-0.1,▼,-2.0,-1.6,8.0,162.0
6,2020-05-03,6.1,33,0.1,▲,-1.0,1.7,-7.0,195.0
7,2020-05-04,6.4,42,0.3,▲,0.0,4.9,9.0,237.0
8,2020-05-05,6.0,31,-0.4,▼,-1.0,-6.2,-11.0,268.0
9,2020-05-06,5.5,31,-0.5,▼,-2.0,-8.3,0.0,299.0
10,2020-05-07,5.0,29,-0.5,▼,-3.0,-9.1,-2.0,328.0
11,2020-05-08,4.7,25,-0.3,▼,-4.0,-6.0,-4.0,353.0
12,2020-05-09,4.3,28,-0.4,▼,-5.0,-8.5,3.0,381.0
13,2020-05-10,4.4,43,0.1,▲,-4.0,2.3,15.0,424.0
14,2020-05-11,4.3,39,-0.1,▼,-5.0,-2.3,-4.0,463.0
15,2020-05-12,4.4,26,0.1,▲,-4.0,2.3,-13.0,489.0
16,2020-05-13,4.5,30,0.1,▲,-3.0,2.3,4.0,519.0
17,2020-05-14,4.4,38,-0.1,▼,-4.0,-2.2,8.0,557.0
18,2020-05-15,4.4,36,0.0,-,-4.0,0.0,-2.0,593.0
19,2020-05-16,4.4,36,0.0,-,-4.0,0.0,0.0,629.0
20,2020-05-17,4.5,24,0.1,▲,-3.0,2.3,-12.0,653.0
21,2020-05-18,4.3,40,-0.2,▼,-4.0,-4.4,16.0,693.0
22,2020-05-19,4.5,27,0.2,▲,-3.0,4.7,-13.0,720.0
23,2020-05-20,4.3,38,-0.2,▼,-4.0,-4.4,11.0,758.0
24,2020-05-21,4.3,25,0.0,-,-4.0,0.0,-13.0,783.0
25,2020-05-22,4.1,24,-0.2,▼,-5.0,-4.7,-1.0,807.0
26,2020-05-23,4.2,43,0.1,▲,-4.0,2.4,19.0,850.0
27,2020-05-24,4.2,52,0.0,-,-4.0,0.0,9.0,902.0
28,2020-05-25,4.7,28,0.5,▲,-3.0,11.9,-24.0,930.0
29,2020-05-26,5.4,38,0.7,▲,-2.0,14.9,10.0,968.0
30,2020-05-27,5.4,32,0.0,-,-2.0,0.0,-6.0,1000.0
31,2020-05-28,5.5,19,0.1,▲,-1.0,1.9,-13.0,1019.0
32,2020-05-29,5.6,20,0.1,▲,0.0,1.8,1.0,1039.0
33,2020-05-30,5.1,32,-0.5,▼,-1.0,-8.9,12.0,1071.0
34,2020-05-31,4.5,32,-0.6,▼,-2.0,-11.8,0.0,1103.0
35,2020-06-01,4.6,38,0.1,▲,-1.0,2.2,6.0,1141.0
36,2020-06-02,4.5,32,-0.1,▼,-2.0,-2.2,-6.0,1173.0
37,2020-06-03,4.5,20,0.0,-,-2.0,0.0,-12.0,1193.0
38,2020-06-04,4.4,19,-0.1,▼,-3.0,-2.2,-1.0,1212.0
39,2020-06-05,4.5,21,0.1,▲,-2.0,2.3,2.0,1233.0
40,2020-06-06,4.7,39,0.2,▲,-1.0,4.4,18.0,1272.0
41,2020-06-07,4.7,14,0.0,-,-1.0,0.0,-25.0,1286.0
42,2020-06-08,4.4,11,-0.3,▼,-2.0,-6.4,-3.0,1297.0
43,2020-06-09,4.4,23,0.0,-,-2.0,0.0,12.0,1320.0
44,2020-06-10,4.2,27,-0.2,▼,-3.0,-4.5,4.0,1347.0
45,2020-06-11,4.4,25,0.2,▲,-2.0,4.8,-2.0,1372.0
46,2020-06-12,4.4,23,0.0,-,-2.0,0.0,-2.0,1395.0
