,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-04-27,7.5,5,0.0,-,0.0,0.0,0.0,0.0
1,2020-04-28,7.7,6,0.2,▲,1.0,2.7,1.0,6.0
2,2020-04-29,7.7,9,0.0,-,1.0,0.0,3.0,15.0
3,2020-04-30,7.6,8,-0.1,▼,0.0,-1.3,-1.0,23.0
4,2020-05-01,7.7,8,0.1,▲,1.0,1.3,0.0,31.0
5,2020-05-02,7.9,13,0.2,▲,2.0,2.6,5.0,44.0
6,2020-05-03,8.1,17,0.2,▲,3.0,2.5,4.0,61.0
7,2020-05-04,8.4,6,0.3,▲,4.0,3.7,-11.0,67.0
8,2020-05-05,8.5,6,0.1,▲,5.0,1.2,0.0,73.0
9,2020-05-06,8.4,7,-0.1,▼,4.0,-1.2,1.0,80.0
10,2020-05-07,8.4,8,0.0,-,4.0,0.0,1.0,88.0
11,2020-05-08,8.3,6,-0.1,▼,3.0,-1.2,-2.0,94.0
12,2020-05-09,8.2,5,-0.1,▼,2.0,-1.2,-1.0,99.0
13,2020-05-10,8.3,7,0.1,▲,3.0,1.2,2.0,106.0
14,2020-05-11,8.4,10,0.1,▲,4.0,1.2,3.0,116.0
15,2020-05-12,8.3,10,-0.1,▼,3.0,-1.2,0.0,126.0
16,2020-05-13,8.2,7,-0.1,▼,2.0,-1.2,-3.0,133.0
17,2020-05-14,8.2,9,0.0,-,2.0,0.0,2.0,142.0
18,2020-05-15,8.2,11,0.0,-,2.0,0.0,2.0,153.0
19,2020-05-16,8.1,11,-0.1,▼,1.0,-1.2,0.0,164.0
20,2020-05-17,7.8,8,-0.3,▼,0.0,-3.7,-3.0,172.0
21,2020-05-18,7.5,6,-0.3,▼,-1.0,-3.8,-2.0,178.0
22,2020-05-19,7.3,9,-0.2,▼,-2.0,-2.7,3.0,187.0
23,2020-05-20,7.3,12,0.0,-,-2.0,0.0,3.0,199.0
24,2020-05-21,7.4,3,0.1,▲,-1.0,1.4,-9.0,202.0
25,2020-05-22,7.6,3,0.2,▲,0.0,2.7,0.0,205.0
