,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-03-24,11.3,9,0.0,-,0.0,0.0,0.0,0.0
1,2020-03-25,10.3,11,-1.0,▼,-1.0,-8.8,2.0,11.0
2,2020-03-26,10.2,9,-0.1,▼,-2.0,-1.0,-2.0,20.0
3,2020-03-27,10.7,17,0.5,▲,-1.0,4.9,8.0,37.0
4,2020-03-28,11.1,19,0.4,▲,0.0,3.7,2.0,56.0
5,2020-03-29,11.1,20,0.0,-,0.0,0.0,1.0,76.0
6,2020-03-30,11.5,16,0.4,▲,1.0,3.6,-4.0,92.0
7,2020-03-31,11.2,15,-0.3,▼,0.0,-2.6,-1.0,107.0
8,2020-04-01,11.1,20,-0.1,▼,-1.0,-0.9,5.0,127.0
9,2020-04-02,10.8,20,-0.3,▼,-2.0,-2.7,0.0,147.0
10,2020-04-03,11.0,33,0.2,▲,-1.0,1.9,13.0,180.0
11,2020-04-04,11.1,23,0.1,▲,0.0,0.9,-10.0,203.0
12,2020-04-05,11.3,24,0.2,▲,1.0,1.8,1.0,227.0
13,2020-04-06,11.5,21,0.2,▲,2.0,1.8,-3.0,248.0
14,2020-04-07,12.3,15,0.8,▲,3.0,7.0,-6.0,263.0
15,2020-04-08,13.1,12,0.8,▲,4.0,6.5,-3.0,275.0
16,2020-04-09,13.3,18,0.2,▲,5.0,1.5,6.0,293.0
17,2020-04-10,13.7,20,0.4,▲,6.0,3.0,2.0,313.0
18,2020-04-11,13.9,22,0.2,▲,7.0,1.5,2.0,335.0
19,2020-04-12,12.8,20,-1.1,▼,6.0,-7.9,-2.0,355.0
20,2020-04-13,11.8,19,-1.0,▼,5.0,-7.8,-1.0,374.0
21,2020-04-14,11.8,31,0.0,-,5.0,0.0,12.0,405.0
22,2020-04-15,12.0,26,0.2,▲,6.0,1.7,-5.0,431.0
23,2020-04-16,12.1,11,0.1,▲,7.0,0.8,-15.0,442.0
24,2020-04-17,12.2,6,0.1,▲,8.0,0.8,-5.0,448.0
25,2020-04-18,12.2,11,0.0,-,8.0,0.0,5.0,459.0
26,2020-04-19,12.4,25,0.2,▲,9.0,1.6,14.0,484.0
27,2020-04-20,12.3,14,-0.1,▼,8.0,-0.8,-11.0,498.0
28,2020-04-21,12.0,13,-0.3,▼,7.0,-2.4,-1.0,511.0
29,2020-04-22,12.6,21,0.6,▲,8.0,5.0,8.0,532.0
30,2020-04-23,12.7,29,0.1,▲,9.0,0.8,8.0,561.0
31,2020-04-24,12.6,13,-0.1,▼,8.0,-0.8,-16.0,574.0
32,2020-04-25,12.9,29,0.3,▲,9.0,2.4,16.0,603.0
33,2020-04-26,13.1,21,0.2,▲,10.0,1.6,-8.0,624.0
34,2020-04-27,13.4,7,0.3,▲,11.0,2.3,-14.0,631.0
35,2020-04-28,13.8,16,0.4,▲,12.0,3.0,9.0,647.0
36,2020-04-29,14.0,13,0.2,▲,13.0,1.4,-3.0,660.0
37,2020-04-30,13.4,20,-0.6,▼,12.0,-4.3,7.0,680.0
38,2020-05-01,13.1,18,-0.3,▼,11.0,-2.2,-2.0,698.0
39,2020-05-02,13.2,10,0.1,▲,12.0,0.8,-8.0,708.0
40,2020-05-03,13.7,17,0.5,▲,13.0,3.8,7.0,725.0
41,2020-05-04,13.6,14,-0.1,▼,12.0,-0.7,-3.0,739.0
42,2020-05-05,13.6,24,0.0,-,12.0,0.0,10.0,763.0
43,2020-05-06,13.2,23,-0.4,▼,11.0,-2.9,-1.0,786.0
44,2020-05-07,12.8,15,-0.4,▼,10.0,-3.0,-8.0,801.0
45,2020-05-08,12.3,14,-0.5,▼,9.0,-3.9,-1.0,815.0
46,2020-05-09,12.1,22,-0.2,▼,8.0,-1.6,8.0,837.0
47,2020-05-10,12.4,29,0.3,▲,9.0,2.5,7.0,866.0
48,2020-05-11,12.9,30,0.5,▲,10.0,4.0,1.0,896.0
49,2020-05-12,13.1,12,0.2,▲,11.0,1.6,-18.0,908.0
50,2020-05-13,13.4,10,0.3,▲,12.0,2.3,-2.0,918.0
51,2020-05-14,13.5,12,0.1,▲,13.0,0.7,2.0,930.0
52,2020-05-15,13.7,9,0.2,▲,14.0,1.5,-3.0,939.0
53,2020-05-16,13.9,32,0.2,▲,15.0,1.5,23.0,971.0
54,2020-05-17,13.7,30,-0.2,▼,14.0,-1.4,-2.0,1001.0
55,2020-05-18,13.4,18,-0.3,▼,13.0,-2.2,-12.0,1019.0
56,2020-05-19,13.3,19,-0.1,▼,12.0,-0.7,1.0,1038.0
57,2020-05-20,13.4,17,0.1,▲,13.0,0.8,-2.0,1055.0
58,2020-05-21,13.4,21,0.0,-,13.0,0.0,4.0,1076.0
59,2020-05-22,13.8,10,0.4,▲,14.0,3.0,-11.0,1086.0
60,2020-05-23,13.7,19,-0.1,▼,13.0,-0.7,9.0,1105.0
61,2020-05-24,13.5,23,-0.2,▼,12.0,-1.5,4.0,1128.0
62,2020-05-25,13.3,18,-0.2,▼,11.0,-1.5,-5.0,1146.0
63,2020-05-26,13.1,22,-0.2,▼,10.0,-1.5,4.0,1168.0
64,2020-05-27,12.5,18,-0.6,▼,9.0,-4.6,-4.0,1186.0
65,2020-05-28,12.9,7,0.4,▲,10.0,3.2,-11.0,1193.0
66,2020-05-29,13.1,17,0.2,▲,11.0,1.6,10.0,1210.0
67,2020-05-30,13.2,13,0.1,▲,12.0,0.8,-4.0,1223.0
68,2020-05-31,13.3,24,0.1,▲,13.0,0.8,11.0,1247.0
69,2020-06-01,13.5,13,0.2,▲,14.0,1.5,-11.0,1260.0
70,2020-06-02,13.1,33,-0.4,▼,13.0,-3.0,20.0,1293.0
71,2020-06-03,13.3,13,0.2,▲,14.0,1.5,-20.0,1306.0
72,2020-06-04,13.4,24,0.1,▲,15.0,0.8,11.0,1330.0
73,2020-06-05,13.8,12,0.4,▲,16.0,3.0,-12.0,1342.0
74,2020-06-06,14.0,21,0.2,▲,17.0,1.4,9.0,1363.0
75,2020-06-07,14.5,20,0.5,▲,18.0,3.6,-1.0,1383.0
76,2020-06-08,14.4,21,-0.1,▼,17.0,-0.7,1.0,1404.0
