,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-04-07,34.0,10,0.0,-,0.0,0.0,0.0,0.0
1,2020-04-08,33.8,11,-0.2,▼,-1.0,-0.6,1.0,11.0
2,2020-04-09,35.8,21,2.0,▲,0.0,5.9,10.0,32.0
3,2020-04-10,36.8,17,1.0,▲,1.0,2.8,-4.0,49.0
4,2020-04-11,37.4,36,0.6,▲,2.0,1.6,19.0,85.0
5,2020-04-12,36.8,26,-0.6,▼,1.0,-1.6,-10.0,111.0
6,2020-04-13,40.7,25,3.9,▲,2.0,10.6,-1.0,136.0
7,2020-04-14,42.2,42,1.5,▲,3.0,3.7,17.0,178.0
8,2020-04-15,44.7,19,2.5,▲,4.0,5.9,-23.0,197.0
9,2020-04-16,48.6,22,3.9,▲,5.0,8.7,3.0,219.0
10,2020-04-17,53.7,20,5.1,▲,6.0,10.5,-2.0,239.0
11,2020-04-18,55.7,16,2.0,▲,7.0,3.7,-4.0,255.0
12,2020-04-19,58.1,18,2.4,▲,8.0,4.3,2.0,273.0
13,2020-04-20,60.6,17,2.5,▲,9.0,4.3,-1.0,290.0
14,2020-04-21,60.2,11,-0.4,▼,8.0,-0.7,-6.0,301.0
15,2020-04-22,60.3,9,0.1,▲,9.0,0.2,-2.0,310.0
16,2020-04-23,60.1,11,-0.2,▼,8.0,-0.3,2.0,321.0
17,2020-04-24,59.2,19,-0.9,▼,7.0,-1.5,8.0,340.0
18,2020-04-25,58.4,20,-0.8,▼,6.0,-1.4,1.0,360.0
19,2020-04-26,58.3,20,-0.1,▼,5.0,-0.2,0.0,380.0
20,2020-04-27,59.1,16,0.8,▲,6.0,1.4,-4.0,396.0
21,2020-04-28,60.8,14,1.7,▲,7.0,2.9,-2.0,410.0
22,2020-04-29,63.3,15,2.5,▲,8.0,4.1,1.0,425.0
23,2020-04-30,64.1,19,0.8,▲,9.0,1.3,4.0,444.0
24,2020-05-01,65.7,22,1.6,▲,10.0,2.5,3.0,466.0
25,2020-05-02,65.9,24,0.2,▲,11.0,0.3,2.0,490.0
26,2020-05-03,66.5,24,0.6,▲,12.0,0.9,0.0,514.0
27,2020-05-04,67.0,18,0.5,▲,13.0,0.8,-6.0,532.0
28,2020-05-05,69.8,18,2.8,▲,14.0,4.2,0.0,550.0
29,2020-05-06,72.5,8,2.7,▲,15.0,3.9,-10.0,558.0
30,2020-05-07,74.0,22,1.5,▲,16.0,2.1,14.0,580.0
31,2020-05-08,75.5,14,1.5,▲,17.0,2.0,-8.0,594.0
32,2020-05-09,76.9,29,1.4,▲,18.0,1.9,15.0,623.0
33,2020-05-10,77.1,17,0.2,▲,19.0,0.3,-12.0,640.0
34,2020-05-11,77.3,24,0.2,▲,20.0,0.3,7.0,664.0
35,2020-05-12,77.3,18,0.0,-,20.0,0.0,-6.0,682.0
36,2020-05-13,78.2,14,0.9,▲,21.0,1.2,-4.0,696.0
37,2020-05-14,78.2,27,0.0,-,21.0,0.0,13.0,723.0
38,2020-05-15,79.2,12,1.0,▲,22.0,1.3,-15.0,735.0
39,2020-05-16,77.5,13,-1.7,▼,21.0,-2.1,1.0,748.0
40,2020-05-17,78.3,21,0.8,▲,22.0,1.0,8.0,769.0
41,2020-05-18,76.8,27,-1.5,▼,21.0,-1.9,6.0,796.0
42,2020-05-19,76.6,13,-0.2,▼,20.0,-0.3,-14.0,809.0
43,2020-05-20,75.9,9,-0.7,▼,19.0,-0.9,-4.0,818.0
44,2020-05-21,78.9,13,3.0,▲,20.0,4.0,4.0,831.0
45,2020-05-22,79.6,15,0.7,▲,21.0,0.9,2.0,846.0
46,2020-05-23,81.7,20,2.1,▲,22.0,2.6,5.0,866.0
47,2020-05-24,83.9,13,2.2,▲,23.0,2.7,-7.0,879.0
48,2020-05-25,85.6,19,1.7,▲,24.0,2.0,6.0,898.0
49,2020-05-26,83.4,19,-2.2,▼,23.0,-2.6,0.0,917.0
50,2020-05-27,83.9,10,0.5,▲,24.0,0.6,-9.0,927.0
51,2020-05-28,82.9,10,-1.0,▼,23.0,-1.2,0.0,937.0
52,2020-05-29,81.5,8,-1.4,▼,22.0,-1.7,-2.0,945.0
53,2020-05-30,80.7,16,-0.8,▼,21.0,-1.0,8.0,961.0
54,2020-05-31,84.2,5,3.5,▲,22.0,4.3,-11.0,966.0
55,2020-06-01,83.2,11,-1.0,▼,21.0,-1.2,6.0,977.0
56,2020-06-02,83.7,8,0.5,▲,22.0,0.6,-3.0,985.0
57,2020-06-03,86.7,9,3.0,▲,23.0,3.6,1.0,994.0
58,2020-06-04,88.0,13,1.3,▲,24.0,1.5,4.0,1007.0
59,2020-06-05,87.5,9,-0.5,▼,23.0,-0.6,-4.0,1016.0
60,2020-06-06,90.9,11,3.4,▲,24.0,3.9,2.0,1027.0
61,2020-06-07,94.3,13,3.4,▲,25.0,3.7,2.0,1040.0
62,2020-06-08,93.3,8,-1.0,▼,24.0,-1.1,-5.0,1048.0
63,2020-06-09,93.8,8,0.5,▲,25.0,0.5,0.0,1056.0
64,2020-06-10,93.8,7,0.0,-,25.0,0.0,-1.0,1063.0
65,2020-06-11,93.3,8,-0.5,▼,24.0,-0.5,1.0,1071.0
66,2020-06-12,90.4,6,-2.9,▼,23.0,-3.1,-2.0,1077.0
67,2020-06-13,89.9,9,-0.5,▼,22.0,-0.6,3.0,1086.0
68,2020-06-14,90.4,10,0.5,▲,23.0,0.6,1.0,1096.0
69,2020-06-15,90.9,6,0.5,▲,24.0,0.6,-4.0,1102.0
70,2020-06-16,90.5,9,-0.4,▼,23.0,-0.4,3.0,1111.0
71,2020-06-17,91.5,17,1.0,▲,24.0,1.1,8.0,1128.0
72,2020-06-18,92.5,3,1.0,▲,25.0,1.1,-14.0,1131.0
73,2020-06-19,91.0,13,-1.5,▼,24.0,-1.6,10.0,1144.0
74,2020-06-20,90.5,9,-0.5,▼,23.0,-0.5,-4.0,1153.0
75,2020-06-21,89.5,18,-1.0,▼,22.0,-1.1,9.0,1171.0
76,2020-06-22,87.5,16,-2.0,▼,21.0,-2.2,-2.0,1187.0
77,2020-06-23,88.0,14,0.5,▲,22.0,0.6,-2.0,1201.0
78,2020-06-24,90.5,14,2.5,▲,23.0,2.8,0.0,1215.0
79,2020-06-25,91.0,15,0.5,▲,24.0,0.6,1.0,1230.0
80,2020-06-26,92.5,8,1.5,▲,25.0,1.6,-7.0,1238.0
81,2020-06-27,97.0,11,4.5,▲,26.0,4.9,3.0,1249.0
82,2020-06-28,97.0,11,0.0,-,26.0,0.0,0.0,1260.0
83,2020-06-29,94.0,7,-3.0,▼,25.0,-3.1,-4.0,1267.0
84,2020-06-30,92.9,7,-1.1,▼,24.0,-1.2,0.0,1274.0
85,2020-07-01,91.9,7,-1.0,▼,23.0,-1.1,0.0,1281.0
86,2020-07-02,90.9,6,-1.0,▼,22.0,-1.1,-1.0,1287.0
87,2020-07-03,91.4,7,0.5,▲,23.0,0.6,1.0,1294.0
88,2020-07-04,93.4,6,2.0,▲,24.0,2.2,-1.0,1300.0
89,2020-07-05,96.0,9,2.6,▲,25.0,2.8,3.0,1309.0
90,2020-07-06,98.0,2,2.0,▲,26.0,2.1,-7.0,1311.0
91,2020-07-07,98.4,5,0.4,▲,27.0,0.4,3.0,1316.0
92,2020-07-08,99.3,9,0.9,▲,28.0,0.9,4.0,1325.0
93,2020-07-09,99.3,7,0.0,-,28.0,0.0,-2.0,1332.0
94,2020-07-10,97.3,10,-2.0,▼,27.0,-2.0,3.0,1342.0
95,2020-07-11,91.8,14,-5.5,▼,26.0,-5.7,4.0,1356.0
96,2020-07-12,84.9,24,-6.9,▼,25.0,-7.5,10.0,1380.0
97,2020-07-13,77.4,14,-7.5,▼,24.0,-8.8,-10.0,1394.0
98,2020-07-14,69.9,12,-7.5,▼,23.0,-9.7,-2.0,1406.0
99,2020-07-15,64.9,10,-5.0,▼,22.0,-7.2,-2.0,1416.0
100,2020-07-16,61.4,7,-3.5,▼,21.0,-5.4,-3.0,1423.0
101,2020-07-17,60.4,10,-1.0,▼,20.0,-1.6,3.0,1433.0
102,2020-07-18,60.3,11,-0.1,▼,19.0,-0.2,1.0,1444.0
103,2020-07-19,64.3,10,4.0,▲,20.0,6.6,-1.0,1454.0
104,2020-07-20,66.8,5,2.5,▲,21.0,3.9,-5.0,1459.0
105,2020-07-21,68.8,13,2.0,▲,22.0,3.0,8.0,1472.0
106,2020-07-22,70.3,6,1.5,▲,23.0,2.2,-7.0,1478.0
107,2020-07-23,72.4,25,2.1,▲,24.0,3.0,19.0,1503.0
108,2020-07-24,71.9,11,-0.5,▼,23.0,-0.7,-14.0,1514.0
109,2020-07-25,72.4,25,0.5,▲,24.0,0.7,14.0,1539.0
