,datetime,avg_price,volume,day_before,yn_before,lank,day_percent
0,2020-03-24,14.1,37,0.0,-,0.0,0.0
1,2020-03-25,14.4,34,0.3,▲,1.0,2.1
2,2020-03-26,14.5,54,0.1,▲,2.0,0.7
3,2020-03-27,14.5,47,0.0,-,2.0,0.0
4,2020-03-28,14.4,64,-0.1,▼,1.0,-0.7
5,2020-03-29,14.9,79,0.5,▲,2.0,3.5
6,2020-03-30,15.1,57,0.2,▲,3.0,1.3
7,2020-03-31,15.6,57,0.5,▲,4.0,3.3
8,2020-04-01,15.3,49,-0.3,▼,3.0,-1.9
9,2020-04-02,15.2,43,-0.1,▼,2.0,-0.7
10,2020-04-03,14.7,56,-0.5,▼,1.0,-3.3
11,2020-04-04,14.7,54,0.0,-,1.0,0.0
12,2020-04-05,14.2,66,-0.5,▼,0.0,-3.4
13,2020-04-06,14.5,42,0.3,▲,1.0,2.1
14,2020-04-07,14.7,68,0.2,▲,2.0,1.4
15,2020-04-08,15.0,39,0.3,▲,3.0,2.0
16,2020-04-09,15.0,69,0.0,-,3.0,0.0
17,2020-04-10,15.1,44,0.1,▲,4.0,0.7
18,2020-04-11,15.4,55,0.3,▲,5.0,2.0
19,2020-04-12,15.4,64,0.0,-,5.0,0.0
20,2020-04-13,15.5,56,0.1,▲,6.0,0.6
21,2020-04-14,15.5,68,0.0,-,6.0,0.0
22,2020-04-15,15.4,71,-0.1,▼,5.0,-0.6
23,2020-04-16,15.5,60,0.1,▲,6.0,0.6
24,2020-04-17,15.4,81,-0.1,▼,5.0,-0.6
25,2020-04-18,15.4,50,0.0,-,5.0,0.0
26,2020-04-19,15.1,84,-0.3,▼,4.0,-1.9
27,2020-04-20,14.8,57,-0.3,▼,3.0,-2.0
28,2020-04-21,14.4,60,-0.4,▼,2.0,-2.7
29,2020-04-22,14.2,37,-0.2,▼,1.0,-1.4
30,2020-04-23,13.9,68,-0.3,▼,0.0,-2.1
31,2020-04-24,14.0,55,0.1,▲,1.0,0.7
32,2020-04-25,14.3,75,0.3,▲,2.0,2.1
33,2020-04-26,14.4,40,0.1,▲,3.0,0.7
34,2020-04-27,14.7,42,0.3,▲,4.0,2.1
35,2020-04-28,14.6,41,-0.1,▼,3.0,-0.7
36,2020-04-29,14.8,72,0.2,▲,4.0,1.4
37,2020-04-30,14.6,67,-0.2,▼,3.0,-1.4
38,2020-05-01,14.5,64,-0.1,▼,2.0,-0.7
39,2020-05-02,14.5,81,0.0,-,2.0,0.0
40,2020-05-03,14.8,80,0.3,▲,3.0,2.1
41,2020-05-04,14.8,65,0.0,-,3.0,0.0
42,2020-05-05,15.0,49,0.2,▲,4.0,1.4
43,2020-05-06,14.6,81,-0.4,▼,3.0,-2.7
44,2020-05-07,14.3,44,-0.3,▼,2.0,-2.1
45,2020-05-08,14.3,41,0.0,-,2.0,0.0
46,2020-05-09,14.0,54,-0.3,▼,1.0,-2.1
47,2020-05-10,13.8,74,-0.2,▼,0.0,-1.4
48,2020-05-11,13.9,47,0.1,▲,1.0,0.7
49,2020-05-12,13.9,39,0.0,-,1.0,0.0
50,2020-05-13,13.7,54,-0.2,▼,0.0,-1.4
51,2020-05-14,14.0,66,0.3,▲,1.0,2.2
52,2020-05-15,14.2,60,0.2,▲,2.0,1.4
53,2020-05-16,14.4,78,0.2,▲,3.0,1.4
54,2020-05-17,14.7,72,0.3,▲,4.0,2.1
55,2020-05-18,14.9,43,0.2,▲,5.0,1.4
56,2020-05-19,14.6,34,-0.3,▼,4.0,-2.0
57,2020-05-20,14.3,34,-0.3,▼,3.0,-2.1
58,2020-05-21,14.1,46,-0.2,▼,2.0,-1.4
59,2020-05-22,13.8,27,-0.3,▼,1.0,-2.1
60,2020-05-23,13.6,64,-0.2,▼,0.0,-1.4
61,2020-05-24,13.7,61,0.1,▲,1.0,0.7
62,2020-05-25,13.6,77,-0.1,▼,0.0,-0.7
63,2020-05-26,13.1,71,-0.5,▼,-1.0,-3.7
64,2020-05-27,12.7,67,-0.4,▼,-2.0,-3.1
65,2020-05-28,12.2,67,-0.5,▼,-3.0,-3.9
66,2020-05-29,11.7,80,-0.5,▼,-4.0,-4.1
67,2020-05-30,11.3,47,-0.4,▼,-5.0,-3.4
68,2020-05-31,11.7,58,0.4,▲,-4.0,3.5
69,2020-06-01,12.1,47,0.4,▲,-3.0,3.4
70,2020-06-02,12.3,52,0.2,▲,-2.0,1.7
71,2020-06-03,12.7,32,0.4,▲,-1.0,3.3
72,2020-06-04,12.9,50,0.2,▲,0.0,1.6
73,2020-06-05,13.0,47,0.1,▲,1.0,0.8
74,2020-06-06,13.0,51,0.0,-,1.0,0.0
75,2020-06-07,13.2,50,0.2,▲,2.0,1.5
76,2020-06-08,13.2,39,0.0,-,2.0,0.0
77,2020-06-09,13.5,52,0.3,▲,3.0,2.3
78,2020-06-10,13.5,36,0.0,-,3.0,0.0
79,2020-06-11,13.5,51,0.0,-,3.0,0.0
80,2020-06-12,13.6,37,0.1,▲,4.0,0.7
81,2020-06-13,13.4,65,-0.2,▼,3.0,-1.5
82,2020-06-14,13.4,42,0.0,-,3.0,0.0
83,2020-06-15,13.2,40,-0.2,▼,2.0,-1.5
84,2020-06-16,13.2,36,0.0,-,2.0,0.0
85,2020-06-17,13.1,54,-0.1,▼,1.0,-0.8
86,2020-06-18,13.3,51,0.2,▲,2.0,1.5
87,2020-06-19,13.4,50,0.1,▲,3.0,0.8
88,2020-06-20,15.4,59,2.0,▲,4.0,14.9
89,2020-06-21,14.8,43,-0.6,▼,3.0,-3.9
90,2020-06-22,14.8,36,0.0,-,3.0,0.0
91,2020-06-23,14.3,45,-0.5,▼,2.0,-3.4
92,2020-06-24,13.6,45,-0.7,▼,1.0,-4.9
93,2020-06-25,11.2,51,-2.4,▼,0.0,-17.6
94,2020-06-26,11.8,39,0.6,▲,1.0,5.4
95,2020-06-27,11.7,34,-0.1,▼,0.0,-0.8
96,2020-06-28,12.2,37,0.5,▲,1.0,4.3
97,2020-06-29,12.7,36,0.5,▲,2.0,4.1
98,2020-06-30,12.9,43,0.2,▲,3.0,1.6
99,2020-07-01,12.4,59,-0.5,▼,2.0,-3.9
100,2020-07-02,11.8,44,-0.6,▼,1.0,-4.8
101,2020-07-03,11.1,47,-0.7,▼,0.0,-5.9
102,2020-07-04,10.8,52,-0.3,▼,-1.0,-2.7
103,2020-07-05,10.9,54,0.1,▲,0.0,0.9
104,2020-07-06,11.0,48,0.1,▲,1.0,0.9
105,2020-07-07,11.2,39,0.2,▲,2.0,1.8
106,2020-07-08,11.3,33,0.1,▲,3.0,0.9
