,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-08-18,7.9,3,0.0,-,0.0,0.0,0.0,0.0
1,2020-08-19,7.9,15,0.0,-,0.0,0.0,12.0,15.0
2,2020-08-20,8.0,5,0.1,▲,1.0,1.3,-10.0,20.0
3,2020-08-21,7.9,5,-0.1,▼,0.0,-1.2,0.0,25.0
4,2020-08-22,7.6,8,-0.3,▼,-1.0,-3.8,3.0,33.0
5,2020-08-23,7.2,11,-0.4,▼,-2.0,-5.3,3.0,44.0
6,2020-08-24,6.7,9,-0.5,▼,-3.0,-6.9,-2.0,53.0
7,2020-08-25,6.3,9,-0.4,▼,-4.0,-6.0,0.0,62.0
8,2020-08-26,6.1,8,-0.2,▼,-5.0,-3.2,-1.0,70.0
9,2020-08-27,6.0,9,-0.1,▼,-6.0,-1.6,1.0,79.0
10,2020-08-28,6.1,12,0.1,▲,-5.0,1.7,3.0,91.0
11,2020-08-29,6.4,13,0.3,▲,-4.0,4.9,1.0,104.0
12,2020-08-30,6.5,12,0.1,▲,-3.0,1.6,-1.0,116.0
13,2020-08-31,6.6,11,0.1,▲,-2.0,1.5,-1.0,127.0
14,2020-09-01,7.2,20,0.6,▲,-1.0,9.1,9.0,147.0
15,2020-09-02,7.3,15,0.1,▲,0.0,1.4,-5.0,162.0
16,2020-09-03,7.4,10,0.1,▲,1.0,1.4,-5.0,172.0
17,2020-09-04,7.5,20,0.1,▲,2.0,1.4,10.0,192.0
18,2020-09-05,7.6,18,0.1,▲,3.0,1.3,-2.0,210.0
19,2020-09-06,7.3,10,-0.3,▼,2.0,-3.9,-8.0,220.0
20,2020-09-07,7.6,19,0.3,▲,3.0,4.1,9.0,239.0
21,2020-09-08,7.6,14,0.0,-,3.0,0.0,-5.0,253.0
22,2020-09-09,7.8,15,0.2,▲,4.0,2.6,1.0,268.0
23,2020-09-10,7.8,12,0.0,-,4.0,0.0,-3.0,280.0
24,2020-09-11,7.9,9,0.1,▲,5.0,1.3,-3.0,289.0
25,2020-09-12,7.6,20,-0.3,▼,4.0,-3.8,11.0,309.0
26,2020-09-13,7.4,12,-0.2,▼,3.0,-2.6,-8.0,321.0
27,2020-09-14,7.1,11,-0.3,▼,2.0,-4.1,-1.0,332.0
28,2020-09-15,7.0,11,-0.1,▼,1.0,-1.4,0.0,343.0
29,2020-09-16,6.8,10,-0.2,▼,0.0,-2.9,-1.0,353.0
30,2020-09-17,6.5,11,-0.3,▼,-1.0,-4.4,1.0,364.0
31,2020-09-18,6.5,15,0.0,-,-1.0,0.0,4.0,379.0
32,2020-09-19,6.6,13,0.1,▲,0.0,1.5,-2.0,392.0
33,2020-09-20,6.5,12,-0.1,▼,-1.0,-1.5,-1.0,404.0
34,2020-09-21,6.4,2,-0.1,▼,-2.0,-1.5,-10.0,406.0
35,2020-09-22,6.6,7,0.2,▲,-1.0,3.1,5.0,413.0
36,2020-09-23,6.4,11,-0.2,▼,-2.0,-3.0,4.0,424.0
37,2020-09-24,6.3,14,-0.1,▼,-3.0,-1.6,3.0,438.0
38,2020-09-25,6.3,12,0.0,-,-3.0,0.0,-2.0,450.0
39,2020-09-26,6.5,14,0.2,▲,-2.0,3.2,2.0,464.0
40,2020-09-27,6.3,14,-0.2,▼,-3.0,-3.1,0.0,478.0
41,2020-09-28,6.4,9,0.1,▲,-2.0,1.6,-5.0,487.0
42,2020-09-29,6.2,3,-0.2,▼,-3.0,-3.1,-6.0,490.0
43,2020-09-30,6.2,10,0.0,-,-3.0,0.0,7.0,500.0
44,2020-10-01,6.1,7,-0.1,▼,-4.0,-1.6,-3.0,507.0
45,2020-10-02,6.2,6,0.1,▲,-3.0,1.6,-1.0,513.0
46,2020-10-03,6.2,14,0.0,-,-3.0,0.0,8.0,527.0
47,2020-10-04,6.4,18,0.2,▲,-2.0,3.2,4.0,545.0
48,2020-10-05,6.1,10,-0.3,▼,-3.0,-4.7,-8.0,555.0
49,2020-10-06,5.9,4,-0.2,▼,-4.0,-3.3,-6.0,559.0
50,2020-10-07,6.3,2,0.4,▲,-3.0,6.8,-2.0,561.0
51,2020-10-08,6.4,2,0.1,▲,-2.0,1.6,0.0,563.0
52,2020-10-09,6.3,9,-0.1,▼,-3.0,-1.6,7.0,572.0
53,2020-10-10,6.5,7,0.2,▲,-2.0,3.2,-2.0,579.0
54,2020-10-11,6.4,7,-0.1,▼,-3.0,-1.5,0.0,586.0
55,2020-10-12,5.9,7,-0.5,▼,-4.0,-7.8,0.0,593.0
56,2020-10-13,6.0,7,0.1,▲,-3.0,1.7,0.0,600.0
57,2020-10-14,5.9,9,-0.1,▼,-4.0,-1.7,2.0,609.0
58,2020-10-15,5.8,8,-0.1,▼,-5.0,-1.7,-1.0,617.0
59,2020-10-16,6.1,5,0.3,▲,-4.0,5.2,-3.0,622.0
60,2020-10-17,6.5,4,0.4,▲,-3.0,6.6,-1.0,626.0
61,2020-10-18,6.2,9,-0.3,▼,-4.0,-4.6,5.0,635.0
62,2020-10-19,6.4,5,0.2,▲,-3.0,3.2,-4.0,640.0
63,2020-10-20,6.8,10,0.4,▲,-2.0,6.2,5.0,650.0
64,2020-10-21,6.6,5,-0.2,▼,-3.0,-2.9,-5.0,655.0
65,2020-10-22,6.6,4,0.0,-,-3.0,0.0,-1.0,659.0
66,2020-10-23,6.8,10,0.2,▲,-2.0,3.0,6.0,669.0
67,2020-10-24,6.7,12,-0.1,▼,-3.0,-1.5,2.0,681.0
68,2020-10-25,6.7,10,0.0,-,-3.0,0.0,-2.0,691.0
69,2020-10-26,6.8,8,0.1,▲,-2.0,1.5,-2.0,699.0
70,2020-10-27,6.4,2,-0.4,▼,-3.0,-5.9,-6.0,701.0
71,2020-10-28,6.4,5,0.0,-,-3.0,0.0,3.0,706.0
72,2020-10-29,6.4,8,0.0,-,-3.0,0.0,3.0,714.0
73,2020-10-30,6.0,6,-0.4,▼,-4.0,-6.2,-2.0,720.0
74,2020-10-31,6.1,7,0.1,▲,-3.0,1.7,1.0,727.0
75,2020-11-01,6.2,14,0.1,▲,-2.0,1.6,7.0,741.0
76,2020-11-02,6.2,12,0.0,-,-2.0,0.0,-2.0,753.0
77,2020-11-03,5.8,5,-0.4,▼,-3.0,-6.5,-7.0,758.0
78,2020-11-04,6.0,8,0.2,▲,-2.0,3.4,3.0,766.0
79,2020-11-05,5.9,7,-0.1,▼,-3.0,-1.7,-1.0,773.0
80,2020-11-06,6.0,4,0.1,▲,-2.0,1.7,-3.0,777.0
81,2020-11-07,5.9,9,-0.1,▼,-3.0,-1.7,5.0,786.0
82,2020-11-08,6.2,3,0.3,▲,-2.0,5.1,-6.0,789.0
83,2020-11-09,6.0,6,-0.2,▼,-3.0,-3.2,3.0,795.0
84,2020-11-10,5.9,11,-0.1,▼,-4.0,-1.7,5.0,806.0
85,2020-11-11,5.9,5,0.0,-,-4.0,0.0,-6.0,811.0
86,2020-11-12,5.9,3,0.0,-,-4.0,0.0,-2.0,814.0
87,2020-11-13,6.0,12,0.1,▲,-3.0,1.7,9.0,826.0
88,2020-11-14,6.3,11,0.3,▲,-2.0,5.0,-1.0,837.0
89,2020-11-15,6.5,7,0.2,▲,-1.0,3.2,-4.0,844.0
90,2020-11-16,6.5,11,0.0,-,-1.0,0.0,4.0,855.0
91,2020-11-17,6.6,9,0.1,▲,0.0,1.5,-2.0,864.0
92,2020-11-18,6.8,6,0.2,▲,1.0,3.0,-3.0,870.0
93,2020-11-19,6.8,9,0.0,-,1.0,0.0,3.0,879.0
94,2020-11-20,6.9,10,0.1,▲,2.0,1.5,1.0,889.0
95,2020-11-21,7.0,11,0.1,▲,3.0,1.4,1.0,900.0
96,2020-11-22,7.3,7,0.3,▲,4.0,4.3,-4.0,907.0
97,2020-11-23,7.1,9,-0.2,▼,3.0,-2.7,2.0,916.0
98,2020-11-24,7.2,6,0.1,▲,4.0,1.4,-3.0,922.0
99,2020-11-25,7.1,6,-0.1,▼,3.0,-1.4,0.0,928.0
100,2020-11-26,7.1,5,0.0,-,3.0,0.0,-1.0,933.0
101,2020-11-27,6.9,4,-0.2,▼,2.0,-2.8,-1.0,937.0
102,2020-11-28,7.4,5,0.5,▲,3.0,7.2,1.0,942.0
103,2020-11-29,7.2,14,-0.2,▼,2.0,-2.7,9.0,956.0
104,2020-11-30,7.3,16,0.1,▲,3.0,1.4,2.0,972.0
105,2020-12-01,7.2,12,-0.1,▼,2.0,-1.4,-4.0,984.0
106,2020-12-02,7.1,5,-0.1,▼,1.0,-1.4,-7.0,989.0
107,2020-12-03,7.0,4,-0.1,▼,0.0,-1.4,-1.0,993.0
108,2020-12-04,7.5,2,0.5,▲,1.0,7.1,-2.0,995.0
109,2020-12-05,7.7,10,0.2,▲,2.0,2.7,8.0,1005.0
110,2020-12-06,7.7,4,0.0,-,2.0,0.0,-6.0,1009.0
111,2020-12-07,8.0,2,0.3,▲,3.0,3.9,-2.0,1011.0
112,2020-12-08,7.7,9,-0.3,▼,2.0,-3.8,7.0,1020.0
113,2020-12-09,7.2,3,-0.5,▼,1.0,-6.5,-6.0,1023.0
114,2020-12-10,6.7,9,-0.5,▼,0.0,-6.9,6.0,1032.0
115,2020-12-11,6.2,4,-0.5,▼,-1.0,-7.5,-5.0,1036.0
116,2020-12-12,6.0,4,-0.2,▼,-2.0,-3.2,0.0,1040.0
