,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-04-07,8.5,3,0.0,-,0.0,0.0,0.0,0.0
1,2020-04-08,8.3,3,-0.2,▼,-1.0,-2.4,0.0,3.0
2,2020-04-09,8.1,1,-0.2,▼,-2.0,-2.4,-2.0,4.0
3,2020-04-10,7.3,4,-0.8,▼,-3.0,-9.9,3.0,8.0
4,2020-04-11,7.7,2,0.4,▲,-2.0,5.5,-2.0,10.0
5,2020-04-12,7.8,11,0.1,▲,-1.0,1.3,9.0,21.0
6,2020-04-13,7.3,8,-0.5,▼,-2.0,-6.4,-3.0,29.0
7,2020-04-14,7.2,4,-0.1,▼,-3.0,-1.4,-4.0,33.0
8,2020-04-15,7.0,3,-0.2,▼,-4.0,-2.8,-1.0,36.0
9,2020-04-16,6.4,3,-0.6,▼,-5.0,-8.6,0.0,39.0
10,2020-04-17,6.6,1,0.2,▲,-4.0,3.1,-2.0,40.0
11,2020-04-18,6.5,3,-0.1,▼,-5.0,-1.5,2.0,43.0
12,2020-04-19,6.1,6,-0.4,▼,-6.0,-6.2,3.0,49.0
13,2020-04-20,5.9,3,-0.2,▼,-7.0,-3.3,-3.0,52.0
14,2020-04-21,6.2,1,0.3,▲,-6.0,5.1,-2.0,53.0
15,2020-04-22,5.6,1,-0.6,▼,-7.0,-9.7,0.0,54.0
16,2020-04-23,6.0,3,0.4,▲,-6.0,7.1,2.0,57.0
17,2020-04-24,5.9,2,-0.1,▼,-7.0,-1.7,-1.0,59.0
18,2020-04-25,6.0,1,0.1,▲,-6.0,1.7,-1.0,60.0
19,2020-04-26,5.9,5,-0.1,▼,-7.0,-1.7,4.0,65.0
20,2020-04-27,6.2,5,0.3,▲,-6.0,5.1,0.0,70.0
21,2020-04-28,6.0,1,-0.2,▼,-7.0,-3.2,-4.0,71.0
22,2020-04-29,6.0,2,0.0,-,-7.0,0.0,1.0,73.0
23,2020-04-30,6.0,2,0.0,-,-7.0,0.0,0.0,75.0
24,2020-05-01,6.1,1,0.1,▲,-6.0,1.7,-1.0,76.0
25,2020-05-02,5.7,2,-0.4,▼,-7.0,-6.6,1.0,78.0
26,2020-05-03,5.3,8,-0.4,▼,-8.0,-7.0,6.0,86.0
27,2020-05-04,5.3,2,0.0,-,-8.0,0.0,-6.0,88.0
28,2020-05-06,5.2,2,-0.1,▼,-9.0,-1.9,0.0,90.0
