,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-03-24,8.4,4,0.0,-,0.0,0.0,0.0,0.0
1,2020-03-25,8.1,2,-0.3,▼,-1.0,-3.6,-2.0,2.0
2,2020-03-27,8.2,5,0.1,▲,0.0,1.2,3.0,7.0
3,2020-03-28,8.3,5,0.1,▲,1.0,1.2,0.0,12.0
4,2020-03-30,8.3,2,0.0,-,1.0,0.0,-3.0,14.0
5,2020-03-31,7.9,5,-0.4,▼,0.0,-4.8,3.0,19.0
6,2020-04-01,8.2,3,0.3,▲,1.0,3.8,-2.0,22.0
7,2020-04-02,8.4,3,0.2,▲,2.0,2.4,0.0,25.0
8,2020-04-03,8.4,1,0.0,-,2.0,0.0,-2.0,26.0
9,2020-04-04,8.4,6,0.0,-,2.0,0.0,5.0,32.0
10,2020-04-05,8.7,4,0.3,▲,3.0,3.6,-2.0,36.0
11,2020-04-06,8.4,4,-0.3,▼,2.0,-3.4,0.0,40.0
12,2020-04-07,8.3,3,-0.1,▼,1.0,-1.2,-1.0,43.0
13,2020-04-08,8.5,5,0.2,▲,2.0,2.4,2.0,48.0
14,2020-04-09,8.8,1,0.3,▲,3.0,3.5,-4.0,49.0
15,2020-04-10,8.5,2,-0.3,▼,2.0,-3.4,1.0,51.0
16,2020-04-11,8.4,3,-0.1,▼,1.0,-1.2,1.0,54.0
17,2020-04-12,8.3,1,-0.1,▼,0.0,-1.2,-2.0,55.0
18,2020-04-13,7.9,5,-0.4,▼,-1.0,-4.8,4.0,60.0
19,2020-04-14,7.3,1,-0.6,▼,-2.0,-7.6,-4.0,61.0
20,2020-04-15,7.2,1,-0.1,▼,-3.0,-1.4,0.0,62.0
21,2020-04-16,7.4,3,0.2,▲,-2.0,2.8,2.0,65.0
22,2020-04-17,7.8,4,0.4,▲,-1.0,5.4,1.0,69.0
23,2020-04-19,7.8,4,0.0,-,-1.0,0.0,0.0,73.0
24,2020-04-20,7.8,9,0.0,-,-1.0,0.0,5.0,82.0
25,2020-04-21,7.6,1,-0.2,▼,-2.0,-2.6,-8.0,83.0
26,2020-04-22,7.7,2,0.1,▲,-1.0,1.3,1.0,85.0
27,2020-04-23,7.1,3,-0.6,▼,-2.0,-7.8,1.0,88.0
28,2020-04-24,7.1,4,0.0,-,-2.0,0.0,1.0,92.0
29,2020-04-25,7.7,1,0.6,▲,-1.0,8.5,-3.0,93.0
30,2020-04-26,8.3,8,0.6,▲,0.0,7.8,7.0,101.0
31,2020-04-27,8.2,2,-0.1,▼,-1.0,-1.2,-6.0,103.0
32,2020-04-28,8.0,2,-0.2,▼,-2.0,-2.4,0.0,105.0
33,2020-04-29,8.6,1,0.6,▲,-1.0,7.5,-1.0,106.0
34,2020-04-30,7.8,4,-0.8,▼,-2.0,-9.3,3.0,110.0
35,2020-05-01,7.7,3,-0.1,▼,-3.0,-1.3,-1.0,113.0
36,2020-05-02,7.2,2,-0.5,▼,-4.0,-6.5,-1.0,115.0
37,2020-05-04,7.3,3,0.1,▲,-3.0,1.4,1.0,118.0
38,2020-05-05,6.7,2,-0.6,▼,-4.0,-8.2,-1.0,120.0
39,2020-05-06,7.2,2,0.5,▲,-3.0,7.5,0.0,122.0
40,2020-05-07,6.9,4,-0.3,▼,-4.0,-4.2,2.0,126.0
41,2020-05-08,7.1,2,0.2,▲,-3.0,2.9,-2.0,128.0
42,2020-05-09,7.3,4,0.2,▲,-2.0,2.8,2.0,132.0
43,2020-05-10,7.5,2,0.2,▲,-1.0,2.7,-2.0,134.0
44,2020-05-11,7.1,5,-0.4,▼,-2.0,-5.3,3.0,139.0
45,2020-05-12,6.7,1,-0.4,▼,-3.0,-5.6,-4.0,140.0
46,2020-05-13,7.0,1,0.3,▲,-2.0,4.5,0.0,141.0
47,2020-05-15,6.8,5,-0.2,▼,-3.0,-2.9,4.0,146.0
48,2020-05-16,6.8,4,0.0,-,-3.0,0.0,-1.0,150.0
49,2020-05-17,6.5,1,-0.3,▼,-4.0,-4.4,-3.0,151.0
50,2020-05-18,7.1,1,0.6,▲,-3.0,9.2,0.0,152.0
51,2020-05-21,6.8,2,-0.3,▼,-4.0,-4.2,1.0,154.0
52,2020-05-22,6.9,3,0.1,▲,-3.0,1.5,1.0,157.0
53,2020-05-23,6.7,5,-0.2,▼,-4.0,-2.9,2.0,162.0
54,2020-05-24,7.3,2,0.6,▲,-3.0,9.0,-3.0,164.0
55,2020-05-25,7.1,1,-0.2,▼,-4.0,-2.7,-1.0,165.0
56,2020-05-26,7.3,2,0.2,▲,-3.0,2.8,1.0,167.0
57,2020-05-27,7.2,2,-0.1,▼,-4.0,-1.4,0.0,169.0
58,2020-05-28,7.1,2,-0.1,▼,-5.0,-1.4,0.0,171.0
59,2020-05-29,6.4,5,-0.7,▼,-6.0,-9.9,3.0,176.0
60,2020-05-30,6.6,2,0.2,▲,-5.0,3.1,-3.0,178.0
61,2020-05-31,6.6,3,0.0,-,-5.0,0.0,1.0,181.0
62,2020-06-01,6.8,2,0.2,▲,-4.0,3.0,-1.0,183.0
63,2020-06-02,7.0,3,0.2,▲,-3.0,2.9,1.0,186.0
64,2020-06-03,7.4,3,0.4,▲,-2.0,5.7,0.0,189.0
65,2020-06-04,7.0,5,-0.4,▼,-3.0,-5.4,2.0,194.0
66,2020-06-05,6.5,1,-0.5,▼,-4.0,-7.1,-4.0,195.0
67,2020-06-06,6.4,4,-0.1,▼,-5.0,-1.5,3.0,199.0
68,2020-06-07,6.3,1,-0.1,▼,-6.0,-1.6,-3.0,200.0
69,2020-06-08,6.2,2,-0.1,▼,-7.0,-1.6,1.0,202.0
70,2020-06-10,6.3,2,0.1,▲,-6.0,1.6,0.0,204.0
71,2020-06-11,6.7,4,0.4,▲,-5.0,6.3,2.0,208.0
72,2020-06-12,6.7,3,0.0,-,-5.0,0.0,-1.0,211.0
73,2020-06-13,6.6,5,-0.1,▼,-6.0,-1.5,2.0,216.0
74,2020-06-14,6.6,1,0.0,-,-6.0,0.0,-4.0,217.0
75,2020-06-15,6.7,3,0.1,▲,-5.0,1.5,2.0,220.0
76,2020-06-17,6.7,3,0.0,-,-5.0,0.0,0.0,223.0
77,2020-06-18,6.5,2,-0.2,▼,-6.0,-3.0,-1.0,225.0
78,2020-06-19,6.7,6,0.2,▲,-5.0,3.1,4.0,231.0
79,2020-06-20,7.0,2,0.3,▲,-4.0,4.5,-4.0,233.0
80,2020-06-21,6.6,1,-0.4,▼,-5.0,-5.7,-1.0,234.0
