,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-01-13,164.6,39,0.0,-,0.0,0.0,0.0,0.0
1,2020-01-14,165.4,25,0.8,▲,1.0,0.5,-14.0,25.0
2,2020-01-15,165.9,38,0.5,▲,2.0,0.3,13.0,63.0
3,2020-01-16,166.7,28,0.8,▲,3.0,0.5,-10.0,91.0
4,2020-01-17,167.2,52,0.5,▲,4.0,0.3,24.0,143.0
5,2020-01-18,166.2,54,-1.0,▼,3.0,-0.6,2.0,197.0
6,2020-01-19,165.7,44,-0.5,▼,2.0,-0.3,-10.0,241.0
7,2020-01-20,165.7,45,0.0,-,2.0,0.0,1.0,286.0
8,2020-01-21,165.8,48,0.1,▲,3.0,0.1,3.0,334.0
9,2020-01-22,164.5,38,-1.3,▼,2.0,-0.8,-10.0,372.0
10,2020-01-23,165.5,29,1.0,▲,3.0,0.6,-9.0,401.0
11,2020-01-24,165.2,43,-0.3,▼,2.0,-0.2,14.0,444.0
12,2020-01-25,165.2,55,0.0,-,2.0,0.0,12.0,499.0
13,2020-01-26,164.2,40,-1.0,▼,1.0,-0.6,-15.0,539.0
14,2020-01-27,165.5,25,1.3,▲,2.0,0.8,-15.0,564.0
15,2020-01-28,165.5,31,0.0,-,2.0,0.0,6.0,595.0
16,2020-01-29,166.2,20,0.7,▲,3.0,0.4,-11.0,615.0
17,2020-01-30,167.2,30,1.0,▲,4.0,0.6,10.0,645.0
18,2020-01-31,168.1,40,0.9,▲,5.0,0.5,10.0,685.0
19,2020-02-01,168.6,52,0.5,▲,6.0,0.3,12.0,737.0
20,2020-02-02,168.8,42,0.2,▲,7.0,0.1,-10.0,779.0
21,2020-02-03,170.1,49,1.3,▲,8.0,0.8,7.0,828.0
22,2020-02-04,170.1,70,0.0,-,8.0,0.0,21.0,898.0
23,2020-02-05,170.7,58,0.6,▲,9.0,0.4,-12.0,956.0
24,2020-02-06,171.7,58,1.0,▲,10.0,0.6,0.0,1014.0
25,2020-02-07,172.5,63,0.8,▲,11.0,0.5,5.0,1077.0
26,2020-02-08,173.2,51,0.7,▲,12.0,0.4,-12.0,1128.0
27,2020-02-09,173.7,62,0.5,▲,13.0,0.3,11.0,1190.0
28,2020-02-10,175.7,35,2.0,▲,14.0,1.2,-27.0,1225.0
29,2020-02-11,176.6,42,0.9,▲,15.0,0.5,7.0,1267.0
30,2020-02-12,178.3,41,1.7,▲,16.0,1.0,-1.0,1308.0
31,2020-02-13,178.9,67,0.6,▲,17.0,0.3,26.0,1375.0
32,2020-02-14,180.1,52,1.2,▲,18.0,0.7,-15.0,1427.0
33,2020-02-15,179.1,68,-1.0,▼,17.0,-0.6,16.0,1495.0
34,2020-02-16,177.7,103,-1.4,▼,16.0,-0.8,35.0,1598.0
35,2020-02-17,176.0,48,-1.7,▼,15.0,-1.0,-55.0,1646.0
36,2020-02-18,175.2,56,-0.8,▼,14.0,-0.5,8.0,1702.0
37,2020-02-19,174.9,48,-0.3,▼,13.0,-0.2,-8.0,1750.0
38,2020-02-20,174.8,34,-0.1,▼,12.0,-0.1,-14.0,1784.0
39,2020-02-21,176.3,38,1.5,▲,13.0,0.9,4.0,1822.0
40,2020-02-22,177.8,62,1.5,▲,14.0,0.9,24.0,1884.0
41,2020-02-23,178.9,38,1.1,▲,15.0,0.6,-24.0,1922.0
42,2020-02-24,179.5,45,0.6,▲,16.0,0.3,7.0,1967.0
43,2020-02-25,180.6,24,1.1,▲,17.0,0.6,-21.0,1991.0
44,2020-02-26,180.1,22,-0.5,▼,16.0,-0.3,-2.0,2013.0
45,2020-02-27,180.1,30,0.0,-,16.0,0.0,8.0,2043.0
