,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-08-18,9.0,11,0.0,-,0.0,0.0,0.0,0.0
1,2020-08-19,9.5,9,0.5,▲,1.0,5.6,-2.0,9.0
2,2020-08-20,10.1,4,0.6,▲,2.0,6.3,-5.0,13.0
3,2020-08-21,10.3,5,0.2,▲,3.0,2.0,1.0,18.0
4,2020-08-22,11.0,7,0.7,▲,4.0,6.8,2.0,25.0
5,2020-08-23,10.8,11,-0.2,▼,3.0,-1.8,4.0,36.0
6,2020-08-24,10.3,8,-0.5,▼,2.0,-4.6,-3.0,44.0
7,2020-08-25,9.8,5,-0.5,▼,1.0,-4.9,-3.0,49.0
8,2020-08-26,9.6,5,-0.2,▼,0.0,-2.0,0.0,54.0
9,2020-08-27,9.1,10,-0.5,▼,-1.0,-5.2,5.0,64.0
10,2020-08-28,9.2,21,0.1,▲,0.0,1.1,11.0,85.0
11,2020-08-29,9.6,72,0.4,▲,1.0,4.3,51.0,157.0
12,2020-08-30,10.5,91,0.9,▲,2.0,9.4,19.0,248.0
13,2020-08-31,11.2,74,0.7,▲,3.0,6.7,-17.0,322.0
14,2020-09-01,11.8,48,0.6,▲,4.0,5.4,-26.0,370.0
15,2020-09-02,13.0,65,1.2,▲,5.0,10.2,17.0,435.0
16,2020-09-03,13.5,33,0.5,▲,6.0,3.8,-32.0,468.0
17,2020-09-04,13.5,50,0.0,-,6.0,0.0,17.0,518.0
18,2020-09-05,14.3,50,0.8,▲,7.0,5.9,0.0,568.0
19,2020-09-06,14.3,51,0.0,-,7.0,0.0,1.0,619.0
20,2020-09-07,14.8,21,0.5,▲,8.0,3.5,-30.0,640.0
21,2020-09-08,15.2,31,0.4,▲,9.0,2.7,10.0,671.0
22,2020-09-09,16.3,40,1.1,▲,10.0,7.2,9.0,711.0
23,2020-09-10,16.9,30,0.6,▲,11.0,3.7,-10.0,741.0
24,2020-09-11,18.1,34,1.2,▲,12.0,7.1,4.0,775.0
25,2020-09-12,17.9,31,-0.2,▼,11.0,-1.1,-3.0,806.0
26,2020-09-13,18.5,29,0.6,▲,12.0,3.4,-2.0,835.0
27,2020-09-14,18.6,22,0.1,▲,13.0,0.5,-7.0,857.0
28,2020-09-15,18.8,27,0.2,▲,14.0,1.1,5.0,884.0
29,2020-09-16,18.9,18,0.1,▲,15.0,0.5,-9.0,902.0
30,2020-09-17,19.5,14,0.6,▲,16.0,3.2,-4.0,916.0
31,2020-09-18,19.6,29,0.1,▲,17.0,0.5,15.0,945.0
32,2020-09-19,19.6,22,0.0,-,17.0,0.0,-7.0,967.0
