,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2021-07-07,,16,0.0,-,0.0,0.0,0.0,0.0
1,2021-07-08,,46,,▲,1.0,,30.0,46.0
2,2021-07-09,,29,,▲,2.0,,-17.0,75.0
3,2021-07-10,,35,,▲,3.0,,6.0,110.0
4,2021-07-11,30.6,42,,▲,4.0,,7.0,152.0
5,2021-07-12,29.3,38,-1.3,▼,3.0,-4.2,-4.0,190.0
6,2021-07-13,28.2,26,-1.1,▼,2.0,-3.8,-12.0,216.0
7,2021-07-14,25.5,29,-2.7,▼,1.0,-9.6,3.0,245.0
8,2021-07-15,24.4,30,-1.1,▼,0.0,-4.3,1.0,275.0
9,2021-07-16,22.9,19,-1.5,▼,-1.0,-6.1,-11.0,294.0
10,2021-07-17,21.7,31,-1.2,▼,-2.0,-5.2,12.0,325.0
11,2021-07-18,21.5,38,-0.2,▼,-3.0,-0.9,7.0,363.0
12,2021-07-19,22.0,20,0.5,▲,-2.0,2.3,-18.0,383.0
13,2021-07-20,22.2,21,0.2,▲,-1.0,0.9,1.0,404.0
14,2021-07-21,22.7,29,0.5,▲,0.0,2.3,8.0,433.0
15,2021-07-22,23.0,29,0.3,▲,1.0,1.3,0.0,462.0
16,2021-07-23,22.4,25,-0.6,▼,0.0,-2.6,-4.0,487.0
17,2021-07-24,21.6,33,-0.8,▼,-1.0,-3.6,8.0,520.0
18,2021-07-25,21.0,38,-0.6,▼,-2.0,-2.8,5.0,558.0
19,2021-07-26,20.6,20,-0.4,▼,-3.0,-1.9,-18.0,578.0
20,2021-07-27,19.5,34,-1.1,▼,-4.0,-5.3,14.0,612.0
21,2021-07-28,19.5,21,0.0,-,-4.0,0.0,-13.0,633.0
22,2021-07-29,18.8,24,-0.7,▼,-5.0,-3.6,3.0,657.0
23,2021-07-30,18.6,13,-0.2,▼,-6.0,-1.1,-11.0,670.0
24,2021-07-31,18.2,17,-0.4,▼,-7.0,-2.2,4.0,687.0
25,2021-08-01,18.0,32,-0.2,▼,-8.0,-1.1,15.0,719.0
26,2021-08-02,17.9,26,-0.1,▼,-9.0,-0.6,-6.0,745.0
27,2021-08-03,18.4,11,0.5,▲,-8.0,2.8,-15.0,756.0
28,2021-08-04,18.3,21,-0.1,▼,-9.0,-0.5,10.0,777.0
29,2021-08-05,18.3,27,0.0,-,-9.0,0.0,6.0,804.0
30,2021-08-06,18.6,18,0.3,▲,-8.0,1.6,-9.0,822.0
31,2021-08-07,18.2,21,-0.4,▼,-9.0,-2.2,3.0,843.0
32,2021-08-08,17.8,19,-0.4,▼,-10.0,-2.2,-2.0,862.0
33,2021-08-09,17.5,17,-0.3,▼,-11.0,-1.7,-2.0,879.0
34,2021-08-10,17.1,29,-0.4,▼,-12.0,-2.3,12.0,908.0
35,2021-08-11,17.1,29,0.0,-,-12.0,0.0,0.0,937.0
36,2021-08-12,17.0,46,-0.1,▼,-13.0,-0.6,17.0,983.0
37,2021-08-13,17.2,9,0.2,▲,-12.0,1.2,-37.0,992.0
38,2021-08-14,17.2,24,0.0,-,-12.0,0.0,15.0,1016.0
39,2021-08-15,17.6,27,0.4,▲,-11.0,2.3,3.0,1043.0
40,2021-08-16,17.7,17,0.1,▲,-10.0,0.6,-10.0,1060.0
41,2021-08-17,17.9,32,0.2,▲,-9.0,1.1,15.0,1092.0
42,2021-08-18,17.5,23,-0.4,▼,-10.0,-2.2,-9.0,1115.0
43,2021-08-19,17.4,28,-0.1,▼,-11.0,-0.6,5.0,1143.0
44,2021-08-20,17.2,25,-0.2,▼,-12.0,-1.1,-3.0,1168.0
45,2021-08-21,17.2,27,0.0,-,-12.0,0.0,2.0,1195.0
46,2021-08-22,17.2,27,0.0,-,-12.0,0.0,0.0,1222.0
47,2021-08-23,17.5,13,0.3,▲,-11.0,1.7,-14.0,1235.0
48,2021-08-24,17.8,19,0.3,▲,-10.0,1.7,6.0,1254.0
49,2021-08-25,17.8,16,0.0,-,-10.0,0.0,-3.0,1270.0
50,2021-08-26,17.6,22,-0.2,▼,-11.0,-1.1,6.0,1292.0
51,2021-08-27,17.5,17,-0.1,▼,-12.0,-0.6,-5.0,1309.0
52,2021-08-28,17.4,20,-0.1,▼,-13.0,-0.6,3.0,1329.0
53,2021-08-29,17.5,29,0.1,▲,-12.0,0.6,9.0,1358.0
54,2021-08-30,17.4,13,-0.1,▼,-13.0,-0.6,-16.0,1371.0
55,2021-08-31,17.4,21,0.0,-,-13.0,0.0,8.0,1392.0
56,2021-09-01,17.3,20,-0.1,▼,-14.0,-0.6,-1.0,1412.0
57,2021-09-02,17.2,22,-0.1,▼,-15.0,-0.6,2.0,1434.0
58,2021-09-03,16.8,25,-0.4,▼,-16.0,-2.3,3.0,1459.0
59,2021-09-04,16.8,27,0.0,-,-16.0,0.0,2.0,1486.0
60,2021-09-05,16.6,23,-0.2,▼,-17.0,-1.2,-4.0,1509.0
61,2021-09-06,16.5,15,-0.1,▼,-18.0,-0.6,-8.0,1524.0
62,2021-09-07,16.4,16,-0.1,▼,-19.0,-0.6,1.0,1540.0
63,2021-09-08,16.4,9,0.0,-,-19.0,0.0,-7.0,1549.0
64,2021-09-09,16.5,23,0.1,▲,-18.0,0.6,14.0,1572.0
