,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-03-24,5.1,10,0.0,-,0.0,0.0,0.0,0.0
1,2020-03-25,5.3,7,0.2,▲,1.0,3.9,-3.0,7.0
2,2020-03-26,5.3,10,0.0,-,1.0,0.0,3.0,17.0
3,2020-03-27,5.3,7,0.0,-,1.0,0.0,-3.0,24.0
4,2020-03-28,5.4,10,0.1,▲,2.0,1.9,3.0,34.0
5,2020-03-29,5.6,16,0.2,▲,3.0,3.7,6.0,50.0
6,2020-03-30,5.8,11,0.2,▲,4.0,3.6,-5.0,61.0
7,2020-03-31,5.9,13,0.1,▲,5.0,1.7,2.0,74.0
8,2020-04-01,5.8,10,-0.1,▼,4.0,-1.7,-3.0,84.0
9,2020-04-02,5.7,17,-0.1,▼,3.0,-1.7,7.0,101.0
10,2020-04-03,5.7,20,0.0,-,3.0,0.0,3.0,121.0
11,2020-04-04,4.8,11,-0.9,▼,2.0,-15.8,-9.0,132.0
12,2020-04-05,4.8,9,0.0,-,2.0,0.0,-2.0,141.0
13,2020-04-06,5.0,10,0.2,▲,3.0,4.2,1.0,151.0
14,2020-04-07,4.9,7,-0.1,▼,2.0,-2.0,-3.0,158.0
15,2020-04-08,5.4,6,0.5,▲,3.0,10.2,-1.0,164.0
16,2020-04-09,5.7,9,0.3,▲,4.0,5.6,3.0,173.0
17,2020-04-10,5.5,10,-0.2,▼,3.0,-3.5,1.0,183.0
18,2020-04-11,5.7,7,0.2,▲,4.0,3.6,-3.0,190.0
19,2020-04-12,5.9,13,0.2,▲,5.0,3.5,6.0,203.0
20,2020-04-13,5.9,9,0.0,-,5.0,0.0,-4.0,212.0
21,2020-04-14,6.1,13,0.2,▲,6.0,3.4,4.0,225.0
22,2020-04-15,6.4,10,0.3,▲,7.0,4.9,-3.0,235.0
23,2020-04-16,6.4,6,0.0,-,7.0,0.0,-4.0,241.0
24,2020-04-17,6.2,8,-0.2,▼,6.0,-3.1,2.0,249.0
25,2020-04-18,5.5,11,-0.7,▼,5.0,-11.3,3.0,260.0
26,2020-04-19,5.3,14,-0.2,▼,4.0,-3.6,3.0,274.0
27,2020-04-20,5.3,10,0.0,-,4.0,0.0,-4.0,284.0
28,2020-04-21,4.8,4,-0.5,▼,3.0,-9.4,-6.0,288.0
29,2020-04-22,4.8,9,0.0,-,3.0,0.0,5.0,297.0
30,2020-04-23,4.9,7,0.1,▲,4.0,2.1,-2.0,304.0
31,2020-04-24,4.8,7,-0.1,▼,3.0,-2.0,0.0,311.0
32,2020-04-25,4.4,6,-0.4,▼,2.0,-8.3,-1.0,317.0
33,2020-04-26,4.5,2,0.1,▲,3.0,2.3,-4.0,319.0
34,2020-04-27,4.3,4,-0.2,▼,2.0,-4.4,2.0,323.0
35,2020-04-28,4.3,6,0.0,-,2.0,0.0,2.0,329.0
36,2020-04-29,4.4,5,0.1,▲,3.0,2.3,-1.0,334.0
