,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-04-07,7.8,45,0.0,-,0.0,0.0,0.0,0.0
1,2020-04-08,7.8,37,0.0,-,0.0,0.0,-8.0,37.0
2,2020-04-09,7.8,48,0.0,-,0.0,0.0,11.0,85.0
3,2020-04-10,7.6,61,-0.2,▼,-1.0,-2.6,13.0,146.0
4,2020-04-11,7.6,53,0.0,-,-1.0,0.0,-8.0,199.0
5,2020-04-12,7.6,48,0.0,-,-1.0,0.0,-5.0,247.0
6,2020-04-13,7.3,53,-0.3,▼,-2.0,-3.9,5.0,300.0
7,2020-04-14,7.5,26,0.2,▲,-1.0,2.7,-27.0,326.0
8,2020-04-15,7.8,52,0.3,▲,0.0,4.0,26.0,378.0
9,2020-04-16,7.8,56,0.0,-,0.0,0.0,4.0,434.0
10,2020-04-17,7.8,36,0.0,-,0.0,0.0,-20.0,470.0
11,2020-04-18,8.1,51,0.3,▲,1.0,3.8,15.0,521.0
12,2020-04-19,8.1,53,0.0,-,1.0,0.0,2.0,574.0
13,2020-04-20,8.1,38,0.0,-,1.0,0.0,-15.0,612.0
14,2020-04-21,7.8,46,-0.3,▼,0.0,-3.7,8.0,658.0
15,2020-04-22,7.6,55,-0.2,▼,-1.0,-2.6,9.0,713.0
16,2020-04-23,7.3,65,-0.3,▼,-2.0,-3.9,10.0,778.0
17,2020-04-24,7.1,51,-0.2,▼,-3.0,-2.7,-14.0,829.0
18,2020-04-25,6.7,58,-0.4,▼,-4.0,-5.6,7.0,887.0
19,2020-04-26,6.8,61,0.1,▲,-3.0,1.5,3.0,948.0
20,2020-04-27,6.7,57,-0.1,▼,-4.0,-1.5,-4.0,1005.0
21,2020-04-28,6.8,50,0.1,▲,-3.0,1.5,-7.0,1055.0
22,2020-04-29,6.9,22,0.1,▲,-2.0,1.5,-28.0,1077.0
23,2020-04-30,6.9,46,0.0,-,-2.0,0.0,24.0,1123.0
24,2020-05-01,6.9,63,0.0,-,-2.0,0.0,17.0,1186.0
25,2020-05-02,6.9,68,0.0,-,-2.0,0.0,5.0,1254.0
26,2020-05-03,6.9,82,0.0,-,-2.0,0.0,14.0,1336.0
27,2020-05-04,6.8,59,-0.1,▼,-3.0,-1.4,-23.0,1395.0
28,2020-05-05,7.1,65,0.3,▲,-2.0,4.4,6.0,1460.0
29,2020-05-06,7.1,49,0.0,-,-2.0,0.0,-16.0,1509.0
30,2020-05-07,6.9,33,-0.2,▼,-3.0,-2.8,-16.0,1542.0
31,2020-05-08,6.8,56,-0.1,▼,-4.0,-1.4,23.0,1598.0
32,2020-05-09,6.8,38,0.0,-,-4.0,0.0,-18.0,1636.0
33,2020-05-10,6.4,48,-0.4,▼,-5.0,-5.9,10.0,1684.0
34,2020-05-11,6.4,42,0.0,-,-5.0,0.0,-6.0,1726.0
35,2020-05-12,6.7,28,0.3,▲,-4.0,4.7,-14.0,1754.0
36,2020-05-13,6.7,27,0.0,-,-4.0,0.0,-1.0,1781.0
37,2020-05-14,6.5,47,-0.2,▼,-5.0,-3.0,20.0,1828.0
38,2020-05-15,6.6,48,0.1,▲,-4.0,1.5,1.0,1876.0
39,2020-05-16,6.4,45,-0.2,▼,-5.0,-3.0,-3.0,1921.0
40,2020-05-17,6.3,64,-0.1,▼,-6.0,-1.6,19.0,1985.0
41,2020-05-18,6.4,41,0.1,▲,-5.0,1.6,-23.0,2026.0
42,2020-05-19,6.5,31,0.1,▲,-4.0,1.6,-10.0,2057.0
43,2020-05-20,6.6,43,0.1,▲,-3.0,1.5,12.0,2100.0
44,2020-05-21,6.7,44,0.1,▲,-2.0,1.5,1.0,2144.0
45,2020-05-22,6.6,47,-0.1,▼,-3.0,-1.5,3.0,2191.0
46,2020-05-23,6.4,43,-0.2,▼,-4.0,-3.0,-4.0,2234.0
47,2020-05-24,6.3,60,-0.1,▼,-5.0,-1.6,17.0,2294.0
48,2020-05-25,6.2,29,-0.1,▼,-6.0,-1.6,-31.0,2323.0
49,2020-05-26,6.3,48,0.1,▲,-5.0,1.6,19.0,2371.0
50,2020-05-27,6.3,29,0.0,-,-5.0,0.0,-19.0,2400.0
51,2020-05-28,6.3,46,0.0,-,-5.0,0.0,17.0,2446.0
52,2020-05-29,6.4,35,0.1,▲,-4.0,1.6,-11.0,2481.0
53,2020-05-30,6.3,28,-0.1,▼,-5.0,-1.6,-7.0,2509.0
54,2020-05-31,6.0,36,-0.3,▼,-6.0,-4.8,8.0,2545.0
55,2020-06-01,6.0,35,0.0,-,-6.0,0.0,-1.0,2580.0
56,2020-06-02,6.0,30,0.0,-,-6.0,0.0,-5.0,2610.0
57,2020-06-03,6.0,52,0.0,-,-6.0,0.0,22.0,2662.0
58,2020-06-04,6.1,32,0.1,▲,-5.0,1.7,-20.0,2694.0
59,2020-06-05,6.3,48,0.2,▲,-4.0,3.3,16.0,2742.0
60,2020-06-06,6.4,42,0.1,▲,-3.0,1.6,-6.0,2784.0
61,2020-06-07,6.6,43,0.2,▲,-2.0,3.1,1.0,2827.0
62,2020-06-08,6.6,39,0.0,-,-2.0,0.0,-4.0,2866.0
63,2020-06-09,6.6,28,0.0,-,-2.0,0.0,-11.0,2894.0
64,2020-06-10,6.6,26,0.0,-,-2.0,0.0,-2.0,2920.0
65,2020-06-11,6.5,22,-0.1,▼,-3.0,-1.5,-4.0,2942.0
66,2020-06-12,6.4,22,-0.1,▼,-4.0,-1.5,0.0,2964.0
67,2020-06-13,6.4,27,0.0,-,-4.0,0.0,5.0,2991.0
68,2020-06-14,6.2,13,-0.2,▼,-5.0,-3.1,-14.0,3004.0
69,2020-06-15,6.0,29,-0.2,▼,-6.0,-3.2,16.0,3033.0
70,2020-06-16,5.9,34,-0.1,▼,-7.0,-1.7,5.0,3067.0
71,2020-06-17,5.6,30,-0.3,▼,-8.0,-5.1,-4.0,3097.0
72,2020-06-18,5.5,25,-0.1,▼,-9.0,-1.8,-5.0,3122.0
73,2020-06-19,5.6,40,0.1,▲,-8.0,1.8,15.0,3162.0
74,2020-06-20,5.6,30,0.0,-,-8.0,0.0,-10.0,3192.0
75,2020-06-21,5.6,35,0.0,-,-8.0,0.0,5.0,3227.0
76,2020-06-22,5.8,32,0.2,▲,-7.0,3.6,-3.0,3259.0
77,2020-06-23,5.8,22,0.0,-,-7.0,0.0,-10.0,3281.0
78,2020-06-24,5.9,31,0.1,▲,-6.0,1.7,9.0,3312.0
79,2020-06-25,6.8,33,0.9,▲,-5.0,15.3,2.0,3345.0
80,2020-06-26,7.0,24,0.2,▲,-4.0,2.9,-9.0,3369.0
81,2020-06-27,7.2,28,0.2,▲,-3.0,2.9,4.0,3397.0
82,2020-06-28,7.1,14,-0.1,▼,-4.0,-1.4,-14.0,3411.0
83,2020-06-29,7.1,24,0.0,-,-4.0,0.0,10.0,3435.0
84,2020-06-30,6.2,22,-0.9,▼,-5.0,-12.7,-2.0,3457.0
85,2020-07-01,6.0,34,-0.2,▼,-6.0,-3.2,12.0,3491.0
86,2020-07-02,5.9,31,-0.1,▼,-7.0,-1.7,-3.0,3522.0
87,2020-07-03,5.8,31,-0.1,▼,-8.0,-1.7,0.0,3553.0
88,2020-07-04,5.4,23,-0.4,▼,-9.0,-6.9,-8.0,3576.0
89,2020-07-05,5.6,33,0.2,▲,-8.0,3.7,10.0,3609.0
90,2020-07-06,5.9,34,0.3,▲,-7.0,5.4,1.0,3643.0
91,2020-07-07,5.6,27,-0.3,▼,-8.0,-5.1,-7.0,3670.0
92,2020-07-08,5.7,18,0.1,▲,-7.0,1.8,-9.0,3688.0
93,2020-07-09,6.2,23,0.5,▲,-6.0,8.8,5.0,3711.0
94,2020-07-10,5.9,47,-0.3,▼,-7.0,-4.8,24.0,3758.0
95,2020-07-11,5.5,21,-0.4,▼,-8.0,-6.8,-26.0,3779.0
96,2020-07-12,5.6,23,0.1,▲,-7.0,1.8,2.0,3802.0
97,2020-07-13,5.5,31,-0.1,▼,-8.0,-1.8,8.0,3833.0
98,2020-07-14,5.2,25,-0.3,▼,-9.0,-5.5,-6.0,3858.0
99,2020-07-15,5.2,32,0.0,-,-9.0,0.0,7.0,3890.0
100,2020-07-16,5.2,39,0.0,-,-9.0,0.0,7.0,3929.0
101,2020-07-17,5.4,21,0.2,▲,-8.0,3.8,-18.0,3950.0
102,2020-07-18,5.4,40,0.0,-,-8.0,0.0,19.0,3990.0
103,2020-07-19,5.5,23,0.1,▲,-7.0,1.9,-17.0,4013.0
