,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-04-27,3.8,18,0.0,-,0.0,0.0,0.0,0.0
1,2020-04-28,3.8,24,0.0,-,0.0,0.0,6.0,24.0
2,2020-04-29,3.7,14,-0.1,▼,-1.0,-2.6,-10.0,38.0
3,2020-04-30,3.7,17,0.0,-,-1.0,0.0,3.0,55.0
4,2020-05-01,4.3,13,0.6,▲,0.0,16.2,-4.0,68.0
5,2020-05-02,4.3,15,0.0,-,0.0,0.0,2.0,83.0
6,2020-05-03,4.3,24,0.0,-,0.0,0.0,9.0,107.0
7,2020-05-04,4.4,21,0.1,▲,1.0,2.3,-3.0,128.0
8,2020-05-05,4.4,14,0.0,-,1.0,0.0,-7.0,142.0
9,2020-05-06,3.7,16,-0.7,▼,0.0,-15.9,2.0,158.0
10,2020-05-07,3.7,17,0.0,-,0.0,0.0,1.0,175.0
11,2020-05-08,3.7,23,0.0,-,0.0,0.0,6.0,198.0
12,2020-05-09,3.7,31,0.0,-,0.0,0.0,8.0,229.0
13,2020-05-10,3.6,25,-0.1,▼,-1.0,-2.7,-6.0,254.0
14,2020-05-11,3.9,19,0.3,▲,0.0,8.3,-6.0,273.0
15,2020-05-12,4.0,17,0.1,▲,1.0,2.6,-2.0,290.0
16,2020-05-13,4.0,20,0.0,-,1.0,0.0,3.0,310.0
17,2020-05-14,3.9,15,-0.1,▼,0.0,-2.5,-5.0,325.0
18,2020-05-15,3.9,6,0.0,-,0.0,0.0,-9.0,331.0
19,2020-05-16,3.7,12,-0.2,▼,-1.0,-5.1,6.0,343.0
20,2020-05-17,3.7,17,0.0,-,-1.0,0.0,5.0,360.0
21,2020-05-18,3.7,10,0.0,-,-1.0,0.0,-7.0,370.0
22,2020-05-19,3.8,21,0.1,▲,0.0,2.7,11.0,391.0
23,2020-05-20,4.0,18,0.2,▲,1.0,5.3,-3.0,409.0
24,2020-05-21,3.8,10,-0.2,▼,0.0,-5.0,-8.0,419.0
25,2020-05-22,3.8,10,0.0,-,0.0,0.0,0.0,429.0
26,2020-05-23,3.9,18,0.1,▲,1.0,2.6,8.0,447.0
27,2020-05-24,3.7,8,-0.2,▼,0.0,-5.1,-10.0,455.0
28,2020-05-25,3.4,11,-0.3,▼,-1.0,-8.1,3.0,466.0
29,2020-05-26,3.7,8,0.3,▲,0.0,8.8,-3.0,474.0
30,2020-05-27,3.7,13,0.0,-,0.0,0.0,5.0,487.0
31,2020-05-28,3.6,18,-0.1,▼,-1.0,-2.7,5.0,505.0
32,2020-05-29,3.8,11,0.2,▲,0.0,5.6,-7.0,516.0
33,2020-05-30,3.9,12,0.1,▲,1.0,2.6,1.0,528.0
34,2020-05-31,3.6,17,-0.3,▼,0.0,-7.7,5.0,545.0
35,2020-06-01,3.4,18,-0.2,▼,-1.0,-5.6,1.0,563.0
36,2020-06-02,3.4,12,0.0,-,-1.0,0.0,-6.0,575.0
37,2020-06-03,3.3,14,-0.1,▼,-2.0,-2.9,2.0,589.0
38,2020-06-04,3.3,12,0.0,-,-2.0,0.0,-2.0,601.0
39,2020-06-05,3.3,13,0.0,-,-2.0,0.0,1.0,614.0
40,2020-06-06,3.4,6,0.1,▲,-1.0,3.0,-7.0,620.0
41,2020-06-07,3.4,14,0.0,-,-1.0,0.0,8.0,634.0
42,2020-06-08,3.4,5,0.0,-,-1.0,0.0,-9.0,639.0
43,2020-06-09,3.4,8,0.0,-,-1.0,0.0,3.0,647.0
44,2020-06-10,3.4,5,0.0,-,-1.0,0.0,-3.0,652.0
45,2020-06-11,3.3,4,-0.1,▼,-2.0,-2.9,-1.0,656.0
46,2020-06-12,3.3,4,0.0,-,-2.0,0.0,0.0,660.0
47,2020-06-13,3.4,6,0.1,▲,-1.0,3.0,2.0,666.0
48,2020-06-14,3.3,8,-0.1,▼,-2.0,-2.9,2.0,674.0
49,2020-06-15,3.3,10,0.0,-,-2.0,0.0,2.0,684.0
50,2020-06-16,3.4,9,0.1,▲,-1.0,3.0,-1.0,693.0
51,2020-06-17,3.5,10,0.1,▲,0.0,2.9,1.0,703.0
52,2020-06-18,3.3,11,-0.2,▼,-1.0,-5.7,1.0,714.0
53,2020-06-19,3.4,7,0.1,▲,0.0,3.0,-4.0,721.0
54,2020-06-20,3.5,10,0.1,▲,1.0,2.9,3.0,731.0
55,2020-06-21,3.6,5,0.1,▲,2.0,2.9,-5.0,736.0
56,2020-06-22,3.5,12,-0.1,▼,1.0,-2.8,7.0,748.0
57,2020-06-23,3.6,6,0.1,▲,2.0,2.9,-6.0,754.0
58,2020-06-24,3.6,14,0.0,-,2.0,0.0,8.0,768.0
59,2020-06-25,3.6,11,0.0,-,2.0,0.0,-3.0,779.0
60,2020-06-26,3.5,7,-0.1,▼,1.0,-2.8,-4.0,786.0
61,2020-06-27,3.5,5,0.0,-,1.0,0.0,-2.0,791.0
62,2020-06-28,3.4,11,-0.1,▼,0.0,-2.9,6.0,802.0
63,2020-06-29,3.1,11,-0.3,▼,-1.0,-8.8,0.0,813.0
64,2020-06-30,3.1,6,0.0,-,-1.0,0.0,-5.0,819.0
65,2020-07-01,3.0,14,-0.1,▼,-2.0,-3.2,8.0,833.0
66,2020-07-02,3.0,4,0.0,-,-2.0,0.0,-10.0,837.0
67,2020-07-03,3.1,7,0.1,▲,-1.0,3.3,3.0,844.0
68,2020-07-04,3.5,11,0.4,▲,0.0,12.9,4.0,855.0
69,2020-07-05,3.3,12,-0.2,▼,-1.0,-5.7,1.0,867.0
70,2020-07-06,3.4,12,0.1,▲,0.0,3.0,0.0,879.0
71,2020-07-07,3.4,7,0.0,-,0.0,0.0,-5.0,886.0
72,2020-07-08,3.3,16,-0.1,▼,-1.0,-2.9,9.0,902.0
73,2020-07-09,3.3,12,0.0,-,-1.0,0.0,-4.0,914.0
