,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-01-13,91.2,38,0.0,-,0.0,0.0,0.0,0.0
1,2020-01-14,91.2,43,0.0,-,0.0,0.0,5.0,43.0
2,2020-01-15,92.1,39,0.9,▲,1.0,1.0,-4.0,82.0
3,2020-01-16,92.6,43,0.5,▲,2.0,0.5,4.0,125.0
4,2020-01-17,92.8,48,0.2,▲,3.0,0.2,5.0,173.0
5,2020-01-18,92.9,29,0.1,▲,4.0,0.1,-19.0,202.0
6,2020-01-19,93.9,44,1.0,▲,5.0,1.1,15.0,246.0
7,2020-01-20,93.4,40,-0.5,▼,4.0,-0.5,-4.0,286.0
8,2020-01-21,93.9,41,0.5,▲,5.0,0.5,1.0,327.0
9,2020-01-22,95.6,35,1.7,▲,6.0,1.8,-6.0,362.0
10,2020-01-23,96.0,33,0.4,▲,7.0,0.4,-2.0,395.0
11,2020-01-24,96.5,27,0.5,▲,8.0,0.5,-6.0,422.0
12,2020-01-25,97.1,43,0.6,▲,9.0,0.6,16.0,465.0
13,2020-01-26,96.9,37,-0.2,▼,8.0,-0.2,-6.0,502.0
14,2020-01-27,96.8,28,-0.1,▼,7.0,-0.1,-9.0,530.0
15,2020-01-28,97.1,52,0.3,▲,8.0,0.3,24.0,582.0
16,2020-01-29,97.0,34,-0.1,▼,7.0,-0.1,-18.0,616.0
17,2020-01-30,98.0,38,1.0,▲,8.0,1.0,4.0,654.0
18,2020-01-31,99.0,27,1.0,▲,9.0,1.0,-11.0,681.0
19,2020-02-01,98.7,39,-0.3,▼,8.0,-0.3,12.0,720.0
20,2020-02-02,98.4,31,-0.3,▼,7.0,-0.3,-8.0,751.0
21,2020-02-03,98.8,37,0.4,▲,8.0,0.4,6.0,788.0
22,2020-02-04,98.8,33,0.0,-,8.0,0.0,-4.0,821.0
23,2020-02-05,98.4,51,-0.4,▼,7.0,-0.4,18.0,872.0
24,2020-02-06,98.4,35,0.0,-,7.0,0.0,-16.0,907.0
25,2020-02-07,98.1,45,-0.3,▼,6.0,-0.3,10.0,952.0
26,2020-02-08,96.8,60,-1.3,▼,5.0,-1.3,15.0,1012.0
27,2020-02-09,94.8,66,-2.0,▼,4.0,-2.1,6.0,1078.0
28,2020-02-10,94.8,48,0.0,-,4.0,0.0,-18.0,1126.0
29,2020-02-11,95.2,45,0.4,▲,5.0,0.4,-3.0,1171.0
30,2020-02-12,95.8,33,0.6,▲,6.0,0.6,-12.0,1204.0
31,2020-02-13,96.3,47,0.5,▲,7.0,0.5,14.0,1251.0
32,2020-02-14,97.3,43,1.0,▲,8.0,1.0,-4.0,1294.0
33,2020-02-15,95.3,63,-2.0,▼,7.0,-2.1,20.0,1357.0
34,2020-02-16,92.9,72,-2.4,▼,6.0,-2.5,9.0,1429.0
35,2020-02-17,90.9,45,-2.0,▼,5.0,-2.2,-27.0,1474.0
36,2020-02-18,89.9,52,-1.0,▼,4.0,-1.1,7.0,1526.0
37,2020-02-19,88.9,55,-1.0,▼,3.0,-1.1,3.0,1581.0
38,2020-02-20,89.5,42,0.6,▲,4.0,0.7,-13.0,1623.0
39,2020-02-21,90.9,34,1.4,▲,5.0,1.6,-8.0,1657.0
40,2020-02-22,92.3,59,1.4,▲,6.0,1.5,25.0,1716.0
41,2020-02-23,93.2,37,0.9,▲,7.0,1.0,-22.0,1753.0
42,2020-02-24,93.7,42,0.5,▲,8.0,0.5,5.0,1795.0
43,2020-02-25,95.7,54,2.0,▲,9.0,2.1,12.0,1849.0
44,2020-02-26,96.8,45,1.1,▲,10.0,1.1,-9.0,1894.0
45,2020-02-27,96.6,26,-0.2,▼,9.0,-0.2,-19.0,1920.0
46,2020-02-28,97.1,46,0.5,▲,10.0,0.5,20.0,1966.0
47,2020-02-29,98.0,31,0.9,▲,11.0,0.9,-15.0,1997.0
48,2020-03-01,96.5,41,-1.5,▼,10.0,-1.5,10.0,2038.0
49,2020-03-02,95.5,50,-1.0,▼,9.0,-1.0,9.0,2088.0
50,2020-03-03,96.2,38,0.7,▲,10.0,0.7,-12.0,2126.0
51,2020-03-04,95.3,53,-0.9,▼,9.0,-0.9,15.0,2179.0
52,2020-03-05,95.7,29,0.4,▲,10.0,0.4,-24.0,2208.0
53,2020-03-06,96.5,36,0.8,▲,11.0,0.8,7.0,2244.0
54,2020-03-07,97.4,45,0.9,▲,12.0,0.9,9.0,2289.0
55,2020-03-08,96.5,76,-0.9,▼,11.0,-0.9,31.0,2365.0
56,2020-03-09,96.6,44,0.1,▲,12.0,0.1,-32.0,2409.0
57,2020-03-10,95.9,44,-0.7,▼,11.0,-0.7,0.0,2453.0
58,2020-03-11,95.2,53,-0.7,▼,10.0,-0.7,9.0,2506.0
59,2020-03-12,94.2,53,-1.0,▼,9.0,-1.1,0.0,2559.0
60,2020-03-13,94.1,63,-0.1,▼,8.0,-0.1,10.0,2622.0
61,2020-03-14,94.6,59,0.5,▲,9.0,0.5,-4.0,2681.0
62,2020-03-15,95.0,56,0.4,▲,10.0,0.4,-3.0,2737.0
63,2020-03-16,94.9,55,-0.1,▼,9.0,-0.1,-1.0,2792.0
64,2020-03-17,95.5,56,0.6,▲,10.0,0.6,1.0,2848.0
65,2020-03-18,95.1,54,-0.4,▼,9.0,-0.4,-2.0,2902.0
66,2020-03-19,95.0,59,-0.1,▼,8.0,-0.1,5.0,2961.0
67,2020-03-20,94.8,67,-0.2,▼,7.0,-0.2,8.0,3028.0
68,2020-03-21,94.8,69,0.0,-,7.0,0.0,2.0,3097.0
69,2020-03-22,94.2,78,-0.6,▼,6.0,-0.6,9.0,3175.0
70,2020-03-23,94.1,70,-0.1,▼,5.0,-0.1,-8.0,3245.0
71,2020-03-24,93.6,55,-0.5,▼,4.0,-0.5,-15.0,3300.0
72,2020-03-25,92.3,50,-1.3,▼,3.0,-1.4,-5.0,3350.0
73,2020-03-26,92.3,44,0.0,-,3.0,0.0,-6.0,3394.0
74,2020-03-27,92.4,48,0.1,▲,4.0,0.1,4.0,3442.0
75,2020-03-28,91.7,66,-0.7,▼,3.0,-0.8,18.0,3508.0
76,2020-03-29,91.2,77,-0.5,▼,2.0,-0.5,11.0,3585.0
77,2020-03-30,91.5,60,0.3,▲,3.0,0.3,-17.0,3645.0
78,2020-03-31,91.0,65,-0.5,▼,2.0,-0.5,5.0,3710.0
79,2020-04-01,89.7,93,-1.3,▼,1.0,-1.4,28.0,3803.0
80,2020-04-02,90.4,81,0.7,▲,2.0,0.8,-12.0,3884.0
81,2020-04-03,90.9,60,0.5,▲,3.0,0.6,-21.0,3944.0
82,2020-04-04,90.2,71,-0.7,▼,2.0,-0.8,11.0,4015.0
83,2020-04-05,90.1,63,-0.1,▼,1.0,-0.1,-8.0,4078.0
84,2020-04-06,90.9,67,0.8,▲,2.0,0.9,4.0,4145.0
85,2020-04-07,91.0,57,0.1,▲,3.0,0.1,-10.0,4202.0
86,2020-04-08,91.0,69,0.0,-,3.0,0.0,12.0,4271.0
87,2020-04-09,91.8,51,0.8,▲,4.0,0.9,-18.0,4322.0
88,2020-04-10,92.4,82,0.6,▲,5.0,0.7,31.0,4404.0
89,2020-04-11,92.6,57,0.2,▲,6.0,0.2,-25.0,4461.0
