,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-08-21,,1,0.0,-,0.0,0.0,0.0,0.0
1,2020-08-23,,1,,▲,1.0,,0.0,1.0
2,2020-08-24,21.5,2,,▲,2.0,,1.0,3.0
3,2020-08-25,21.0,3,-0.5,▼,1.0,-2.3,1.0,6.0
4,2020-08-26,23.0,1,2.0,▲,2.0,9.5,-2.0,7.0
5,2020-08-27,22.0,1,-1.0,▼,1.0,-4.3,0.0,8.0
6,2020-08-29,22.0,1,0.0,-,1.0,0.0,0.0,9.0
7,2020-09-02,22.0,2,0.0,-,1.0,0.0,1.0,11.0
8,2020-09-03,21.5,1,-0.5,▼,0.0,-2.3,-1.0,12.0
9,2020-09-04,19.5,1,-2.0,▼,-1.0,-9.3,0.0,13.0
10,2020-09-05,19.1,1,-0.4,▼,-2.0,-2.1,0.0,14.0
11,2020-09-06,19.1,1,0.0,-,-2.0,0.0,0.0,15.0
12,2020-09-07,19.6,1,0.5,▲,-1.0,2.6,0.0,16.0
13,2020-09-08,20.1,2,0.5,▲,0.0,2.6,1.0,18.0
14,2020-09-09,21.1,1,1.0,▲,1.0,5.0,-1.0,19.0
15,2020-09-12,21.5,2,0.4,▲,2.0,1.9,1.0,21.0
16,2020-09-13,21.5,2,0.0,-,2.0,0.0,0.0,23.0
17,2020-09-14,20.0,2,-1.5,▼,1.0,-7.0,0.0,25.0
18,2020-09-15,19.5,2,-0.5,▼,0.0,-2.5,0.0,27.0
19,2020-09-16,18.1,2,-1.4,▼,-1.0,-7.2,0.0,29.0
20,2020-09-18,17.1,1,-1.0,▼,-2.0,-5.5,-1.0,30.0
21,2020-09-19,17.5,1,0.4,▲,-1.0,2.3,0.0,31.0
22,2020-09-21,17.8,1,0.3,▲,0.0,1.7,0.0,32.0
23,2020-09-24,19.7,4,1.9,▲,1.0,10.7,3.0,36.0
24,2020-09-28,20.0,8,0.3,▲,2.0,1.5,4.0,44.0
25,2020-10-01,21.0,1,1.0,▲,3.0,5.0,-7.0,45.0
26,2020-10-04,20.4,1,-0.6,▼,2.0,-2.9,0.0,46.0
27,2020-10-07,20.6,1,0.2,▲,3.0,1.0,0.0,47.0
28,2020-10-12,19.7,1,-0.9,▼,2.0,-4.4,0.0,48.0
29,2020-10-13,20.6,1,0.9,▲,3.0,4.6,0.0,49.0
30,2020-10-17,20.6,1,0.0,-,3.0,0.0,0.0,50.0
31,2020-10-18,19.3,2,-1.3,▼,2.0,-6.3,1.0,52.0
32,2020-10-20,19.3,1,0.0,-,2.0,0.0,-1.0,53.0
33,2020-10-23,20.3,1,1.0,▲,3.0,5.2,0.0,54.0
34,2020-10-24,20.5,2,0.2,▲,4.0,1.0,1.0,56.0
35,2020-10-26,21.5,1,1.0,▲,5.0,4.9,-1.0,57.0
36,2020-10-29,21.5,2,0.0,-,5.0,0.0,1.0,59.0
37,2020-10-30,19.5,2,-2.0,▼,4.0,-9.3,0.0,61.0
38,2020-11-01,16.5,2,-3.0,▼,3.0,-15.4,0.0,63.0
39,2020-11-02,15.5,2,-1.0,▼,2.0,-6.1,0.0,65.0
40,2020-11-03,14.5,1,-1.0,▼,1.0,-6.5,-1.0,66.0
41,2020-11-05,16.9,2,2.4,▲,2.0,16.6,1.0,68.0
42,2020-11-06,18.3,1,1.4,▲,3.0,8.3,-1.0,69.0
43,2020-11-07,20.3,1,2.0,▲,4.0,10.9,0.0,70.0
44,2020-11-08,19.9,1,-0.4,▼,3.0,-2.0,0.0,71.0
45,2020-11-09,19.4,2,-0.5,▼,2.0,-2.5,1.0,73.0
46,2020-11-10,18.5,1,-0.9,▼,1.0,-4.6,-1.0,74.0
47,2020-11-12,18.8,2,0.3,▲,2.0,1.6,1.0,76.0
48,2020-11-14,18.8,1,0.0,-,2.0,0.0,-1.0,77.0
