,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-08-29,,41,0.0,-,0.0,0.0,0.0,0.0
1,2020-08-30,,43,,▲,1.0,,2.0,43.0
2,2020-08-31,,25,,▲,2.0,,-18.0,68.0
3,2020-09-01,,27,,▲,3.0,,2.0,95.0
4,2020-09-02,200.0,37,,▲,4.0,,10.0,132.0
5,2020-09-03,202.0,25,2.0,▲,5.0,1.0,-12.0,157.0
6,2020-09-04,206.0,14,4.0,▲,6.0,2.0,-11.0,171.0
7,2020-09-05,209.0,23,3.0,▲,7.0,1.5,9.0,194.0
8,2020-09-06,211.0,39,2.0,▲,8.0,1.0,16.0,233.0
9,2020-09-07,210.4,29,-0.6,▼,7.0,-0.3,-10.0,262.0
10,2020-09-08,213.4,18,3.0,▲,8.0,1.4,-11.0,280.0
11,2020-09-09,198.9,14,-14.5,▼,7.0,-6.8,-4.0,294.0
12,2020-09-10,164.6,33,-34.3,▼,6.0,-17.2,19.0,327.0
13,2020-09-11,125.3,38,-39.3,▼,5.0,-23.9,5.0,365.0
14,2020-09-12,87.5,44,-37.8,▼,4.0,-30.2,6.0,409.0
15,2020-09-13,47.4,29,-40.1,▼,3.0,-45.8,-15.0,438.0
16,2020-09-14,15.3,9,-32.1,▼,2.0,-67.7,-20.0,447.0
17,2020-09-15,12.5,9,-2.8,▼,1.0,-18.3,0.0,456.0
18,2020-09-16,12.1,19,-0.4,▼,0.0,-3.2,10.0,475.0
19,2020-09-17,11.3,7,-0.8,▼,-1.0,-6.6,-12.0,482.0
20,2020-09-18,10.7,11,-0.6,▼,-2.0,-5.3,4.0,493.0
21,2020-09-19,10.6,11,-0.1,▼,-3.0,-0.9,0.0,504.0
22,2020-09-20,9.5,11,-1.1,▼,-4.0,-10.4,0.0,515.0
23,2020-09-21,8.9,5,-0.6,▼,-5.0,-6.3,-6.0,520.0
24,2020-09-22,9.0,6,0.1,▲,-4.0,1.1,1.0,526.0
25,2020-09-23,8.2,1,-0.8,▼,-5.0,-8.9,-5.0,527.0
26,2020-09-24,8.1,4,-0.1,▼,-6.0,-1.2,3.0,531.0
27,2020-09-25,7.6,7,-0.5,▼,-7.0,-6.2,3.0,538.0
28,2020-09-26,7.4,3,-0.2,▼,-8.0,-2.6,-4.0,541.0
29,2020-09-27,7.2,5,-0.2,▼,-9.0,-2.7,2.0,546.0
30,2020-09-28,7.7,5,0.5,▲,-8.0,6.9,0.0,551.0
31,2020-09-29,7.5,8,-0.2,▼,-9.0,-2.6,3.0,559.0
32,2020-09-30,7.9,4,0.4,▲,-8.0,5.3,-4.0,563.0
33,2020-10-01,8.0,1,0.1,▲,-7.0,1.3,-3.0,564.0
34,2020-10-02,7.9,7,-0.1,▼,-8.0,-1.2,6.0,571.0
35,2020-10-03,8.3,2,0.4,▲,-7.0,5.1,-5.0,573.0
36,2020-10-04,8.1,4,-0.2,▼,-8.0,-2.4,2.0,577.0
37,2020-10-06,7.5,3,-0.6,▼,-9.0,-7.4,-1.0,580.0
38,2020-10-09,7.3,4,-0.2,▼,-10.0,-2.7,1.0,584.0
39,2020-10-10,7.6,3,0.3,▲,-9.0,4.1,-1.0,587.0
40,2020-10-11,7.7,6,0.1,▲,-8.0,1.3,3.0,593.0
41,2020-10-12,7.5,3,-0.2,▼,-9.0,-2.6,-3.0,596.0
42,2020-10-13,8.0,1,0.5,▲,-8.0,6.7,-2.0,597.0
43,2020-10-14,8.2,2,0.2,▲,-7.0,2.5,1.0,599.0
44,2020-10-15,7.3,1,-0.9,▼,-8.0,-11.0,-1.0,600.0
45,2020-10-16,7.2,3,-0.1,▼,-9.0,-1.4,2.0,603.0
46,2020-10-17,8.0,5,0.8,▲,-8.0,11.1,2.0,608.0
47,2020-10-18,7.6,2,-0.4,▼,-9.0,-5.0,-3.0,610.0
48,2020-10-19,7.7,4,0.1,▲,-8.0,1.3,2.0,614.0
49,2020-10-20,8.6,2,0.9,▲,-7.0,11.7,-2.0,616.0
50,2020-10-21,7.7,1,-0.9,▼,-8.0,-10.5,-1.0,617.0
51,2020-10-22,7.4,3,-0.3,▼,-9.0,-3.9,2.0,620.0
52,2020-10-23,8.6,2,1.2,▲,-8.0,16.2,-1.0,622.0
53,2020-10-24,8.9,3,0.3,▲,-7.0,3.5,1.0,625.0
54,2020-10-27,8.6,1,-0.3,▼,-8.0,-3.4,-2.0,626.0
55,2020-10-30,9.1,4,0.5,▲,-7.0,5.8,3.0,630.0
56,2020-10-31,9.1,4,0.0,-,-7.0,0.0,0.0,634.0
57,2020-11-01,8.5,3,-0.6,▼,-8.0,-6.6,-1.0,637.0
58,2020-11-02,8.1,1,-0.4,▼,-9.0,-4.7,-2.0,638.0
59,2020-11-04,8.5,1,0.4,▲,-8.0,4.9,0.0,639.0
60,2020-11-05,8.4,3,-0.1,▼,-9.0,-1.2,2.0,642.0
61,2020-11-07,8.0,2,-0.4,▼,-10.0,-4.8,-1.0,644.0
62,2020-11-09,8.0,2,0.0,-,-10.0,0.0,0.0,646.0
63,2020-11-10,8.1,3,0.1,▲,-9.0,1.2,1.0,649.0
64,2020-11-11,7.8,3,-0.3,▼,-10.0,-3.7,0.0,652.0
65,2020-11-12,7.7,5,-0.1,▼,-11.0,-1.3,2.0,657.0
66,2020-11-13,8.3,3,0.6,▲,-10.0,7.8,-2.0,660.0
67,2020-11-14,8.1,1,-0.2,▼,-11.0,-2.4,-2.0,661.0
68,2020-11-15,8.4,1,0.3,▲,-10.0,3.7,0.0,662.0
69,2020-11-16,8.3,1,-0.1,▼,-11.0,-1.2,0.0,663.0
70,2020-11-18,8.7,2,0.4,▲,-10.0,4.8,1.0,665.0
71,2020-11-19,8.5,1,-0.2,▼,-11.0,-2.3,-1.0,666.0
72,2020-11-20,8.6,8,0.1,▲,-10.0,1.2,7.0,674.0
73,2020-11-21,8.3,3,-0.3,▼,-11.0,-3.5,-5.0,677.0
74,2020-11-22,8.6,2,0.3,▲,-10.0,3.6,-1.0,679.0
75,2020-11-23,8.4,7,-0.2,▼,-11.0,-2.3,5.0,686.0
76,2020-11-24,8.6,4,0.2,▲,-10.0,2.4,-3.0,690.0
77,2020-11-25,8.6,6,0.0,-,-10.0,0.0,2.0,696.0
78,2020-11-26,8.9,3,0.3,▲,-9.0,3.5,-3.0,699.0
79,2020-11-27,9.0,2,0.1,▲,-8.0,1.1,-1.0,701.0
80,2020-11-28,10.1,4,1.1,▲,-7.0,12.2,2.0,705.0
81,2020-11-29,10.4,8,0.3,▲,-6.0,3.0,4.0,713.0
82,2020-11-30,10.7,1,0.3,▲,-5.0,2.9,-7.0,714.0
83,2020-12-01,10.7,1,0.0,-,-5.0,0.0,0.0,715.0
84,2020-12-02,10.6,4,-0.1,▼,-6.0,-0.9,3.0,719.0
85,2020-12-03,10.0,1,-0.6,▼,-7.0,-5.7,-3.0,720.0
86,2020-12-04,9.9,1,-0.1,▼,-8.0,-1.0,0.0,721.0
87,2020-12-05,9.4,6,-0.5,▼,-9.0,-5.1,5.0,727.0
88,2020-12-06,9.3,3,-0.1,▼,-10.0,-1.1,-3.0,730.0
89,2020-12-07,9.7,3,0.4,▲,-9.0,4.3,0.0,733.0
90,2020-12-08,9.7,4,0.0,-,-9.0,0.0,1.0,737.0
91,2020-12-09,9.9,3,0.2,▲,-8.0,2.1,-1.0,740.0
92,2020-12-10,10.4,3,0.5,▲,-7.0,5.1,0.0,743.0
93,2020-12-11,10.5,3,0.1,▲,-6.0,1.0,0.0,746.0
94,2020-12-12,10.2,2,-0.3,▼,-7.0,-2.9,-1.0,748.0
95,2020-12-13,10.6,5,0.4,▲,-6.0,3.9,3.0,753.0
96,2020-12-14,10.4,4,-0.2,▼,-7.0,-1.9,-1.0,757.0
97,2020-12-15,10.4,3,0.0,-,-7.0,0.0,-1.0,760.0
98,2020-12-16,10.9,5,0.5,▲,-6.0,4.8,2.0,765.0
99,2020-12-17,10.7,8,-0.2,▼,-7.0,-1.8,3.0,773.0
100,2020-12-18,10.4,15,-0.3,▼,-8.0,-2.8,7.0,788.0
101,2020-12-19,13.9,96,3.5,▲,-7.0,33.7,81.0,884.0
102,2020-12-20,18.9,140,5.0,▲,-6.0,36.0,44.0,1024.0
103,2020-12-21,23.4,115,4.5,▲,-5.0,23.8,-25.0,1139.0
104,2020-12-22,27.6,98,4.2,▲,-4.0,17.9,-17.0,1237.0
105,2020-12-23,31.5,116,3.9,▲,-3.0,14.1,18.0,1353.0
106,2020-12-24,31.7,63,0.2,▲,-2.0,0.6,-53.0,1416.0
107,2020-12-25,30.4,53,-1.3,▼,-3.0,-4.1,-10.0,1469.0
108,2020-12-26,28.2,99,-2.2,▼,-4.0,-7.2,46.0,1568.0
109,2020-12-27,26.9,64,-1.3,▼,-5.0,-4.6,-35.0,1632.0
110,2020-12-28,25.6,96,-1.3,▼,-6.0,-4.8,32.0,1728.0
