,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-04-27,4.1,23,0.0,-,0.0,0.0,0.0,0.0
1,2020-04-28,4.3,16,0.2,▲,1.0,4.9,-7.0,16.0
2,2020-04-29,4.3,20,0.0,-,1.0,0.0,4.0,36.0
3,2020-04-30,4.3,17,0.0,-,1.0,0.0,-3.0,53.0
4,2020-05-01,4.1,10,-0.2,▼,0.0,-4.7,-7.0,63.0
5,2020-05-02,4.2,7,0.1,▲,1.0,2.4,-3.0,70.0
6,2020-05-03,4.0,8,-0.2,▼,0.0,-4.8,1.0,78.0
7,2020-05-04,4.0,8,0.0,-,0.0,0.0,0.0,86.0
8,2020-05-05,3.8,13,-0.2,▼,-1.0,-5.0,5.0,99.0
9,2020-05-06,4.1,5,0.3,▲,0.0,7.9,-8.0,104.0
10,2020-05-07,4.0,9,-0.1,▼,-1.0,-2.4,4.0,113.0
11,2020-05-08,4.0,10,0.0,-,-1.0,0.0,1.0,123.0
12,2020-05-09,3.7,5,-0.3,▼,-2.0,-7.5,-5.0,128.0
13,2020-05-10,3.9,5,0.2,▲,-1.0,5.4,0.0,133.0
14,2020-05-11,3.3,3,-0.6,▼,-2.0,-15.4,-2.0,136.0
15,2020-05-12,3.2,3,-0.1,▼,-3.0,-3.0,0.0,139.0
16,2020-05-13,3.1,2,-0.1,▼,-4.0,-3.1,-1.0,141.0
17,2020-05-14,3.2,6,0.1,▲,-3.0,3.2,4.0,147.0
18,2020-05-15,3.2,7,0.0,-,-3.0,0.0,1.0,154.0
19,2020-05-16,3.3,12,0.1,▲,-2.0,3.1,5.0,166.0
20,2020-05-17,3.3,9,0.0,-,-2.0,0.0,-3.0,175.0
21,2020-05-18,3.5,8,0.2,▲,-1.0,6.1,-1.0,183.0
22,2020-05-19,3.7,1,0.2,▲,0.0,5.7,-7.0,184.0
23,2020-05-20,3.6,4,-0.1,▼,-1.0,-2.7,3.0,188.0
24,2020-05-21,3.7,6,0.1,▲,0.0,2.8,2.0,194.0
25,2020-05-22,3.7,2,0.0,-,0.0,0.0,-4.0,196.0
26,2020-05-23,3.5,7,-0.2,▼,-1.0,-5.4,5.0,203.0
27,2020-05-24,3.5,6,0.0,-,-1.0,0.0,-1.0,209.0
28,2020-05-25,3.6,4,0.1,▲,0.0,2.9,-2.0,213.0
29,2020-05-26,3.6,3,0.0,-,0.0,0.0,-1.0,216.0
30,2020-05-27,3.5,8,-0.1,▼,-1.0,-2.8,5.0,224.0
31,2020-05-28,3.7,7,0.2,▲,0.0,5.7,-1.0,231.0
32,2020-05-29,3.6,4,-0.1,▼,-1.0,-2.7,-3.0,235.0
33,2020-05-30,3.5,5,-0.1,▼,-2.0,-2.8,1.0,240.0
34,2020-05-31,3.4,7,-0.1,▼,-3.0,-2.9,2.0,247.0
35,2020-06-01,3.6,9,0.2,▲,-2.0,5.9,2.0,256.0
36,2020-06-02,3.5,2,-0.1,▼,-3.0,-2.8,-7.0,258.0
37,2020-06-03,3.5,5,0.0,-,-3.0,0.0,3.0,263.0
38,2020-06-04,3.5,3,0.0,-,-3.0,0.0,-2.0,266.0
39,2020-06-05,3.7,1,0.2,▲,-2.0,5.7,-2.0,267.0
40,2020-06-06,3.6,6,-0.1,▼,-3.0,-2.7,5.0,273.0
41,2020-06-07,3.7,3,0.1,▲,-2.0,2.8,-3.0,276.0
42,2020-06-08,3.6,5,-0.1,▼,-3.0,-2.7,2.0,281.0
43,2020-06-09,3.6,4,0.0,-,-3.0,0.0,-1.0,285.0
44,2020-06-10,3.7,2,0.1,▲,-2.0,2.8,-2.0,287.0
45,2020-06-11,3.7,4,0.0,-,-2.0,0.0,2.0,291.0
46,2020-06-12,3.7,4,0.0,-,-2.0,0.0,0.0,295.0
47,2020-06-13,3.9,6,0.2,▲,-1.0,5.4,2.0,301.0
48,2020-06-14,3.8,5,-0.1,▼,-2.0,-2.6,-1.0,306.0
49,2020-06-15,3.6,3,-0.2,▼,-3.0,-5.3,-2.0,309.0
50,2020-06-16,3.4,4,-0.2,▼,-4.0,-5.6,1.0,313.0
51,2020-06-17,3.3,3,-0.1,▼,-5.0,-2.9,-1.0,316.0
52,2020-06-18,3.3,2,0.0,-,-5.0,0.0,-1.0,318.0
53,2020-06-19,3.3,5,0.0,-,-5.0,0.0,3.0,323.0
54,2020-06-20,3.3,4,0.0,-,-5.0,0.0,-1.0,327.0
55,2020-06-21,3.6,2,0.3,▲,-4.0,9.1,-2.0,329.0
56,2020-06-22,3.3,1,-0.3,▼,-5.0,-8.3,-1.0,330.0
57,2020-06-23,3.2,6,-0.1,▼,-6.0,-3.0,5.0,336.0
58,2020-06-24,3.4,1,0.2,▲,-5.0,6.2,-5.0,337.0
59,2020-06-25,3.3,2,-0.1,▼,-6.0,-2.9,1.0,339.0
60,2020-06-26,3.3,3,0.0,-,-6.0,0.0,1.0,342.0
61,2020-06-27,3.7,3,0.4,▲,-5.0,12.1,0.0,345.0
