,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-04-28,,4,0.0,-,0.0,0.0,0.0,0.0
1,2020-04-29,2.4,3,,▲,1.0,,-1.0,3.0
2,2020-04-30,2.1,3,-0.3,▼,0.0,-12.5,0.0,6.0
3,2020-05-01,1.7,4,-0.4,▼,-1.0,-19.0,1.0,10.0
4,2020-05-02,1.6,5,-0.1,▼,-2.0,-5.9,1.0,15.0
5,2020-05-03,1.5,1,-0.1,▼,-3.0,-6.2,-4.0,16.0
6,2020-05-05,1.5,3,0.0,-,-3.0,0.0,2.0,19.0
7,2020-05-07,1.6,2,0.1,▲,-2.0,6.7,-1.0,21.0
8,2020-05-08,1.4,1,-0.2,▼,-3.0,-12.5,-1.0,22.0
9,2020-05-11,1.4,3,0.0,-,-3.0,0.0,2.0,25.0
10,2020-05-13,1.4,1,0.0,-,-3.0,0.0,-2.0,26.0
11,2020-05-15,1.4,3,0.0,-,-3.0,0.0,2.0,29.0
12,2020-05-17,1.6,1,0.2,▲,-2.0,14.3,-2.0,30.0
13,2020-05-19,1.8,1,0.2,▲,-1.0,12.5,0.0,31.0
14,2020-05-20,1.9,3,0.1,▲,0.0,5.6,2.0,34.0
15,2020-05-21,2.0,2,0.1,▲,1.0,5.3,-1.0,36.0
16,2020-05-22,2.3,1,0.3,▲,2.0,15.0,-1.0,37.0
17,2020-05-25,2.1,4,-0.2,▼,1.0,-8.7,3.0,41.0
18,2020-05-29,1.9,7,-0.2,▼,0.0,-9.5,3.0,48.0
19,2020-05-30,2.1,1,0.2,▲,1.0,10.5,-6.0,49.0
20,2020-05-31,2.0,1,-0.1,▼,0.0,-4.8,0.0,50.0
21,2020-06-02,1.8,1,-0.2,▼,-1.0,-10.0,0.0,51.0
22,2020-06-03,1.6,1,-0.2,▼,-2.0,-11.1,0.0,52.0
23,2020-06-04,1.8,1,0.2,▲,-1.0,12.5,0.0,53.0
24,2020-06-05,1.4,1,-0.4,▼,-2.0,-22.2,0.0,54.0
25,2020-06-07,1.5,2,0.1,▲,-1.0,7.1,1.0,56.0
26,2020-06-10,1.5,1,0.0,-,-1.0,0.0,-1.0,57.0
27,2020-06-12,1.7,2,0.2,▲,0.0,13.3,1.0,59.0
28,2020-06-13,1.7,1,0.0,-,0.0,0.0,-1.0,60.0
29,2020-06-14,1.7,1,0.0,-,0.0,0.0,0.0,61.0
30,2020-06-15,1.6,1,-0.1,▼,-1.0,-5.9,0.0,62.0
31,2020-06-16,1.8,1,0.2,▲,0.0,12.5,0.0,63.0
32,2020-06-17,1.6,2,-0.2,▼,-1.0,-11.1,1.0,65.0
33,2020-06-18,1.8,2,0.2,▲,0.0,12.5,0.0,67.0
34,2020-06-21,1.8,2,0.0,-,0.0,0.0,0.0,69.0
35,2020-06-22,2.0,3,0.2,▲,1.0,11.1,1.0,72.0
