,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-04-27,11.8,54,0.0,-,0.0,0.0,0.0,0.0
1,2020-04-28,11.8,51,0.0,-,0.0,0.0,-3.0,51.0
2,2020-04-29,12.1,34,0.3,▲,1.0,2.5,-17.0,85.0
3,2020-04-30,12.2,44,0.1,▲,2.0,0.8,10.0,129.0
4,2020-05-01,12.5,41,0.3,▲,3.0,2.5,-3.0,170.0
5,2020-05-02,13.0,50,0.5,▲,4.0,4.0,9.0,220.0
6,2020-05-03,12.8,51,-0.2,▼,3.0,-1.5,1.0,271.0
7,2020-05-04,12.3,54,-0.5,▼,2.0,-3.9,3.0,325.0
8,2020-05-05,12.4,42,0.1,▲,3.0,0.8,-12.0,367.0
9,2020-05-06,12.1,45,-0.3,▼,2.0,-2.4,3.0,412.0
10,2020-05-07,11.6,45,-0.5,▼,1.0,-4.1,0.0,457.0
11,2020-05-08,11.4,54,-0.2,▼,0.0,-1.7,9.0,511.0
12,2020-05-09,11.3,55,-0.1,▼,-1.0,-0.9,1.0,566.0
13,2020-05-10,10.6,55,-0.7,▼,-2.0,-6.2,0.0,621.0
14,2020-05-11,10.4,45,-0.2,▼,-3.0,-1.9,-10.0,666.0
15,2020-05-12,10.2,40,-0.2,▼,-4.0,-1.9,-5.0,706.0
16,2020-05-13,10.4,53,0.2,▲,-3.0,2.0,13.0,759.0
17,2020-05-14,10.5,35,0.1,▲,-2.0,1.0,-18.0,794.0
18,2020-05-15,11.2,50,0.7,▲,-1.0,6.7,15.0,844.0
19,2020-05-16,10.6,62,-0.6,▼,-2.0,-5.4,12.0,906.0
20,2020-05-17,10.1,55,-0.5,▼,-3.0,-4.7,-7.0,961.0
21,2020-05-18,9.7,48,-0.4,▼,-4.0,-4.0,-7.0,1009.0
22,2020-05-19,9.6,34,-0.1,▼,-5.0,-1.0,-14.0,1043.0
23,2020-05-20,9.1,47,-0.5,▼,-6.0,-5.2,13.0,1090.0
24,2020-05-21,9.5,34,0.4,▲,-5.0,4.4,-13.0,1124.0
25,2020-05-22,10.0,43,0.5,▲,-4.0,5.3,9.0,1167.0
26,2020-05-23,10.6,42,0.6,▲,-3.0,6.0,-1.0,1209.0
