,datetime,avg_price,volume,day_before,yn_before,lank,day_percent
0,2020-04-27,13.8,13,0.0,-,0.0,0.0
1,2020-04-28,15.2,15,1.4,▲,1.0,10.1
2,2020-04-29,15.6,7,0.4,▲,2.0,2.6
3,2020-04-30,15.8,9,0.2,▲,3.0,1.3
4,2020-05-01,16.1,6,0.3,▲,4.0,1.9
5,2020-05-02,16.4,12,0.3,▲,5.0,1.9
6,2020-05-03,15.6,9,-0.8,▼,4.0,-4.9
7,2020-05-04,15.3,11,-0.3,▼,3.0,-1.9
8,2020-05-05,15.5,14,0.2,▲,4.0,1.3
9,2020-05-06,15.2,8,-0.3,▼,3.0,-1.9
10,2020-05-07,15.7,28,0.5,▲,4.0,3.3
11,2020-05-08,15.8,8,0.1,▲,5.0,0.6
12,2020-05-09,15.9,16,0.1,▲,6.0,0.6
13,2020-05-10,15.0,19,-0.9,▼,5.0,-5.7
14,2020-05-11,15.5,13,0.5,▲,6.0,3.3
15,2020-05-12,15.2,14,-0.3,▼,5.0,-1.9
16,2020-05-13,15.3,14,0.1,▲,6.0,0.7
17,2020-05-14,15.4,15,0.1,▲,7.0,0.7
18,2020-05-15,16.2,19,0.8,▲,8.0,5.2
19,2020-05-16,16.2,22,0.0,-,8.0,0.0
20,2020-05-17,16.1,20,-0.1,▼,7.0,-0.6
21,2020-05-18,16.1,27,0.0,-,7.0,0.0
22,2020-05-19,16.8,13,0.7,▲,8.0,4.3
23,2020-05-20,17.3,9,0.5,▲,9.0,3.0
24,2020-05-21,17.7,8,0.4,▲,10.0,2.3
25,2020-05-22,18.1,14,0.4,▲,11.0,2.3
26,2020-05-23,18.7,19,0.6,▲,12.0,3.3
27,2020-05-24,18.3,21,-0.4,▼,11.0,-2.1
28,2020-05-25,17.6,9,-0.7,▼,10.0,-3.8
29,2020-05-26,16.6,22,-1.0,▼,9.0,-5.7
30,2020-05-27,16.5,10,-0.1,▼,8.0,-0.6
31,2020-05-28,16.5,8,0.0,-,8.0,0.0
32,2020-05-29,16.8,6,0.3,▲,9.0,1.8
33,2020-05-30,17.7,7,0.9,▲,10.0,5.4
34,2020-05-31,18.7,8,1.0,▲,11.0,5.6
35,2020-06-01,18.9,14,0.2,▲,12.0,1.1
36,2020-06-02,18.0,3,-0.9,▼,11.0,-4.8
37,2020-06-03,17.3,10,-0.7,▼,10.0,-3.9
38,2020-06-04,16.4,7,-0.9,▼,9.0,-5.2
39,2020-06-05,16.0,26,-0.4,▼,8.0,-2.4
40,2020-06-06,16.2,39,0.2,▲,9.0,1.2
41,2020-06-07,17.2,25,1.0,▲,10.0,6.2
42,2020-06-08,17.7,12,0.5,▲,11.0,2.9
43,2020-06-09,18.2,18,0.5,▲,12.0,2.8
44,2020-06-10,19.0,9,0.8,▲,13.0,4.4
45,2020-06-11,18.7,11,-0.3,▼,12.0,-1.6
46,2020-06-12,17.7,14,-1.0,▼,11.0,-5.3
47,2020-06-13,17.7,7,0.0,-,11.0,0.0
