,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-09-15,62.4,1,0.0,-,0.0,0.0,0.0,0.0
1,2020-09-18,61.4,4,-1.0,▼,-1.0,-1.6,3.0,4.0
2,2020-09-19,63.1,5,1.7,▲,0.0,2.8,1.0,9.0
3,2020-09-20,65.5,1,2.4,▲,1.0,3.8,-4.0,10.0
4,2020-09-21,66.0,2,0.5,▲,2.0,0.8,1.0,12.0
5,2020-09-22,67.5,2,1.5,▲,3.0,2.3,0.0,14.0
6,2020-09-23,67.5,1,0.0,-,3.0,0.0,-1.0,15.0
7,2020-09-24,69.5,1,2.0,▲,4.0,3.0,0.0,16.0
8,2020-09-26,72.1,1,2.6,▲,5.0,3.7,0.0,17.0
9,2020-09-27,69.1,3,-3.0,▼,4.0,-4.2,2.0,20.0
10,2020-09-28,68.6,4,-0.5,▼,3.0,-0.7,1.0,24.0
11,2020-09-29,72.6,1,4.0,▲,4.0,5.8,-3.0,25.0
12,2020-09-30,67.6,1,-5.0,▼,3.0,-6.9,0.0,26.0
13,2020-10-01,62.5,3,-5.1,▼,2.0,-7.5,2.0,29.0
14,2020-10-02,69.9,2,7.4,▲,3.0,11.8,-1.0,31.0
15,2020-10-03,70.4,2,0.5,▲,4.0,0.7,0.0,33.0
16,2020-10-04,70.4,2,0.0,-,4.0,0.0,0.0,35.0
17,2020-10-05,76.4,2,6.0,▲,5.0,8.5,0.0,37.0
18,2020-10-06,81.9,2,5.5,▲,6.0,7.2,0.0,39.0
19,2020-10-07,81.5,2,-0.4,▼,5.0,-0.5,0.0,41.0
20,2020-10-08,79.5,2,-2.0,▼,4.0,-2.5,0.0,43.0
21,2020-10-09,71.5,31,-8.0,▼,3.0,-10.1,29.0,74.0
22,2020-10-10,63.0,32,-8.5,▼,2.0,-11.9,1.0,106.0
23,2020-10-11,57.4,28,-5.6,▼,1.0,-8.9,-4.0,134.0
24,2020-10-12,50.4,7,-7.0,▼,0.0,-12.2,-21.0,141.0
25,2020-10-13,52.4,5,2.0,▲,1.0,4.0,-2.0,146.0
26,2020-10-14,55.9,4,3.5,▲,2.0,6.7,-1.0,150.0
27,2020-10-15,60.2,4,4.3,▲,3.0,7.7,0.0,154.0
28,2020-10-16,62.2,4,2.0,▲,4.0,3.3,0.0,158.0
29,2020-10-17,61.7,4,-0.5,▼,3.0,-0.8,0.0,162.0
30,2020-10-18,60.7,3,-1.0,▼,2.0,-1.6,-1.0,165.0
31,2020-10-19,59.4,3,-1.3,▼,1.0,-2.1,0.0,168.0
32,2020-10-20,58.1,3,-1.3,▼,0.0,-2.2,0.0,171.0
33,2020-10-21,52.7,1,-5.4,▼,-1.0,-9.3,-2.0,172.0
34,2020-10-23,54.2,1,1.5,▲,0.0,2.8,0.0,173.0
35,2020-10-24,53.6,8,-0.6,▼,-1.0,-1.1,7.0,181.0
36,2020-10-25,56.4,2,2.8,▲,0.0,5.2,-6.0,183.0
37,2020-10-26,57.8,2,1.4,▲,1.0,2.5,0.0,185.0
38,2020-10-27,62.8,2,5.0,▲,2.0,8.7,0.0,187.0
39,2020-10-28,64.6,1,1.8,▲,3.0,2.9,-1.0,188.0
40,2020-10-29,64.6,3,0.0,-,3.0,0.0,2.0,191.0
41,2020-10-30,63.6,2,-1.0,▼,2.0,-1.5,-1.0,193.0
42,2020-10-31,62.5,2,-1.1,▼,1.0,-1.7,0.0,195.0
43,2020-11-01,61.5,1,-1.0,▼,0.0,-1.6,-1.0,196.0
