,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-08-18,4.8,2,0.0,-,0.0,0.0,0.0,0.0
1,2020-08-19,5.0,2,0.2,▲,1.0,4.2,0.0,2.0
2,2020-08-20,6.0,2,1.0,▲,2.0,20.0,0.0,4.0
3,2020-08-22,6.1,2,0.1,▲,3.0,1.7,0.0,6.0
4,2020-08-23,6.0,4,-0.1,▼,2.0,-1.6,2.0,10.0
5,2020-08-24,5.9,4,-0.1,▼,1.0,-1.7,0.0,14.0
6,2020-08-25,5.9,1,0.0,-,1.0,0.0,-3.0,15.0
7,2020-08-27,5.2,2,-0.7,▼,0.0,-11.9,1.0,17.0
8,2020-08-28,5.1,3,-0.1,▼,-1.0,-1.9,1.0,20.0
9,2020-08-29,5.2,2,0.1,▲,0.0,2.0,-1.0,22.0
10,2020-09-01,5.2,4,0.0,-,0.0,0.0,2.0,26.0
11,2020-09-02,5.7,2,0.5,▲,1.0,9.6,-2.0,28.0
12,2020-09-03,5.8,3,0.1,▲,2.0,1.8,1.0,31.0
13,2020-09-04,5.9,3,0.1,▲,3.0,1.7,0.0,34.0
14,2020-09-05,5.9,3,0.0,-,3.0,0.0,0.0,37.0
15,2020-09-06,5.9,3,0.0,-,3.0,0.0,0.0,40.0
16,2020-09-07,5.3,2,-0.6,▼,2.0,-10.2,-1.0,42.0
17,2020-09-08,5.0,2,-0.3,▼,1.0,-5.7,0.0,44.0
18,2020-09-09,4.9,5,-0.1,▼,0.0,-2.0,3.0,49.0
19,2020-09-10,4.8,2,-0.1,▼,-1.0,-2.0,-3.0,51.0
20,2020-09-11,4.7,2,-0.1,▼,-2.0,-2.1,0.0,53.0
21,2020-09-12,5.0,1,0.3,▲,-1.0,6.4,-1.0,54.0
22,2020-09-13,4.8,1,-0.2,▼,-2.0,-4.0,0.0,55.0
23,2020-09-14,4.7,3,-0.1,▼,-3.0,-2.1,2.0,58.0
24,2020-09-15,4.2,1,-0.5,▼,-4.0,-10.6,-2.0,59.0
25,2020-09-16,4.2,1,0.0,-,-4.0,0.0,0.0,60.0
26,2020-09-17,3.7,2,-0.5,▼,-5.0,-11.9,1.0,62.0
27,2020-09-18,3.7,2,0.0,-,-5.0,0.0,0.0,64.0
28,2020-09-19,3.9,1,0.2,▲,-4.0,5.4,-1.0,65.0
29,2020-09-20,4.4,2,0.5,▲,-3.0,12.8,1.0,67.0
30,2020-09-21,4.5,5,0.1,▲,-2.0,2.3,3.0,72.0
31,2020-09-22,4.6,2,0.1,▲,-1.0,2.2,-3.0,74.0
32,2020-09-23,4.3,2,-0.3,▼,-2.0,-6.5,0.0,76.0
33,2020-09-24,4.3,2,0.0,-,-2.0,0.0,0.0,78.0
34,2020-09-25,4.4,2,0.1,▲,-1.0,2.3,0.0,80.0
35,2020-09-26,4.4,2,0.0,-,-1.0,0.0,0.0,82.0
36,2020-09-27,4.5,5,0.1,▲,0.0,2.3,3.0,87.0
37,2020-09-28,4.6,1,0.1,▲,1.0,2.2,-4.0,88.0
38,2020-09-29,4.4,5,-0.2,▼,0.0,-4.3,4.0,93.0
39,2020-09-30,4.4,1,0.0,-,0.0,0.0,-4.0,94.0
40,2020-10-01,4.3,3,-0.1,▼,-1.0,-2.3,2.0,97.0
41,2020-10-03,4.3,2,0.0,-,-1.0,0.0,-1.0,99.0
42,2020-10-04,4.3,1,0.0,-,-1.0,0.0,-1.0,100.0
43,2020-10-05,4.2,2,-0.1,▼,-2.0,-2.3,1.0,102.0
44,2020-10-06,4.0,1,-0.2,▼,-3.0,-4.8,-1.0,103.0
45,2020-10-08,4.0,2,0.0,-,-3.0,0.0,1.0,105.0
46,2020-10-11,4.0,4,0.0,-,-3.0,0.0,2.0,109.0
47,2020-10-12,4.0,2,0.0,-,-3.0,0.0,-2.0,111.0
48,2020-10-13,4.1,1,0.1,▲,-2.0,2.5,-1.0,112.0
49,2020-10-14,4.1,1,0.0,-,-2.0,0.0,0.0,113.0
50,2020-10-15,4.2,3,0.1,▲,-1.0,2.4,2.0,116.0
51,2020-10-16,3.9,1,-0.3,▼,-2.0,-7.1,-2.0,117.0
52,2020-10-17,4.1,2,0.2,▲,-1.0,5.1,1.0,119.0
53,2020-10-18,4.1,1,0.0,-,-1.0,0.0,-1.0,120.0
54,2020-10-19,3.9,3,-0.2,▼,-2.0,-4.9,2.0,123.0
55,2020-10-20,3.6,1,-0.3,▼,-3.0,-7.7,-2.0,124.0
56,2020-10-21,3.9,3,0.3,▲,-2.0,8.3,2.0,127.0
57,2020-10-22,3.8,5,-0.1,▼,-3.0,-2.6,2.0,132.0
58,2020-10-23,3.6,1,-0.2,▼,-4.0,-5.3,-4.0,133.0
59,2020-10-25,3.9,2,0.3,▲,-3.0,8.3,1.0,135.0
60,2020-10-26,4.2,4,0.3,▲,-2.0,7.7,2.0,139.0
61,2020-10-27,4.2,4,0.0,-,-2.0,0.0,0.0,143.0
62,2020-10-29,4.3,1,0.1,▲,-1.0,2.4,-3.0,144.0
63,2020-10-30,4.8,4,0.5,▲,0.0,11.6,3.0,148.0
64,2020-10-31,4.9,1,0.1,▲,1.0,2.1,-3.0,149.0
65,2020-11-01,4.8,1,-0.1,▼,0.0,-2.0,0.0,150.0
66,2020-11-04,4.8,2,0.0,-,0.0,0.0,1.0,152.0
67,2020-11-07,4.6,1,-0.2,▼,-1.0,-4.2,-1.0,153.0
68,2020-11-08,4.4,3,-0.2,▼,-2.0,-4.3,2.0,156.0
69,2020-11-09,4.3,2,-0.1,▼,-3.0,-2.3,-1.0,158.0
70,2020-11-10,4.4,5,0.1,▲,-2.0,2.3,3.0,163.0
71,2020-11-12,4.5,2,0.1,▲,-1.0,2.3,-3.0,165.0
72,2020-11-13,4.7,1,0.2,▲,0.0,4.4,-1.0,166.0
73,2020-11-14,4.7,3,0.0,-,0.0,0.0,2.0,169.0
74,2020-11-15,4.8,1,0.1,▲,1.0,2.1,-2.0,170.0
75,2020-11-16,4.9,1,0.1,▲,2.0,2.1,0.0,171.0
76,2020-11-20,4.5,2,-0.4,▼,1.0,-8.2,1.0,173.0
77,2020-11-21,4.3,2,-0.2,▼,0.0,-4.4,0.0,175.0
78,2020-11-23,4.4,1,0.1,▲,1.0,2.3,-1.0,176.0
79,2020-11-24,4.1,2,-0.3,▼,0.0,-6.8,1.0,178.0
80,2020-11-25,4.0,2,-0.1,▼,-1.0,-2.4,0.0,180.0
81,2020-11-26,4.3,4,0.3,▲,0.0,7.5,2.0,184.0
82,2020-11-27,4.3,1,0.0,-,0.0,0.0,-3.0,185.0
83,2020-11-29,4.3,1,0.0,-,0.0,0.0,0.0,186.0
84,2020-11-30,4.3,2,0.0,-,0.0,0.0,1.0,188.0
85,2020-12-01,4.2,1,-0.1,▼,-1.0,-2.3,-1.0,189.0
86,2020-12-02,4.3,1,0.1,▲,0.0,2.4,0.0,190.0
87,2020-12-03,4.4,2,0.1,▲,1.0,2.3,1.0,192.0
88,2020-12-04,4.2,3,-0.2,▼,0.0,-4.5,1.0,195.0
89,2020-12-05,4.3,1,0.1,▲,1.0,2.4,-2.0,196.0
90,2020-12-06,4.5,3,0.2,▲,2.0,4.7,2.0,199.0
91,2020-12-07,4.3,2,-0.2,▼,1.0,-4.4,-1.0,201.0
92,2020-12-10,4.2,1,-0.1,▼,0.0,-2.3,-1.0,202.0
93,2020-12-12,4.2,1,0.0,-,0.0,0.0,0.0,203.0
94,2020-12-13,4.4,1,0.2,▲,1.0,4.8,0.0,204.0
95,2020-12-16,4.4,2,0.0,-,1.0,0.0,1.0,206.0
96,2020-12-17,4.6,1,0.2,▲,2.0,4.5,-1.0,207.0
97,2020-12-18,4.8,1,0.2,▲,3.0,4.3,0.0,208.0
98,2020-12-19,4.9,2,0.1,▲,4.0,2.1,1.0,210.0
99,2020-12-20,4.9,1,0.0,-,4.0,0.0,-1.0,211.0
100,2020-12-21,4.8,4,-0.1,▼,3.0,-2.0,3.0,215.0
101,2020-12-22,4.8,2,0.0,-,3.0,0.0,-2.0,217.0
102,2020-12-23,4.7,4,-0.1,▼,2.0,-2.1,2.0,221.0
103,2020-12-24,5.1,5,0.4,▲,3.0,8.5,1.0,226.0
104,2020-12-25,5.1,5,0.0,-,3.0,0.0,0.0,231.0
105,2020-12-26,5.5,3,0.4,▲,4.0,7.8,-2.0,234.0
106,2020-12-27,5.6,7,0.1,▲,5.0,1.8,4.0,241.0
107,2020-12-28,5.5,1,-0.1,▼,4.0,-1.8,-6.0,242.0
108,2020-12-29,5.1,4,-0.4,▼,3.0,-7.3,3.0,246.0
109,2020-12-30,5.1,3,0.0,-,3.0,0.0,-1.0,249.0
110,2020-12-31,4.8,3,-0.3,▼,2.0,-5.9,0.0,252.0
111,2021-01-01,4.8,4,0.0,-,2.0,0.0,1.0,256.0
112,2021-01-02,4.8,4,0.0,-,2.0,0.0,0.0,260.0
113,2021-01-03,4.7,1,-0.1,▼,1.0,-2.1,-3.0,261.0
114,2021-01-04,4.7,1,0.0,-,1.0,0.0,0.0,262.0
115,2021-01-05,5.3,1,0.6,▲,2.0,12.8,0.0,263.0
116,2021-01-06,5.1,2,-0.2,▼,1.0,-3.8,1.0,265.0
117,2021-01-07,6.3,1,1.2,▲,2.0,23.5,-1.0,266.0
118,2021-01-08,6.3,1,0.0,-,2.0,0.0,0.0,267.0
119,2021-01-09,6.3,2,0.0,-,2.0,0.0,1.0,269.0
120,2021-01-10,5.7,2,-0.6,▼,1.0,-9.5,0.0,271.0
121,2021-01-11,5.8,2,0.1,▲,2.0,1.8,0.0,273.0
122,2021-01-12,4.8,1,-1.0,▼,1.0,-17.2,-1.0,274.0
123,2021-01-13,4.7,3,-0.1,▼,0.0,-2.1,2.0,277.0
124,2021-01-14,4.9,2,0.2,▲,1.0,4.3,-1.0,279.0
125,2021-01-20,4.5,1,-0.4,▼,0.0,-8.2,-1.0,280.0
126,2021-01-21,4.5,1,0.0,-,0.0,0.0,0.0,281.0
127,2021-01-22,4.3,1,-0.2,▼,-1.0,-4.4,0.0,282.0
128,2021-01-23,4.6,3,0.3,▲,0.0,7.0,2.0,285.0
129,2021-01-25,4.2,2,-0.4,▼,-1.0,-8.7,-1.0,287.0
130,2021-01-26,4.6,1,0.4,▲,0.0,9.5,-1.0,288.0
131,2021-01-29,4.4,1,-0.2,▼,-1.0,-4.3,0.0,289.0
132,2021-01-31,4.4,2,0.0,-,-1.0,0.0,1.0,291.0
133,2021-02-01,4.2,1,-0.2,▼,-2.0,-4.5,-1.0,292.0
134,2021-02-04,4.0,1,-0.2,▼,-3.0,-4.8,0.0,293.0
135,2021-02-06,3.8,1,-0.2,▼,-4.0,-5.0,0.0,294.0
136,2021-02-07,3.6,1,-0.2,▼,-5.0,-5.3,0.0,295.0
137,2021-02-10,3.6,3,0.0,-,-5.0,0.0,2.0,298.0
138,2021-02-11,3.8,1,0.2,▲,-4.0,5.6,-2.0,299.0
139,2021-02-12,4.0,2,0.2,▲,-3.0,5.3,1.0,301.0
140,2021-02-13,3.8,1,-0.2,▼,-4.0,-5.0,-1.0,302.0
141,2021-02-14,3.8,2,0.0,-,-4.0,0.0,1.0,304.0
142,2021-02-17,3.4,1,-0.4,▼,-5.0,-10.5,-1.0,305.0
143,2021-02-18,3.1,3,-0.3,▼,-6.0,-8.8,2.0,308.0
144,2021-02-19,3.1,4,0.0,-,-6.0,0.0,1.0,312.0
145,2021-02-20,3.4,3,0.3,▲,-5.0,9.7,-1.0,315.0
146,2021-02-21,3.6,3,0.2,▲,-4.0,5.9,0.0,318.0
147,2021-02-22,3.8,1,0.2,▲,-3.0,5.6,-2.0,319.0
148,2021-02-23,4.1,1,0.3,▲,-2.0,7.9,0.0,320.0
149,2021-02-25,4.3,2,0.2,▲,-1.0,4.9,1.0,322.0
150,2021-02-27,4.0,4,-0.3,▼,-2.0,-7.0,2.0,326.0
151,2021-03-01,3.8,1,-0.2,▼,-3.0,-5.0,-3.0,327.0
152,2021-03-02,4.0,2,0.2,▲,-2.0,5.3,1.0,329.0
153,2021-03-04,3.9,2,-0.1,▼,-3.0,-2.5,0.0,331.0
154,2021-03-05,3.7,3,-0.2,▼,-4.0,-5.1,1.0,334.0
155,2021-03-06,3.7,1,0.0,-,-4.0,0.0,-2.0,335.0
156,2021-03-07,3.9,3,0.2,▲,-3.0,5.4,2.0,338.0
157,2021-03-08,3.9,2,0.0,-,-3.0,0.0,-1.0,340.0
158,2021-03-09,3.8,1,-0.1,▼,-4.0,-2.6,-1.0,341.0
159,2021-03-10,3.7,4,-0.1,▼,-5.0,-2.6,3.0,345.0
160,2021-03-11,3.7,1,0.0,-,-5.0,0.0,-3.0,346.0
161,2021-03-12,3.7,1,0.0,-,-5.0,0.0,0.0,347.0
162,2021-03-13,3.6,2,-0.1,▼,-6.0,-2.7,1.0,349.0
163,2021-03-14,3.6,2,0.0,-,-6.0,0.0,0.0,351.0
164,2021-03-15,3.7,2,0.1,▲,-5.0,2.8,0.0,353.0
