,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-10-27,,58,0.0,-,0.0,0.0,0.0,0.0
1,2020-10-28,,260,,▲,1.0,,202.0,260.0
2,2020-10-29,,179,,▲,2.0,,-81.0,439.0
3,2020-10-30,,146,,▲,3.0,,-33.0,585.0
4,2020-10-31,159.8,153,,▲,4.0,,7.0,738.0
5,2020-11-01,138.8,139,-21.0,▼,3.0,-13.1,-14.0,877.0
6,2020-11-02,124.9,106,-13.9,▼,2.0,-10.0,-33.0,983.0
7,2020-11-03,119.4,91,-5.5,▼,1.0,-4.4,-15.0,1074.0
8,2020-11-04,113.9,73,-5.5,▼,0.0,-4.6,-18.0,1147.0
9,2020-11-05,107.9,62,-6.0,▼,-1.0,-5.3,-11.0,1209.0
10,2020-11-06,103.4,62,-4.5,▼,-2.0,-4.2,0.0,1271.0
11,2020-11-07,100.5,72,-2.9,▼,-3.0,-2.8,10.0,1343.0
12,2020-11-08,98.8,68,-1.7,▼,-4.0,-1.7,-4.0,1411.0
13,2020-11-09,98.8,43,0.0,-,-4.0,0.0,-25.0,1454.0
14,2020-11-10,96.8,56,-2.0,▼,-5.0,-2.0,13.0,1510.0
15,2020-11-11,94.1,40,-2.7,▼,-6.0,-2.8,-16.0,1550.0
16,2020-11-12,91.0,58,-3.1,▼,-7.0,-3.3,18.0,1608.0
17,2020-11-13,86.9,62,-4.1,▼,-8.0,-4.5,4.0,1670.0
18,2020-11-14,82.7,77,-4.2,▼,-9.0,-4.8,15.0,1747.0
19,2020-11-15,80.1,53,-2.6,▼,-10.0,-3.1,-24.0,1800.0
20,2020-11-16,79.1,63,-1.0,▼,-11.0,-1.2,10.0,1863.0
21,2020-11-17,78.1,50,-1.0,▼,-12.0,-1.3,-13.0,1913.0
22,2020-11-18,76.4,41,-1.7,▼,-13.0,-2.2,-9.0,1954.0
23,2020-11-19,74.7,65,-1.7,▼,-14.0,-2.2,24.0,2019.0
24,2020-11-20,74.7,55,0.0,-,-14.0,0.0,-10.0,2074.0
25,2020-11-21,74.9,68,0.2,▲,-13.0,0.3,13.0,2142.0
26,2020-11-22,75.9,57,1.0,▲,-12.0,1.3,-11.0,2199.0
27,2020-11-23,77.4,31,1.5,▲,-11.0,2.0,-26.0,2230.0
28,2020-11-24,79.4,33,2.0,▲,-10.0,2.6,2.0,2263.0
29,2020-11-25,78.5,42,-0.9,▼,-11.0,-1.1,9.0,2305.0
30,2020-11-26,75.5,27,-3.0,▼,-12.0,-3.8,-15.0,2332.0
31,2020-11-27,71.9,40,-3.6,▼,-13.0,-4.8,13.0,2372.0
32,2020-11-28,67.7,38,-4.2,▼,-14.0,-5.8,-2.0,2410.0
33,2020-11-29,63.7,56,-4.0,▼,-15.0,-5.9,18.0,2466.0
34,2020-11-30,61.1,38,-2.6,▼,-16.0,-4.1,-18.0,2504.0
35,2020-12-01,60.1,47,-1.0,▼,-17.0,-1.6,9.0,2551.0
36,2020-12-02,59.7,40,-0.4,▼,-18.0,-0.7,-7.0,2591.0
37,2020-12-03,59.6,24,-0.1,▼,-19.0,-0.2,-16.0,2615.0
38,2020-12-04,58.5,39,-1.1,▼,-20.0,-1.8,15.0,2654.0
39,2020-12-05,57.8,57,-0.7,▼,-21.0,-1.2,18.0,2711.0
40,2020-12-06,56.8,42,-1.0,▼,-22.0,-1.7,-15.0,2753.0
41,2020-12-07,55.8,37,-1.0,▼,-23.0,-1.8,-5.0,2790.0
42,2020-12-08,55.6,29,-0.2,▼,-24.0,-0.4,-8.0,2819.0
43,2020-12-09,55.7,30,0.1,▲,-23.0,0.2,1.0,2849.0
44,2020-12-10,55.0,25,-0.7,▼,-24.0,-1.3,-5.0,2874.0
45,2020-12-11,54.5,18,-0.5,▼,-25.0,-0.9,-7.0,2892.0
46,2020-12-12,54.3,27,-0.2,▼,-26.0,-0.4,9.0,2919.0
47,2020-12-13,53.8,33,-0.5,▼,-27.0,-0.9,6.0,2952.0
48,2020-12-14,53.7,21,-0.1,▼,-28.0,-0.2,-12.0,2973.0
49,2020-12-15,53.7,17,0.0,-,-28.0,0.0,-4.0,2990.0
50,2020-12-16,54.1,26,0.4,▲,-27.0,0.7,9.0,3016.0
51,2020-12-17,54.3,39,0.2,▲,-26.0,0.4,13.0,3055.0
52,2020-12-18,54.5,37,0.2,▲,-25.0,0.4,-2.0,3092.0
53,2020-12-19,55.6,44,1.1,▲,-24.0,2.0,7.0,3136.0
54,2020-12-20,56.0,35,0.4,▲,-23.0,0.7,-9.0,3171.0
55,2020-12-21,56.9,39,0.9,▲,-22.0,1.6,4.0,3210.0
56,2020-12-22,58.9,35,2.0,▲,-21.0,3.5,-4.0,3245.0
57,2020-12-23,60.3,29,1.4,▲,-20.0,2.4,-6.0,3274.0
58,2020-12-24,63.6,34,3.3,▲,-19.0,5.5,5.0,3308.0
59,2020-12-25,64.9,20,1.3,▲,-18.0,2.0,-14.0,3328.0
60,2020-12-26,67.6,37,2.7,▲,-17.0,4.2,17.0,3365.0
61,2020-12-27,68.6,37,1.0,▲,-16.0,1.5,0.0,3402.0
62,2020-12-28,68.7,29,0.1,▲,-15.0,0.1,-8.0,3431.0
63,2020-12-29,67.3,23,-1.4,▼,-16.0,-2.0,-6.0,3454.0
64,2020-12-30,68.1,37,0.8,▲,-15.0,1.2,14.0,3491.0
65,2020-12-31,65.9,33,-2.2,▼,-16.0,-3.2,-4.0,3524.0
66,2021-01-01,63.6,29,-2.3,▼,-17.0,-3.5,-4.0,3553.0
67,2021-01-02,61.7,44,-1.9,▼,-18.0,-3.0,15.0,3597.0
68,2021-01-03,58.5,51,-3.2,▼,-19.0,-5.2,7.0,3648.0
