,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-02-11,29.7,1,0.0,-,0.0,0.0,0.0,0.0
1,2020-02-12,30.8,2,1.1,▲,1.0,3.7,1.0,2.0
2,2020-02-13,30.8,2,0.0,-,1.0,0.0,0.0,4.0
3,2020-02-14,31.2,3,0.4,▲,2.0,1.3,1.0,7.0
4,2020-02-15,32.1,1,0.9,▲,3.0,2.9,-2.0,8.0
5,2020-02-16,31.6,8,-0.5,▼,2.0,-1.6,7.0,16.0
6,2020-02-17,30.7,1,-0.9,▼,1.0,-2.8,-7.0,17.0
7,2020-02-18,30.2,4,-0.5,▼,0.0,-1.6,3.0,21.0
8,2020-02-19,29.8,1,-0.4,▼,-1.0,-1.3,-3.0,22.0
9,2020-02-20,29.9,4,0.1,▲,0.0,0.3,3.0,26.0
10,2020-02-21,31.4,3,1.5,▲,1.0,5.0,-1.0,29.0
11,2020-02-22,31.9,8,0.5,▲,2.0,1.6,5.0,37.0
12,2020-02-23,32.4,1,0.5,▲,3.0,1.6,-7.0,38.0
13,2020-02-24,34.0,1,1.6,▲,4.0,4.9,0.0,39.0
14,2020-02-25,32.3,2,-1.7,▼,3.0,-5.0,1.0,41.0
15,2020-02-26,32.2,2,-0.1,▼,2.0,-0.3,0.0,43.0
16,2020-02-27,33.1,4,0.9,▲,3.0,2.8,2.0,47.0
17,2020-02-28,33.0,3,-0.1,▼,2.0,-0.3,-1.0,50.0
18,2020-02-29,31.7,3,-1.3,▼,1.0,-3.9,0.0,53.0
19,2020-03-01,33.5,2,1.8,▲,2.0,5.7,-1.0,55.0
20,2020-03-02,32.6,2,-0.9,▼,1.0,-2.7,0.0,57.0
21,2020-03-03,32.2,4,-0.4,▼,0.0,-1.2,2.0,61.0
22,2020-03-04,32.8,3,0.6,▲,1.0,1.9,-1.0,64.0
23,2020-03-05,33.0,4,0.2,▲,2.0,0.6,1.0,68.0
24,2020-03-06,33.2,2,0.2,▲,3.0,0.6,-2.0,70.0
25,2020-03-07,34.1,5,0.9,▲,4.0,2.7,3.0,75.0
26,2020-03-08,33.6,5,-0.5,▼,3.0,-1.5,0.0,80.0
27,2020-03-09,33.6,3,0.0,-,3.0,0.0,-2.0,83.0
28,2020-03-10,34.1,4,0.5,▲,4.0,1.5,1.0,87.0
29,2020-03-11,33.9,2,-0.2,▼,3.0,-0.6,-2.0,89.0
30,2020-03-12,33.9,4,0.0,-,3.0,0.0,2.0,93.0
31,2020-03-13,36.2,3,2.3,▲,4.0,6.8,-1.0,96.0
32,2020-03-14,36.2,11,0.0,-,4.0,0.0,8.0,107.0
33,2020-03-15,36.2,6,0.0,-,4.0,0.0,-5.0,113.0
34,2020-03-16,36.6,2,0.4,▲,5.0,1.1,-4.0,115.0
35,2020-03-17,36.6,3,0.0,-,5.0,0.0,1.0,118.0
36,2020-03-18,33.8,5,-2.8,▼,4.0,-7.7,2.0,123.0
37,2020-03-19,34.3,4,0.5,▲,5.0,1.5,-1.0,127.0
38,2020-03-20,33.7,5,-0.6,▼,4.0,-1.7,1.0,132.0
39,2020-03-21,33.3,5,-0.4,▼,3.0,-1.2,0.0,137.0
40,2020-03-22,33.1,5,-0.2,▼,2.0,-0.6,0.0,142.0
41,2020-03-23,34.0,5,0.9,▲,3.0,2.7,0.0,147.0
42,2020-03-24,35.0,1,1.0,▲,4.0,2.9,-4.0,148.0
43,2020-03-25,36.1,3,1.1,▲,5.0,3.1,2.0,151.0
44,2020-03-26,37.1,1,1.0,▲,6.0,2.8,-2.0,152.0
45,2020-03-27,36.9,4,-0.2,▼,5.0,-0.5,3.0,156.0
46,2020-03-28,36.2,8,-0.7,▼,4.0,-1.9,4.0,164.0
47,2020-03-29,35.2,7,-1.0,▼,3.0,-2.8,-1.0,171.0
48,2020-03-30,36.1,2,0.9,▲,4.0,2.6,-5.0,173.0
49,2020-03-31,34.6,3,-1.5,▼,3.0,-4.2,1.0,176.0
50,2020-04-01,34.1,3,-0.5,▼,2.0,-1.4,0.0,179.0
51,2020-04-02,34.4,6,0.3,▲,3.0,0.9,3.0,185.0
52,2020-04-03,33.9,3,-0.5,▼,2.0,-1.5,-3.0,188.0
53,2020-04-04,34.0,5,0.1,▲,3.0,0.3,2.0,193.0
54,2020-04-05,34.9,3,0.9,▲,4.0,2.6,-2.0,196.0
55,2020-04-06,35.9,5,1.0,▲,5.0,2.9,2.0,201.0
56,2020-04-07,35.4,4,-0.5,▼,4.0,-1.4,-1.0,205.0
57,2020-04-08,36.4,6,1.0,▲,5.0,2.8,2.0,211.0
58,2020-04-09,34.4,4,-2.0,▼,4.0,-5.5,-2.0,215.0
59,2020-04-10,34.5,4,0.1,▲,5.0,0.3,0.0,219.0
60,2020-04-11,34.6,3,0.1,▲,6.0,0.3,-1.0,222.0
61,2020-04-12,35.6,3,1.0,▲,7.0,2.9,0.0,225.0
62,2020-04-13,34.6,5,-1.0,▼,6.0,-2.8,2.0,230.0
63,2020-04-14,35.1,6,0.5,▲,7.0,1.4,1.0,236.0
64,2020-04-15,36.1,5,1.0,▲,8.0,2.8,-1.0,241.0
65,2020-04-16,36.9,5,0.8,▲,9.0,2.2,0.0,246.0
66,2020-04-17,37.8,5,0.9,▲,10.0,2.4,0.0,251.0
67,2020-04-18,39.5,4,1.7,▲,11.0,4.5,-1.0,255.0
68,2020-04-19,40.7,3,1.2,▲,12.0,3.0,-1.0,258.0
69,2020-04-20,42.5,4,1.8,▲,13.0,4.4,1.0,262.0
70,2020-04-21,43.5,2,1.0,▲,14.0,2.4,-2.0,264.0
71,2020-04-22,42.1,4,-1.4,▼,13.0,-3.2,2.0,268.0
72,2020-04-23,40.9,3,-1.2,▼,12.0,-2.9,-1.0,271.0
73,2020-04-24,40.3,2,-0.6,▼,11.0,-1.5,-1.0,273.0
74,2020-04-25,37.9,6,-2.4,▼,10.0,-6.0,4.0,279.0
75,2020-04-26,36.5,5,-1.4,▼,9.0,-3.7,-1.0,284.0
76,2020-04-27,37.9,3,1.4,▲,10.0,3.8,-2.0,287.0
77,2020-04-28,39.1,2,1.2,▲,11.0,3.2,-1.0,289.0
78,2020-04-29,39.4,3,0.3,▲,12.0,0.8,1.0,292.0
79,2020-04-30,39.5,6,0.1,▲,13.0,0.3,3.0,298.0
80,2020-05-01,40.4,5,0.9,▲,14.0,2.3,-1.0,303.0
81,2020-05-02,39.4,9,-1.0,▼,13.0,-2.5,4.0,312.0
82,2020-05-03,39.6,3,0.2,▲,14.0,0.5,-6.0,315.0
83,2020-05-04,39.6,10,0.0,-,14.0,0.0,7.0,325.0
84,2020-05-05,39.4,8,-0.2,▼,13.0,-0.5,-2.0,333.0
85,2020-05-06,37.5,8,-1.9,▼,12.0,-4.8,0.0,341.0
86,2020-05-07,38.1,3,0.6,▲,13.0,1.6,-5.0,344.0
87,2020-05-08,37.5,3,-0.6,▼,12.0,-1.6,0.0,347.0
88,2020-05-09,36.6,6,-0.9,▼,11.0,-2.4,3.0,353.0
89,2020-05-10,37.3,3,0.7,▲,12.0,1.9,-3.0,356.0
90,2020-05-11,37.3,4,0.0,-,12.0,0.0,1.0,360.0
91,2020-05-12,37.6,3,0.3,▲,13.0,0.8,-1.0,363.0
92,2020-05-13,37.3,11,-0.3,▼,12.0,-0.8,8.0,374.0
93,2020-05-14,37.8,7,0.5,▲,13.0,1.3,-4.0,381.0
94,2020-05-15,35.8,8,-2.0,▼,12.0,-5.3,1.0,389.0
95,2020-05-16,36.7,8,0.9,▲,13.0,2.5,0.0,397.0
96,2020-05-17,35.9,6,-0.8,▼,12.0,-2.2,-2.0,403.0
97,2020-05-18,36.4,9,0.5,▲,13.0,1.4,3.0,412.0
98,2020-05-19,35.3,4,-1.1,▼,12.0,-3.0,-5.0,416.0
99,2020-05-20,35.3,5,0.0,-,12.0,0.0,1.0,421.0
100,2020-05-21,35.9,7,0.6,▲,13.0,1.7,2.0,428.0
101,2020-05-22,36.8,8,0.9,▲,14.0,2.5,1.0,436.0
102,2020-05-23,34.3,8,-2.5,▼,13.0,-6.8,0.0,444.0
