,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-08-28,,1,0.0,-,0.0,0.0,0.0,0.0
1,2020-08-29,,77,,▲,1.0,,76.0,77.0
2,2020-08-30,,136,,▲,2.0,,59.0,213.0
3,2020-08-31,,103,,▲,3.0,,-33.0,316.0
4,2020-09-01,39.4,95,,▲,4.0,,-8.0,411.0
5,2020-09-02,24.9,93,-14.5,▼,3.0,-36.8,-2.0,504.0
6,2020-09-03,23.8,74,-1.1,▼,2.0,-4.4,-19.0,578.0
7,2020-09-04,22.3,59,-1.5,▼,1.0,-6.3,-15.0,637.0
8,2020-09-05,21.1,53,-1.2,▼,0.0,-5.4,-6.0,690.0
9,2020-09-06,20.5,60,-0.6,▼,-1.0,-2.8,7.0,750.0
10,2020-09-07,20.2,50,-0.3,▼,-2.0,-1.5,-10.0,800.0
11,2020-09-08,17.4,36,-2.8,▼,-3.0,-13.9,-14.0,836.0
12,2020-09-09,16.4,44,-1.0,▼,-4.0,-5.7,8.0,880.0
13,2020-09-10,15.6,32,-0.8,▼,-5.0,-4.9,-12.0,912.0
14,2020-09-11,15.2,39,-0.4,▼,-6.0,-2.6,7.0,951.0
15,2020-09-12,15.0,27,-0.2,▼,-7.0,-1.3,-12.0,978.0
16,2020-09-13,15.1,21,0.1,▲,-6.0,0.7,-6.0,999.0
17,2020-09-14,15.1,19,0.0,-,-6.0,0.0,-2.0,1018.0
18,2020-09-15,15.1,15,0.0,-,-6.0,0.0,-4.0,1033.0
19,2020-09-16,15.1,12,0.0,-,-6.0,0.0,-3.0,1045.0
20,2020-09-17,15.1,15,0.0,-,-6.0,0.0,3.0,1060.0
21,2020-09-18,15.1,21,0.0,-,-6.0,0.0,6.0,1081.0
22,2020-09-19,15.1,14,0.0,-,-6.0,0.0,-7.0,1095.0
23,2020-09-20,14.9,13,-0.2,▼,-7.0,-1.3,-1.0,1108.0
24,2020-09-21,14.7,14,-0.2,▼,-8.0,-1.3,1.0,1122.0
