,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2021-02-24,,768,0.0,-,0.0,0.0,0.0,0.0
1,2021-02-25,,949,,▲,1.0,,181.0,949.0
2,2021-02-26,,593,,▲,2.0,,-356.0,1542.0
3,2021-02-27,,639,,▲,3.0,,46.0,2181.0
4,2021-02-28,130.9,543,,▲,4.0,,-96.0,2724.0
5,2021-03-01,125.1,434,-5.8,▼,3.0,-4.4,-109.0,3158.0
6,2021-03-02,121.7,375,-3.4,▼,2.0,-2.7,-59.0,3533.0
7,2021-03-03,118.6,398,-3.1,▼,1.0,-2.5,23.0,3931.0
8,2021-03-04,114.5,326,-4.1,▼,0.0,-3.5,-72.0,4257.0
9,2021-03-05,112.3,310,-2.2,▼,-1.0,-1.9,-16.0,4567.0
10,2021-03-06,110.1,397,-2.2,▼,-2.0,-2.0,87.0,4964.0
11,2021-03-07,109.0,354,-1.1,▼,-3.0,-1.0,-43.0,5318.0
12,2021-03-08,106.9,258,-2.1,▼,-4.0,-1.9,-96.0,5576.0
13,2021-03-09,104.6,300,-2.3,▼,-5.0,-2.2,42.0,5876.0
14,2021-03-10,102.9,232,-1.7,▼,-6.0,-1.6,-68.0,6108.0
15,2021-03-11,101.2,311,-1.7,▼,-7.0,-1.7,79.0,6419.0
16,2021-03-12,99.5,228,-1.7,▼,-8.0,-1.7,-83.0,6647.0
17,2021-03-13,98.5,344,-1.0,▼,-9.0,-1.0,116.0,6991.0
18,2021-03-14,97.7,311,-0.8,▼,-10.0,-0.8,-33.0,7302.0
19,2021-03-15,96.3,224,-1.4,▼,-11.0,-1.4,-87.0,7526.0
20,2021-03-16,94.8,253,-1.5,▼,-12.0,-1.6,29.0,7779.0
21,2021-03-17,93.0,146,-1.8,▼,-13.0,-1.9,-107.0,7925.0
22,2021-03-18,90.8,263,-2.2,▼,-14.0,-2.4,117.0,8188.0
23,2021-03-19,89.0,225,-1.8,▼,-15.0,-2.0,-38.0,8413.0
24,2021-03-20,88.6,297,-0.4,▼,-16.0,-0.4,72.0,8710.0
25,2021-03-21,89.2,300,0.6,▲,-15.0,0.7,3.0,9010.0
26,2021-03-22,89.2,256,0.0,-,-15.0,0.0,-44.0,9266.0
27,2021-03-23,90.2,264,1.0,▲,-14.0,1.1,8.0,9530.0
28,2021-03-24,90.1,297,-0.1,▼,-15.0,-0.1,33.0,9827.0
29,2021-03-25,88.7,244,-1.4,▼,-16.0,-1.6,-53.0,10071.0
30,2021-03-26,86.0,264,-2.7,▼,-17.0,-3.0,20.0,10335.0
31,2021-03-27,84.0,170,-2.0,▼,-18.0,-2.3,-94.0,10505.0
32,2021-03-28,82.2,195,-1.8,▼,-19.0,-2.1,25.0,10700.0
33,2021-03-29,81.0,128,-1.2,▼,-20.0,-1.5,-67.0,10828.0
34,2021-03-30,80.0,220,-1.0,▼,-21.0,-1.2,92.0,11048.0
35,2021-03-31,79.1,229,-0.9,▼,-22.0,-1.1,9.0,11277.0
36,2021-04-01,77.9,224,-1.2,▼,-23.0,-1.5,-5.0,11501.0
37,2021-04-02,77.0,218,-0.9,▼,-24.0,-1.2,-6.0,11719.0
38,2021-04-03,76.3,244,-0.7,▼,-25.0,-0.9,26.0,11963.0
39,2021-04-04,75.3,259,-1.0,▼,-26.0,-1.3,15.0,12222.0
40,2021-04-05,74.7,191,-0.6,▼,-27.0,-0.8,-68.0,12413.0
41,2021-04-06,74.4,214,-0.3,▼,-28.0,-0.4,23.0,12627.0
42,2021-04-07,73.3,157,-1.1,▼,-29.0,-1.5,-57.0,12784.0
43,2021-04-08,72.3,162,-1.0,▼,-30.0,-1.4,5.0,12946.0
44,2021-04-09,71.0,156,-1.3,▼,-31.0,-1.8,-6.0,13102.0
45,2021-04-10,69.9,191,-1.1,▼,-32.0,-1.5,35.0,13293.0
46,2021-04-11,69.4,195,-0.5,▼,-33.0,-0.7,4.0,13488.0
47,2021-04-12,69.2,163,-0.2,▼,-34.0,-0.3,-32.0,13651.0
48,2021-04-13,69.2,147,0.0,-,-34.0,0.0,-16.0,13798.0
49,2021-04-14,69.5,239,0.3,▲,-33.0,0.4,92.0,14037.0
50,2021-04-15,69.8,249,0.3,▲,-32.0,0.4,10.0,14286.0
51,2021-04-16,70.3,240,0.5,▲,-31.0,0.7,-9.0,14526.0
52,2021-04-17,71.0,283,0.7,▲,-30.0,1.0,43.0,14809.0
53,2021-04-18,71.6,293,0.6,▲,-29.0,0.8,10.0,15102.0
54,2021-04-19,72.5,243,0.9,▲,-28.0,1.3,-50.0,15345.0
55,2021-04-20,73.3,242,0.8,▲,-27.0,1.1,-1.0,15587.0
56,2021-04-21,73.9,261,0.6,▲,-26.0,0.8,19.0,15848.0
57,2021-04-22,74.9,227,1.0,▲,-25.0,1.4,-34.0,16075.0
58,2021-04-23,75.2,281,0.3,▲,-24.0,0.4,54.0,16356.0
59,2021-04-24,76.1,315,0.9,▲,-23.0,1.2,34.0,16671.0
60,2021-04-25,76.7,201,0.6,▲,-22.0,0.8,-114.0,16872.0
61,2021-04-26,76.7,254,0.0,-,-22.0,0.0,53.0,17126.0
62,2021-04-27,76.1,254,-0.6,▼,-23.0,-0.8,0.0,17380.0
63,2021-04-28,76.2,243,0.1,▲,-22.0,0.1,-11.0,17623.0
64,2021-04-29,74.5,231,-1.7,▼,-23.0,-2.2,-12.0,17854.0
65,2021-04-30,74.1,225,-0.4,▼,-24.0,-0.5,-6.0,18079.0
66,2021-05-01,74.0,309,-0.1,▼,-25.0,-0.1,84.0,18388.0
67,2021-05-02,74.0,291,0.0,-,-25.0,0.0,-18.0,18679.0
68,2021-05-03,73.7,276,-0.3,▼,-26.0,-0.4,-15.0,18955.0
69,2021-05-04,73.6,252,-0.1,▼,-27.0,-0.1,-24.0,19207.0
