,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-04-07,13.8,25,0.0,-,0.0,0.0,0.0,0.0
1,2020-04-08,14.0,14,0.2,▲,1.0,1.4,-11.0,14.0
2,2020-04-09,13.6,5,-0.4,▼,0.0,-2.9,-9.0,19.0
3,2020-04-10,13.4,7,-0.2,▼,-1.0,-1.5,2.0,26.0
4,2020-04-11,13.6,22,0.2,▲,0.0,1.5,15.0,48.0
5,2020-04-12,13.1,20,-0.5,▼,-1.0,-3.7,-2.0,68.0
6,2020-04-13,13.1,13,0.0,-,-1.0,0.0,-7.0,81.0
7,2020-04-14,13.2,20,0.1,▲,0.0,0.8,7.0,101.0
8,2020-04-15,13.5,19,0.3,▲,1.0,2.3,-1.0,120.0
9,2020-04-16,13.1,16,-0.4,▼,0.0,-3.0,-3.0,136.0
10,2020-04-17,13.6,14,0.5,▲,1.0,3.8,-2.0,150.0
11,2020-04-18,13.4,10,-0.2,▼,0.0,-1.5,-4.0,160.0
12,2020-04-19,13.2,12,-0.2,▼,-1.0,-1.5,2.0,172.0
13,2020-04-20,12.7,19,-0.5,▼,-2.0,-3.8,7.0,191.0
14,2020-04-21,12.3,9,-0.4,▼,-3.0,-3.1,-10.0,200.0
15,2020-04-22,12.2,9,-0.1,▼,-4.0,-0.8,0.0,209.0
16,2020-04-23,12.0,20,-0.2,▼,-5.0,-1.6,11.0,229.0
17,2020-04-24,12.2,16,0.2,▲,-4.0,1.7,-4.0,245.0
18,2020-04-25,12.5,9,0.3,▲,-3.0,2.5,-7.0,254.0
19,2020-04-26,12.4,20,-0.1,▼,-4.0,-0.8,11.0,274.0
20,2020-04-27,12.1,13,-0.3,▼,-5.0,-2.4,-7.0,287.0
21,2020-04-28,11.8,13,-0.3,▼,-6.0,-2.5,0.0,300.0
22,2020-04-29,11.3,8,-0.5,▼,-7.0,-4.2,-5.0,308.0
23,2020-04-30,10.4,7,-0.9,▼,-8.0,-8.0,-1.0,315.0
24,2020-05-01,10.4,19,0.0,-,-8.0,0.0,12.0,334.0
25,2020-05-02,10.5,13,0.1,▲,-7.0,1.0,-6.0,347.0
26,2020-05-03,10.4,12,-0.1,▼,-8.0,-1.0,-1.0,359.0
27,2020-05-04,10.5,6,0.1,▲,-7.0,1.0,-6.0,365.0
28,2020-05-05,10.8,21,0.3,▲,-6.0,2.9,15.0,386.0
29,2020-05-06,11.0,24,0.2,▲,-5.0,1.9,3.0,410.0
30,2020-05-07,10.4,11,-0.6,▼,-6.0,-5.5,-13.0,421.0
31,2020-05-08,10.6,10,0.2,▲,-5.0,1.9,-1.0,431.0
32,2020-05-09,10.2,13,-0.4,▼,-6.0,-3.8,3.0,444.0
33,2020-05-10,10.3,15,0.1,▲,-5.0,1.0,2.0,459.0
34,2020-05-11,10.1,8,-0.2,▼,-6.0,-1.9,-7.0,467.0
35,2020-05-12,10.1,13,0.0,-,-6.0,0.0,5.0,480.0
36,2020-05-13,10.5,11,0.4,▲,-5.0,4.0,-2.0,491.0
37,2020-05-14,10.6,12,0.1,▲,-4.0,1.0,1.0,503.0
38,2020-05-15,10.1,14,-0.5,▼,-5.0,-4.7,2.0,517.0
39,2020-05-16,10.0,21,-0.1,▼,-6.0,-1.0,7.0,538.0
40,2020-05-17,10.0,15,0.0,-,-6.0,0.0,-6.0,553.0
41,2020-05-18,9.5,17,-0.5,▼,-7.0,-5.0,2.0,570.0
42,2020-05-19,9.4,14,-0.1,▼,-8.0,-1.1,-3.0,584.0
43,2020-05-20,9.6,17,0.2,▲,-7.0,2.1,3.0,601.0
44,2020-05-21,9.6,15,0.0,-,-7.0,0.0,-2.0,616.0
45,2020-05-22,9.7,11,0.1,▲,-6.0,1.0,-4.0,627.0
46,2020-05-23,10.1,14,0.4,▲,-5.0,4.1,3.0,641.0
47,2020-05-24,10.2,26,0.1,▲,-4.0,1.0,12.0,667.0
48,2020-05-25,10.5,19,0.3,▲,-3.0,2.9,-7.0,686.0
49,2020-05-26,10.4,14,-0.1,▼,-4.0,-1.0,-5.0,700.0
50,2020-05-27,10.4,10,0.0,-,-4.0,0.0,-4.0,710.0
51,2020-05-28,10.0,10,-0.4,▼,-5.0,-3.8,0.0,720.0
52,2020-05-29,10.2,14,0.2,▲,-4.0,2.0,4.0,734.0
53,2020-05-30,9.9,10,-0.3,▼,-5.0,-2.9,-4.0,744.0
54,2020-05-31,10.1,22,0.2,▲,-4.0,2.0,12.0,766.0
55,2020-06-01,10.1,11,0.0,-,-4.0,0.0,-11.0,777.0
56,2020-06-02,10.0,4,-0.1,▼,-5.0,-1.0,-7.0,781.0
57,2020-06-03,9.9,6,-0.1,▼,-6.0,-1.0,2.0,787.0
58,2020-06-04,9.4,6,-0.5,▼,-7.0,-5.1,0.0,793.0
59,2020-06-05,9.3,12,-0.1,▼,-8.0,-1.1,6.0,805.0
60,2020-06-06,9.3,12,0.0,-,-8.0,0.0,0.0,817.0
61,2020-06-07,9.4,27,0.1,▲,-7.0,1.1,15.0,844.0
62,2020-06-08,9.8,8,0.4,▲,-6.0,4.3,-19.0,852.0
63,2020-06-09,10.4,10,0.6,▲,-5.0,6.1,2.0,862.0
64,2020-06-10,10.6,13,0.2,▲,-4.0,1.9,3.0,875.0
65,2020-06-11,10.6,6,0.0,-,-4.0,0.0,-7.0,881.0
66,2020-06-12,10.6,20,0.0,-,-4.0,0.0,14.0,901.0
67,2020-06-13,10.6,20,0.0,-,-4.0,0.0,0.0,921.0
68,2020-06-14,10.8,22,0.2,▲,-3.0,1.9,2.0,943.0
69,2020-06-15,11.2,13,0.4,▲,-2.0,3.7,-9.0,956.0
70,2020-06-16,11.3,20,0.1,▲,-1.0,0.9,7.0,976.0
71,2020-06-17,11.1,16,-0.2,▼,-2.0,-1.8,-4.0,992.0
72,2020-06-18,11.1,11,0.0,-,-2.0,0.0,-5.0,1003.0
73,2020-06-19,11.3,13,0.2,▲,-1.0,1.8,2.0,1016.0
74,2020-06-20,10.7,5,-0.6,▼,-2.0,-5.3,-8.0,1021.0
75,2020-06-21,10.5,9,-0.2,▼,-3.0,-1.9,4.0,1030.0
76,2020-06-22,10.5,15,0.0,-,-3.0,0.0,6.0,1045.0
77,2020-06-23,11.0,12,0.5,▲,-2.0,4.8,-3.0,1057.0
78,2020-06-24,10.4,14,-0.6,▼,-3.0,-5.5,2.0,1071.0
79,2020-06-25,10.4,12,0.0,-,-3.0,0.0,-2.0,1083.0
80,2020-06-26,10.7,10,0.3,▲,-2.0,2.9,-2.0,1093.0
81,2020-06-27,10.7,11,0.0,-,-2.0,0.0,1.0,1104.0
82,2020-06-28,9.5,21,-1.2,▼,-3.0,-11.2,10.0,1125.0
83,2020-06-29,10.0,11,0.5,▲,-2.0,5.3,-10.0,1136.0
84,2020-06-30,9.8,10,-0.2,▼,-3.0,-2.0,-1.0,1146.0
85,2020-07-01,9.7,16,-0.1,▼,-4.0,-1.0,6.0,1162.0
86,2020-07-02,9.7,11,0.0,-,-4.0,0.0,-5.0,1173.0
87,2020-07-03,9.5,14,-0.2,▼,-5.0,-2.1,3.0,1187.0
88,2020-07-04,8.9,12,-0.6,▼,-6.0,-6.3,-2.0,1199.0
89,2020-07-05,8.7,12,-0.2,▼,-7.0,-2.2,0.0,1211.0
90,2020-07-06,8.2,13,-0.5,▼,-8.0,-5.7,1.0,1224.0
91,2020-07-07,8.4,7,0.2,▲,-7.0,2.4,-6.0,1231.0
92,2020-07-08,8.7,6,0.3,▲,-6.0,3.6,-1.0,1237.0
93,2020-07-09,8.8,3,0.1,▲,-5.0,1.1,-3.0,1240.0
94,2020-07-10,9.0,8,0.2,▲,-4.0,2.3,5.0,1248.0
95,2020-07-11,9.4,17,0.4,▲,-3.0,4.4,9.0,1265.0
96,2020-07-12,9.5,5,0.1,▲,-2.0,1.1,-12.0,1270.0
97,2020-07-13,10.0,14,0.5,▲,-1.0,5.3,9.0,1284.0
98,2020-07-14,10.0,8,0.0,-,-1.0,0.0,-6.0,1292.0
99,2020-07-15,10.3,11,0.3,▲,0.0,3.0,3.0,1303.0
100,2020-07-16,10.1,11,-0.2,▼,-1.0,-1.9,0.0,1314.0
101,2020-07-17,10.5,11,0.4,▲,0.0,4.0,0.0,1325.0
102,2020-07-18,10.0,12,-0.5,▼,-1.0,-4.8,1.0,1337.0
103,2020-07-19,10.5,13,0.5,▲,0.0,5.0,1.0,1350.0
104,2020-07-20,10.8,16,0.3,▲,1.0,2.9,3.0,1366.0
