,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-04-29,,1,0.0,-,0.0,0.0,0.0,0.0
1,2020-04-30,,1,,▲,1.0,,0.0,1.0
2,2020-05-07,,1,,▲,2.0,,0.0,2.0
3,2020-05-08,,1,,▲,3.0,,0.0,3.0
4,2020-05-19,100.0,1,,▲,4.0,,0.0,4.0
5,2020-05-21,92.0,1,-8.0,▼,3.0,-8.0,0.0,5.0
6,2020-06-01,88.0,1,-4.0,▼,2.0,-4.3,0.0,6.0
7,2020-06-06,111.0,1,23.0,▲,3.0,26.1,0.0,7.0
8,2020-06-08,109.0,1,-2.0,▼,2.0,-1.8,0.0,8.0
9,2020-06-12,104.0,1,-5.0,▼,1.0,-4.6,0.0,9.0
10,2020-06-18,110.0,2,6.0,▲,2.0,5.8,1.0,11.0
11,2020-06-27,135.8,1,25.8,▲,3.0,23.5,-1.0,12.0
12,2020-06-30,114.8,1,-21.0,▼,2.0,-15.5,0.0,13.0
13,2020-07-05,116.8,1,2.0,▲,3.0,1.7,0.0,14.0
14,2020-07-07,125.6,1,8.8,▲,4.0,7.5,0.0,15.0
15,2020-07-08,135.6,1,10.0,▲,5.0,8.0,0.0,16.0
16,2020-07-11,137.0,4,1.4,▲,6.0,1.0,3.0,20.0
17,2020-07-12,148.0,4,11.0,▲,7.0,8.0,0.0,24.0
18,2020-07-13,141.0,3,-7.0,▼,6.0,-4.7,-1.0,27.0
19,2020-07-14,127.7,2,-13.3,▼,5.0,-9.4,-1.0,29.0
20,2020-07-15,117.2,3,-10.5,▼,4.0,-8.2,1.0,32.0
21,2020-07-16,90.2,2,-27.0,▼,3.0,-23.0,-1.0,34.0
22,2020-07-17,66.7,32,-23.5,▼,2.0,-26.1,30.0,66.0
23,2020-07-18,61.6,17,-5.1,▼,1.0,-7.6,-15.0,83.0
24,2020-07-19,53.6,14,-8.0,▼,0.0,-13.0,-3.0,97.0
25,2020-07-20,42.1,6,-11.5,▼,-1.0,-21.5,-8.0,103.0
26,2020-07-21,36.8,5,-5.3,▼,-2.0,-12.6,-1.0,108.0
27,2020-07-22,37.3,5,0.5,▲,-1.0,1.4,0.0,113.0
28,2020-07-23,37.2,3,-0.1,▼,-2.0,-0.3,-2.0,116.0
29,2020-07-24,36.7,2,-0.5,▼,-3.0,-1.3,-1.0,118.0
30,2020-07-25,38.3,2,1.6,▲,-2.0,4.4,0.0,120.0
31,2020-07-26,36.4,3,-1.9,▼,-3.0,-5.0,1.0,123.0
32,2020-07-28,37.4,6,1.0,▲,-2.0,2.7,3.0,129.0
33,2020-07-29,39.8,6,2.4,▲,-1.0,6.4,0.0,135.0
34,2020-07-30,44.6,5,4.8,▲,0.0,12.1,-1.0,140.0
35,2020-07-31,48.0,1,3.4,▲,1.0,7.6,-4.0,141.0
36,2020-08-01,51.9,4,3.9,▲,2.0,8.1,3.0,145.0
37,2020-08-02,55.2,3,3.3,▲,3.0,6.4,-1.0,148.0
38,2020-08-03,57.0,5,1.8,▲,4.0,3.3,2.0,153.0
39,2020-08-04,56.2,8,-0.8,▼,3.0,-1.4,3.0,161.0
40,2020-08-05,59.2,1,3.0,▲,4.0,5.3,-7.0,162.0
41,2020-08-06,58.3,6,-0.9,▼,3.0,-1.5,5.0,168.0
42,2020-08-08,61.0,1,2.7,▲,4.0,4.6,-5.0,169.0
43,2020-08-09,58.5,5,-2.5,▼,3.0,-4.1,4.0,174.0
44,2020-08-10,61.5,1,3.0,▲,4.0,5.1,-4.0,175.0
45,2020-08-11,58.5,1,-3.0,▼,3.0,-4.9,0.0,176.0
46,2020-08-12,59.5,1,1.0,▲,4.0,1.7,0.0,177.0
47,2020-08-13,57.0,4,-2.5,▼,3.0,-4.2,3.0,181.0
48,2020-08-14,61.0,2,4.0,▲,4.0,7.0,-2.0,183.0
49,2020-08-15,57.5,4,-3.5,▼,3.0,-5.7,2.0,187.0
50,2020-08-16,61.8,4,4.3,▲,4.0,7.5,0.0,191.0
