,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-04-07,1.6,19,0.0,-,0.0,0.0,0.0,0.0
1,2020-04-09,1.8,32,0.2,▲,1.0,12.5,13.0,32.0
2,2020-04-12,1.9,14,0.1,▲,2.0,5.6,-18.0,46.0
3,2020-04-13,2.0,21,0.1,▲,3.0,5.3,7.0,67.0
4,2020-04-14,2.1,19,0.1,▲,4.0,5.0,-2.0,86.0
5,2020-04-15,2.2,3,0.1,▲,5.0,4.8,-16.0,89.0
6,2020-04-16,2.2,22,0.0,-,5.0,0.0,19.0,111.0
7,2020-04-17,2.3,43,0.1,▲,6.0,4.5,21.0,154.0
8,2020-04-18,2.5,3,0.2,▲,7.0,8.7,-40.0,157.0
9,2020-04-19,2.6,21,0.1,▲,8.0,4.0,18.0,178.0
10,2020-04-21,2.4,10,-0.2,▼,7.0,-7.7,-11.0,188.0
11,2020-04-22,2.3,10,-0.1,▼,6.0,-4.2,0.0,198.0
12,2020-04-23,2.4,25,0.1,▲,7.0,4.3,15.0,223.0
13,2020-04-25,2.0,4,-0.4,▼,6.0,-16.7,-21.0,227.0
14,2020-04-26,1.8,18,-0.2,▼,5.0,-10.0,14.0,245.0
15,2020-04-27,1.8,16,0.0,-,5.0,0.0,-2.0,261.0
16,2020-04-28,2.1,32,0.3,▲,6.0,16.7,16.0,293.0
17,2020-04-29,2.0,11,-0.1,▼,5.0,-4.8,-21.0,304.0
18,2020-05-02,2.0,1,0.0,-,5.0,0.0,-10.0,305.0
19,2020-05-03,2.1,3,0.1,▲,6.0,5.0,2.0,308.0
20,2020-05-06,1.9,7,-0.2,▼,5.0,-9.5,4.0,315.0
21,2020-05-07,1.6,14,-0.3,▼,4.0,-15.8,7.0,329.0
22,2020-05-10,1.6,21,0.0,-,4.0,0.0,7.0,350.0
23,2020-05-11,2.0,19,0.4,▲,5.0,25.0,-2.0,369.0
24,2020-05-14,1.9,8,-0.1,▼,4.0,-5.0,-11.0,377.0
25,2020-05-16,2.1,8,0.2,▲,5.0,10.5,0.0,385.0
26,2020-05-18,2.0,8,-0.1,▼,4.0,-4.8,0.0,393.0
27,2020-05-19,2.0,3,0.0,-,4.0,0.0,-5.0,396.0
28,2020-05-21,2.0,9,0.0,-,4.0,0.0,6.0,405.0
29,2020-05-22,2.1,8,0.1,▲,5.0,5.0,-1.0,413.0
30,2020-05-23,2.1,61,0.0,-,5.0,0.0,53.0,474.0
31,2020-05-25,2.2,20,0.1,▲,6.0,4.8,-41.0,494.0
32,2020-05-26,2.0,5,-0.2,▼,5.0,-9.1,-15.0,499.0
33,2020-05-30,1.8,9,-0.2,▼,4.0,-10.0,4.0,508.0
34,2020-06-01,1.6,12,-0.2,▼,3.0,-11.1,3.0,520.0
35,2020-06-02,1.6,10,0.0,-,3.0,0.0,-2.0,530.0
36,2020-06-15,1.4,1,-0.2,▼,2.0,-12.5,-9.0,531.0
37,2020-06-16,1.4,15,0.0,-,2.0,0.0,14.0,546.0
38,2020-06-24,1.4,1,0.0,-,2.0,0.0,-14.0,547.0
39,2020-06-25,1.4,12,0.0,-,2.0,0.0,11.0,559.0
