,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-04-07,3.5,13,0.0,-,0.0,0.0,0.0,0.0
1,2020-04-08,3.3,15,-0.2,▼,-1.0,-5.7,2.0,15.0
2,2020-04-09,3.3,14,0.0,-,-1.0,0.0,-1.0,29.0
3,2020-04-10,3.2,24,-0.1,▼,-2.0,-3.0,10.0,53.0
4,2020-04-11,3.7,6,0.5,▲,-1.0,15.6,-18.0,59.0
5,2020-04-12,3.7,38,0.0,-,-1.0,0.0,32.0,97.0
6,2020-04-13,3.5,6,-0.2,▼,-2.0,-5.4,-32.0,103.0
7,2020-04-14,3.3,1,-0.2,▼,-3.0,-5.7,-5.0,104.0
8,2020-04-15,3.3,2,0.0,-,-3.0,0.0,1.0,106.0
9,2020-04-16,2.5,8,-0.8,▼,-4.0,-24.2,6.0,114.0
10,2020-04-17,2.5,1,0.0,-,-4.0,0.0,-7.0,115.0
11,2020-04-18,2.9,22,0.4,▲,-3.0,16.0,21.0,137.0
12,2020-04-19,3.1,2,0.2,▲,-2.0,6.9,-20.0,139.0
13,2020-04-20,3.6,15,0.5,▲,-1.0,16.1,13.0,154.0
14,2020-04-21,4.0,43,0.4,▲,0.0,11.1,28.0,197.0
15,2020-04-22,4.1,13,0.1,▲,1.0,2.5,-30.0,210.0
16,2020-04-24,4.1,18,0.0,-,1.0,0.0,5.0,228.0
17,2020-04-25,4.0,39,-0.1,▼,0.0,-2.4,21.0,267.0
18,2020-04-26,3.7,8,-0.3,▼,-1.0,-7.5,-31.0,275.0
19,2020-04-27,3.7,13,0.0,-,-1.0,0.0,5.0,288.0
20,2020-04-28,3.9,32,0.2,▲,0.0,5.4,19.0,320.0
21,2020-05-01,3.7,11,-0.2,▼,-1.0,-5.1,-21.0,331.0
22,2020-05-02,3.4,9,-0.3,▼,-2.0,-8.1,-2.0,340.0
23,2020-05-03,3.3,19,-0.1,▼,-3.0,-2.9,10.0,359.0
24,2020-05-04,3.3,10,0.0,-,-3.0,0.0,-9.0,369.0
25,2020-05-06,3.2,5,-0.1,▼,-4.0,-3.0,-5.0,374.0
26,2020-05-07,3.0,1,-0.2,▼,-5.0,-6.2,-4.0,375.0
